Cycle,0.766375098814
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(24.5021431813 38),(19.9604228177 202),(22.2527841001 375),(23.3893207035 548),(20.1531441309 717),(22.2913094919 884),(23.6474766257 1051),(22.1694539742 1216),(23.6441623668 1379),(22.70055947 1542),(21.7743272551 1706),(21.0622137475 1877),(20.6155864461 2044),(24.9396398013 2214),(25.1780144863 2388),(22.975604828 2557),(25.4936215729 2726),(24.81279324 2897),(25.0455678973 3075),(24.6639561494 3251),(23.4927134216 3418),(24.9064151798 3593),(22.8734837691 3769),
Point0,H2,,(1.0379003191 302),,,,(7.94075567579 937),,,,,,(6.93535727931 1930),,,,,,,,,,,
Point0,H3,,(1.05148823017 306),,,,(7.96909630044 942),,,,,,(6.97575823481 1935),,,,,,,,,,,
Point0,H4,(4.24309148126 146),(0.519039856573 323),(1.41999544632 479),(2.71821916638 657),(2.04432746019 813),(1.95054883373 988),(2.30724073823 1149),(3.21961945434 1317),(2.63611461006 1478),(2.9418672862 1651),,(1.47786426643 1983),,(1.87680114397 2320),(2.68740194283 2496),,(2.84222319713 2833),(1.9127954725 3011),(2.94852626252 3185),(2.99109966172 3360),(1.44060680261 3538),,
Point0,H5,(4.34744673871 153),(0.647941477316 332),(1.92899802406 492),(3.59399399391 669),(2.25519520095 823),(3.371109664 1004),(3.68366329794 1165),(3.22529672109 1320),(2.63898681503 1480),(3.06820777872 1658),,(2.60558234886 1997),,(3.13171574024 2334),(3.09905996528 2507),,(3.1687072074 2843),(2.28640230521 3020),(3.66885239001 3196),(3.90802184827 3372),(2.29964317795 3549),,
Point0,H6,(-7.1054273576e-15 173),(-2.6645352591e-15 343),(-3.5527136788e-15 510),(-1.06581410364e-14 686),(-8.881784197e-15 847),(-1.06581410364e-14 1020),(5.3290705182e-15 1182),(-5.3290705182e-15 1341),(-5.3290705182e-15 1504),(-3.5527136788e-15 1676),(-0.0109279861818 1842),(-5.3290705182e-15 2013),(1.24344978758e-14 2177),(7.1054273576e-15 2350),(-1.24344978758e-14 2524),(-8.881784197e-15 2689),(1.7763568394e-15 2861),(-0.00322517701706 3036),(-3.5527136788e-15 3214),(-3.5527136788e-15 3389),(-7.1054273576e-15 3563),(-3.5527136788e-15 3738),
Point1,H1,(10.7368244215 72),(7.81725898703 233),(8.03041610511 407),(7.41920974854 538),(5.88548355273 742),(7.53443339174 879),(9.24321407161 1048),(8.73974225743 1238),(8.01934873729 1369),(6.02194462363 1579),(7.43892450219 1765),(4.66863900972 1871),(5.75513846762 2100),(9.10290962699 2253),(7.98994681915 2447),(8.38314610338 2598),(8.85619604249 2760),(9.13544546021 2891),(9.82312607391 3064),(9.34308578843 3119),(8.97802553684 3241),(9.2265900024 3413),(8.97760676111 3591),(6.59122355453 3766),
Point1,H2,,(0.469272446644 297),,,(5.04387392636 757),,,,,(-1.7763568394e-15 1677),,,,,(1.62606124603 2498),,,(5.05775291442 2919),,,(8.2014058728 3254),,
Point1,H3,,(0.868517200396 310),,,(5.82580452922 773),,,,,(5.00648307955 1702),,,,,(1.62905840094 2501),,,(7.08880934436 2944),,,(8.91096545582 3268),,
Point1,H4,(-5.3290705182e-15 174),(-7.9936057773e-15 329),(0.716835600858 481),,(2.03944523298 815),,,,,(4.09438003882 1715),(3.29077104421 1811),,(-1.7763568394e-15 2176),,(4.4408920985e-15 2524),(3.5527136788e-15 2689),(1.89118420431 2836),(1.1248660259 3011),,(2.44022063052 3189),(2.54922897567 3363),,
Point1,H5,(6.41842164483 197),(7.2319958288 371),(1.09272994673 494),,(2.48227351035 828),,,,,(6.76031426237 1738),(3.36940676951 1818),,(8.03258112001 2211),,(8.00038029949 2552),(8.81194658924 2725),(2.06777477046 2845),(1.73688496158 3023),,(2.50370037896 3195),(2.64525452425 3370),,
Point1,H6,(-5.3290705182e-15 174),(-7.9936057773e-15 329),(-7.1054273576e-15 510),(-8.881784197e-15 687),(-0.00576611546972 848),(1.7763568394e-15 1021),(-0.0049594243639 1183),(-1.7763568394e-15 1343),(-2.22044604925e-15 1505),(-1.7763568394e-15 1677),(-0.0106623230244 1843),(-0.0288275717242 1986),(-1.7763568394e-15 2176),(-1.7763568394e-15 2352),(4.4408920985e-15 2524),(3.5527136788e-15 2689),(8.881784197e-16 2863),(-6.2172489379e-15 3038),(-1.33226762955e-14 3215),(-5.3290705182e-15 3390),(-0.000487493888034 3563),(-3.99680288865e-15 3737),
Point2,H1,(5.31812690499 137),(11.9908695788 219),(12.1394929395 306),(6.06986203257 486),(14.4596175178 584),(11.6059413346 753),(11.8187976237 819),(10.2403955139 913),(8.35977048579 1116),(9.34936021647 1260),(10.3324505051 1416),(8.99507915264 1636),(11.0391693789 1782),(9.98504246277 1975),(9.72464169791 2114),(12.8918707072 2271),(4.27441100839 2393),(5.77546314841 2491),(10.9112078134 2578),(12.5832699045 2792),(3.59400117927 2908),(14.17471378 3094),(9.0536079606 3352),(9.09079449376 3463),(9.53701322868 3675),(11.1593273565 3821),
Point2,H2,,,,,,,,,(7.32905696843 1142),,,,,,(6.12038303677 2138),,,,,,,,,,(8.20946533734 3691),,
Point2,H3,,,,,,,,,(7.49996912456 1152),,,,,,(7.48400179732 2151),,,,,,,,,,(8.77953008538 3702),,
Point2,H4,,(9.93445963893 242),(-0.0781713096399 343),,(13.2864635756 602),,,,(9.7699626167e-15 1181),,,,,(-4.4408920985e-15 2013),(-0.0128529484563 2174),,,,,,(-0.066707116271 2964),,,,,,
Point2,H5,,(11.8711224903 275),(4.51600597753 373),,(14.042104585 618),,,,(8.68795829837 1231),,,,,(8.24062648778 2069),(9.98771356824 2224),,,,,,(5.33774872531 3016),,,,,,
Point2,H6,(-0.657486718534 7),(-0.114990051064 169),(-0.0781713096399 343),(-0.0598328330656 439),(-0.111027019859 509),(1.95399252334e-14 682),(-0.00248418480741 851),(8.881784197e-16 1015),(9.7699626167e-15 1181),(-1.7763568394e-15 1341),(-1.50990331349e-14 1506),(-1.7763568394e-15 1671),(6.2172489379e-15 1842),(-4.4408920985e-15 2013),(-0.0128529484563 2174),(-0.0853271465518 2354),(-1.05310676156e-05 2437),(-0.0448062776622 2522),(7.1054273576e-15 2688),(-0.12908112024 2869),(-0.066707116271 2964),(-0.199801909303 3040),(-0.0268544696827 3217),(6.2172489379e-15 3392),(-0.00154368114646 3564),(-0.0168370338732 3740),
