Cycle,0.591270609319
Average Width,6.16811251314
Width,,8.18003282867,7.8911656169,6.12645494501,6.27269075356,6.71171494377,7.8996092662,9.84563710519,4.92279814567,4.78009861907,5.37553914115,5.53031209825,5.38283871511,5.60806768575,4.65385322863,6.03087353694,5.16683206653,6.53543538719,6.12035805673,5.27801959674,6.44425597935,5.62926896012,5.08057980913,6.83475648831,6.64071645737,6.62842221946,7.29393370614,5.59895446696,0,5.12179698253,5.37180428762,6.08655430006
Point0,H1,(13.9198436488 27),(18.8406637311 154),(15.8010282915 281),(16.564332846 404),(18.3778041366 525),(16.5113484716 655),(18.4919666825 783),(17.1771588524 911),(18.2944019924 1032),(19.3501855057 1157),(20.8264459542 1282),(23.0541782665 1412),(23.5428095942 1541),(16.9655188993 1660),(20.3969775201 1784),(23.3020476987 1910),(23.4978011706 2030),(16.1483225949 2148),(16.7429216728 2262),(18.4593769629 2372),(18.3275956815 2481),(15.7676020871 2594),(22.0133019166 2715),(21.4954812555 2840),(22.5228225828 2968),(17.7045135945 3095),(12.5728385267 3223),(13.5655122396 3347),(23.0665607586 3461),(22.7010255047 3575),(14.8961951671 3703),
Point0,H2,(3.52316918882 61),,,,,,,,,,,,,,,,,,,,,(3.44906811985 2630),,,(5.70387559183 2998),,,,,,,
Point0,H3,(3.77071652142 71),,,,,,,,,,,,,,,,,,,,,(3.70180190863 2640),,,(7.79613880937 3019),,,,,,,
Point0,H4,(0.37360853433 106),(7.31001830039 196),(3.14549983003 313),(4.35921245283 433),(6.72851312005 562),(4.97027614489 689),(7.63122942376 817),(3.05723414399 945),(4.16485464736 1062),(6.28555146799 1186),(6.16973040459 1312),(7.65835933793 1442),(6.99266682003 1568),(-0.0213101173691 1693),(2.6186348359 1814),(6.7578665952 1940),(6.26845886524 2060),(1.55199389634 2178),(4.1809037088 2287),(5.15093047955 2399),(5.17081987353 2514),(-0.473248506099 2663),(7.06449246812 2747),(5.04652454945 2871),(0.220392375491 3052),(2.27328908269 3126),(-0.0178048019564 3251),(3.11077429449 3374),(0.349530370876 3532),(1.35284897173 3619),,
Point0,H5,(0.44932238029 112),(7.39083642949 204),(5.31216889548 333),(6.46088089853 452),(7.67440382569 577),(7.58431978791 708),(10.1362215663 834),(5.36309264305 964),(6.70186671936 1080),(9.10269141058 1204),(8.82338851893 1330),(10.1918546595 1460),(10.8432107927 1589),(5.8028686787 1718),(7.78298561649 1839),(10.8492531754 1961),(11.8619102232 2088),(3.81890105914 2203),(7.6917393779 2312),(8.82126647334 2426),(5.49009362988 2524),(0.896345726846 2676),(9.35373451017 2767),(6.51824979687 2892),(0.303800196785 3058),(5.06552447638 3155),(5.27105533315 3296),(4.55798316081 3400),(0.593141029681 3539),(4.18636245438 3639),,
Point0,H6,(-7.9936057773e-15 123),(-1.50990331349e-14 252),(-0.00926375384229 370),(-1.33226762955e-14 496),(-1.06581410364e-14 625),(-2.48689957516e-14 752),(-1.59872115546e-14 882),(-0.0175040187581 1003),(-0.0139841659509 1123),(-3.5527136788e-15 1249),(-5.3290705182e-15 1377),(-0.0142318808296 1508),(-2.6645352591e-15 1634),(-0.0213101173691 1693),(2.6645352591e-15 1757),(-5.3290705182e-15 1874),(-1.59872115546e-14 2001),(-1.42108547152e-14 2118),(-0.0047309879781 2230),(8.881784197e-16 2339),(-1.7763568394e-14 2451),(-0.0176957589924 2562),(-0.473248506099 2663),(-7.1054273576e-15 2814),(-1.7763568394e-15 2935),(-0.00116063826938 3067),(-0.0377359651881 3196),(-0.0178048019564 3251),(-0.0273872838703 3317),(-0.0182873032184 3426),(-7.1054273576e-15 3548),(6.2172489379e-15 3675),
Point1,H1,(18.1530039447 27),(22.6147963764 154),(19.2022800563 281),(19.815118201 404),(22.4818879255 525),(20.6666134544 655),(22.2562572265 783),(20.0178332994 911),(21.6093484008 1033),(22.6131012721 1157),(22.1814686303 1282),(24.5600601537 1412),(23.9174446431 1542),(18.3903890472 1661),(19.6197396304 1785),(24.4597460893 1910),(26.0484820399 2030),(19.543150763 2148),(18.5932366364 2262),(22.1627407482 2372),(21.9948191338 2481),(18.2452999085 2594),(25.1408226832 2716),(23.8965401864 2841),(25.137479312 2968),(19.8187736543 3096),(16.7178550361 3223),(14.6533781906 3347),(26.0726495071 3462),(26.2183167423 3576),(18.0080207411 3704),
Point1,H2,(5.1050391183 62),,,,,,,,,,,,,,,,,,,,,(3.50088004773 2632),(7.74071367483 2748),,(6.90894159194 2997),,,,,,,
Point1,H3,(5.47564139289 75),,,,,,,,,,,,,,,,,,,,,(3.62116102353 2640),(9.70479947184 2767),,(9.59180975567 3017),,,,,,,
Point1,H4,(0.617580377991 109),(7.91612971357 192),(3.91740461981 312),(4.52087568359 433),(7.79787574698 562),(6.88914188061 690),(8.92331178376 817),(3.31177765084 945),(4.00678714356 1063),(6.85508658184 1187),(6.43704469325 1313),(7.80383854027 1443),(6.44047896761 1570),(2.01926991236 1693),(0.827495079221 1814),(6.27516507635 1940),(7.44823532937 2061),(3.31124595341 2177),(4.62477734451 2287),(7.63660486754 2399),(6.1958408287 2513),(-0.893953042033 2664),(1.99287565556 2797),(5.12735293651 2871),(0.305646681892 3055),(1.88034544644 3124),(2.78435223997 3250),(1.9931036631 3375),(-0.000750641792846 3533),(1.07718696222 3619),,
