Cycle,0.612361111111
Average Width,4.80313140151
Width,,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4.865834386,3.69067168026,4.82807058917,4.56550538479,5.38379522244,0,0,0,0,5.57877610453,0,3.83675737202,4.67616878495,0,0,5.96314371502,0,5.53967395778,0,0,5.122260104,0,0,4.10361432482,0,0,4.45357393845,4.63599405687
Point0,H1,(20.6961002031 31),(16.127858187 161),(20.9884774703 295),(19.7691706791 427),(20.816396935 549),(21.5720762187 677),(19.9908412207 806),(17.6013225104 941),(14.0745512786 1066),(17.7679141049 1194),(17.9268162256 1325),(15.534093048 1455),(15.1993912069 1584),(14.6009096731 1710),(17.6477621204 1836),(16.7582236014 1963),(13.8596789889 2090),(8.07192888861 2219),(8.18557526845 2270),(13.0409469353 2339),(13.1046715892 2461),(16.3291579436 2577),(17.4383400199 2690),(17.8582444563 2807),(16.8896070614 2926),(15.6673129454 3043),(14.9457338468 3164),(16.4458656832 3283),(14.4631196288 3413),(12.0994574033 3542),(14.6525274853 3667),(13.9541791246 3797),(12.2093728212 3928),(13.8529914408 4057),(13.496723658 4179),(15.5535966653 4308),(15.6494535464 4434),(14.5448245657 4555),(15.696680454 4670),(14.4140959643 4788),(13.1062621377 4911),(13.5313816793 5043),(13.0917390203 5184),(11.9703132145 5319),(12.0770678361 5455),(12.8918526255 5591),
Point0,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(-8.43769498715e-15 3576),,(4.2998365541 3832),,,,,,,,,,,(5.04589486998 5215),,(2.90882923003 5482),,
Point0,H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3.28477704998 3598),,(6.42663624998 3849),,,,,,,,,,,(6.11305340292 5233),,(6.12361921447 5503),,
Point0,H4,(6.80906091108 65),(7.81268743678 195),(6.95205009057 325),(6.11269155407 457),(6.45915156547 581),(8.74505238342 712),(7.16902942463 842),(5.10968012154 971),(-0.00154504527094 1097),(7.58646682283 1223),(5.68881958553 1356),(4.80336397016 1484),(3.12362615423 1615),(5.76148847485 1740),(7.52699193251 1863),(5.5714784072 1992),(3.75533936789 2118),,,(2.69215515396 2367),(1.35794141495 2490),(4.83490860104 2607),(6.07441660004 2721),(5.21413229816 2838),(6.28140219072 2957),(4.72847933574 3076),(5.27358957971 3195),(7.02945860197 3321),(6.52511009083 3446),(1.65685686027 3615),(3.29819999939 3700),(1.46942408432 3875),(2.60676102598 3959),(5.76343682012 4084),(3.83070474031 4211),(5.29558668624 4339),(3.87722590923 4464),(4.91238261412 4583),(5.19795888527 4701),,(5.47789360009 4939),(4.04584124469 5078),(-2.6645352591e-15 5265),(6.37928805684 5348),(1.12122450881 5530),,
Point0,H5,(7.78929399367 84),(10.6189527526 217),(8.30197821557 340),(9.95647423153 477),(9.57197614989 602),(9.76323702068 726),(9.20074629838 858),(8.03153353671 991),(2.74669555016 1119),(9.46170354467 1241),(7.11714072284 1374),(6.67166970511 1505),(5.71785340283 1637),(5.8382563158 1748),(9.24692105303 1882),(8.02397740303 2012),(6.11487161498 2138),,,(7.64768061689 2389),(5.69155946169 2512),(7.73751336964 2624),(7.2963932062 2735),(7.3542030166 2857),(9.07645705842 2975),(6.41863367408 3096),(7.39189409671 3213),(8.02012095035 3336),(7.81869882957 3464),(1.92432013333 3624),(6.68993779843 3721),(1.516657957 3880),(4.60258322513 3980),(8.53118868439 4104),(6.7152850358 4233),(7.41173589687 4359),(6.92978917997 4485),(6.70888498527 4605),(6.53694042656 4718),,(5.96982359009 4962),(5.16271134334 5094),(0.482733149824 5277),(6.89862103278 5360),(2.78206016995 5545),,
Point0,H6,(-8.881784197e-15 132),(-1.68753899743e-14 264),(-0.00933514421984 392),(-1.06581410364e-14 520),(-2.13162820728e-14 647),(-1.86517468137e-14 776),(-2.6645352591e-15 908),(-0.0279515203184 1035),(-0.00154504527094 1097),(-0.0419681586916 1160),(-0.000952480463607 1291),(-6.2172489379e-15 1421),(1.24344978758e-14 1555),(5.3290705182e-15 1672),(-0.00600888932809 1800),(-8.881784197e-15 1928),(-0.00517170077281 2059),(5.3290705182e-15 2191),(-0.0194523387832 2244),(-8.881784197e-15 2310),(-1.15463194561e-14 2426),(-0.0253938953377 2547),(-1.06581410364e-14 2663),(1.7763568394e-15 2777),(1.15463194561e-14 2890),(8.881784197e-15 3015),(-0.000364065746177 3131),(-5.3290705182e-15 3255),(8.881784197e-15 3383),(-0.0132178831514 3513),(-8.43769498715e-15 3576),(-0.0238587515493 3639),(-0.00516402027141 3767),(-0.000452792790883 3896),(-1.24344978758e-14 4023),(-2.04281036531e-14 4150),(-1.86517468137e-14 4279),(-0.0030878541603 4404),(9.7699626167e-15 4522),(3.5527136788e-15 4637),(-1.15463194561e-14 4759),(-1.68753899743e-14 4880),(-3.5527136788e-15 5014),(0.0 5129),(-2.6645352591e-15 5265),(-0.00138324336951 5408),(-2.6645352591e-15 5562),
Point1,H1,(17.4198138459 35),(12.4415403019 165),(16.9454945191 300),(15.9166515097 431),(17.2511760825 553),(17.8787467239 680),(16.8698567057 810),(13.9408747845 945),(10.5115473439 1069),(14.4711132553 1197),(14.9107403284 1329),(12.9957761162 1459),(13.090830483 1588),(11.8237297384 1713),(14.267686319 1839),(14.374410547 1966),(12.4507103501 2093),(9.39789008468 2223),(12.1497913241 2343),(15.0701846309 2465),(16.7127606855 2580),(17.6316875675 2694),(15.803266848 2810),(16.1114772765 2930),(15.2793897849 3046),(13.4289272482 3168),(13.9332608585 3285),(11.839957984 3417),(10.7536349603 3545),(11.5362949329 3670),(11.2668939987 3801),(10.7993106297 3931),(11.0783571467 4059),(10.8965380994 4181),(12.6632247171 4312),(12.4767223882 4437),(12.3141692884 4558),(13.5000664272 4674),(12.6540967681 4792),(11.6409848026 4914),(12.7454511128 5046),(11.2014621471 5187),(10.3094358916 5321),(11.7811418197 5458),(16.0186465805 5594),
Point1,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3.68332701595 5218),,(2.73190159117 5485),,
Point1,H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(5.05034575767 5236),,(6.80964262176 5507),,
Point1,H4,(6.49369445239 69),(6.77397214637 200),(6.00708068564 331),(6.9099288731 461),(5.57624148939 587),(7.55128757323 717),(6.82551374031 847),(3.65722354815 975),(1.15463194561e-14 1101),(6.85637035667 1226),(4.86025090377 1360),(3.72805927855 1488),(3.28024160695 1621),(4.81616805564 1748),(6.76518096191 1867),(4.32405999566 1996),(3.13081791933 2123),(1.54744213449 2247),(2.13002130973 2370),(1.12877682017 2494),(3.7789711978 2610),(6.59550692772 2725),(4.78959173687 2841),(5.96161276861 2960),(4.57663380893 3079),(4.81521362653 3198),(5.6102312087 3325),(5.26018746186 3451),(-0.0037837644434 3582),(2.99055564363 3703),(3.85105783345 3837),(2.14899891289 3963),(5.88319270634 4089),(3.53427333824 4213),(3.95900347694 4341),(3.97119274287 4468),(4.9280207999 4587),(4.7599228329 4705),,(4.59840505366 4942),(4.0850010056 5083),(-4.4408920985e-15 5268),(5.2858789472 5353),(1.07398298909 5534),,
Point1,H5,(7.45072955142 88),(8.21929610841 220),(6.63567128538 345),(9.3964397012 480),(8.58099157709 607),(8.6072736375 732),(8.29419091163 862),(6.63069175509 996),(3.43767053861 1124),(8.73802932833 1246),(6.11873721165 1377),(5.73547568022 1510),(5.70799097528 1644),(4.85837661047 1754),(8.08277772062 1885),(7.16899224789 2016),(5.30380202078 2141),(9.02066304457 2274),(7.64154953236 2394),(5.05660304585 2517),(7.04986656526 2628),(7.87329218975 2739),(6.83969744379 2863),(8.88944926023 2979),(6.7905932696 3101),(7.09864476088 3217),(6.53882146844 3340),(6.09968995382 3468),(2.94106105119 3602),(5.29742450329 3725),(6.02451527241 3854),(3.83282122179 3985),(7.55436610442 4107),(5.40545044194 4237),(6.06789373566 4361),(6.39352468625 4492),(6.36820312464 4607),(6.17873683166 4723),,(5.37047187942 4960),(4.91114153312 5098),(0.368006399118 5280),(5.48517365325 5362),(3.90391989312 5550),,
Point1,H6,(1.06581410364e-14 136),(-5.3290705182e-15 268),(-7.1054273576e-15 396),(-1.95399252334e-14 524),(0.0 651),(6.2172489379e-15 780),(-0.00927193111533 910),(-0.0177616339179 1039),(1.15463194561e-14 1101),(-0.00789846392785 1164),(-3.64153152077e-14 1293),(-7.9936057773e-15 1424),(-0.00131687056546 1558),(1.15463194561e-14 1675),(-4.4408920985e-15 1805),(-8.881784197e-15 1932),(4.4408920985e-15 2062),(-0.0092530099728 2192),(-1.68753899743e-14 2314),(-0.00542683378781 2430),(-0.00527887035913 2550),(-1.7763568394e-15 2666),(-0.023501621212 2781),(-4.4408920985e-15 2895),(0.0 3018),(-1.15463194561e-14 3135),(-1.7763568394e-15 3257),(1.7763568394e-15 3385),(-0.0446138136458 3516),(-0.0037837644434 3582),(-0.0352309305184 3642),(-0.00993707566599 3771),(-4.11047918432e-05 3899),(-1.24344978758e-14 4028),(-1.7763568394e-15 4153),(7.9936057773e-15 4283),(7.9936057773e-15 4407),(2.6645352591e-15 4526),(9.7699626167e-15 4640),(1.42108547152e-14 4762),(1.59872115546e-14 4881),(1.33226762955e-14 5018),(1.86517468137e-14 5134),(-4.4408920985e-15 5268),(-0.015260053136 5412),(-1.7763568394e-15 5566),
Point2,H1,(12.9199012367 34),(7.72627109486 163),(11.6026148916 299),(11.4565855637 430),(11.3341184121 551),(12.242092652 679),(12.1628082452 809),(9.27951188938 943),(8.46695227261 1070),(9.06539828698 1194),(9.42465915493 1327),(8.04423766922 1457),(8.15367623755 1586),(7.68067253808 1717),(9.97309832206 1839),(9.44377771407 1963),(8.77627171898 2091),(7.54470531222 2221),(8.97176662737 2344),(11.916930462 2462),(13.9016374348 2578),(14.0306577139 2692),(11.2666521922 2808),(11.45141898 2928),(10.9146554797 3044),(8.24034329722 3168),(9.05077140201 3282),(7.17069959156 3416),(7.55441295272 3543),(6.42891415471 3667),(6.41362205188 3799),(6.22089565653 3928),(7.19807677119 4060),(6.67110365399 4175),(8.27871531484 4310),(8.20606877613 4436),(8.3672350451 4557),(7.97177587041 4674),(6.74519900721 4790),(6.29717601621 4911),(5.85125369578 5047),(6.40145408445 5190),(5.89587106404 5320),(6.54617186277 5456),(13.9698748175 5591),
Point2,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(2.07022186841 3704),(3.0050740419 3835),(1.12433518681 3964),(5.09982819356 4089),(3.12384264679 4197),,,,,,(3.74976116227 4932),,,,(1.8071350544 5482),,
Point2,H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3.54531917697 3723),(4.89011217767 3852),(2.16936656825 3983),(5.43962754728 4101),(3.524926624 4209),,,,,,(3.92023289016 4941),,,,(5.07897083547 5505),,
Point2,H4,(5.48233897994 74),(4.85717653636 197),,(6.50026106891 461),(3.6893458902 583),(5.67394884926 716),(6.29845708834 846),(3.20494020472 976),(2.408745709 1101),(4.59811560681 1228),(3.92650717963 1364),(2.77022598693 1489),(2.79175039959 1619),,(6.30403746538 1870),(3.65689225928 1993),(3.12420259622 2122),(1.91656084339 2247),(2.04039532405 2368),(1.60628358598 2493),(2.64186193062 2608),(5.99164380673 2725),(3.69063381648 2842),(5.07594842397 2958),(4.08191403553 3080),(3.26065078099 3200),(4.46969347157 3327),(3.21355332357 3453),(1.50614066134 3581),(1.10821342278 3747),(0.702616974413 3877),(1.5898894834 4001),(-4.4408920985e-16 4131),(3.31996558598 4221),(2.83970917993 4344),(3.00715484872 4464),(3.44633176502 4590),(3.38179048542 4703),(2.03577031119 4836),(2.73346169081 4961),(2.69965842319 5079),(2.9046935256 5216),,(1.58626336716 5531),,
