Cycle,0.688666666667
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(8.99868209503 29),(12.2001744146 172),(13.6152944453 318),(12.9483477601 460),(11.9682865524 605),(12.5516798296 751),(12.6354883207 896),(14.0334008971 1040),(13.3747106466 1184),(12.9832585422 1327),(12.456417826 1468),(13.0761416508 1599),(14.0152649459 1731),(13.7098672667 1870),(14.2223464384 2014),(13.6526199569 2167),(12.4875410651 2318),(11.1639855234 2467),(12.0114941151 2612),(10.7786450908 2753),(12.639411908 2897),(11.7471772564 3042),(10.8553730599 3180),(12.1744317293 3311),(12.4239128285 3451),(10.9882772521 3585),(8.82873269677 3726),(12.5607645606 3873),(11.759057744 4019),(10.1367465912 4163),(10.911001254 4304),
Point0,H2,,,,,,,,,,,,,,,,,(4.2910914845 2363),(3.10157204869 2518),,,,,(2.95662354158 3216),,,,,,(1.39071278027 4059),,,
Point0,H3,,,,,,,,,,,,,,,,,(4.4588047409 2373),(3.51378441025 2533),,,,,(3.43525522973 3235),,,,,,(3.30665704269 4083),,,
Point0,H4,(1.86124021507 98),(3.1331255907 220),(5.45975787532 365),,(4.76459780406 650),(1.34393338206 844),,(6.02880065656 1084),,(4.00998644363 1376),,(5.02972489216 1645),(4.24742185518 1790),(4.98318990464 1916),,,(0.692056043268 2414),(1.16033720014 2555),(1.93817207682 2696),(1.14260643325 2840),(6.03739222187 2944),(4.63005622631 3087),(1.53225035926 3260),(4.95885263391 3357),(4.37881372914 3501),(4.12189526863 3633),,(2.22020666329 3963),(1.61513222348 4106),(4.1866140436 4203),,
Point0,H5,(1.86126418787 99),(3.30391440536 229),(5.70039921579 374),,(5.03672661564 662),(1.49250788252 852),,(6.47807809544 1096),,(4.12286913611 1383),,(5.11871796284 1652),(4.29277216728 1797),(5.60641644549 1928),,,(0.812739836245 2421),(1.58624583272 2566),(2.01825805949 2704),(1.60003806191 2853),(6.05156776698 2948),(4.69035689588 3093),(1.62011137486 3267),(5.29801628691 3367),(4.49074358291 3509),(4.12799508435 3637),,(2.35604806748 3971),(1.82658769878 4116),(4.22496662377 4209),,
Point0,H6,(-1.02140518266e-14 129),(-0.00994097585468 280),(-1.7763568394e-15 424),(-6.2172489379e-15 572),(-5.3290705182e-15 722),(-0.00381272045467 867),(-8.881784197e-15 1010),(-7.9936057773e-15 1154),(0.0 1299),(-6.2172489379e-15 1433),(-1.7763568394e-15 1569),(-1.7763568394e-15 1700),(-1.7763568394e-15 1838),(-1.7763568394e-15 1984),(-2.6645352591e-15 2133),(-2.6645352591e-15 2284),(5.3290705182e-15 2435),(-1.7763568394e-15 2581),(1.7763568394e-15 2724),(8.881784197e-16 2868),(-8.881784197e-16 3011),(-3.5527136788e-15 3145),(-2.6645352591e-15 3284),(-2.6645352591e-15 3415),(3.5527136788e-15 3555),(3.5527136788e-15 3700),(-8.881784197e-16 3844),(-0.000877041260952 3989),(1.39071278027 4059),(-0.00323827041601 4133),(1.33226762955e-15 4274),
