Cycle,0.710238095238
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(6.99132170672 27),(10.9558031672 194),(10.3590167791 351),(7.1692313135 509),(7.36070031108 657),(7.71706960656 810),(7.39338784329 960),(7.33572663004 1120),(9.07549927878 1276),(7.37988525187 1418),(5.57231859515 1561),(6.22561891766 1692),(7.40180756549 1837),(6.17455897736 1983),(7.11067798995 2143),(7.02157850013 2282),(5.80247662322 2427),(7.48125471769 2585),(6.13091803484 2744),(5.24411171994 2883),(5.38183963444 3046),(5.95258649524 3177),
Point0,H2,,,,,,,(7.28723862129 968),,,,,,(3.99209341541 1867),,,,,,,,,
Point0,H3,,,,,,,(7.35753500639 975),,,,,,(4.16645813894 1877),,,,,,,,,
Point0,H4,(-0.00465553700047 103),(-0.0491334530537 275),,(2.34745622123 548),(0.679205309205 740),(2.28775921489 886),(2.54393744792 1033),(1.59246508379 1197),,,,,(0.610324873901 1912),,,(2.00241517838 2353),(0.659238669024 2504),,(0.573722331578 2819),,,
Point0,H5,(1.24261302454 123),(0.333595954502 292),,(2.90983702705 563),(1.14251180761 754),(2.31406771281 892),(2.68250996606 1042),(1.64998015593 1205),,,,,(0.958399005204 1928),,,(2.37473468801 2367),(1.06956013173 2524),,(1.00978877972 2834),,,
Point0,H6,(-0.00465553700047 103),(-0.0491334530537 275),(-0.00687058424967 470),(-9.32587340685e-15 622),(-5.3290705182e-15 771),(-6.2172489379e-15 927),(1.33226762955e-15 1072),(5.77315972805e-15 1233),(3.5527136788e-15 1379),(1.33226762955e-15 1522),(2.6645352591e-15 1654),(-0.00082578797955 1798),(-1.33226762955e-15 1949),(4.4408920985e-16 2097),(1.7763568394e-15 2240),(2.22044604925e-15 2390),(0.0 2546),(1.7763568394e-15 2705),(0.0 2850),(8.881784197e-16 2992),(4.4408920985e-16 3136),
