Cycle,0.720535714286
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(13.7886383675 31),(12.1169831337 187),(13.0648294708 334),(15.4012248845 497),(14.1525643423 657),(12.9969381989 797),(12.9377536746 941),(14.0429365523 1105),(12.828493964 1245),(12.5099997979 1410),(11.7659750667 1549),(11.9055835358 1693),(13.9402963239 1837),(11.6170335847 2002),(12.3109304168 2141),(11.720771037 2287),(13.3301737813 2449),(13.2970272111 2593),(10.8282795833 2733),(13.0741660986 2900),(11.8013731691 3038),(10.7446468676 3200),(10.1688444797 3343),(12.1814861554 3488),(10.2424117766 3629),(11.3189303019 3794),(10.9215445716 3933),(9.68999665127 4077),(9.18959960865 4222),
Point0,H2,,(1.28996390618 252),,(1.46128661459 583),,,(11.7418284264 957),,,(6.2065138133 1438),,,,,,(11.1741234758 2300),,,(10.0810612904 2747),,(1.63095561128 3126),(4.7740354196 3227),,,(9.24538262062 3645),,,,
Point0,H3,,(1.43729539196 262),,(1.68969390759 593),,,(11.7431711032 958),,,(6.23672739037 1443),,,,,,(11.1831593826 2303),,,(10.1167674153 2751),,(1.85975587404 3137),(5.16346315798 3238),,,(9.24874223838 3647),,,,
Point0,H4,(1.76360806615 121),(0.18656382588 285),(1.23356439532 418),(9.7699626167e-15 609),(1.07461582144 723),(1.7763568394e-15 882),(2.40139410091 1026),(1.13638776319 1176),(1.07908743191 1335),(3.39735751401 1473),,,(-5.3290705182e-15 1954),(-0.0173266045537 2063),(0.939799497026 2226),(1.88279268765 2372),,,(2.20013178297 2819),,(-4.4408920985e-15 3154),(-1.33226762955e-14 3298),(1.21410399575 3413),,,,,,
Point0,H5,(1.87859094715 129),(0.214937107031 290),(2.03278658027 434),(13.7107542702 640),(1.09922261885 729),(1.67842180658 901),(2.71317534692 1039),(1.17888732154 1184),(1.5104326372 1347),(3.48673425635 1481),,,(10.9258451648 1984),(0.402021868142 2080),(1.346579303 2241),(2.29152108602 2385),,,(2.45385121168 2831),,(10.6899496537 3184),(10.0092768163 3330),(1.48731480569 3425),,,,,,
Point0,H6,(2.6645352591e-15 148),(2.22044604925e-15 300),(7.1054273576e-15 450),(9.7699626167e-15 609),(-0.0101460580133 756),(1.7763568394e-15 882),(8.881784197e-16 1059),(-0.00577255047513 1209),(-0.00538060970654 1362),(8.881784197e-16 1509),(-0.00328488255584 1653),(-0.0283340458981 1793),(-5.3290705182e-15 1954),(-0.326271605833 2102),(-2.6645352591e-15 2257),(2.6645352591e-15 2403),(-1.06581410364e-14 2547),(-8.881784197e-15 2695),(-1.7763568394e-15 2851),(-0.000150717904941 3000),(-4.4408920985e-15 3154),(-1.33226762955e-14 3298),(-1.15463194561e-14 3443),(-1.06581410364e-14 3593),(-1.15463194561e-14 3745),(-5.77315972805e-15 3897),(-0.00397438163519 4046),(-0.00607240280688 4192),
