Cycle,0.895526315789
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(42.8972110134 44),(46.6220245242 239),(47.6101088999 396),(51.2195342962 587),(53.2739535618 780),(49.0177737873 974),(51.6001508739 1164),(45.2497374448 1355),(37.7137903166 1548),(43.3068502457 1759),(46.1800978366 1950),(47.1769269399 2142),(48.2371222231 2335),(46.060084241 2511),(50.8773765029 2700),(48.2422790874 2879),(51.855382284 3087),(46.6503293431 3280),(47.24912424 3472),(47.8017136657 3643),
Point0,H2,,,,(26.4439904119 635),,,,(43.2392037247 1366),(36.157463749 1559),,,,,,,,(4.95643481572 3206),,,,
Point0,H3,,,,(26.584085718 640),,,,(44.3806182932 1376),(36.2942167594 1564),,,,,,,,(5.00838020086 3212),,,,
Point0,H4,(4.09688283725 166),(6.7673835698 324),,(6.63715259517 710),(5.82564478845 902),(5.5664368765 1093),,,(2.70000811296 1684),(3.78816101294 1877),(2.66958153813 2068),(3.73419017527 2261),(-0.000836901939927 2459),(4.94201945635 2626),(5.17039496551 2805),(3.5527136788e-15 3035),(1.7763568394e-14 3229),(1.42108547152e-14 3418),,,
Point0,H5,(4.22949633953 173),(6.81467141384 328),,(6.90244726517 717),(5.98384478243 908),(5.63564441267 1098),,,(3.48135126094 1695),(4.05364768908 1885),(3.48260793983 2079),(4.07226871987 2269),(43.5586198061 2495),(5.80058105387 2637),(5.70762085178 2814),(49.916053265 3069),(43.9511098151 3263),(45.234839883 3452),,,
Point0,H6,(-0.00148506257034 1),(0.0 189),(1.42108547152e-14 353),(7.1054273576e-15 549),(1.06581410364e-14 736),(5.68434188608e-14 926),(7.1054273576e-15 1121),(-7.1054273576e-15 1318),(1.42108547152e-14 1516),(4.26325641456e-14 1709),(0.0 1902),(2.48689957516e-14 2093),(2.13162820728e-14 2285),(-0.000836901939927 2459),(7.1054273576e-15 2656),(3.19744231092e-14 2831),(3.5527136788e-15 3035),(1.7763568394e-14 3229),(1.42108547152e-14 3418),(2.13162820728e-14 3604),
Point1,H1,(19.8639922264 65),(25.3833726558 240),(30.2009578475 396),(34.9478904683 586),(42.2282776122 778),(40.4909681555 972),(45.5791646463 1163),(36.7345605221 1351),(18.0822873048 1544),(26.620422398 1738),(28.9369853186 1950),(33.2873279359 2142),(36.6492218195 2315),(35.9079583723 2511),(42.3120900744 2699),(39.6985769932 2878),(45.8681473632 3086),(41.3927215499 3279),(43.5774612107 3471),(46.8281714961 3642),
Point1,H2,,,,,,,,,(3.85824034738 1659),(25.0292862681 1751),(3.11113551014 2070),,(35.6525895499 2325),,,,,,,
Point1,H3,,,,,,,,,(3.8807011675 1664),(25.3607992684 1759),(3.20408471484 2076),,(36.5224398197 2335),,,,,,,
Point1,H4,(-1.59872115546e-14 188),,,,(5.32515234108 903),,,(6.01098106511 1462),(2.60138062798 1683),(3.63944568934 1876),(-2.48689957516e-14 2092),,(-2.13162820728e-14 2459),(4.98715933855 2627),(6.61397605277 2805),(2.84217094304e-14 3033),(-0.010478726857 3229),(1.06581410364e-14 3417),,
Point1,H5,(24.9907250104 220),,,,(5.33312468281 906),,,(7.16387649751 1476),(2.96910099348 1693),(3.82326291048 1884),(32.733205643 2126),,(35.1071773488 2491),(5.41980156584 2636),(6.69855399035 2810),(45.1843068505 3068),(40.5776241726 3260),(42.7129510778 3451),,
Point1,H6,(-1.59872115546e-14 188),(-1.06581410364e-14 351),(3.5527136788e-15 548),(1.06581410364e-14 735),(-1.42108547152e-14 925),(0.0 1120),(-0.0128799135532 1317),(5.3290705182e-15 1518),(-0.00859788573367 1708),(-0.0270263802894 1901),(-2.48689957516e-14 2092),(-3.19744231092e-14 2284),(-2.13162820728e-14 2459),(-1.06581410364e-14 2655),(1.7763568394e-14 2830),(2.84217094304e-14 3033),(-0.010478726857 3229),(1.06581410364e-14 3417),(1.06581410364e-14 3603),
