Cycle,0.736052631579
Average Width,6.32522809138
Width,,5.9245359098,5.6985962958,5.06093789625,5.10240328948,5.0235537386,6.48959539038,5.41958251459,4.99977250198,6.14644520124,7.20225141815,4.43998351053,7.5344010134,6.35335691239,8.89085012411,3.59796388086,5.72294761417,0.0,0.0,7.61074981239,12.6361786207
Point0,H1,(6.69878647366 49),(6.78005413413 184),(7.01316858264 347),(7.46439782883 502),(6.35453650928 649),(7.93337241804 813),(6.31300623745 957),(6.76511427315 1113),(6.66611541109 1274),(6.88874603428 1430),(6.31309564635 1597),(7.47597072394 1739),(6.93741184916 1899),(7.02244133684 2063),(6.56817475208 2225),(7.39805863158 2357),(8.70562500072 2524),(8.70456050468 2683),(7.83933101202 2845),(7.33630539797 2985),(8.24068439419 3148),(8.15186180959 3313),
Point0,H2,,(5.64104373644 201),,,(5.76261509497 661),,(6.20611517633 965),,,(1.98462793099 1497),(4.37080217958 1624),,,(0.766655900422 2148),,(2.86423142783 2407),,,,(6.53829925753 3000),,
Point0,H3,,(5.71203181512 209),,,(5.99938250613 672),,(6.27853769239 973),,,(2.01234586958 1502),(4.38906639272 1629),,,(1.06828676818 2159),,(2.87327371227 2411),,,,(6.58829168752 3007),,
Point0,H4,(1.65235980553 117),(2.89045425016 252),,(0.186448920639 597),(2.79301381313 735),(1.06462464738 904),,,,(-3.5527136788e-15 1529),(2.73099961077 1659),,,(9.32587340685e-15 2174),,(0.668419358301 2448),,(1.7763568394e-15 2798),(4.68341757962 2873),,,
Point0,H5,(1.74868266353 127),(3.53454554062 274),,(0.542098577354 609),(3.02234404218 746),(1.07415288316 908),,,,(6.22184506304 1580),(2.87133462239 1670),,,(6.19792383021 2201),,(1.41443150643 2464),,(7.75606961796 2828),(4.78267095591 2881),,,
Point0,H6,(7.1054273576e-15 154),(4.4408920985e-15 309),(-8.881784197e-16 464),(-8.881784197e-16 621),(4.4408920985e-15 771),(6.66133814775e-15 926),(1.33226762955e-15 1082),(6.2172489379e-15 1233),(-4.4408920985e-16 1390),(-3.5527136788e-15 1529),(2.6645352591e-15 1698),(3.5527136788e-15 1854),(1.02140518266e-14 2015),(9.32587340685e-15 2174),(4.4408920985e-15 2302),(-8.881784197e-16 2480),(-0.00129100633946 2635),(1.7763568394e-15 2798),(0.0 2955),(8.881784197e-16 3105),(1.7763568394e-15 3262),
Point1,H1,(8.9738493495 109),(9.29696875485 230),(10.9923989732 417),(10.694576973 573),(9.50161455893 723),(10.4200738202 881),(9.3587090718 1038),(9.28099387848 1192),(8.76305324485 1344),(8.40131028547 1502),(9.4508442874 1647),(8.52131619776 1810),(8.96789382141 1968),(7.7868341429 2127),(12.3775728968 2281),(8.61782340428 2434),(8.11584802991 2594),(8.87287408645 2752),(9.41593614816 2907),(7.97684173859 3025),
Point1,H2,(-0.0751898882865 141),(8.40627481799 251),,(1.7763568394e-15 606),,,(0.663230991817 1070),,(9.7699626167e-15 1393),(8.881784197e-15 1534),,(-0.00113834295838 1850),(-2.6645352591e-15 2012),(4.4408920985e-15 2156),,,,,,,
Point1,H3,(0.170349147953 150),(8.49165361663 261),,(0.16402545124 614),,,(0.736753348983 1075),,(3.61127234039 1420),(5.96221266073 1578),,(5.23925297594 1901),(5.91273037371 2048),(4.93582345858 2202),,,,,,,
Point1,H4,(-1.7763568394e-15 159),(-6.2172489379e-15 297),,(0.0228881132341 622),,,,(-1.7763568394e-15 1229),(3.53010183442 1428),(5.88472815647 1585),(2.6645352591e-15 1692),(5.23524886615 1903),(5.90808694836 2051),(4.87576928375 2208),(-0.00701441303567 2322),(-3.10862446895e-15 2477),(2.6645352591e-15 2635),(8.881784197e-16 2798),(5.3290705182e-15 2942),,
Point1,H5,(3.52164432325 186),(6.290859145 348),,(8.58160496464 692),,,,(4.85289043533 1271),(7.73035520726 1484),(7.72751298994 1609),(8.38352318779 1775),(7.38764301094 1938),(7.41776614233 2085),(7.01665497153 2238),(5.4365024851 2389),(6.62815896047 2568),(7.93591079918 2729),(7.42155278785 2863),(5.37719904193 2987),,
Point1,H6,(-0.0751898882865 141),(-6.2172489379e-15 297),(0.0 460),(1.7763568394e-15 606),(-7.1054273576e-15 762),(-1.24344978758e-14 928),(-3.5527136788e-15 1089),(-1.7763568394e-15 1229),(9.7699626167e-15 1393),(8.881784197e-15 1534),(2.6645352591e-15 1692),(-0.00113834295838 1850),(-2.6645352591e-15 2012),(4.4408920985e-15 2156),(-0.00701441303567 2322),(-3.10862446895e-15 2477),(2.6645352591e-15 2635),(8.881784197e-16 2798),(5.3290705182e-15 2942),(-1.7763568394e-15 3100),
Point2,H1,(9.12467043147 109),(9.43258154345 262),(11.3373803469 417),(10.5319493617 573),(9.51081729239 723),(10.8313307104 881),(9.70962602988 1039),(8.77332683766 1173),(8.93368001428 1345),(8.57707954139 1501),(8.68055412078 1644),(8.35456414066 1809),(9.15493694537 1970),(7.75464357911 2128),(10.3928625872 2280),(7.73100123014 2434),(7.92453630184 2594),(9.049498423 2750),(9.64992297935 2907),(8.20619373704 3027),
Point2,H2,,,,(-1.06581410364e-14 605),,,(0.535374100239 1070),(-0.000238268862892 1233),,,,,,,(0.272505125384 2320),,,,,,
Point2,H3,,,,(0.314275628142 614),,,(0.658871318351 1076),(4.28352476772 1270),,,,,,,(0.279596485724 2323),,,,,,
Point2,H4,,(-7.9936057773e-15 298),,(0.010422228583 624),(-1.7763568394e-15 761),,(-2.6645352591e-15 1089),(3.961840984 1282),(1.7763568394e-15 1392),(1.7763568394e-15 1535),(-0.000990683370063 1691),(5.3290705182e-15 1853),(9.7699626167e-15 2013),(7.9936057773e-15 2157),(-2.6645352591e-15 2335),(-9.32587340685e-15 2479),,,(2.6645352591e-15 2942),,
