Cycle,0.784545454545
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(9.12316843145 33),(8.00420211696 188),(8.07927819823 340),(9.0411964853 499),(8.21848132144 664),(7.13090176837 839),(8.03893702456 994),(6.65542314486 1153),(6.08259153217 1331),(5.25473208594 1483),(4.24412290474 1663),(5.46512700907 1811),(5.55331368005 1970),(7.02926998661 2126),(7.15178380218 2289),(8.50844508663 2453),(8.53625635125 2602),(8.14441854421 2772),(8.87851724074 2934),(9.6435225075 3106),(8.29479535273 3284),(8.83409767337 3456),(5.63712825119 3640),
Point0,H2,(4.1678646954 64),,(7.95305760423 349),,,,,(4.46802433871 1179),(4.81641299622 1357),(0.953424696487 1565),,(3.50596056367 1836),,,(0.0663272583138 2380),,,,,,(0.611162763817 3360),,
Point0,H3,(4.52069677744 75),,(7.95991307324 352),,,,,(5.78803420339 1202),(4.8878923231 1365),(1.23700167871 1579),,(3.850760114 1849),,,(0.188035547466 2390),,,,,,(0.696229720298 3371),,
Point0,H4,(1.80017602322 123),,(2.13314038609 414),,(2.03903981581 763),,(0.754593979333 1094),(1.96559984614 1245),(1.77827857954 1415),(0.95065274876 1594),,(0.77737229964 1900),,(1.16462674149 2221),(-0.00313514769994 2400),,(1.49729881162 2696),(3.10159568926 2828),,(1.59730525318 3187),(0.579795969078 3386),,
Point0,H5,(1.81032491709 127),,(2.33548708524 425),,(2.15119460774 771),,(0.964837663479 1107),(2.02382258625 1256),(2.20725280774 1429),(1.00224455007 1602),,(0.843240213156 1908),,(1.20842877948 2227),(8.49879357451 2437),,(1.54333428496 2704),(3.28666327311 2838),,(1.6111471108 3192),(0.587444578305 3391),,
Point0,H6,(-0.00595590405227 151),(4.4408920985e-15 307),(9.7699626167e-15 464),(5.3290705182e-15 628),(-0.00237317565971 792),(-1.33226762955e-15 958),(-3.5527136788e-15 1124),(3.10862446895e-15 1286),(5.3290705182e-15 1451),(1.02140518266e-14 1622),(8.881784197e-15 1776),(5.3290705182e-15 1931),(3.5527136788e-15 2076),(2.22044604925e-15 2247),(-0.00313514769994 2400),(-2.6645352591e-15 2562),(-4.88498130835e-15 2725),(-0.00495284558212 2886),(0.0 3070),(-1.33226762955e-15 3244),(5.3290705182e-15 3415),(-0.243319527538 3604),
