Cycle,0.891545454545
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point2,H3,(3.01190876405 185),(11.8974066134 408),,(13.4736586528 776),(15.6418483746 972),(1.34347151712 1115),,,(23.3960025321 1753),,,,,(3.54895716477 2601),,,,(15.7698584023 3384),,(14.3882979485 3767),,(4.58581451626 4106),,
Point2,H4,(2.76470919643 191),(11.5556654218 417),(-0.0150586644048 542),(11.8849382321 788),(15.573412489 978),,,(-0.00278177066089 1481),(23.3076838233 1759),(-2.84217094304e-14 1851),(-3.73034936274e-14 2043),(-3.90798504668e-14 2216),(-4.26325641456e-14 2407),(3.31607002963 2607),,(-3.5527136788e-15 2971),(8.881784197e-15 3148),(14.7226940697 3395),(-0.00583540324394 3529),(13.0350830215 3783),(1.42108547152e-14 3904),,,
Point2,H5,(27.3838716701 280),(20.1688560007 485),(19.0059237948 661),(25.5101079955 850),(24.8980389513 1044),,,(11.4922985878 1524),(27.511364748 1783),(14.779089273 1900),(20.9372974426 2151),(29.7537522088 2341),(19.7027062612 2500),(28.6300081377 2712),,(11.0050206955 3018),(12.2195658356 3194),(27.358179292 3458),(23.024621576 3620),(22.4072282646 3846),(24.5436636571 4020),,,
Point2,H6,(-7.1054273576e-15 170),(-1.42108547152e-14 363),(-0.0150586644048 542),(-2.48689957516e-14 730),(-0.00376206323917 921),(-3.37507799486e-14 1101),(-3.90798504668e-14 1292),(-0.00278177066089 1481),(-0.0255117726199 1660),(-2.84217094304e-14 1851),(-3.73034936274e-14 2043),(-3.90798504668e-14 2216),(-4.26325641456e-14 2407),(-2.13162820728e-14 2586),(-3.5527136788e-15 2776),(-3.5527136788e-15 2971),(8.881784197e-15 3148),(-0.00719987142069 3337),(-0.00583540324394 3529),(-1.59872115546e-14 3722),(1.42108547152e-14 3904),(1.7763568394e-15 4089),(1.7763568394e-14 4281),
Point3,H1,(13.5513802522 136),(16.6894802165 315),(11.965078263 507),(13.0570306662 692),(14.8840433683 879),(13.9922064065 1069),(17.1377443119 1238),(12.2624494738 1437),(14.0519978548 1628),(16.8347116447 1808),(18.1536446565 1999),(12.0337219063 2167),(17.0264527542 2362),(14.2120502221 2555),(17.0226863707 2733),(17.0495091028 2924),(14.3673772939 3116),(16.5191489487 3301),(15.6054309457 3488),(16.920844394 3679),(14.6672978867 3870),(14.5066345538 4051),(16.364661305 4239),
Point3,H2,(-0.00630895580517 168),,(2.6645352591e-15 540),,,(-0.0371820687281 1100),,(-8.881784197e-16 1478),(-0.00607136667226 1659),,,,,(-8.881784197e-15 2584),(-1.06581410364e-14 2775),,,(-3.5527136788e-15 3336),,(-1.68753899743e-14 3720),,(-8.881784197e-15 4087),,
Point3,H3,(1.2862448963 182),,(5.9258987542 586),,,(0.217780354023 1108),,(6.14478641163 1521),(12.7517649929 1750),,,,,(1.88412108668 2599),(1.90434416382 2790),,,(8.1824102129 3381),,(7.32986857185 3764),,(2.28659912744 4105),,
Point3,H4,(1.02186515637 190),,(5.89205026365 592),,(8.881784197e-15 920),,(-1.42108547152e-14 1291),(5.27164130343 1536),(12.5889348817 1759),,,,(-0.00656783938277 2406),,(1.66507965908 2798),(-0.00849251972989 2969),(8.881784197e-16 3146),(7.01748549595 3394),(-0.00844263966292 3527),(6.63403358257 3778),(1.7763568394e-15 3904),(2.17197773615 4111),,
Point3,H5,(15.4415122647 279),,(10.610455173 660),,(13.0249175899 1043),,(7.34347471524 1337),(10.1242456571 1573),(14.6258806299 1782),,,,(10.6900384803 2500),,(7.42096136245 2822),(5.53977350282 3014),(5.39681127705 3190),(14.0033664989 3457),(12.3379250228 3616),(11.9195648595 3844),(11.8437813118 3993),(14.655503009 4216),,
Point3,H6,(-0.00630895580517 168),(1.42108547152e-14 360),(2.6645352591e-15 540),(-8.881784197e-15 728),(8.881784197e-15 920),(-0.0371820687281 1100),(-1.42108547152e-14 1291),(-8.881784197e-16 1478),(-0.00607136667226 1659),(5.3290705182e-15 1850),(-0.00471866921956 2039),(3.5527136788e-15 2215),(-0.00656783938277 2406),(-8.881784197e-15 2584),(-1.06581410364e-14 2775),(-0.00849251972989 2969),(8.881784197e-16 3146),(-3.5527136788e-15 3336),(-0.00844263966292 3527),(-1.68753899743e-14 3720),(1.7763568394e-15 3904),(-8.881784197e-15 4087),(-0.0160177074584 4278),
Point4,H1,(7.11263656713 132),(9.06565279456 316),(6.81295916644 505),(6.47839541303 693),(8.56212939018 878),(8.16364378853 1042),(9.55080916245 1236),(5.42490518279 1439),(7.07562012987 1629),(9.18320570078 1807),(8.78996668308 1999),(6.89446301313 2187),(8.3550558934 2361),(6.96867111106 2555),(9.02442906277 2727),(9.19987406426 2919),(7.23323151091 3117),(8.51929467509 3302),(7.61706650112 3487),(8.12826745193 3678),(8.21043430367 3870),(6.1380917597 4051),(7.42938856953 4239),
Point4,H2,(-0.202591358246 171),,,(-0.00542268664937 730),,(7.35469217383 1057),(-0.00543119641937 1298),,,(-0.00206645992236 1851),,,(-0.00640893945179 2403),(-1.7763568394e-15 2584),,,,(-9.7699626167e-15 3337),(-0.00252426990598 3526),,(0.0 3906),(-0.00210060925869 4089),,
Point4,H3,(0.0408151986422 182),,,(3.0005898744 774),,(8.13926895599 1070),(3.59246070599 1335),,,(3.4151205423 1894),,,(2.57970603666 2452),(0.837789607286 2598),,,,(4.04625149049 3380),(5.34953953213 3577),,(5.58294312785 3991),(0.469511712931 4102),,
Point4,H4,(-0.00570265322611 189),(-0.00164694533847 363),,(2.75920522483 785),,,(3.32127715697 1347),(-4.4408920985e-15 1479),(-7.1054273576e-15 1660),(3.22711191326 1904),(-0.00584486087101 2038),,(2.43970778799 2463),,(-3.5527136788e-15 2776),(-5.3290705182e-15 2967),,(2.97646879142 3397),(5.26030987128 3585),(-3.10862446895e-15 3722),(5.48369499642 4001),,,
Point4,H5,(7.99941870449 286),(5.71414331149 455),,(7.6964940636 852),,,(4.77058672274 1410),(1.56326857346 1513),(6.79392541407 1748),(6.15570026528 1947),(6.58692776688 2164),,(4.54083084017 2494),,(3.9085426118 2823),(4.56251680777 3059),,(7.28331926593 3461),(6.23039576018 3608),(3.31620281617 3780),(5.80611169912 4022),,,
Point4,H6,(-0.202591358246 171),(-0.00164694533847 363),(-0.00607378568762 543),(-0.00542268664937 730),(-1.42108547152e-14 924),(-7.1054273576e-15 1100),(-0.00543119641937 1298),(-4.4408920985e-15 1479),(-7.1054273576e-15 1660),(-0.00206645992236 1851),(-0.00584486087101 2038),(8.881784197e-16 2216),(-0.00640893945179 2403),(-1.7763568394e-15 2584),(-3.5527136788e-15 2776),(-5.3290705182e-15 2967),(-7.9936057773e-15 3165),(-9.7699626167e-15 3337),(-0.00252426990598 3526),(-3.10862446895e-15 3722),(0.0 3906),(-0.00210060925869 4089),(-0.0156016156293 4280),
