Cycle,0.864203431373
Average Width,4.2900526963
Width,,4.08839068548,4.46458903515,4.00934720409,3.86082324839,4.23777735319,3.91798460913,3.86028760922,3.83904147474,2.2629108819,4.09628128187,6.02284439275,4.77674569613,4.68331907733,3.78647045383,6.05886308234,5.05090750321,3.91431224827
Point0,H1,(18.3976779482 31),(26.1080848076 221),(23.9917783106 415),(25.1226014046 608),(26.915855813 795),(25.9123082096 990),(26.1214458421 1183),(24.0223284741 1358),(6.31512805644 1448),(27.8387340461 1549),(30.1194515212 1743),(27.1676232017 1934),(26.2219378735 2126),(25.2283508332 2318),(26.616305301 2513),(23.9529527402 2702),(22.4746559374 2895),(22.6104565625 3101),
Point0,H2,,,,,(1.14254041022 892),,(-0.020596970249 1281),(4.92173554001 1408),,,,,,(1.9169969087 2399),,,,
Point0,H3,,,,,(1.28215082661 901),,(0.0761895099826 1291),(4.94481521836 1412),,,,,,(1.91811348151 2400),,,,
Point0,H4,,(6.27166116648 309),(1.47271396408 532),(2.70627866811 726),(0.753002694701 916),(1.46461906939 1113),(0.0157153226791 1298),,,(-0.00435679972949 1660),,(0.211855948267 2050),(2.3350387919 2237),(0.0576214770842 2423),,(0.362550227996 2810),,
Point0,H5,,(6.33457876342 319),(2.79584711775 546),(2.99143290886 735),(1.1556435891 929),(1.60185909315 1121),(0.355370466036 1313),,,(2.39486129332 1686),,(0.72800610246 2066),(2.93647287691 2253),(1.5092245522 2440),,(0.912348631389 2826),,
Point0,H6,(-0.044655689443 1),(-0.0944771261568 168),(1.24344978758e-14 381),(5.3290705182e-15 563),(-1.59872115546e-14 753),(3.5527136788e-15 944),(-5.3290705182e-15 1140),(-0.0588518740968 1323),(1.7763568394e-15 1501),(-0.00435679972949 1660),(8.881784197e-15 1893),(-0.00137011653667 2083),(-5.3290705182e-15 2277),(-1.7763568394e-15 2461),(1.7763568394e-15 2655),(-1.15463194561e-14 2857),(-1.42108547152e-14 3058),
Point1,H1,(20.1241074578 33),(28.9362722446 223),(26.4102222433 416),(28.0246444083 608),(28.681720287 795),(28.7994099817 990),(30.5212148205 1183),(27.5047510442 1358),(31.4564985311 1549),(33.0891828665 1744),(29.8749519576 1934),(28.9790393383 2126),(27.0493330774 2319),(29.2292119916 2513),(26.2939819219 2703),(24.3763138083 2895),(24.4178477989 3101),
Point1,H2,(19.9699970038 39),,,,,,,(7.10406546009 1406),,,,,(2.07597255711 2400),,,,,
Point1,H3,(20.0510540074 45),,,,,,,(7.22038437313 1413),,,,,(2.07764364472 2402),,,,,
Point1,H4,(10.3055709176 74),,(2.03034194334 533),(2.3197440846 727),(0.697198312644 915),(1.76743513625 1116),(-0.00628266661133 1282),(6.51388283222 1430),(7.1054273576e-15 1661),,(0.570142511915 2049),(2.59244193843 2239),(0.768571247178 2424),,(0.900398728887 2810),(2.77544308586 3028),,
Point1,H5,(10.8944841374 85),,(2.64108954752 545),(2.34995055336 732),(1.18845154825 929),(1.76826576361 1117),(1.31109554985 1303),(6.98110458082 1445),(2.73992422839 1686),,(1.08728218531 2064),(3.05958664892 2253),(1.49302431793 2439),,(1.40338113098 2825),(3.02248929122 3038),,
Point1,H6,(-0.010260597882 1),(-0.00908210486772 183),(1.24344978758e-14 381),(1.59872115546e-14 562),(7.1054273576e-15 752),(1.42108547152e-14 944),(2.30926389122e-14 1140),(-0.00628266661133 1282),(-0.00812217975501 1501),(7.1054273576e-15 1661),(-0.00718777816823 1894),(-1.7763568394e-15 2082),(-5.3290705182e-15 2276),(1.7763568394e-15 2462),(-0.00457189474253 2659),(-1.7763568394e-15 2857),(1.7763568394e-15 3057),
Point2,H1,(11.9686266213 34),(19.9913512294 223),(15.3398266498 415),(15.4822133918 612),(17.2781389915 793),(16.2856416975 991),(18.2881967958 1188),(15.7528694886 1354),(7.44932777425 1453),(22.454897854 1550),(22.826338782 1744),(20.4383721147 1934),(17.6847399757 2126),(16.6089092219 2320),(20.0430027004 2513),(16.9092310765 2706),(13.1842227203 2914),(12.9095622074 3100),
Point2,H2,(9.1598695097 68),,(8.3093997168 458),,,,(11.0078695846 1226),,,,,,,(1.40538805924 2392),,,(7.25429607436 2939),,
Point2,H3,(9.8227536977 82),,(8.68198159212 470),,,,(11.1634962936 1233),,,,,,,(2.41106568741 2405),,,(7.63422837953 2948),,
Point2,H4,(0.122763285102 173),(4.95302244085 301),(1.19390864282 533),(0.174885303055 722),(-0.00153066276034 904),,(-0.01447239905 1282),,,(-3.5527136788e-15 1656),(2.81807719042 1860),(-0.00995222867987 2050),(1.14076725923 2234),(9.7699626167e-15 2425),,,(0.972166662968 3016),,
Point2,H5,(0.136382127347 177),(5.69468742199 321),(1.70213789929 546),(1.27028239765 738),(0.629992093149 924),,(1.89594543065 1309),,,(3.92436258393 1688),(2.89366685643 1867),(0.942941854155 2068),(2.42130713953 2257),(1.82430931797 2447),,,(2.20851544404 3039),,
Point2,H6,(-0.00706063240272 1),(-4.4408920985e-15 185),(3.5527136788e-15 381),(1.15463194561e-14 564),(2.13162820728e-14 753),(-0.00153066276034 904),(-0.00135026150201 1136),(-0.01447239905 1282),(6.2172489379e-15 1401),(-0.0439848934967 1488),(-3.5527136788e-15 1656),(-1.7763568394e-15 1893),(-0.00995222867987 2050),(8.881784197e-16 2279),(9.7699626167e-15 2425),(-0.00466941986388 2644),(7.1054273576e-15 2816),(8.881784197e-15 3058),
