Cycle,0.749380952381
Average Width,0
Width,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(11.7004554379 35),(12.337410667 193),(10.3973353344 350),(11.0292547255 504),(11.419376587 665),(12.1772202466 835),(11.9795659096 1000),(12.3368162777 1173),(10.8917953006 1341),(9.15709817469 1506),(11.1715650447 1668),(11.0991916278 1817),(11.3443302355 1985),(10.8664125071 2138),(11.9118826247 2296),(10.9300421902 2459),(12.4517451308 2629),(12.2947246161 2795),(10.9125011194 2958),(12.1930856076 3124),(12.601828092 3297),(11.5265128068 3472),(11.0517476758 3638),(12.6647924339 3799),(13.2926732316 3974),(12.0063791516 4146),(12.2963658982 4310),(12.1689403503 4481),(12.1148130796 4655),
Point0,H2,(4.13100070119 83),(5.3729808345 247),(3.13976623903 402),,(4.57045386815 713),(4.43227904259 887),(3.97119410349 1047),(4.5695227802 1221),,(3.12496191728 1540),(4.59957401373 1715),(4.66142852031 1862),(5.20636940297 2034),,(4.68822420355 2342),(5.04305570664 2509),(5.30082659738 2677),(5.44240030675 2841),(4.40655388705 2999),,,,,(8.78720355299 3820),(5.36411979265 4021),,(4.52276818553 4357),,
Point0,H3,(5.10121387071 99),(5.43963966608 255),(4.18248332724 418),,(5.20893903237 728),(5.15875716055 900),(4.58020970547 1063),(6.23711371722 1239),,(4.07186398099 1566),(4.87089107419 1728),(5.45591676045 1877),(5.77018183221 2048),,(5.48558118562 2358),(5.50555738065 2526),(6.42970607917 2692),(5.50937121325 2849),(4.88549895427 3018),,,,,(8.7923529349 3822),(6.43328246846 4036),,(5.58911976394 4373),,
Point0,H4,(2.95068708582 130),(2.54772613481 293),(1.83716780882 450),,(1.69351372529 770),(1.75922815145 947),(2.20636197905 1104),(3.0283564383 1284),(4.60785383928 1396),(0.569679089929 1602),(1.85555204598 1764),(1.40276019441 1924),(1.78087787331 2087),(3.65232910553 2184),(1.54940421645 2405),(1.98597115079 2558),(1.73496389447 2738),(2.49837969228 2898),(1.47498201156 3062),,(6.96073350369 3350),(5.52711045366 3517),,(5.4560363562 3846),(1.47087916224 4081),(3.8258167793 4195),(1.94650308116 4415),,
Point0,H5,(3.11465649366 139),(2.61174641389 300),(1.96242538283 460),,(2.39004086818 783),(2.00204388705 957),(2.23425332321 1109),(3.16514859273 1292),(4.80467395332 1408),(1.11085555062 1616),(2.36303858214 1775),(1.73714068569 1935),(1.79089123091 2091),(3.90886761986 2195),(1.68598360827 2413),(2.03818370646 2564),(2.24752084067 2750),(2.76844161598 2908),(1.48171006361 3065),,(7.47092317987 3364),(6.19564283817 3537),,(6.42918506069 3860),(2.44663722284 4095),(4.31534167122 4209),(2.80663709113 4430),,
Point0,H6,(-1.7763568394e-14 160),(-1.24344978758e-14 320),(-3.5527136788e-15 478),(-6.2172489379e-15 638),(-5.3290705182e-15 801),(4.4408920985e-15 974),(7.1054273576e-15 1140),(4.4408920985e-15 1312),(6.2172489379e-15 1471),(3.5527136788e-15 1632),(4.4408920985e-15 1791),(-1.7763568394e-15 1952),(-8.881784197e-16 2110),(-1.7763568394e-15 2267),(-5.3290705182e-15 2430),(-8.881784197e-15 2591),(-1.24344978758e-14 2767),(-7.1054273576e-15 2928),(0.0 3088),(-4.4408920985e-15 3263),(-0.000843292115358 3440),(-6.2172489379e-15 3606),(-7.9936057773e-15 3773),(-6.2172489379e-15 3932),(-3.5527136788e-15 4113),(-0.00395022432783 4280),(-0.00384855645603 4448),(2.6645352591e-15 4623),
Point1,H1,(7.8456075697 34),(8.94731853366 191),(6.97200999627 348),(8.14355139801 502),(7.96248201059 665),(9.03610517431 833),(9.11128496292 998),(8.82931311577 1172),(7.62275625383 1340),(6.42674726452 1505),(8.22875454675 1668),(8.02282785719 1816),(7.86854073353 1983),(7.50697607216 2137),(8.82370934356 2294),(7.65930128539 2457),(9.16779367372 2627),(8.5153504822 2795),(8.47063041881 2957),(9.0201350153 3121),(9.58544272744 3295),(8.31049996078 3469),(7.93800268326 3637),(8.95501569999 3797),(9.49953438834 3971),(8.70307563962 4144),(9.48996704574 4309),(9.04987307308 4480),(9.11747903161 4653),
Point1,H2,(2.91958424433 80),(4.05502396914 248),(2.16570748237 402),(3.52488808685 549),(3.61215529447 710),,,(5.51311279382 1194),,(2.49546506734 1533),(3.74270712573 1713),(3.44122886218 1860),,(2.7455559235 2182),(4.01044883212 2341),(3.6827697236 2507),(3.66661782474 2678),(3.82106945329 2839),,,,,(3.66815089388 3682),(6.06337174656 3817),,(2.6788312009 4196),(3.99440187262 4355),,
Point1,H3,(3.18641947522 94),(4.05568725155 250),(2.55484310351 417),(3.98819058779 563),(3.8803446007 722),,,(5.5577722285 1199),,(3.28990740254 1565),(4.12635332891 1733),(4.0286691162 1876),,(3.02353640122 2195),(4.24208210129 2355),(4.08602671106 2525),(3.9600637073 2690),(4.22993247642 2857),,,,,(4.37892498049 3697),(6.15109216343 3823),,(3.11270224724 4210),(4.92244193385 4370),,
Point1,H4,(1.34075718486 128),(2.05389194218 288),(1.18604461457 449),(1.36221919281 613),(0.922376752517 768),,(3.5380809217 1047),(3.9965393156 1220),(3.6813084385 1393),(0.696761030334 1601),(1.7843327859 1764),(0.877631604362 1921),,(1.12369719802 2241),(1.10694543888 2401),(1.30521848061 2560),(1.18893719837 2737),(2.39031921031 2894),(3.64964643353 3005),,(5.44133592813 3348),(4.12375326684 3518),(0.902152358735 3748),(4.06937247725 3843),,(0.266654104382 4259),(1.27426870151 4416),,
