Cycle,0.689641544118
Average Width,6.78649594486
Width,,0.0,0,8.017774323,7.67646756556,7.91708246998,7.26110358118,7.20585865423,7.32790624874,6.26710498012,6.39664449111,6.26302433326,7.04273070689,6.42895614184,7.08117023322,6.58233454731,6.58713551997,7.14840548193,7.45398268326,7.06933812318,7.33982327535,7.1551222722,7.13753338911,6.64306838265,7.18563678598,6.47646928249,6.77383295883,5.89764522596,6.04098527606,5.8925773673,6.0452286562,6.02330264102,5.90453085714,6.13859783544
Point0,H1,(21.2506638663 32),(19.2855075909 176),(15.778662134 322),(16.0549636385 463),(18.5859998807 593),(18.037631761 726),(17.4749553735 862),(18.0820333106 993),(14.6692909834 1127),(15.7430029872 1261),(16.5347752251 1399),(18.1807433173 1549),(16.2158145276 1696),(16.5846298878 1839),(16.1244837454 1984),(16.6409188755 2130),(17.5725118795 2286),(15.9992664216 2431),(19.5300678967 2575),(17.9349473562 2718),(16.8831826775 2860),(17.8232513549 2993),(16.183981722 3127),(15.4250229455 3260),(17.0848834612 3393),(14.5838724311 3533),(13.0897787613 3664),(15.3988491724 3807),(14.8412165154 3953),(15.7314040538 4113),(13.871377865 4266),(14.8395197794 4423),(15.6908991997 4578),(15.0386897025 4733),(14.0324517595 4882),
Point0,H2,,(5.16377941456 220),,(4.85696851673 492),,,,(5.70719422213 1040),,(6.94539501381 1292),(8.25857458437 1439),,,(7.73989297665 1867),(5.76545196311 2029),,(7.14044225553 2314),(6.59499770221 2455),(9.51587503199 2603),(8.10136898603 2748),(7.08614027872 2893),,,,,,(5.08142005759 3693),,(6.79350049081 4001),(6.61510761674 4160),(6.94927412163 4301),,(6.73790168221 4619),,,
Point0,H3,,(5.29774223558 228),,(5.62682698707 510),,,,(6.21216611692 1050),,(7.00743240096 1299),(8.34329841562 1446),,,(8.38142019194 1884),(6.05874358831 2039),,(7.16372594711 2317),(7.19511921428 2466),(9.51733196149 2604),(8.32623752558 2763),(7.29470249751 2903),,,,,,(5.97656175948 3714),,(7.0320908907 4010),(6.85104701297 4169),(7.89462542162 4316),,(7.85305930712 4634),,,
Point0,H4,(1.45277637288 129),(1.09286538958 271),(5.78621574571 364),(1.05221173792 548),(8.36840909537 621),(7.7043665156 764),,(2.73621637864 1073),(5.98323412299 1161),(2.14249635908 1345),(2.37745609128 1486),,(7.38037451381 1734),,(1.37930639864 2079),(7.07497674548 2174),(6.28920088996 2335),,(8.4428414675 2622),,,(6.84969433514 3035),(6.54315661715 3165),(5.65328340251 3290),(7.15210649049 3438),(5.30289342722 3563),(2.68465854426 3743),,(2.54597033877 4044),(2.52784765249 4208),(1.23658072367 4364),,(2.46851461382 4670),(1.65864810106 4831),,
Point0,H5,(1.51621669976 135),(1.41207166895 281),(5.98661368041 373),(1.05581528159 550),(9.7473751218 645),(8.32630584617 776),,(2.79631775613 1078),(8.20618468476 1179),(2.20449445783 1351),(2.99458154742 1497),,(7.68132476062 1748),,(1.38865575563 2083),(7.12472574868 2181),(6.33234831292 2340),,(8.66234395032 2631),,,(7.1938500003 3046),(7.42538535238 3178),(6.98092686106 3306),(7.20769921412 3444),(6.62977944342 3580),(2.7133778844 3748),,(2.75169487783 4054),(2.60548822662 4214),(2.53910534899 4378),,(2.67281420761 4679),(1.9640174329 4841),,
Point0,H6,(-0.0217396034339 1),(2.6645352591e-15 149),(1.15463194561e-14 294),(-0.000383950231584 433),(-0.00795326586114 564),(-8.881784197e-15 697),(-4.4408920985e-15 828),(0.0 966),(-7.9936057773e-15 1097),(1.7763568394e-15 1227),(-1.06581410364e-14 1368),(0.0 1515),(-8.881784197e-16 1660),(-0.00208429865494 1802),(-0.00121876019131 1950),(-1.06581410364e-14 2101),(-0.00474013557763 2249),(3.5527136788e-15 2400),(-0.0102367018722 2541),(-8.881784197e-15 2684),(-4.4408920985e-15 2826),(3.5527136788e-15 2964),(9.7699626167e-15 3097),(1.33226762955e-14 3227),(9.7699626167e-15 3363),(6.2172489379e-15 3497),(4.4408920985e-15 3630),(1.06581410364e-14 3771),(1.06581410364e-14 3925),(8.881784197e-16 4083),(1.7763568394e-15 4234),(5.3290705182e-15 4394),(2.6645352591e-15 4550),(-0.00249434215008 4699),(3.5527136788e-15 4856),
Point1,H1,(28.5698722496 33),(27.1089234642 177),(28.0385471743 322),(27.7706513924 464),(31.4559407268 594),(32.4443686333 726),(32.3348444354 862),(33.156156321 994),(30.3553139475 1127),(32.3529636187 1261),(33.2971853951 1400),(33.2680594554 1550),(32.083910264 1696),(32.0961506566 1839),(32.6696686391 1984),(33.4870289314 2131),(32.7814073828 2288),(30.0640693829 2432),(34.400756215 2576),(32.7455490444 2719),(31.9230513552 2860),(32.3981576126 2994),(30.74117157 3128),(29.8008292035 3261),(33.2812013106 3394),(29.1964477153 3534),(30.7542936522 3664),(33.6598559596 3807),(34.1795169256 3954),(34.6849402415 4114),(30.9508863353 4266),(33.892559654 4423),(33.8167529518 4578),(33.6342832722 4734),(32.6260953296 4883),
Point1,H2,,(9.99142926725 219),,,(12.9797321904 624),,,(12.614662513 1039),,(14.4496521334 1293),(16.2654338945 1442),,,,(13.167592045 2032),,,,(16.1033905595 2605),(14.6047433988 2748),,,,,,,(12.9772334153 3693),,,(14.4403832034 4162),(15.4450622699 4301),(15.4627376023 4463),(13.9413606444 4620),,,
Point1,H3,,(10.6072861101 230),,,(15.4415630316 648),,,(13.766537942 1050),,(14.9333413997 1304),(16.3724704716 1448),,,,(13.180668939 2035),,,,(16.1063988979 2606),(15.4226390569 2763),,,,,,,(14.1229583193 3713),,,(14.5433937446 4168),(16.616603934 4316),(16.1927636208 4474),(15.4607465716 4633),,,
Point1,H4,,(2.21974318809 271),(8.78774674463 364),(8.35185862388 492),(5.72188981959 673),(13.4436837809 766),,(5.69493790559 1075),(11.90445653 1162),(4.46970463432 1345),(5.42063524773 1487),,(12.8379949002 1740),(14.6920474335 1868),(2.91247342377 2081),(13.7898753353 2174),(12.5125258893 2334),(10.8992550017 2457),(14.5547482451 2625),,(13.2983155032 2893),(12.9036376378 3038),(12.5659970621 3165),(9.82702971091 3291),(12.9607018895 3438),(10.6252156225 3564),(5.44798087852 3744),,(14.1087493381 4002),(4.38821905781 4206),(3.72383563108 4366),(7.1190018641 4508),(4.15274779586 4670),(16.2189465904 4775),,
Point1,H5,,(2.65892390441 281),(9.49702218502 375),(11.2200069494 511),(6.39562934841 681),(14.8991525592 779),,(5.79947419427 1080),(15.0853240285 1179),(4.75110223436 1353),(6.10240626427 1497),,(13.240294644 1750),(15.7409384321 1885),(2.9697625729 2087),(14.9995502852 2186),(12.5592506534 2339),(13.9891003623 2479),(14.6158033235 2630),,(14.5478468949 2906),(13.8149891025 3049),(14.727003013 3179),(12.7533367754 3308),(13.7234515374 3449),(13.496549003 3581),(5.81841571597 3752),,(14.535462771 4011),(5.77597227846 4218),(5.10539138585 4378),(7.55270771302 4518),(4.99705088763 4681),(16.2281784537 4779),,
Point1,H6,(-0.044796180607 1),(8.881784197e-15 149),(-8.881784197e-15 295),(-1.06581410364e-14 433),(-0.0110824491272 564),(5.3290705182e-15 698),(-3.5527136788e-15 828),(2.13162820728e-14 966),(4.97379915032e-14 1098),(5.3290705182e-14 1227),(-0.00861000052279 1369),(2.13162820728e-14 1516),(3.19744231092e-14 1661),(2.30926389122e-14 1804),(0.0 1949),(0.0 2103),(1.24344978758e-14 2252),(7.1054273576e-15 2400),(-3.5527136788e-15 2541),(1.59872115546e-14 2684),(1.06581410364e-14 2827),(-8.881784197e-15 2965),(3.5527136788e-14 3098),(5.3290705182e-15 3228),(-1.24344978758e-14 3364),(-2.30926389122e-14 3499),(-7.1054273576e-15 3629),(-1.95399252334e-14 3772),(7.1054273576e-15 3925),(-3.5527136788e-15 4084),(-2.13162820728e-14 4235),(-7.1054273576e-15 4394),(-8.881784197e-15 4550),(7.1054273576e-15 4699),(1.24344978758e-14 4856),
Point2,H1,(13.0424008301 32),(8.95422554141 177),(14.2209597691 321),(14.708908535 463),(16.7023434242 593),(18.5213920875 726),(18.3888317565 862),(17.4149280727 994),(19.9818354251 1126),(20.7507494557 1260),(21.7449752243 1401),(19.4728393234 1550),(19.5628131144 1695),(17.9203113006 1838),(18.8420193086 1984),(19.8119632794 2131),(18.5570019761 2287),(16.2777992686 2431),(18.7520302501 2576),(17.5970857348 2717),(17.625713846 2861),(18.3386423544 2993),(17.3148613773 3127),(16.8509032485 3260),(19.5208335341 3393),(17.6560305647 3533),(20.8360987246 3663),(22.4425078283 3806),(23.7265725487 3953),(21.9989095541 4113),(20.7683980466 4265),(22.1137988657 4423),(21.1089316558 4577),(22.1338875596 4733),(22.2201317141 4883),
Point2,H2,,(3.16822821721 208),(2.76272166324 363),,,,(8.16718864076 893),(7.39297387763 1037),,(9.7820807303 1292),,,,(9.52809458014 1868),,,,,,(7.71935638477 2746),(6.69915848275 2894),,,(5.03919702848 3290),,,(8.05915173299 3694),,,(8.4159210523 4160),(10.19699295 4301),,(8.3310547268 4618),,,
Point2,H3,,(4.51413454349 231),(3.88485400098 379),,,,(8.29297090399 902),(8.33052518414 1050),,(10.1293045414 1303),,,,(9.5372723757 1871),,,,,,(7.89292123328 2755),(6.84190650652 2903),,,(6.00774539433 3305),,,(8.4981722073 3712),,,(9.06368718454 4171),(10.9115145491 4316),,(10.1178631753 4634),,,
Point2,H4,(0.765386297169 126),(0.691550697016 272),(-0.00840018311606 420),(4.53142860052 491),(7.67254862155 621),(7.41570958163 765),,(3.81906056073 1072),(6.88493253763 1160),(4.2820305648 1344),(2.99206835693 1488),,(6.65422819519 1737),,(7.72757729414 2031),(8.86033586658 2174),,(6.44049990518 2457),,(7.78157239753 2765),,(6.84780828755 3036),(6.60543740135 3163),,(8.29831730313 3436),(6.22475911174 3564),(3.7815234474 3745),,(9.80352158833 3999),(3.56936875943 4205),(3.0508671702 4363),,(3.64056373622 4667),(11.015198978 4770),,
Point2,H5,(0.81012446613 134),(0.788407206783 280),(0.0470597074058 426),(5.96657819519 514),(8.90598320283 647),(8.12733636418 778),,(4.09029586154 1079),(8.92727960807 1178),(4.30470233852 1348),(3.29092414609 1496),,(7.14312641034 1750),,(7.73365981967 2034),(9.47599074122 2186),,(8.5071753156 2480),,(7.86940708228 2773),,(8.46181037202 3051),(7.86702279171 3179),,(9.18648292978 3449),(7.44519556926 3585),(3.78438043876 3747),,(10.120686988 4009),(4.03585574484 4216),(3.72182688965 4375),,(4.03295194163 4678),(11.2673079974 4780),,
Point2,H6,(-0.0480481383206 2),(-0.000913181777247 150),(-1.42108547152e-14 293),(-0.00840018311606 420),(-1.33226762955e-14 563),(-1.42108547152e-14 697),(-2.57571741713e-14 826),(-6.2172489379e-15 967),(-7.1054273576e-15 1097),(2.48689957516e-14 1226),(5.3290705182e-15 1369),(1.24344978758e-14 1515),(-1.7763568394e-15 1661),(-0.00710589192796 1802),(-0.00159583663308 1950),(2.6645352591e-14 2102),(-4.4408920985e-15 2253),(4.4408920985e-15 2396),(3.5527136788e-15 2541),(-1.86517468137e-14 2683),(-0.00569575768584 2827),(6.2172489379e-15 2964),(1.42108547152e-14 3097),(-9.7699626167e-15 3224),(-1.59872115546e-14 3364),(0.0 3499),(-1.7763568394e-15 3627),(7.1054273576e-15 3770),(1.24344978758e-14 3925),(1.06581410364e-14 4083),(2.30926389122e-14 4234),(8.881784197e-15 4393),(8.881784197e-16 4550),(0.0 4698),(-0.0157931177367 4855),
Point3,H1,(12.7338025227 102),(9.04342996417 263),(6.91563808519 407),(6.93090265623 531),(6.35379349005 637),(7.35748702973 797),(9.90690315736 933),(6.84837415142 1066),(7.34629814985 1197),(8.3736289792 1309),(7.59338507973 1479),(6.41174016168 1634),(5.97105298207 1772),(9.51568365873 1913),(8.66395981384 2047),(7.33328437255 2213),(6.34392185935 2372),(6.6006525013 2511),(7.77626943798 2640),(7.59984280163 2792),(7.43186785584 2932),(7.47761715097 3067),(5.37198924484 3190),(6.75107505863 3331),(7.37934377573 3465),(6.46661779913 3585),(7.51753764367 3736),(7.61383326041 3892),(7.75135915142 4053),(7.89673064237 4198),(6.99615802204 4360),(7.48309296212 4520),(8.35553145948 4638),
Point3,H2,,(-0.00440291502147 293),,,,,(3.5527136788e-15 964),(-0.0119342135198 1095),,(7.61399411986 1325),(7.1054273576e-15 1517),(1.1990408666e-14 1665),(3.5527136788e-15 1805),,(7.94404891792 2061),,(6.66133814775e-15 2401),,,,(-8.881784197e-16 2962),,(1.11022302463e-14 3229),,,,,,,(0.0 4231),(7.1054273576e-15 4390),,,
Point3,H3,,(2.80561310263 319),,,,,(5.55915755874 1008),(4.15348524857 1131),,(7.89140819778 1335),(4.15469523471 1548),(2.32134008942 1685),(6.51862656707 1837),,(8.33800810939 2071),,(4.25846655384 2427),,,,(4.79133341174 3008),,(4.35396451287 3254),,,,,,,(4.44343084264 4267),(4.33669666161 4427),,,
Point3,H4,,(2.2631144635 337),,(-3.10862446895e-15 562),,,(5.24339590302 1020),(3.41632695941 1146),,(9.7699626167e-15 1368),(3.81253753853 1563),(1.9689231535 1698),(6.34310013474 1848),(6.2172489379e-15 1951),(1.42108547152e-14 2099),(4.4408920985e-15 2255),(3.49044130752 2445),(7.9936057773e-15 2543),(-3.5527136788e-15 2687),(8.881784197e-15 2829),(4.64941389953 3017),(7.1054273576e-15 3095),(3.31011528896 3273),(1.33226762955e-15 3361),(-8.881784197e-16 3501),(-5.3290705182e-15 3632),,,(5.3290705182e-15 4082),(3.33883349442 4286),(3.51924381033 4443),,,
Point3,H5,,(6.08680109399 385),,(4.72838198036 598),,,(6.44113494996 1038),(6.02295769441 1169),,(4.55871371912 1401),(5.23640705996 1590),(5.27377846229 1746),(9.02405196829 1883),(4.84654723363 1981),(5.50120619666 2136),(3.40566762165 2280),(5.96268822433 2475),(6.72905564736 2588),(3.3490320139 2712),(4.41818514512 2865),(7.19472596083 3039),(4.02771536433 3126),(6.64271456595 3318),(5.92607743722 3406),(4.14539437861 3530),(5.10407064725 3664),,,(4.39685183493 4124),(6.3358183786 4339),(6.48556547971 4469),,,
Point3,H6,(-0.0181471305892 152),(-0.00440291502147 293),(0.0 434),(-3.10862446895e-15 562),(-0.00103383282888 694),(1.46549439251e-14 830),(3.5527136788e-15 964),(-0.0119342135198 1095),(-0.00576572584709 1228),(9.7699626167e-15 1368),(7.1054273576e-15 1517),(1.1990408666e-14 1665),(3.5527136788e-15 1805),(6.2172489379e-15 1951),(1.42108547152e-14 2099),(4.4408920985e-15 2255),(6.66133814775e-15 2401),(7.9936057773e-15 2543),(-3.5527136788e-15 2687),(8.881784197e-15 2829),(-8.881784197e-16 2962),(7.1054273576e-15 3095),(1.11022302463e-14 3229),(1.33226762955e-15 3361),(-8.881784197e-16 3501),(-5.3290705182e-15 3632),(-6.2172489379e-15 3774),(-7.9936057773e-15 3922),(5.3290705182e-15 4082),(0.0 4231),(7.1054273576e-15 4390),(2.6645352591e-15 4546),(-0.00756538851588 4701),
Point4,H1,(13.6623314121 88),(5.82118379692 260),(7.26945133048 406),(6.47846302057 534),(6.76601787242 668),(8.01548919251 797),(9.55017443248 933),(7.16321315617 1068),(8.44375163963 1196),(9.38362215152 1337),(8.35390189236 1481),(7.68215902979 1632),(6.90759027501 1772),(9.52061894657 1915),(8.50542422507 2070),(8.3701581537 2221),(7.86278336812 2370),(8.03585322369 2510),(6.37820592815 2656),(7.79025200846 2796),(8.15902645443 2933),(7.7077174685 3066),(5.39463947261 3195),(8.42051827936 3334),(6.92946174133 3465),(8.35529699537 3592),(8.90719287697 3738),(8.97669776687 3892),(9.71960805207 4053),(8.59065716862 4201),(8.60009091626 4359),(8.43801715337 4520),(8.54074508085 4666),
Point4,H2,(12.856774605 110),(8.43769498715e-15 290),(2.6645352591e-15 433),(3.10862446895e-15 562),(2.6645352591e-15 693),,(-2.04281036531e-14 966),,(-1.24344978758e-14 1229),,(7.9936057773e-15 1518),,,(-2.6645352591e-15 1952),,,,,,,(-2.6645352591e-15 2962),,,,,,,(3.5527136788e-15 3922),(6.2172489379e-15 4083),,(-8.881784197e-15 4391),(-7.1054273576e-15 4547),,
Point4,H3,(12.8703753896 114),(4.16647451551 321),(3.15915831432 456),(3.61415151479 586),(5.07374794984 733),,(4.64603596538 1007),,(4.41796036847 1258),,(4.23075322955 1549),,,(3.49157729408 1979),,,,,,,(4.78693496607 3004),,,,,,,(5.62983763918 3969),(4.44622237126 4125),,(3.74328574389 4428),(5.19525721193 4590),,
Point4,H4,(-0.0922338083537 172),(3.73067165577 338),,(2.21677529277 615),(4.65313710368 746),(5.55111512313e-15 831),(4.33259573521 1018),(-0.0107337818796 1094),(4.38050751619 1263),(6.2172489379e-15 1370),(4.22959736915 1551),(7.1054273576e-15 1666),(1.50990331349e-14 1805),(3.41234419832 1987),(-1.33226762955e-14 2099),(3.5527136788e-15 2256),(9.7699626167e-15 2400),,(4.4408920985e-15 2688),(2.6645352591e-15 2830),(3.94732828397 3019),(-4.4408920985e-15 3095),(-2.6645352591e-15 3228),(-5.3290705182e-15 3361),(-7.1054273576e-15 3502),(0.0 3632),,(5.42100400876 3979),(4.38438327958 4133),(-1.7763568394e-15 4232),(3.11574697969 4443),(4.72449052492 4602),,
Point4,H5,(0.352618767679 189),(7.02548096298 388),,(4.36576658439 639),(6.69397173956 772),(3.69902526039 859),(6.24473335574 1038),(5.45129074546 1133),(8.66390969216 1313),(4.71937056861 1402),(4.39248867713 1565),(4.08519806806 1708),(5.71302015787 1838),(8.14605691089 2050),(5.39873412557 2140),(3.69043681208 2297),(4.74581949413 2427),,(3.1014263033 2713),(4.15871399671 2860),(6.8263363864 3041),(3.93943074343 3129),(5.03873747941 3259),(4.89075557314 3404),(4.79569104897 3547),(6.43381659795 3677),,(7.58084012695 4006),(7.60699368996 4175),(4.31773987785 4270),(6.86979167946 4472),(7.96716200029 4634),,
Point4,H6,(-0.0922338083537 172),(8.43769498715e-15 290),(2.6645352591e-15 433),(3.10862446895e-15 562),(2.6645352591e-15 693),(5.55111512313e-15 831),(-2.04281036531e-14 966),(-0.0107337818796 1094),(-1.24344978758e-14 1229),(6.2172489379e-15 1370),(7.9936057773e-15 1518),(7.1054273576e-15 1666),(1.50990331349e-14 1805),(-2.6645352591e-15 1952),(-1.33226762955e-14 2099),(3.5527136788e-15 2256),(9.7699626167e-15 2400),(-0.00239289535688 2544),(4.4408920985e-15 2688),(2.6645352591e-15 2830),(-2.6645352591e-15 2962),(-4.4408920985e-15 3095),(-2.6645352591e-15 3228),(-5.3290705182e-15 3361),(-7.1054273576e-15 3502),(0.0 3632),(-5.3290705182e-15 3775),(3.5527136788e-15 3922),(6.2172489379e-15 4083),(-1.7763568394e-15 4232),(-8.881784197e-15 4391),(-7.1054273576e-15 4547),(-0.00489361962911 4701),
