Cycle,0.728333333333
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(17.4326727319 30),(21.2478585406 185),(22.9066619715 350),(17.2200247908 510),(17.4344372998 653),(18.2760542923 815),(20.5299337797 957),(20.3621098503 1120),(20.1290132393 1261),(19.9514718925 1420),(18.7435483678 1565),(19.8184440425 1724),(20.4572664379 1869),(20.984671615 2029),(19.9084316747 2175),(20.3155996663 2333),(19.0098131515 2479),(20.5152695194 2637),(20.146646449 2781),(22.0431713381 2940),(19.0707280747 3098),(17.3468833815 3244),
Point0,H2,,,,(8.08414568491 543),,,,,,,,,(8.03502383492 1914),,(19.2869358402 2186),,(8.6390207518 2522),,(7.76628256703 2826),,,
Point0,H3,,,,(8.08462884466 544),,,,,,,,,(8.08823519243 1920),,(19.2974061243 2188),,(8.84459303087 2529),,(8.14290078141 2835),,,
Point0,H4,(0.984536496304 113),,,(3.86756702954 574),(1.91608962143 739),(9.02559632233 845),(2.24192182208 1047),(8.34552371384 1150),(7.94554835844 1308),,(2.78077976309 1654),,(2.07103089986 1954),(2.57891682728 2120),(8.71007992374 2221),(1.92022930228 2421),(3.99554167903 2562),,(3.0466259152 2867),(4.66322580787 3028),,
Point0,H5,(2.44658268068 132),,,(3.91861946257 579),(2.67175909297 753),(9.0566236049 849),(2.51639567705 1056),(8.48779783452 1156),(8.10120239854 1314),,(3.11462664229 1664),,(2.52297060027 1967),(2.69036023223 2127),(8.7494898714 2226),(2.23994364612 2431),(4.1993953677 2571),,(3.16912842027 2875),(5.03188595146 3038),,
Point0,H6,(-0.00760801895553 153),(7.1054273576e-15 306),(-8.881784197e-15 465),(-6.2172489379e-15 616),(1.06581410364e-14 769),(1.06581410364e-14 915),(1.7763568394e-15 1073),(-8.881784197e-15 1227),(-1.24344978758e-14 1378),(-1.42108547152e-14 1531),(-7.1054273576e-15 1682),(-3.5527136788e-15 1833),(-7.1054273576e-15 1986),(-3.5527136788e-15 2144),(-0.0019410755837 2293),(4.4408920985e-15 2448),(3.5527136788e-15 2594),(-3.5527136788e-15 2749),(-0.0115253654892 2899),(-0.00992503715315 3059),(-0.0246657242052 3210),
