Cycle,0.876876218324
Average Width,8.44882888715
Width,,12.2869816762,9.46709298612,10.254977022,8.95254896495,9.17613061149,8.68733541935,7.72480977998,7.3945932393,7.76728703375,8.49995932498,7.36804306303,8.58435601515,7.64088966137,7.53009139248,8.0236273948,8.4622148017,7.38985485214,7.68052107566,7.63643454133
Point0,H1,(9.71606565531 50),(7.08809651104 227),(7.8771862035 432),(7.61979086464 607),(9.35713580556 799),(8.62537335797 992),(6.21526694873 1185),(10.5640752657 1379),(9.11735206733 1549),(9.7056651855 1741),(8.54883408797 1933),(9.63579624211 2123),(9.68489406926 2323),(9.41383643156 2492),(9.43812012382 2690),(9.53514741952 2858),(8.19493235001 3060),(10.7987182114 3228),(8.46226447713 3412),
Point0,H2,,(1.13478559742 312),(4.04755572284 461),(3.97241077064 650),,(5.52206037072 1034),(-0.0057649111331 1269),,(1.33226762955e-15 1656),,(-3.5527136788e-15 1980),(5.33179825912 2171),,,(2.8955738772 2725),(0.589481994333 2974),(0.784829674114 3120),,,
Point0,H3,,(1.15354499424 319),(4.38919649779 473),(4.08773963677 658),,(5.65011552191 1043),(0.788825274552 1288),,(0.440384629 1673),,(1.92820621507 2019),(5.56015511075 2180),,,(2.89559617428 2726),(0.632989418346 2983),(0.802500868384 3125),,,
Point0,H4,,(5.3290705182e-15 342),(-0.00386605544991 524),(0.919413365835 686),(1.21941749613 887),,(0.585118490907 1298),(2.74145473709 1451),(0.258493556213 1685),,(-0.00700662317207 2049),(0.0780286380032 2247),(2.44652201363 2383),(-0.0045749736679 2588),(-0.0134780448576 2760),(-0.0108076146299 3005),(0.281825625563 3143),,,
Point0,H5,,(0.808980776624 358),(0.685109922172 547),(1.23702326079 699),(1.50327564969 901),,(2.10458647241 1316),(2.76067346805 1457),(0.699951086686 1699),,(2.03133219679 2071),(0.41458051747 2260),(2.57479507021 2394),(1.9213781945 2627),(2.69583969698 2800),(7.30459915461 3038),(0.708496377628 3158),,,
Point0,H6,(9.7699626167e-15 192),(5.3290705182e-15 342),(-0.00386605544991 524),(-3.5527136788e-15 736),(-0.00502625425661 949),(3.5527136788e-15 1141),(-0.0057649111331 1269),(1.06581410364e-14 1332),(8.881784197e-15 1519),(1.33226762955e-15 1656),(5.77315972805e-15 1712),(-4.4408920985e-15 1894),(-3.5527136788e-15 1980),(-0.00700662317207 2049),(-0.000388371873457 2271),(-0.00775246035306 2453),(-0.0045749736679 2588),(-0.0134780448576 2760),(6.2172489379e-15 2820),(-0.0108076146299 3005),(-0.000117833611474 3176),(3.5527136788e-15 3378),
Point1,H1,(6.43560141155 77),(4.08595843134 271),(4.51502959984 478),(4.87763284321 657),(6.87470482372 849),(5.28222772419 1037),(3.90841051244 1212),(6.207636187 1404),(6.32964036201 1595),(7.56274750962 1787),(6.72308161604 1980),(1.74128465666 2070),(6.67907173305 2170),(6.6176719513 2351),(7.43374592281 2539),(7.31030157435 2737),(7.43926379792 2895),(6.16671832288 3084),(7.57835339244 3276),(6.01617722859 3453),
Point1,H2,,(0.153743859632 364),(2.80817863447 509),(0.0484045136052 727),(0.396910490547 938),,,,(1.73516147201 1641),,,(3.77475828373e-15 2098),(3.79186992198 2217),(6.17787958249 2367),,(2.56156545498 2771),(4.05750940721 2946),,(1.34542157798 3318),,
Point1,H3,,(0.155975436519 368),(2.91926989758 519),(0.750936927956 751),(0.694641510228 956),,,,(2.16132924647 1653),,,(1.13951573298 2118),(4.03993873142 2228),(6.1779025526 2368),,(2.57213961007 2776),(4.06099759989 2949),,(2.34094119756 3335),,
Point1,H4,,(-0.00127912921653 386),(-2.22044604925e-16 579),(-1.7763568394e-15 772),(0.658758682521 965),,,,(-0.000574152019835 1680),(0.121651879225 1898),,,(0.00104339946699 2299),(2.42503151005 2433),,(-0.00903965566448 2809),(0.878714228501 3015),,(-0.00141814055461 3395),,
Point1,H5,,(0.607451565347 407),(0.426878617401 597),(1.17369324027 797),(0.71730092469 975),,,,(0.101747626309 1692),(0.58448729478 1922),,,(0.0357436454218 2307),(2.4434136887 2439),,(2.31752917957 2849),(1.33867751063 3028),,(0.67637695194 3412),,
Point1,H6,(4.4408920985e-16 240),(-0.00127912921653 386),(-2.22044604925e-16 579),(-1.7763568394e-15 772),(-0.00311887787944 995),(9.32587340685e-15 1188),(-0.00020604307363 1319),(7.1054273576e-15 1379),(2.6645352591e-15 1544),(-0.000574152019835 1680),(-1.33226762955e-15 1939),(-0.00237084263773 2030),(3.77475828373e-15 2098),(-0.00236157277264 2314),(-0.00964910677089 2500),(-5.10702591328e-15 2632),(-0.00903965566448 2809),(-0.000205162737233 2867),(3.5527136788e-15 3047),(2.6645352591e-15 3232),(-0.0120977358696 3425),
Point2,H1,(15.1518627779 37),(12.8213915761 227),(11.5280922701 422),(14.0635230525 608),(15.4693312984 803),(13.9586533607 994),(11.1415999299 1174),(16.3273149161 1364),(17.2352702887 1554),(17.6368159041 1747),(18.1025367634 1938),(15.8511931131 2131),(16.6226231692 2307),(16.8596497228 2497),(16.5719122457 2676),(15.2720256338 2855),(14.4139714114 3043),(17.3872736863 3233),(15.2208379292 3412),
Point2,H2,,,(6.60975774418 464),(2.36054015949 697),,(7.90089949849 1043),,(8.30010876321 1413),(7.54271275103 1604),,(6.28820499389 2009),,(9.76656011093 2355),,(7.56657045073 2725),,(11.4512940478 3062),,
Point2,H3,,,(7.55376653877 478),(2.39955861501 704),,(7.94994400926 1049),,(8.31765942219 1416),(7.58416244456 1608),,(6.65055327788 2023),,(9.82278822587 2360),,(7.63316406046 2731),,(11.5131175759 3067),,
Point2,H4,,,(1.07572756597 541),(0.60930854892 734),(2.48597298391 925),(3.76613354475 1114),,(3.27437218275 1458),(0.950815695797 1679),(2.1614627166 1868),(3.02592512503 2062),,(3.08992200402 2431),(0.628752023674 2619),(3.27084947236 2771),,(1.47751680033 3167),,
Point2,H5,,,(1.71227853864 555),(1.2213859904 747),(2.60805177263 934),(4.70072992606 1129),,(3.28399918221 1463),(0.996354468383 1686),(2.60444449896 1880),(3.14508150486 2070),,(3.25755322986 2440),(1.84669423215 2635),(4.97874103561 2794),,(1.70854964141 3177),,
Point2,H6,(-0.00100439698532 195),(0.0 378),(5.3290705182e-15 571),(8.881784197e-16 762),(-9.7699626167e-15 956),(-7.9936057773e-15 1148),(-0.00280672291774 1336),(-8.881784197e-15 1518),(-1.42108547152e-14 1710),(-1.59872115546e-14 1899),(-1.7763568394e-14 2091),(-1.33226762955e-14 2273),(-0.00454121236735 2460),(-7.9936057773e-15 2649),(-1.7763568394e-15 2825),(-3.5527136788e-15 3008),(1.7763568394e-15 3194),(1.7763568394e-15 3384),
