Cycle,0.767841710758
Average Width,4.56767227787
Width,,4.46056983891,5.68250481056,4.4824343848,5.21539883339,3.17469506887,2.84461259442,4.51003473929,3.88053128643,4.85357447457,5.41253149379,4.94972911669,4.67260523517,4.10200356712,4.21015199759,5.46156111825,3.54522176858,0,4.94056511077,4.70737160201,4.19293219173,6.1204646239,3.63888563201,4.72226659156,0,4.82630395368,4.77418624888,4.81067066367,0
Point0,H1,(6.38552209768 34),(7.82572461287 191),(4.1040004091 348),(6.65328245045 511),(3.54404358546 680),(1.43435218154 766),(6.50670486405 847),(6.19728642161 1006),(7.75372360076 1158),(7.63881912717 1328),(7.87223922151 1511),(7.920616511 1674),(7.20688751077 1838),(7.9948535859 2002),(7.47768520646 2169),(5.60845977552 2336),(8.80845638255 2510),(6.70944474817 2653),(6.9668711192 2817),(7.12706183382 2976),(8.80956554174 3123),(7.36740471231 3265),(9.9174102311 3424),(9.68895952471 3585),(8.58869069498 3756),(8.59643470369 3907),(8.25731015039 4068),(7.86744126912 4238),(5.67265503991 4390),
Point0,H2,,,,(1.86420302087 560),,,(-0.00252255515792 912),(-0.000146230814542 1046),(2.4760462945 1196),(3.97341390602 1363),(1.9541238744 1553),(3.50412196996 1708),,,(3.5576402451 2210),(2.33668585754 2365),(4.61368654582 2536),,(2.62017454711 2863),(5.55028976995 2991),(3.58726398077 3165),,(5.19344404527 3454),(6.22318591821 3617),,(4.2235966459 3952),,(3.97041812977 4274),,
Point0,H3,,,,(2.09450890852 571),,,(0.925591559893 928),(1.28819848055 1068),(3.26420718073 1216),(4.01586592149 1371),(2.19341952059 1564),(3.81855235073 1721),,,(3.60726062469 2217),(2.80448137755 2380),(4.69741438874 2544),,(2.65237537641 2869),(6.21757735121 3003),(3.74224516149 3174),,(6.95770209608 3471),(6.73734928516 3640),,(4.36747160044 3961),,(4.1863012055 4286),,
Point0,H4,(-8.881784197e-15 123),,,(-0.0213375491675 596),,,(-0.283663061118 953),(0.762166318957 1085),(2.6112793038 1240),(1.77198373002 1431),(0.786390551631 1586),(-0.0105299408053 1755),(-0.00812973392668 1894),(0.987786796217 2094),(-1.11022302463e-15 2269),(-0.0026020831547 2413),(2.23731432013 2590),,(0.195043572236 2899),(0.537366331103 3055),(1.01999147651 3201),(1.65325233918 3326),(0.917107770512 3520),(1.20883733144 3695),(-0.00760163849699 3841),(-0.000463621823036 4014),(3.98533094762 4126),(4.4408920985e-16 4321),,
Point0,H5,(1.94770512527 144),,,(0.157161863758 608),,,(-0.282630334922 955),(1.53368272888 1105),(2.88890379454 1257),(2.016927069 1446),(2.48943459342 1618),(2.09937439454 1787),(0.989006624702 1926),(0.989339725703 2098),(0.783489896766 2286),(1.7767464222 2461),(2.36495166356 2599),,(0.854131853099 2918),(2.13785605117 3080),(1.61607958246 3220),(1.74370080791 3336),(1.14240341331 3530),(1.40561463071 3705),(0.197883669434 3855),(0.370122271841 4027),(4.10915515246 4137),(0.930220485706 4344),,
Point0,H6,(-8.881784197e-15 123),(-7.1054273576e-15 268),(1.11022302463e-15 445),(-1.30576966365 645),(-1.85112713447e-06 715),(-0.007545943775 810),(-0.300869474079 962),(-0.000146230814542 1046),(-2.22044604925e-15 1127),(2.4760462945 1196),(1.7763568394e-15 1290),(-8.881784197e-16 1469),(-4.88498130835e-15 1642),(-0.0105299408053 1755),(-0.00812973392668 1894),(-0.00827704800663 1970),(-0.00593862033512 2132),(-1.11022302463e-15 2269),(-0.0026020831547 2413),(-3.5527136788e-15 2622),(1.33226762955e-15 2734),(-0.00492148343475 2940),(5.77315972805e-15 3098),(-4.4408920985e-15 3240),(-7.1054273576e-15 3358),(-8.881784197e-16 3548),(-3.5527136788e-15 3722),(-0.00760163849699 3841),(-0.000463621823036 4014),(3.10862446895e-15 4201),(4.4408920985e-16 4321),
Point1,H1,(7.49481693028 36),(8.48052557901 195),(5.01221298474 353),(6.86466228519 515),(7.90017653171 684),(7.36778919468 850),(8.3619953745 1009),(8.81930800495 1161),(7.90303416858 1331),(8.65655662887 1512),(8.23001946811 1678),(8.89629402946 1843),(9.13952136196 2006),(9.9881104023 2169),(7.65120894599 2340),(8.72784752223 2514),(7.51113007012 2659),(7.63710784203 2821),(7.78077162148 2981),(9.43035241802 3128),(8.60768018966 3269),(10.8713838379 3421),(10.725189635 3589),(8.71189534747 3758),(9.22032241923 3913),(9.27132004169 4073),(8.93574283847 4244),(6.52654250534 4390),
Point1,H2,(2.4513049288 84),,(1.58581852277 416),(1.84162620062 563),,(0.675928917462 921),(1.63088405198 1054),,(3.56671705436 1361),(0.746743772117 1591),,(1.00514808691 1892),,(4.65361535294 2210),(-2.22044604925e-15 2421),(4.80154995527 2538),(3.15422321275 2705),,(6.10786138472 2999),(3.55391958994 3166),,(6.46339119976 3459),(6.91219370953 3620),,,,(3.88973825833 4279),,
Point1,H3,(2.52221188502 92),,(1.68690376734 426),(2.33327293612 575),,(0.685340013651 926),(1.97081748356 1069),,(4.05989573444 1377),(1.11097283286 1607),,(1.51103031866 1907),,(5.37963712382 2225),(0.321073015256 2435),(5.07686214425 2548),(3.31604766777 2715),,(6.17779606441 3005),(4.27183759298 3180),,(7.01929496367 3472),(7.34794180471 3640),,,,(4.18485110136 4291),,
Point1,H4,(-0.00427147266068 125),,(-3.5527136788e-15 450),(-0.00539168181259 599),(4.00365267015 725),(0.229223459655 945),(1.08330562552 1090),(2.91069010853 1203),(1.4785399928 1438),(1.10316713525 1612),(-0.0035318576618 1755),(1.00828070105 1925),(1.25885985419 2092),(1.35741011749 2274),(0.188108517397 2446),,(0.658953507434 2739),(0.0141601632433 2903),(0.246853314814 3063),(0.759827298062 3210),(2.2788809778 3333),(0.901467938649 3523),(1.67578525017 3701),(-0.0131960158154 3858),(-0.00458125304895 4016),(5.3287743209 4119),(0.229526383468 4343),,
Point1,H5,(1.52400787324 147),,(0.993152050333 468),(0.639176637714 620),(4.33594566662 738),(0.437358858281 958),(1.76036918153 1112),(3.53704018673 1219),(1.67251687504 1451),(1.45468791862 1627),(1.66843034857 1794),(1.13848661606 1937),(1.25996602038 2095),(1.46464456436 2283),(0.690682806969 2462),,(2.32189993711 2757),(0.602481043826 2920),(1.80760872576 3085),(0.925790904473 3222),(2.28892178692 3338),(1.25659236186 3535),(1.70913211148 3707),(0.0492672284621 3870),(1.13150546847 4032),(5.34373070483 4125),(0.229884328714 4345),,
Point1,H6,(-0.00427147266068 125),(-0.00886066249014 273),(-3.5527136788e-15 450),(-0.00539168181259 599),(-0.00157970213717 815),(-1.1990408666e-14 971),(-1.15463194561e-14 1132),(-7.54951656745e-15 1296),(-8.43769498715e-15 1473),(-1.33226762955e-14 1645),(-0.0035318576618 1755),(1.00514808691 1892),(-0.00126224531692 1970),(-2.6645352591e-15 2138),(-0.0081302445659 2305),(-2.22044604925e-15 2421),(4.4408920985e-16 2478),(2.6645352591e-15 2626),(-0.00768019438 2790),(-0.0107575716643 2942),(-8.881784197e-16 3101),(0.0 3241),(0.0 3361),(3.5527136788e-15 3551),(-0.00627396533812 3726),(-0.0131960158154 3858),(-0.00458125304895 4016),(4.4408920985e-15 4205),(8.881784197e-16 4359),
Point2,H1,(5.57982991503 35),(7.02488117491 192),(3.92393396844 350),(5.00896402382 512),(5.89896150182 683),(5.71800286627 849),(6.92584164209 1007),(6.75162735283 1162),(5.27455427718 1329),(7.30879419167 1510),(5.83904184927 1676),(6.58746274964 1841),(6.7236476535 2004),(7.46998587626 2168),(5.72359720937 2339),(6.2853451569 2512),(5.06520645703 2657),(6.05474722691 2819),(5.76253529506 2980),(7.44110182769 3124),(6.49262886794 3267),(7.80508755455 3417),(7.62503225434 3587),(6.30223614754 3756),(6.63429218119 3909),(6.64134721806 4070),(6.48174703147 4242),(4.47755612232 4387),
Point2,H2,,,(0.538909391944 414),(1.45576181585 563),,,(1.35083433086 1049),,(1.42904731849 1362),,,(0.590910604359 1890),,(3.81354243589 2208),,(3.52571989977 2536),,(2.03291296248 2867),(5.00213227902 2996),,(2.0193194419 3329),,,(4.28732063274 3788),(3.02091306725 3954),,(2.56256042452 4277),,
Point2,H3,,,(0.882402343502 429),(1.5137100428 571),,,(1.66864555803 1066),,(1.63496129013 1377),,,(0.959590171648 1906),,(4.10664645685 2221),,(3.7141718751 2547),,(2.0721660469 2874),(5.06433032457 3003),,(2.08966058465 3337),,,(4.2959442085 3792),(3.27824555913 3965),,(2.75143663936 4288),,
Point2,H4,(-0.00914035097459 123),(-0.00566763198786 268),(-0.00142653348155 446),(-0.00429791410682 597),(2.84626662917 722),(0.144600987201 943),(0.860445096993 1100),(2.75650098072 1201),(-0.000556541875689 1408),(0.623685250959 1610),,(0.493907471657 1928),(0.104979602102 2109),(1.08491232396 2271),,(3.58243477419 2559),,(0.175577506829 2903),(0.262123255862 3067),(2.45007928554 3167),(-0.00122636926652 3359),(0.893230329745 3523),(5.58565523779 3624),(-0.00307139050947 3855),(-0.0935389749011 4015),,(-0.0046267674308 4333),,
