Cycle,0.633095238095
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(6.00674505887 57),(4.377552262 196),(5.79648719287 323),(5.9767563418 452),(4.47510298512 585),(6.07338422807 730),(7.81709673984 872),(7.65898489336 1000),(7.23842483099 1139),(6.20863405355 1272),(7.58959266215 1401),(7.42296339266 1527),(7.2291161404 1670),(6.70290990717 1799),(6.95231919869 1937),(7.0508613462 2073),(9.49263932353 2200),(10.0691435946 2329),(8.3562690401 2454),(8.76302326223 2585),(9.77465604629 2732),(9.62668985411 2855),
Point0,H2,(2.59856009395 91),,,,,,(2.9812699319 915),(7.16292805864 1012),,,(1.86661085766 1443),,,,,,,,,,,
Point0,H3,(3.16555989501 107),,,,,,(3.35216781545 925),(7.27666955059 1019),,,(2.2541927319 1456),,,,,,,,,,,
Point0,H4,(0.412292887192 132),(1.79724607206 229),(1.84737492622 376),(1.94384686645 499),,(0.0231646917941 824),(0.809194693829 944),,,,(1.35456909847 1479),,(1.94071994819 1747),(0.797005208461 1874),(1.64391577743 1994),,,,(-0.0706441843498 2530),,,
Point0,H5,(0.79255057076 144),(1.83684265872 236),(1.85717434215 381),(2.48856208662 514),,(0.0563783652389 830),(2.52921772557 959),,,,(1.35462278153 1480),,(1.98791644047 1753),(0.991116240727 1884),(1.77522270291 2006),,,,(0.0450978832064 2542),,,
Point0,H6,(5.3290705182e-15 159),(7.1054273576e-15 280),(-2.22044604925e-15 417),(-3.5527136788e-15 555),(-2.6645352591e-15 696),(-0.00227468335501 837),(1.33226762955e-15 975),(-2.6645352591e-15 1098),(4.4408920985e-16 1230),(-3.4243666569e-06 1365),(-0.000206059871954 1499),(4.4408920985e-15 1632),(5.77315972805e-15 1773),(1.7763568394e-15 1902),(-1.33226762955e-15 2030),(-5.77315972805e-15 2157),(-0.000984402406527 2286),(-0.137618479728 2419),(-0.0706441843498 2530),(8.881784197e-16 2683),(-3.10862446895e-15 2829),
