Cycle,0.749973958333
Average Width,6.29705947499
Width,,5.04416960217,5.74896791485,5.56548584177,5.6111002497,5.51226413366,5.47326425765,5.23128489021,5.18744453917,5.30149713683,5.48456608218,5.63952203213,5.7869511595,5.59128350983,5.66830352961,5.16291976501,5.23653134301,5.2638346307,5.3107743864,5.33141655127,5.29102034406,5.38851457587,5.46792328619,5.85455691133,5.50764076905,5.73610694519,5.86860280092,5.8470357612,6.33540768158,6.06453779289,6.26626961784,6.06185142997,6.60651620128,6.25136814389,6.32663848091,5.91708974529,5.44810300181,5.68110151948,6.05718214295,6.84143490984,6.29499279795,7.42339790274,8.19758441399,8.52999664054,10.0757243484,11.6475534006,0,10.3611252531,9.01610689027,8.74188953477
Point1,H5,(5.58979850589 125),(6.3191874961 268),(5.88578376681 412),(5.61635753789 556),(2.68997795841 700),(5.40083008193 845),(13.2734117237 937),(3.77197666843 1150),(6.55228983542 1286),(5.35171473933 1434),(5.44331758789 1579),(2.32990942892 1724),(6.23381051861 1851),(4.4750416175 1995),(6.02239482276 2140),(5.55360835787 2301),(5.05847012047 2461),(4.33690123802 2603),(5.91973122869 2765),(6.19726913472 2925),(6.21677617567 3085),(4.79779560012 3243),(5.43815138583 3406),(5.26337074092 3548),,(3.00997779054 3849),(2.02426875088 4028),(4.6308416354 4189),,(4.86438849173 4493),(3.52574037129 4652),,(2.45511808483 4970),(4.51690509838 5133),(4.33486448863 5291),,(3.15363754828 5613),(4.44647121905 5772),(3.95686015888 5933),(2.97596342187 6073),(2.89263303687 6236),(3.29545924471 6398),(3.17481876371 6557),(1.68569100949 6699),(2.20067547719 6861),(3.2363900135 7017),,,
Point1,H6,(2.48689957516e-14 141),(3.5527136788e-15 285),(3.5527136788e-15 428),(1.06581410364e-14 572),(1.7763568394e-15 714),(-1.7763568394e-15 860),(-1.42108547152e-14 1010),(-0.000312794409149 1163),(-1.7763568394e-14 1309),(-7.1054273576e-15 1454),(-8.881784197e-15 1597),(-7.1054273576e-15 1737),(7.1054273576e-15 1869),(3.73034936274e-14 2011),(3.90798504668e-14 2157),(1.59872115546e-14 2317),(-1.7763568394e-14 2476),(1.24344978758e-14 2622),(-1.7763568394e-15 2781),(7.1054273576e-15 2941),(1.24344978758e-14 3102),(1.24344978758e-14 3262),(1.7763568394e-14 3421),(1.42108547152e-14 3566),(5.3290705182e-15 3719),(2.30926389122e-14 3872),(2.30926389122e-14 4042),(1.24344978758e-14 4205),(-2.6645352591e-15 4353),(2.13162820728e-14 4510),(-5.3290705182e-15 4671),(-7.9936057773e-15 4839),(-0.00597383137303 4992),(-1.95399252334e-14 5149),(-0.00101980284554 5310),(-2.30926389122e-14 5474),(-5.3290705182e-15 5630),(-1.7763568394e-15 5789),(1.42108547152e-14 5949),(-5.3290705182e-15 6094),(-7.1054273576e-15 6253),(-1.42108547152e-14 6415),(-6.2172489379e-15 6573),(-8.881784197e-15 6720),(-0.00309046157819 6878),(-1.15463194561e-14 7038),(2.6645352591e-15 7193),(2.6645352591e-15 7340),
Point2,H1,(24.67829174 31),(33.9417861682 166),(32.3819340985 310),(31.2381924701 455),(31.3952959746 596),(32.2484811706 739),(32.8013259595 885),(29.0312765443 1042),(34.0550295801 1188),(30.8535322166 1337),(29.4141872736 1485),(29.5067675909 1626),(30.9142006001 1762),(32.1645264511 1897),(34.0977899675 2036),(31.9831691788 2184),(31.8465381255 2342),(31.066599788 2500),(28.9027872426 2654),(32.726416931 2805),(33.1511367128 2966),(31.3114171471 3129),(30.1165830244 3294),(31.7437510903 3445),(29.6535786469 3594),(30.0340179611 3746),(30.4296015126 3905),(34.5061143861 4068),(31.3466275395 4230),(27.163463993 4386),(29.2683179423 4539),(28.3769561715 4703),(29.7930495379 4867),(28.455559417 5025),(31.103444627 5175),(30.795181305 5340),(30.3285424666 5506),(28.3609485195 5662),(30.3591352981 5815),(30.6073904961 5972),(28.196782365 6128),(28.8174769843 6286),(28.4577604959 6447),(27.8840990504 6598),(26.5482568276 6754),(27.0304195378 6911),(27.1050254313 7070),(27.547392573 7219),(30.6619657449 7366),
Point2,H2,(-4.61852778244e-14 58),(9.98774632075 199),(7.88960161089 341),(8.02325568611 485),(5.76057034865 626),(7.73399452463 765),,(5.51918804869 1066),(10.3686158441 1216),(11.1298343209 1367),(9.09121383182 1512),(6.64880265958 1655),(6.71186280182 1786),(11.9302659802 1926),(12.6362262293 2059),(15.2874501606 2215),(15.8222891754 2370),(11.3297958906 2523),(11.8899970452 2679),(16.2814502934 2834),(16.5928486373 2996),(13.7666174251 3160),(10.8340050859 3319),(12.3700725657 3472),(11.6523468623 3623),(10.7611177932 3768),(12.7754468252 3929),(15.0356156464 4090),(13.2470096981 4259),(8.81489666881 4407),(15.1768259834 4567),(13.6994777359 4729),(10.2236578589 4889),(10.7282082553 5048),(16.8539015543 5204),(14.6447941544 5369),(9.93908071798 5529),(11.4372794029 5687),(15.2530682679 5844),(11.297373649 5998),(10.1011987442 6152),(12.875252432 6312),(11.1543208585 6471),(10.1234782521 6626),(10.7781889012 6779),(12.3190948606 6937),(9.70681322073 7096),(7.53082510158 7245),,
Point2,H3,(8.92737425638 85),(15.3999114948 220),(14.43519021 363),(14.678123113 506),(12.2216752273 650),(14.0786447015 791),,(12.9223162248 1091),(14.9868681878 1242),(17.0406639365 1388),(15.2652897597 1533),(14.2636604343 1676),(14.3481839696 1811),(17.0865543582 1945),(15.0549948791 2085),(16.736482172 2229),(16.9660729149 2388),(15.6088969409 2547),(16.9258886284 2699),(18.0440092703 2855),(18.2515054404 3016),(17.5645809019 3180),(17.299723474 3340),(17.4732143973 3496),(16.3550913176 3642),(15.0507640724 3786),(16.1469270839 3946),(18.0310960897 4108),(16.2871458963 4278),(14.9028049072 4429),(18.3496127909 4585),(16.8245953913 4747),(15.0375001416 4911),(16.384502264 5070),(19.4307212301 5223),(17.6689172387 5386),(16.0345714964 5552),(17.5709139884 5708),(18.9422736207 5863),(17.1668988406 6021),(16.278252169 6174),(17.059865845 6333),(16.7048501707 6493),(15.234028549 6647),(14.5154391248 6801),(16.0203112893 6957),(14.4858539216 7116),(14.8067918926 7269),,
Point2,H4,(3.13710196842 111),(4.97036712283 256),(4.53101819089 401),(3.8815762508 545),(2.21911887593 692),(4.56910045914 832),(8.79052420926 915),(1.12317833753 1137),(6.41809472137 1282),(5.29300981419 1424),(5.34637418064 1568),,(5.33995091673 1840),(4.35468926477 1989),(4.80540574346 2129),(4.32821290334 2288),(4.43382311662 2448),(4.59004752518 2593),(3.9739643367 2753),(5.24360511933 2912),(4.82608532196 3072),(4.03348659574 3232),(3.83497757677 3393),(5.43041891679 3537),,(4.08040018735 3844),(2.25630227488 4019),(5.22357834885 4176),,(3.99487638253 4480),(5.0325422678 4641),,(2.67872697185 4962),(4.1034838514 5121),(5.50355727609 5281),(2.92026847211 5443),(3.51328160915 5602),(4.19001086142 5761),(4.24789936438 5921),(3.38880670875 6065),(3.59333935083 6224),(4.67643494223 6384),(3.74414539868 6545),(3.34450587021 6691),(3.33854225823 6848),(4.52746496388 7010),,(3.69050394476 7313),,
Point2,H5,(5.62555619047 125),(6.44681398193 268),(5.88216243276 412),(4.9669925189 556),(2.33305250356 699),(6.45157488695 845),(13.4116752834 937),(3.89608727602 1151),(6.76227764902 1290),(5.95022867672 1434),(6.09853526114 1578),,(6.50847186115 1851),(4.42189995859 1994),(6.55887614495 2141),(6.55662618043 2301),(6.20425520332 2461),(5.63079776049 2604),(6.52670790833 2766),(7.52878557607 2925),(7.05593515917 3085),(5.39185337985 3245),(5.68696315717 3406),(6.3996265661 3547),,(4.08381346743 3846),(2.69019530709 4028),(7.33411353712 4189),,(6.11659695101 4493),(5.71827878615 4651),,(3.1135177028 4972),(6.12945764951 5133),(6.02868940891 5291),(2.96237808437 5448),(4.54746029633 5613),(5.54444298885 5773),(5.28188787972 5932),(3.93348590296 6075),(5.13084704731 6237),(5.9015381904 6396),(5.25885838158 6557),(3.36263033357 6695),(4.44660851346 6860),(5.06650028932 7020),,(4.49681471103 7324),,
Point2,H6,(-0.141274942852 2),(-4.61852778244e-14 58),(-0.0175439813407 140),(-0.00457021997608 285),(2.30926389122e-14 429),(-0.00350232267361 572),(5.3290705182e-15 713),(2.84217094304e-14 860),(2.13162820728e-14 1001),(-0.00337487102481 1163),(2.84217094304e-14 1309),(2.48689957516e-14 1454),(1.59872115546e-14 1597),(1.42108547152e-14 1737),(1.24344978758e-14 1869),(-0.00321652003307 2011),(-8.881784197e-15 2157),(-7.1054273576e-15 2317),(1.24344978758e-14 2477),(1.95399252334e-14 2622),(8.881784197e-15 2781),(-1.7763568394e-15 2941),(5.3290705182e-15 3102),(2.13162820728e-14 3262),(1.24344978758e-14 3421),(1.7763568394e-15 3565),(5.3290705182e-15 3718),(-7.1054273576e-15 3871),(1.24344978758e-14 4042),(3.19744231092e-14 4205),(-0.00582474000543 4354),(3.37507799486e-14 4510),(3.19744231092e-14 4671),(2.13162820728e-14 4840),(-1.06581410364e-14 4992),(-5.3290705182e-15 5149),(-5.3290705182e-15 5309),(5.3290705182e-15 5474),(0.0 5630),(-2.48689957516e-14 5789),(5.3290705182e-15 5948),(3.5527136788e-15 6094),(5.3290705182e-15 6254),(-5.3290705182e-15 6415),(-5.3290705182e-15 6573),(-0.000134894916533 6719),(1.06581410364e-14 6878),(1.7763568394e-15 7038),(-2.48689957516e-14 7193),(1.24344978758e-14 7340),
Point3,H1,(15.0100249444 30),(23.6532250509 166),(22.3214760832 309),(20.6168752174 455),(20.0162714362 596),(22.0736948269 738),(22.4959618824 884),(18.3093558873 1041),(22.9176549405 1187),(21.5423221346 1337),(23.2218080955 1484),(22.6142986339 1626),(23.6882232905 1762),(24.4588321049 1896),(23.8654791633 2035),(22.7614196251 2183),(21.1558030798 2341),(20.5993940759 2499),(19.9604704579 2654),(22.8986074648 2805),(24.4100576048 2965),(23.7760633879 3129),(24.282258973 3294),(24.736171229 3444),(23.6859043292 3594),(24.7396203059 3746),(25.9077123957 3905),(31.6854421642 4066),(27.4419526863 4229),(24.9564039461 4385),(26.865362389 4538),(27.0255204841 4703),(28.0388449806 4866),(26.0622010604 5024),(27.1801199485 5175),(25.3723157481 5339),(26.6390659565 5505),(26.0994071159 5661),(29.6595011131 5815),(28.7007331671 5971),(28.5749515083 6127),(30.3907881784 6285),(29.9890842096 6446),(30.5192204237 6596),(30.8267461768 6753),(31.4463813579 6910),(30.2874895463 7069),(30.296645349 7218),(33.1464407047 7365),
Point3,H2,(-0.0262154882089 57),(7.28227589487 200),(5.83261124169 342),(5.51781697097 485),(3.55432207509 626),(5.33302683206 764),,(4.05476725432 1065),(7.52351309229 1215),(8.44765718432 1367),(7.68003157277 1511),(5.18064369016 1654),(4.91677026077 1785),(9.37497304209 1925),(9.18008856989 2059),(10.711256106 2215),(11.1307278433 2369),(7.78664458767 2524),(8.42441774122 2679),(12.094131334 2835),(12.6570588474 2997),(10.3254105953 3158),(9.03459017667 3319),(9.81523680543 3472),(9.55619293146 3622),(9.38020783129 3768),(11.352443171 3928),(14.009803668 4089),(11.548451807 4259),(8.74699003724 4406),(14.1115971572 4565),(13.0536665094 4729),(9.43036425221 4888),(9.2863521122 5047),(15.0106668094 5205),(12.0451562108 5368),(8.75853702501 5528),(10.5307585146 5686),(13.9645135225 5844),(10.1485782847 5998),(9.85692641271 6151),(12.6719888828 6311),(10.4883046404 6471),(10.5488771803 6625),(12.141954272 6777),(13.2129403433 6936),(9.41383130225 7095),(7.73196639662 7244),,
Point3,H3,(5.89690515084 86),(10.8487971028 220),(9.63189090383 363),(9.72379047067 506),(7.71153295581 649),(9.89757578911 790),,(8.68476311123 1090),(10.560906676 1241),(13.0064862998 1388),(12.3414308001 1531),(10.778953233 1675),(10.9904385233 1810),(13.2268165584 1944),(11.0638497321 2084),(11.4605397139 2227),(12.255923949 2388),(10.7287738556 2548),(11.6273068289 2699),(13.0705955987 2855),(13.8812861711 3015),(14.0028289499 3178),(13.7063232373 3339),(13.7375238339 3495),(13.3721884622 3641),(12.2843780977 3786),(14.1743186097 3945),(16.781192474 4105),(14.5068470743 4277),(14.3102659557 4428),(17.0539161514 4583),(15.4441560775 4746),(13.9809111072 4908),(14.743652543 5069),(16.6377347558 5222),(14.2705485374 5385),(14.2632205558 5551),(16.0737801612 5707),(17.1201427731 5863),(15.6905324696 6020),(16.564703854 6174),(17.0060987558 6331),(16.7857067768 6492),(16.2102480398 6647),(16.4507977758 6800),(18.2842426787 6957),(15.1280977043 7115),(15.3218879743 7268),,
Point3,H4,(2.41026281927 111),(3.43357509187 256),(3.23842870925 399),(3.18397784699 543),(1.45005973253 689),(2.93029915269 831),(5.77465939032 916),(0.888215705606 1136),(4.87517248811 1280),(4.43410732062 1423),(4.73594008258 1568),(2.30832042767 1714),(4.24771883495 1839),(3.5491716917 1988),(3.39163691776 2128),(2.26000239465 2285),(2.66508346894 2448),(3.02163754565 2593),(2.82010878953 2752),(3.88702316267 2911),(3.39131592693 3071),(3.38746554339 3231),(3.52085425889 3393),(4.11694985792 3536),,,(2.64966157156 4019),(4.76179643287 4174),,(3.44519793858 4479),(4.67248147909 4640),,(2.46017187949 4961),(4.03545719951 5119),(4.46967943829 5281),(1.93936056265 5443),(3.38832146348 5600),(4.23032358475 5760),(3.86642369484 5920),(2.88734074881 6063),(4.34176624085 6224),(3.94742774994 6384),(3.64801897614 6544),(3.99394899871 6688),(4.52251505389 6846),(4.39988487387 7009),(1.62958266762 7172),(3.07502482152 7312),,
Point3,H5,(3.60579056982 123),(4.39697645843 267),(3.75173240473 410),(3.67269920212 554),(1.68841572766 698),(4.37436198255 844),(8.47826761993 937),(2.81081608371 1149),(5.02349622332 1287),(4.74519588952 1432),(4.92437374546 1575),(2.35171776524 1720),(5.06245434704 1850),(3.60941319766 1993),(4.61992176263 2140),(4.18659468421 2300),(3.71453708802 2460),(3.45171849876 2603),(4.61137723312 2765),(5.17260762072 2924),(4.99271199653 3084),(4.19423322244 3243),(4.52742080459 3404),(4.86381019887 3547),,,(2.77041741362 4026),(6.01841388381 4187),,(5.42421957995 4492),(5.15128666709 4650),,(2.5398264826 4968),(5.9337273223 5132),(4.79938505338 5289),(1.94511125431 5446),(4.40315846641 5612),(5.70787985249 5772),(4.94881835435 5932),(3.81788261138 6075),(5.36087045892 6235),(4.99026102383 6395),(5.66285067273 6557),(4.1861582964 6695),(5.5380253641 6858),(4.99368863815 7018),(1.94133668169 7180),(4.70294905828 7324),,
Point3,H6,(-0.039782055822 1),(-0.0262154882089 57),(-7.1054273576e-15 139),(-1.24344978758e-14 284),(-1.50990331349e-14 427),(-2.04281036531e-14 571),(-3.5527136788e-14 712),(-3.37507799486e-14 860),(-0.00152997397525 1002),(0.0 1163),(3.19744231092e-14 1308),(5.3290705182e-15 1453),(1.59872115546e-14 1596),(2.22044604925e-14 1736),(2.13162820728e-14 1868),(2.13162820728e-14 2010),(2.13162820728e-14 2156),(-8.881784197e-15 2316),(-2.6645352591e-15 2475),(3.73034936274e-14 2621),(2.84217094304e-14 2780),(2.30926389122e-14 2940),(1.7763568394e-14 3101),(1.95399252334e-14 3261),(-0.00422725555793 3419),(-1.24344978758e-14 3564),(5.3290705182e-15 3718),(-2.30926389122e-14 3869),(7.1054273576e-15 4041),(-1.7763568394e-15 4204),(-0.00322555025353 4353),(0.0 4509),(-1.7763568394e-15 4670),(1.95399252334e-14 4839),(-0.00782418946272 4990),(-3.90798504668e-14 5148),(-3.37507799486e-14 5308),(-2.6645352591e-14 5472),(-2.13162820728e-14 5629),(-3.5527136788e-15 5788),(-7.1054273576e-15 5947),(7.1054273576e-15 6094),(-7.1054273576e-15 6253),(1.95399252334e-14 6413),(-1.06581410364e-14 6572),(-5.3290705182e-15 6719),(-7.1054273576e-15 6877),(-8.881784197e-15 7037),(-1.24344978758e-14 7192),(-1.06581410364e-14 7339),
