Cycle,0.821996855346
Average Width,7.84592330387
Width,,12.8895349365,7.45982857627,11.4670895221,13.9678430043,8.29187735265,8.67207089247,7.96348158403,8.01634118565,6.46543034639,8.30183102413,6.83346476137,6.87316353193,8.76790187794,8.06562812568,8.08800413907,7.85250409154,8.80510049096,6.46969641237,7.30798017786,6.79384571094,6.71483427566,7.2637529058,7.24524280429,6.58846983172,7.04116466117,6.6151063854,6.6126682416,6.60931829039,6.4414671564,6.396083108,6.12483034362,7.31587756641,6.87287941782,7.28193820115,6.9767085175,6.84682949212,7.23464603602,9.39960660304,8.4392871308,7.24585258388,8.61559590276,8.12834907472,8.36112677714,7.03058530446,7.11896875121,9.35254612864,7.97705586087,7.74419143278,9.21790614363,8.24922623457,7.75490725834,7.53765010325,7.37712130053,8.59544683922
Point0,H1,(6.07035764743 55),(5.50946275967 205),(5.49779357429 376),(6.57491121568 542),(6.36521803 703),(7.67968790685 882),(5.74515231621 1042),(7.00108752809 1215),(5.46982819223 1375),(5.46004124806 1540),(5.56673313769 1711),(5.75304198005 1870),(6.66356423723 2047),(6.90939552475 2209),(6.98167147764 2368),(7.10945676602 2550),(6.55388405544 2705),(5.6775043333 2887),(11.6340628325 3047),(5.41412720406 3220),(5.12737903778 3399),(6.45595696702 3552),(6.60482544429 3733),(5.77555682512 3889),(5.67611801411 4064),(5.63424798474 4227),(5.756891226 4400),(6.81994239835 4578),(5.82912611984 4737),(6.05311612235 4913),(6.81029894238 5090),(7.00363594108 5265),(6.986242146 5424),(7.22797858854 5605),(6.66922440538 5761),(6.29808980033 5933),(5.8188119921 6094),(6.83919643824 6270),(5.89162151579 6435),(6.00403866323 6606),(6.38052987015 6790),(7.02863576372 6941),(6.10695156072 7104),(5.35360639846 7278),(5.39261748445 7440),(6.25944452037 7620),(5.58337156206 7776),(4.94161478015 7943),(5.79964506773 8118),(5.62814939203 8274),(5.56623748051 8443),(5.01636139979 8612),(5.81514484739 8788),(6.4881985182 8964),(7.8708128158 9118),
Point0,H2,,,,(2.32565828804 604),(5.61366650482 716),,,,,,(1.14564877947 1790),(4.86075844688 1884),,(1.53106906015 2281),,,,,,,(1.69290722137 3447),,,,,(5.40063225397 4238),,(3.08509988819 4618),(1.43993350783 4815),,(2.1403677464 5147),,,,(6.31001833892 5772),,,,(2.53484396323 6480),,(3.93260181806 6815),,(1.8352093474 7165),(-0.0591673411341 7353),,(2.8428609482 7645),,,,,(1.32353432167 8523),,,(3.54453560612 8989),,
Point0,H3,,,,(2.52688333058 616),(6.20555196153 729),,,,,,(1.22162046866 1798),(5.24274261123 1895),,(2.75950238115 2296),,,,,,,(2.73987744125 3464),,,,,(5.42954713868 4244),,(3.63683528686 4632),(1.45027956923 4819),,(2.529516634 5159),,,,(6.45289028508 5780),,,,(2.68005787599 6490),,(3.9563781248 6819),,(1.9930135082 7175),(0.623900904387 7371),,(3.40242233325 7657),,,,,(1.38922081464 8533),,,(4.15251056916 9004),,
Point0,H4,,,,(1.73275404289 639),,(1.11736581622 952),,(1.6403942784 1269),,,(0.379286263755 1816),(2.40048389818 1919),(-6.66133814775e-15 2149),(-7.54951656745e-15 2315),,,(0.47093997352 2794),(0.384529240257 2954),,,(1.26618966535 3485),,(1.83428130381 3798),(0.586396480882 3987),,,(0.928083956718 4503),(1.20759113126 4660),(0.285296183382 4844),(0.98081541611 5007),(1.27545179937 5179),(0.661097933571 5371),,(0.956788459275 5701),(0.608990150675 5861),,,(2.8226270184 6347),(0.259948417605 6541),,(0.94840116022 6855),,(-0.00238387666883 7203),(0.0 7388),,(1.51173401909 7683),(1.44010230844 7837),(0.153511867026 8038),(0.427467240159 8214),,(0.543192059141 8555),,(1.61136989432 8877),(1.37729792404 9040),,
Point0,H5,,,,(1.77284851816 649),,(1.55159428782 969),,(3.09765472714 1289),,,(1.39550110296 1831),(2.72662886262 1932),(0.793473982088 2169),(1.30446460092 2329),,,(1.02365916635 2810),(0.637724552226 2970),,,(1.41440325053 3494),,(2.84970314786 3816),(0.619699586487 3994),,,(1.13988761026 4515),(1.27359532209 4668),(0.465810676374 4857),(1.29674255829 5024),(1.8792910446 5194),(0.780407184857 5381),,(1.41913310979 5716),(0.662086656425 5871),,,(2.97813524078 6359),(0.387473274876 6552),,(0.992599870991 6865),,(0.455907096425 7222),(0.279442939827 7400),,(1.915094418 7706),(1.64701808322 7850),(0.475695860806 8054),(0.539874782561 8227),,(0.735345456769 8566),,(1.76831100335 8890),(1.41324303618 9046),,
Point0,H6,(2.22044604925e-15 170),(8.881784197e-16 341),(-0.0014449053474 506),(4.4408920985e-16 676),(8.881784197e-16 836),(-0.00276229218428 1005),(-8.881784197e-16 1117),(3.10862446895e-15 1176),(-0.00277035139482 1321),(4.88498130835e-15 1510),(-4.88498130835e-15 1672),(0.0 1846),(-0.0019758645813 2003),(-6.66133814775e-15 2149),(-7.54951656745e-15 2315),(-3.10862446895e-15 2503),(1.7763568394e-15 2671),(-0.00737276954788 2833),(-0.00677297953581 2991),(-2.6645352591e-15 3175),(-0.00244543228554 3287),(-1.33226762955e-15 3348),(-0.000172047467394 3515),(-1.7763568394e-15 3686),(-0.0037973300846 3845),(-6.66133814775e-15 4018),(-1.02140518266e-14 4198),(-5.3290705182e-15 4362),(-1.11022302463e-14 4535),(-7.54951656745e-15 4707),(-7.54951656745e-15 4876),(-6.66133814775e-15 5049),(-3.10862446895e-15 5219),(-0.00183402733557 5396),(-0.00142228723062 5558),(-8.881784197e-16 5733),(-4.4408920985e-16 5896),(1.33226762955e-15 6069),(2.22044604925e-15 6218),(2.6645352591e-15 6405),(5.3290705182e-15 6570),(-3.99680288865e-15 6742),(5.3290705182e-15 6891),(6.2172489379e-15 7050),(-0.0237164850451 7238),(-0.0591673411341 7353),(4.4408920985e-15 7575),(-5.48256623407e-05 7738),(1.7763568394e-15 7901),(-3.99680288865e-15 8070),(4.4408920985e-16 8243),(-1.11022302463e-15 8404),(2.22044604925e-15 8581),(1.33226762955e-15 8757),(2.6645352591e-15 8919),(3.5527136788e-15 9069),
Point1,H1,(8.72767090719 30),(9.48633336852 202),(9.06727450539 373),(10.1940335286 541),(9.98004756527 699),(11.0590359571 875),(10.2754874862 1037),(11.2451642341 1210),(9.46525238492 1373),(9.2995451206 1535),(9.58031127643 1707),(8.99705426622 1868),(10.2580786482 2047),(10.3322941365 2204),(10.3169639038 2366),(9.83736981165 2543),(10.012607701 2703),(9.1348536457 2880),(15.483685363 3044),(11.9953135981 3213),(10.5623648348 3394),(11.3061007009 3549),(11.5734909821 3726),(10.5735631382 3887),(11.5494719837 4059),(10.8695591304 4225),(11.4510964466 4398),(12.0324726421 4574),(10.8007674234 4737),(11.7117127029 4909),(12.8249305751 5085),(11.9375881886 5262),(11.7958344814 5421),(11.8585613674 5597),(11.4120446444 5771),(10.4017652363 5930),(10.0730824066 6092),(10.7957789981 6267),(10.4063456298 6436),(10.0121209958 6604),(10.3900038886 6782),(10.7672028235 6939),(10.4078442728 7101),(10.1541671368 7275),(9.51445392168 7436),(10.210914578 7616),(9.76757049687 7771),(9.71477442777 7956),(9.64105731656 8111),(9.34632639384 8286),(9.57561922367 8441),(9.36315943913 8619),(9.1917064083 8780),(10.1097397389 8957),(11.0602663218 9114),
Point1,H2,(8.41713150637 39),(3.96938826277 250),(4.58805344769 411),(3.60501596147 599),(8.66664515462 713),(1.63747315651 950),,(3.23567577791 1262),(2.69419066055 1434),,(1.47556640602 1785),(8.29228078647 1879),(5.59766764036 2078),,,,,,,(2.66822604791 3285),(2.9428611008 3446),(4.58561877814 3607),,,,,,,,,,,(2.56210348587 5499),(1.66570949728 5702),(4.89090346609 5805),,(9.1287056151 6105),(4.39451933179 6316),(5.06817095812 6478),,,,,,,(5.55115467061 7642),(2.68561568704 7851),,(0.7155956282 8218),,(2.90276120416 8521),,(5.08850441427 8827),,
Point1,H3,(8.66863069225 50),(4.24180418345 260),(4.61212182182 416),(3.69503582543 607),(9.2857636541 725),(2.28403622639 964),,(3.58032001957 1276),(2.84676709135 1444),,(2.06252228572 1798),(8.54702012615 1888),(5.60084058245 2080),,,,,,,(3.41757624795 3302),(3.51477117582 3459),(4.93933361654 3619),,,,,,,,,,,(2.60373147036 5504),(1.9092361269 5712),(4.95082548469 5811),,(9.29197113734 6113),(4.44916203795 6323),(5.10308267616 6484),,,,,,,(5.8623138992 7651),(2.72778280097 7860),,(0.788220639677 8225),,(2.97568914149 8529),,(5.24837878241 8836),,
Point1,H4,,(1.25533776538 308),,(1.51412735637 635),(5.01481994017 760),(0.377705398921 986),,,(1.43198700645 1473),,(0.547219062319 1817),(3.45163784789 1914),(0.191579133623 2156),,,,(1.85632674876 2791),(0.439533314665 2951),,(-0.00572131484184 3343),(1.71143808161 3481),(2.447707837 3649),(2.37981190775 3795),,(2.49538803204 4152),(2.74780342166 4298),(2.42709015742 4500),,,,,(0.973966503244 5365),(0.938602619434 5527),(1.7763568394e-15 5729),(0.570414988989 5862),,,,(1.99665905381 6523),,,,(1.69483560003 7198),(1.36072174176 7355),(1.67679754534 7542),(2.59239699731 7678),(-4.4408920985e-15 7901),,(-0.000440922013174 8240),,(1.24626923638 8554),(-3.10862446895e-15 8724),(2.10084984383 8886),,
Point1,H5,,(1.31179729413 316),,(1.76299458515 650),(5.17585517375 771),(0.515014032116 994),,,(1.69181412146 1487),,(0.81552747787 1826),(4.21535536117 1928),(0.19235203159 2158),,,,(2.06308049713 2803),(0.734037923666 2966),,(10.4641146006 3372),(1.77982670449 3489),(2.7575599625 3662),(3.44845448874 3811),,(2.78436464752 4170),(2.86723141336 4307),(2.76536628708 4511),,,,,(1.34661001072 5377),(1.25525982884 5538),(11.4051107302 5763),(0.7742320923 5874),,,,(2.25254859976 6536),,,,(1.86684899177 7210),(1.4289671294 7363),(1.81940607988 7551),(2.66641498544 7686),(9.13120366066 7934),,(9.13129823417 8274),,(1.29756815241 8560),(0.95992973947 8740),(2.10992950753 8890),,
Point1,H6,(-1.7763568394e-15 166),(3.99680288865e-15 336),(-0.00130742352129 499),(1.33226762955e-14 671),(7.9936057773e-15 835),(3.5527136788e-15 1006),(2.6645352591e-15 1172),(-0.00440819453596 1333),(-1.7763568394e-15 1505),(8.881784197e-16 1667),(-3.10862446895e-15 1840),(-5.3290705182e-15 1997),(4.4408920985e-16 2170),(-0.000228460526092 2338),(-2.6645352591e-15 2500),(1.33226762955e-15 2667),(-0.0001040126072 2830),(-0.0038009596989 2988),(8.881784197e-15 3170),(-0.00572131484184 3343),(-1.15463194561e-14 3512),(-8.881784197e-15 3682),(5.3290705182e-15 3835),(2.6645352591e-15 4016),(1.06581410364e-14 4193),(7.9936057773e-15 4360),(4.4408920985e-15 4532),(-0.00219610702707 4703),(7.1054273576e-15 4876),(0.0 5044),(3.5527136788e-15 5216),(2.6645352591e-15 5392),(8.881784197e-15 5555),(1.7763568394e-15 5729),(0.0 5892),(6.2172489379e-15 6065),(7.54951656745e-15 6217),(7.9936057773e-15 6400),(8.881784197e-15 6565),(1.15463194561e-14 6738),(-0.00186291309959 6894),(-0.00248690493734 7046),(-8.881784197e-15 7234),(-6.66133814775e-15 7400),(-3.5527136788e-15 7570),(-0.000588471249889 7735),(-4.4408920985e-15 7901),(-2.6645352591e-15 8065),(-0.000440922013174 8240),(3.99680288865e-15 8402),(-7.9936057773e-15 8577),(-3.10862446895e-15 8724),(-7.1054273576e-15 8914),(-0.00467649446533 9066),
Point2,H1,(9.28686540446 34),(9.85964308597 202),(9.18541055828 365),(10.4026826249 539),(10.6907720257 713),(11.1835180384 875),(10.2781197001 1039),(10.353651384 1208),(11.372783197 1367),(10.1407194114 1544),(12.2362483091 1704),(11.7300169951 1870),(10.3045491 2043),(11.457922889 2206),(11.5946909144 2375),(10.9098038577 2540),(9.35571243428 2718),(12.2778601861 2875),(16.7049356702 3035),(12.885083376 3210),(12.3214750296 3387),(12.52133851 3546),(11.5396525273 3721),(13.1454853698 3883),(12.2218055651 4058),(12.0983720254 4222),(12.7304165235 4394),(13.6768845398 4570),(12.2340759455 4737),(12.5263137208 4906),(14.0654131453 5081),(12.5993607666 5254),(12.4939588393 5418),(14.1387324524 5595),(12.7719831073 5759),(12.0693787934 5930),(12.1185470115 6100),(11.7815399206 6270),(10.5739299578 6434),(11.3892230356 6601),(11.3775405277 6779),(11.6902911261 6941),(10.0577230731 7099),(10.6482694548 7274),(9.92268567555 7434),(10.0821696968 7609),(10.7016421162 7770),(10.1680169387 7949),(10.7067118873 8108),(10.5444314908 8283),(10.5720703746 8446),(10.7521626925 8616),(11.0880796547 8779),(10.589256904 8954),(13.137606216 9114),
Point2,H2,(3.25844933021 98),(3.96780055867 272),,,(5.23028685674 744),,,,,(4.06924101312 1607),,,,,(3.32995694276 2439),(0.787634602114 2635),,,(7.95629753946 3084),,,(5.51625596257 3593),(6.29603938099 3752),(6.20620886411 3926),,,(12.0143995627 4407),,,,,,,,,,,,(5.4178554692 6469),(4.52229803758 6651),,,(4.56571523997 7145),,,,(2.80381035933 7850),(6.03882848711 7976),,(4.60343264143 8317),,,(6.00272321399 8826),,
Point2,H3,(3.39467740477 109),(4.29188915272 285),,,(5.56787776224 754),,,,,(4.19606706278 1616),,,,,(3.49398927133 2451),(0.859791427074 2648),,,(7.96547940988 3087),,,(5.52409262323 3597),(6.47973897818 3761),(6.63785213475 3937),,,(12.0287290327 4411),,,,,,,,,,,,(5.98022878379 6481),(4.52266426947 6652),,,(4.59487876314 7150),,,,(2.82252293316 7855),(6.1398187589 7983),,(4.63025616672 8322),,,(6.05009769648 8833),,
Point2,H4,,(0.900365891974 310),,(1.09678877192 644),(0.643332007945 803),(1.60058994606 968),(0.182632355127 1144),(0.83874116224 1284),,,,(3.0996943766 1960),(2.92461358849 2122),(3.0004254797 2287),,(4.88498130835e-15 2667),,(1.15463194561e-14 2958),(0.995585856033 3140),(-8.881784197e-16 3307),,(1.90383967371 3652),,(3.88802973883 3961),(3.24771158376 4136),,,(1.8422596114 4678),,,,,,(2.03694495907 5699),(2.10471673201 5855),,(2.76414643695 6183),(1.90385150051 6374),,(0.125693009332 6710),(2.52381915898 6868),(1.94120219473 7025),(2.86518286516 7176),,,(1.72532144549 7696),(-8.881784197e-15 7901),(1.93681560926 8035),,(1.64151036432 8367),,(1.77965277074 8711),,,
Point2,H5,,(1.19903799465 320),,(1.16130830556 651),(1.72926531602 817),(1.68196573485 977),(0.284630218294 1152),(2.70817209161 1303),,,,(3.52064772902 1976),(2.98358925753 2130),(3.30797268733 2301),,(9.16342412545 2698),,(0.206476619752 2970),(1.29032420363 3151),(1.03552981738 3327),,(1.95318678483 3658),,(3.9460131806 3968),(3.35285184455 4144),,,(1.90958185252 4684),,,,,,(2.06893094488 5705),(2.31949059514 5867),,(3.67399405958 6203),(1.93229610196 6379),,(0.413267067461 6721),(2.57380926035 6874),(2.76034652242 7043),(2.91987599716 7183),,,(2.05303107036 7709),(10.0680093219 7932),(2.01328061062 8043),,(1.76696207362 8377),,(1.78086275213 8713),,,
