Cycle,0.727901234568
Average Width,3.41929466593
Width,,3.06224821729,3.18946961629,3.35359160162,3.10878219199,3.29677361988,3.26154318049,3.29999793819,3.28846137453,3.30493535587,3.39670760885,3.31705709855,3.33147684352,3.34571743398,3.28781875511,3.33247655396,3.34615378777,3.30319761061,3.28758195647,3.39135794921,3.40900732886,3.25654439165,3.306476981,3.42254457442,3.3106868683,3.38037271271,3.41452227178,3.32667811187,3.43109970031,3.5244627667,3.37119003389,3.2300064128,3.40115133251,3.38615866044,3.32952898269,3.45792626635,3.33870309042,3.51392455114,3.36256256703,3.31925616412,3.26612880012,3.42048001629,3.41948968929,3.40170450123,3.23575864959,3.44913749791,3.43512744654,3.33806348179,3.35540306593,3.4952339989,3.47704425629,3.62499727264,3.5914472542,4.14281214833,4.76028935209,4.64993673172
Point0,H1,(11.0007127289 26),(14.1771772773 167),(7.80629629785 316),(10.2747079807 468),(10.8340167068 632),(10.0877991749 793),(11.4752430702 949),(11.3546605515 1107),(12.4219159548 1275),(12.5766555899 1433),(13.2303831747 1580),(15.4174388058 1723),(14.3594235273 1876),(15.5087738154 2028),(14.1095175222 2184),(14.5774172278 2339),(12.7913949088 2482),(11.491009245 2620),(12.0434203611 2764),(13.4686238011 2916),(12.0309019966 3070),(12.176616253 3223),(13.5235187687 3372),(13.2301901139 3532),(12.8624255085 3692),(13.3722378625 3848),(13.6702374451 3996),(14.2993788815 4150),(14.5604694124 4312),(12.2448083719 4461),(9.5868872489 4606),(12.4298491917 4750),(13.6949213955 4893),(13.5534493562 5035),(14.9124345095 5179),(13.6185050796 5324),(12.3802390212 5467),(12.0280832937 5606),(12.9061699688 5742),(10.4902894562 5878),(10.4286477718 6009),(9.85172998601 6140),(11.5060483727 6267),(11.4360679294 6395),(12.4031076915 6524),(12.927834311 6667),(11.9364592514 6814),(11.3345337779 6959),(11.8084917771 7114),(14.8438990114 7265),(11.5982717936 7431),(9.24754459039 7579),(9.05541113331 7730),(6.67529720189 7886),(6.1513349425 8028),
Point0,H2,(0.717674565099 52),(7.95987727438 194),(5.81624322367 344),(4.90370584609 514),(6.03053960494 662),(5.85314672508 823),(6.62453206884 981),(4.87398565313 1144),(7.05905805225 1302),(6.87582231256 1461),(5.12702733031 1619),,(8.93712594653 1907),,(7.65843788303 2211),(7.21893180631 2374),(4.41676453484 2515),,(5.20136053556 2810),(7.4353848764 2951),(5.88240754057 3111),(5.23955597651 3250),,(5.40575862646 3578),,(6.46250987004 3878),,,,(5.61924669634 4499),(6.25576809884 4646),(4.34181946535 4791),(5.22972926437 4941),(6.04386149167 5082),,(5.78529239317 5364),(7.01121707236 5488),(3.33485702916 5633),(5.33852651348 5782),(3.05310934984 5908),(4.59771167234 6035),(5.61294865489 6168),(3.87088794451 6299),,(4.62703440431 6570),,(6.2238553532 6854),(4.79811602185 7000),,,,,(3.29827600921 7768),,
Point0,H3,(2.36932264385 79),(8.4961349457 206),(6.63865886289 360),(5.12139450976 530),(6.15387422974 673),(6.28422285234 837),(6.77792628479 993),(5.48123128196 1161),(7.1086328704 1308),(6.99173299032 1470),(5.84172364228 1634),,(9.07267646838 1914),,(8.00601348659 2224),(8.10647154189 2389),(5.40525426414 2531),,(5.37381149238 2820),(7.64904316108 2963),(6.03444624055 3121),(5.9364339271 3267),,(5.85222406525 3589),,(6.55875507374 3886),,,,(6.20391119085 4514),(7.04708501638 4660),(4.70011007341 4802),(5.37351755662 4948),(6.09702467102 5088),,(6.3101552349 5378),(7.55528659109 5499),(5.54306902175 5654),(5.92872563984 5796),(4.56640863165 5929),(5.54886934432 6051),(5.62344954488 6172),(3.8733929259 6302),,(4.66550228305 6576),,(6.77054438982 6867),(5.20651895936 7013),,,,,(3.85853873965 7788),,
Point0,H4,(-0.5084817982 103),,(1.93234573904 410),(1.10561988687 570),(1.39692763431 731),(0.377951971783 887),(2.57161712647 1049),(1.96461343469 1209),,,,,,(1.62508894306 2121),(1.73714377407 2278),(2.68057015299 2426),,,(1.53381035423 2860),,,,(0.272176744702 3481),(0.471336017316 3640),(2.55492016175 3785),(6.53992832165 3892),(2.6986559019 4089),(3.35912781741 4249),,(2.1768165721 4557),(2.31085290517 4695),(1.39582574172 4839),,,(0.170214061508 5278),,,(1.43904467402 5693),,,,,(0.27695140242 6353),,,,(1.93243593179 6907),,(0.351349666772 7206),(2.88414065801 7364),,,(1.45474836353 7818),,
Point0,H5,(0.649120040827 119),,(2.22898419634 420),(1.19438109767 578),(1.41733311862 736),(1.48272782633 902),(2.65206092565 1056),(1.96661895718 1211),,,,,,(1.94282677122 2132),(2.41158217315 2292),(2.79267446699 2433),,,(1.59965965074 2866),,,,(0.484722844703 3492),(0.89978294404 3652),(2.72882684144 3794),(6.70240734252 3904),(2.82695663142 4097),(3.4852137227 4256),,(2.17774246224 4559),(3.14168268929 4708),(1.63535967948 4850),,,(0.314075511479 5286),,,(1.4414408749 5695),,,,,(0.277693152573 6354),,,,(2.01741520015 6914),,(1.57192393555 7221),(2.90723710072 7370),,,(1.70248996544 7829),,
Point0,H6,(-0.5084817982 103),(-1.59872115546e-14 277),(-2.6645352591e-15 437),(-0.00361116236863 596),(-2.6645352591e-15 757),(1.7763568394e-15 916),(-4.4408920985e-15 1077),(-0.0102469081233 1241),(-0.0027678404479 1397),(8.881784197e-16 1550),(-0.00108599292839 1690),(-1.95399252334e-14 1845),(-9.7699626167e-15 1997),(-2.6645352591e-15 2150),(-1.15463194561e-14 2308),(-0.00711471756511 2453),(-1.42108547152e-14 2588),(-7.9936057773e-15 2734),(-2.6645352591e-15 2883),(-1.24344978758e-14 3042),(-0.000521943757233 3188),(-1.06581410364e-14 3344),(1.42108547152e-14 3503),(3.5527136788e-15 3665),(-7.1054273576e-15 3815),(8.881784197e-16 3961),(9.7699626167e-15 4117),(-1.06581410364e-14 4278),(-8.881784197e-15 4433),(6.2172489379e-15 4580),(-4.4408920985e-15 4725),(1.7763568394e-15 4866),(8.881784197e-16 5000),(2.6645352591e-15 5148),(9.7699626167e-15 5295),(1.7763568394e-15 5439),(8.881784197e-16 5572),(-0.00604909544417 5713),(4.4408920985e-15 5844),(-1.7763568394e-15 5977),(-8.881784197e-15 6106),(-4.4408920985e-15 6239),(8.881784197e-16 6365),(-0.00125282923636 6492),(-0.00241018055502 6632),(-7.1054273576e-15 6784),(-0.00165524661651 6932),(1.24344978758e-14 7077),(2.6645352591e-15 7235),(5.3290705182e-15 7397),(-0.0757592043668 7551),(8.43769498715e-15 7699),(1.1990408666e-14 7849),(1.11022302463e-14 8000),
Point1,H1,(19.0964267277 28),(22.7717020324 167),(19.363968257 311),(22.4292916491 466),(21.1676417318 631),(20.3403395154 792),(21.157740393 947),(22.9573245443 1108),(24.0601448701 1275),(22.702814592 1433),(23.608913674 1580),(27.0707419659 1723),(27.2518625224 1875),(25.9801908967 2028),(25.0783965913 2185),(24.169518415 2338),(21.3657641207 2481),(22.7099760442 2619),(24.5515440462 2764),(25.6306042828 2913),(24.9478193013 3069),(21.7721092349 3222),(23.7859278938 3373),(25.6647374137 3532),(26.3909347726 3692),(22.9916890176 3849),(25.4424763697 3996),(27.1143026089 4150),(25.048339533 4313),(21.9837840708 4461),(22.9252645673 4607),(22.4978696664 4750),(25.0454152039 4894),(23.6588396634 5035),(24.1835236604 5180),(22.3817585711 5324),(21.9798257917 5468),(21.7874614731 5608),(23.1974453432 5742),(19.976352061 5877),(21.1880979476 6009),(22.2857619977 6138),(19.8616060089 6269),(21.7789079647 6396),(22.5503116889 6524),(23.69707867 6667),(22.5315502571 6814),(22.8208368635 6959),(23.9950780524 7111),(27.322426618 7266),(26.4026172351 7432),(25.4458177538 7580),(25.5726999239 7727),(20.8159924719 7883),(22.6567808601 8028),
Point1,H2,(5.8535318448 58),(10.955729708 199),,,(10.4903394063 663),(9.95323534525 821),(10.7387254841 984),(10.8348578916 1146),(10.481596484 1323),(10.2436904293 1463),(8.45978201768 1620),,,,(13.3458733609 2215),(11.6482745477 2374),(7.44071654446 2515),(8.16960440942 2665),,,(11.0762816102 3113),(8.93861767829 3254),,(11.3115514435 3579),,(10.4379275349 3879),(11.6323169799 4043),,,(10.1123894656 4502),(8.83863233482 4649),(8.49716890745 4793),,,,,(12.0316298257 5492),(7.22223024836 5635),(10.559836392 5782),(7.85823186408 5908),(8.13994230831 6036),(8.76352967608 6165),(7.20936565084 6298),,(8.25257723257 6566),,(10.8655718183 6856),(9.98420715238 6999),,(13.0883159392 7308),,(11.2600520819 7623),,,
Point1,H3,(8.1349928294 83),(11.7702284135 212),,,(11.0536644128 677),(11.0706038914 839),(11.8902300449 1000),(11.4617325984 1159),(10.5449263336 1329),(10.754543951 1478),(9.17224897976 1633),,,,(14.2093903647 2231),(12.6167998159 2387),(9.47715427076 2532),(8.25261557116 2672),,,(11.7370115931 3124),(10.1831564663 3272),,(11.3735944367 3584),,(10.9623216038 3894),(11.6847657665 4049),,,(10.9866874529 4515),(10.0243294517 4662),(9.70943336366 4805),,,,,(12.1883462728 5498),(9.65915887475 5653),(11.0365064471 5794),(10.1283390342 5925),(9.06600884157 6048),(9.51535355285 6178),(8.00169711767 6319),,(8.64400483795 6577),,(10.9709017212 6863),(10.6289349244 7011),,(13.6920166182 7320),,(11.8186191969 7634),,,
Point1,H4,(3.52124669287 107),(2.64012484172 253),(3.7528888662 409),(3.46582952739 569),(2.89322861134 729),(1.95734225521 889),(4.53912841595 1049),,(3.99405026973 1369),,,,,(2.76394373315 2121),(3.859676066 2281),(3.96334618036 2427),,,,(2.00455075604 3020),(3.86671319252 3162),,,,(11.5780732108 3737),,(3.98453215606 4089),(3.98551109911 4252),,(2.91021193757 4555),(5.33751347142 4696),(1.54776924339 4842),,,(9.37473522346 5226),,,(2.19130158437 5692),(4.6645153094 5822),,,,,,,(2.12417503161 6764),(3.00923606407 6908),(4.17024210866 7049),(1.64085302434 7208),(4.41371047785 7368),,(3.88944721275 7674),,,
