Cycle,0.809642857143
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(7.7445274825 37),(8.48389288053 199),(10.1959988043 373),(8.74874580599 537),(8.63627095424 697),(8.77724131761 879),(7.32282036117 1032),(7.54512705038 1193),(8.10412271667 1358),(7.15788499392 1532),(8.37138933999 1698),(7.02346698827 1868),(8.42759528056 2041),(8.1152962939 2215),(9.06636158774 2378),(9.93264918394 2553),(8.53229024472 2727),(9.56537086291 2898),(10.9891262297 3067),(7.2147635577 3237),(7.48744263051 3402),(8.32159527172 3584),
Point0,H2,,,,,,,,,,(3.2548602896 1607),(5.76000902799 1730),,,,(7.80328928744 2394),,(5.51853738273 2758),(9.5496388114 2903),,,,,
Point0,H3,,,,,,,,,,(3.32565779118 1614),(6.11959835241 1744),,,,(7.81607837343 2398),,(5.54810206532 2766),(9.55095133227 2906),,,,,
Point0,H4,(3.28734576912 120),,(1.86535176296 465),,(5.16812779922 741),,,(1.54382999782 1300),(5.85522537937 1397),(1.81754976606 1637),(2.26964017018 1798),(4.47990727754 1908),(5.56008375444 2069),(0.723070789626 2324),(5.66531478983 2423),,(1.25791286503 2838),(7.3843050612 2932),,(4.66920605265 3267),(4.60389139347 3431),,
Point0,H5,(3.44786580544 131),,(1.88767928289 471),,(5.25646533004 750),,,(1.64333576955 1309),(5.85578141862 1399),(2.02113384102 1646),(2.27571715045 1803),(5.01484783514 1921),(5.78037754354 2082),(1.02465513606 2336),(5.82190506504 2432),,(1.30805522119 2845),(7.82142433019 2943),,(4.8505980883 3278),(5.04184570902 3449),,
Point0,H6,(-0.00301767817732 172),(-0.00150696049094 336),(-4.4408920985e-15 508),(-1.15463194561e-14 670),(-4.4408920985e-15 832),(-0.00461428370335 1000),(-5.77315972805e-15 1165),(-2.6645352591e-15 1327),(-0.00217462849223 1493),(-6.2172489379e-15 1665),(-8.881784197e-16 1837),(4.4408920985e-16 2004),(-7.1054273576e-15 2177),(-7.1054273576e-15 2350),(-4.4408920985e-15 2518),(2.22044604925e-15 2689),(2.6645352591e-15 2863),(5.3290705182e-15 3037),(-0.0124310602423 3200),(4.4408920985e-15 3368),(7.1054273576e-15 3536),(-0.0217508184735 3702),
Point1,H1,(4.4073069449 51),(4.9308637648 201),(6.6100518419 376),(5.54232199211 534),(6.48806193505 695),(6.79486857834 882),(5.54323791764 1030),(4.51007845739 1195),(5.8567598813 1356),(4.78133195857 1528),(5.96382224437 1700),(5.33362209287 1863),(6.35677336741 2037),(6.99956374727 2212),(6.64628471188 2377),(7.52611790327 2551),(6.50987559128 2725),(7.87857378482 2909),(7.74641255213 3063),(5.48567593666 3237),(5.92568305486 3396),(6.75533399343 3617),
Point1,H2,(4.08458109848 66),(4.06394446268 222),(1.47747959663 455),,,,,(4.37650143502 1205),,(4.5375152475 1539),(4.25343113686 1730),,(3.99744320336 2081),,(4.24919142471 2419),(3.58124543159 2598),(1.38389309315 2803),(5.88991511321 2932),(6.75481233504 3078),(3.05353523347 3268),,
Point1,H3,(4.26191028027 78),(4.38416073559 242),(1.57521222775 464),,,,,(4.46244593025 1215),,(4.77178133463 1552),(4.43608899379 1743),,(4.42727942747 2095),,(4.45520945467 2430),(3.74083486247 2609),(1.99543986979 2818),(6.17212866777 2942),(6.94217263792 3086),(3.37228041078 3283),,
Point1,H4,,(1.35348697661 302),(0.49202308233 489),,,,,(2.21716268563 1265),,(2.02273578341 1603),,,(2.86407678581 2115),(0.643045238257 2325),(0.919493120856 2472),(1.13409710509 2646),(1.18757732603 2836),,(0.470148573357 3171),,,
Point1,H5,,(1.85592687652 317),(0.492147810236 490),,,,,(2.64904196982 1282),,(2.37978458877 1616),,,(3.30815472148 2128),(0.678419471867 2332),(1.2306044409 2487),(1.40765438546 2659),(1.28948391877 2844),,(0.472923119228 3174),,,
Point1,H6,(-2.6645352591e-15 169),(-3.5527136788e-15 335),(-4.4408920985e-16 506),(3.99680288865e-15 670),(4.4408920985e-15 830),(-0.00386544686185 998),(6.43929354283e-15 1162),(7.1054273576e-15 1325),(-0.00751149300044 1489),(8.881784197e-16 1662),(4.4408920985e-15 1835),(1.33226762955e-15 2001),(-3.10862446895e-15 2176),(2.6645352591e-15 2347),(2.6645352591e-15 2518),(3.5527136788e-15 2686),(3.99680288865e-15 2861),(2.6645352591e-15 3034),(-0.000862610049304 3196),(-0.00765461779901 3361),(1.7763568394e-15 3535),
