Cycle,0.707383791209
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(14.9137162782 35),(16.0709388908 181),(15.6045379939 341),(16.61116182 485),(17.0451563578 630),(18.5528978596 776),(18.5658225204 917),(17.6222130606 1059),(17.7988327975 1208),(17.7186061691 1347),(18.4613548229 1510),(19.0805142455 1655),(18.7625204861 1799),(19.9572836265 1937),(19.2494335398 2083),(19.6748927592 2228),(18.3155032122 2372),(18.3204561569 2515),(19.8959338691 2659),(18.7724176902 2804),(18.7357120835 2966),(19.4117634416 3110),(18.6984099217 3253),(18.9189400526 3395),(18.3455640856 3539),(17.9337918804 3700),(19.3532998391 3843),(17.9883767806 3987),(18.4020462093 4131),(17.6143706941 4275),(17.5674297509 4420),(18.9402760803 4580),(18.9941441848 4722),(18.4425097495 4868),(20.2611621216 5028),(17.9289848623 5171),(18.2487459933 5335),(19.9243782487 5476),(17.8945836757 5640),(18.9747171595 5782),(17.858963953 5923),
Point0,H2,,(15.5962587261 192),,,,,,,,(5.18121835117 1397),(6.20747451599 1540),,,,,,,,,,(7.08993691687 2995),,,,,,,,,(4.4770453526 4325),(16.8113977624 4430),,,,,(1.03314210075 5259),,,,,,
Point0,H3,,(15.6120284522 195),,,,,,,,(5.2106923741 1401),(6.31460221046 1545),,,,,,,,,,(7.35661991759 3003),,,,,,,,,(4.5165226886 4329),(17.1206143973 4438),,,,,(1.51143530595 5272),,,,,,
Point0,H4,,(5.09512026499 231),(8.881784197e-15 439),(2.20420680485 557),(2.13674014488 699),(3.20672218365 848),,(4.76367525376 1107),(0.984437234511 1294),(-2.30926389122e-14 1460),(2.25267305499 1573),(2.11223814893 1725),(1.86399622062 1868),(2.43493798104 2016),,,(1.04186428104 2449),(1.80164274632 2591),(6.14071062914 2708),(3.5527136788e-15 2918),(2.38422194859 3035),(2.18495232117 3182),,(1.23646839879 3488),,(2.69626128311 3774),,,,(1.65633097305 4362),(1.2983766476 4506),,(1.31805646733 4810),,,(-0.0120587129721 5286),,(-7.1054273576e-15 5589),(2.28885315658 5707),,,
Point0,H5,,(5.10553397377 234),(16.3124274054 473),(2.59443585315 568),(2.27038255738 708),(3.25739255373 853),,(5.06270794137 1115),(1.02282534803 1301),(18.3611166845 1493),(3.02784413682 1590),(2.3889058211 1735),(2.92068612653 1881),(2.45718770968 2020),,,(1.1401913053 2456),(1.99360499642 2600),(6.24509415732 2713),(18.5350903787 2950),(3.20104065269 3048),(2.81893113589 3193),,(1.29196726373 3494),,(2.75163863476 3780),,,,(2.51291157252 4376),(2.7957483712 4522),,(1.92046293072 4824),,,(17.7798616706 5318),,(17.4109722697 5620),(2.87073751653 5720),,,
Point0,H6,(-0.0343484154147 2),(5.3290705182e-15 149),(8.881784197e-16 294),(8.881784197e-15 439),(-1.24344978758e-14 585),(-1.68753899743e-14 728),(1.06581410364e-14 874),(1.7763568394e-15 1018),(1.33226762955e-14 1169),(-1.06581410364e-14 1316),(-2.30926389122e-14 1460),(1.7763568394e-15 1608),(-3.5527136788e-15 1752),(8.881784197e-15 1897),(-0.00365220191453 2043),(8.881784197e-16 2187),(-8.881784197e-15 2332),(-0.00330250316429 2475),(-2.75335310107e-14 2622),(-5.3290705182e-15 2770),(3.5527136788e-15 2918),(8.881784197e-15 3065),(1.24344978758e-14 3210),(-4.4408920985e-15 3354),(-3.5527136788e-15 3509),(-2.6645352591e-15 3656),(-7.1054273576e-15 3800),(-3.5527136788e-15 3946),(-9.7699626167e-15 4092),(7.1054273576e-15 4242),(-2.6645352591e-15 4392),(1.7763568394e-15 4538),(-0.00241697901553 4682),(1.42108547152e-14 4839),(0.0 4985),(-3.5527136788e-15 5135),(-0.0120587129721 5286),(-8.881784197e-15 5433),(-7.1054273576e-15 5589),(-1.15463194561e-14 5738),(-4.4408920985e-15 5885),
Point1,H1,(12.5739597246 35),(14.6158430773 199),(14.4978015732 342),(14.7484133279 485),(14.8958203791 631),(16.228316759 776),(15.992021618 917),(15.295308062 1059),(15.1732740482 1208),(14.4618287141 1348),(15.6582910204 1507),(17.1234724195 1656),(17.1633044325 1799),(17.289231573 1939),(16.8338407278 2083),(17.2597054833 2228),(15.7814976121 2372),(15.6727837225 2515),(16.6539024051 2660),(16.0563304178 2806),(16.9605486745 2967),(16.8347814731 3110),(15.4472157653 3252),(15.8412393141 3394),(15.1076608481 3539),(15.2222960465 3702),(17.853803348 3843),(15.0349289268 3986),(15.4334841953 4131),(13.7603638394 4276),(13.9503093323 4439),(15.9847505691 4581),(15.4784717113 4722),(14.264186538 4868),(16.2669685377 5026),(15.0277722513 5171),(15.5806062015 5334),(16.4046877263 5474),(14.6121937873 5640),(15.6125163909 5782),(14.7523248777 5923),
Point1,H2,(11.4977401795 49),,,,,,,,,,,,,,,,,(4.53139823281 2563),,,(6.41017901085 2996),(4.73388362718 3153),,,(14.0097673278 3552),,,,,(1.83632253018 4363),,,,,,(0.591428620367 5258),,(4.34314809104 5524),,,,
Point1,H3,(11.6041136064 55),,,,,,,,,,,,,,,,,(4.59647656187 2568),,,(6.59960226004 3003),(4.8141069622 3160),,,(14.0904857999 3557),,,,,(2.16827965758 4375),,,,,,(0.999700023014 5272),,(4.36190867511 5528),,,,
Point1,H4,(2.6645352591e-15 149),(1.88254940247 273),(1.85922716202 417),(2.41201131175 559),(1.96849845224 699),(2.51091664078 847),,,(0.267157574712 1292),(-7.9936057773e-15 1459),(1.65112007454 1573),,(1.68924632299 1870),(1.59072641638 2018),(0.618077175319 2161),(1.4278032993 2304),(-0.00875913106988 2447),(0.755827033782 2596),(5.59307353798 2709),(1.51000801722 2892),(2.28322763224 3037),(1.8667805691 3183),(3.35638312202 3299),(0.847518571323 3487),(0.937027522285 3623),(2.54870430601 3775),(2.46692784758 3918),(1.23653323057 4064),,(-2.84217094304e-14 4392),(1.17304960105 4505),,(0.672488958903 4809),,,(-1.86517468137e-14 5286),,(-7.1054273576e-15 5589),(1.75539189903 5707),(0.88130161444 5854),,
