Cycle,0.776333333333
Average Width,6.39586463995
Width,,4.03781321588,0.0,0.0,0,0.0,0.0,0.0,11.4911208424,0.0,0.0,0.0,0.0,6.21020899454,0.0,0.0,0.0,0,3.4598831542,6.7802969927,0.0,0.0
Point0,H1,(31.3726942035 35),(31.9788140839 247),(17.5547503473 479),(14.5176976704 632),(15.3496613081 757),(16.0602841791 976),(17.7440125567 1132),(14.9177812607 1298),(13.7157464225 1453),(21.6398350552 1582),(21.3705080017 1741),(16.0951416009 1938),(23.8343245839 2099),(22.2643552247 2213),(16.0116855032 2419),(18.9654418875 2549),(18.7744488981 2746),(13.0167281855 2911),(17.4901632157 3042),(18.5949438607 3194),(15.6797767206 3341),
Point0,H2,(18.5570852883 63),(10.7597185794 295),,(14.2569652824 642),(8.66643216742 788),(-1.06581410364e-14 1008),(-0.00287206405425 1180),(3.5527136788e-15 1335),,(16.3148242506 1603),(13.6209726255 1776),(-0.000897015793722 1975),,,,,(1.95399252334e-14 2783),,,,
Point0,H3,(26.6323331698 87),(13.3761180972 311),,(14.4690139112 650),(11.8807563079 808),(7.65470581076 1041),(6.54480104135 1210),(3.88337590322 1360),,(21.3816993377 1622),(14.6169530431 1788),(5.63263106617 2003),,,,,(5.5010487859 2822),,,,
Point0,H4,(12.4464081027 135),(-3.5527136788e-15 343),(1.7763568394e-15 521),,(-3.5527136788e-15 845),(6.74225566783 1054),(6.18533458127 1220),(2.82582800852 1375),,,(1.06581410364e-14 1818),(4.49839112431 2018),,(18.5211629624 2241),,(1.7763568394e-14 2623),(5.268478709 2831),,,,
Point0,H5,(15.9872994165 152),(17.4355792699 437),(9.00023575406 560),,(15.4800464899 946),(14.8976650335 1090),(11.8200116888 1259),(13.3738414436 1428),,,(13.6707075962 1907),(21.922382305 2070),,(19.879735329 2263),,(17.6704281903 2702),(11.0747564152 2885),,,,
Point0,H6,(-3.5527136788e-15 191),(-3.5527136788e-15 343),(1.7763568394e-15 521),(-5.3290705182e-15 685),(-3.5527136788e-15 845),(-1.06581410364e-14 1008),(-0.00287206405425 1180),(3.5527136788e-15 1335),(-0.0146164957723 1495),(1.7763568394e-14 1663),(1.06581410364e-14 1818),(-0.000897015793722 1975),(1.7763568394e-14 2137),(-0.000316896377358 2301),(0.0 2459),(1.7763568394e-14 2623),(1.95399252334e-14 2783),(0.0 2942),(-7.1054273576e-15 3097),(-1.06581410364e-14 3261),
Point1,H1,(18.0715993882 90),(21.7848035475 249),(11.9575020723 480),(9.89706019764 655),(10.4809940447 759),(10.5024336114 979),(11.9379370341 1136),(9.7514941326 1301),(8.88400943639 1429),(14.3951235571 1624),(15.0386953612 1741),(10.451475018 1940),(16.8446686619 2103),(16.1932217574 2215),(10.4653919021 2421),(13.3227448838 2550),(13.5043859067 2747),(8.50702127142 2912),(12.3673634321 3044),(12.927607382 3196),(10.4057176937 3357),
Point1,H2,(16.9100780686 104),(10.1108071608 296),,,,(7.9936057773e-15 1010),(-4.4408920985e-15 1183),,(8.34608595752 1444),,(8.84288807057 1779),(-0.0105603714917 1976),,,,,,,,,
Point1,H3,(17.0348890017 111),(11.2885589533 311),,,,(5.02925390682 1041),(4.90497537799 1213),,(8.85771046324 1457),,(9.60433130057 1791),(4.01690516604 2004),,,,,,,,,
Point1,H4,(10.1960688823 137),(-0.00431983507892 346),,,,(4.46030892315 1054),(4.54162901899 1225),(-4.4408920985e-15 1337),(-0.00698566334448 1497),,(-0.00362782618225 1821),(3.08068978978 2020),,(13.2869530433 2248),,(-5.3290705182e-15 2625),,,,,
Point1,H5,(12.3385881901 153),(11.390590692 437),,,,(9.87229225866 1093),(7.51613623839 1259),(2.40554773672 1361),(14.3427671602 1583),,(9.16810137987 1911),(15.4764572297 2069),,(13.6062482677 2264),,(12.5458107625 2704),,,,,
Point1,H6,(-0.0140182551121 195),(-0.00431983507892 346),(-2.13162820728e-14 523),(-1.7763568394e-15 686),(-6.2172489379e-15 847),(7.9936057773e-15 1010),(-4.4408920985e-15 1183),(-4.4408920985e-15 1337),(-0.00698566334448 1497),(7.1054273576e-15 1666),(-0.00362782618225 1821),(-0.0105603714917 1976),(1.7763568394e-15 2139),(-0.0302286777021 2301),(-0.00729532654783 2462),(-5.3290705182e-15 2625),(-0.0165476874693 2786),(-0.00738621702032 2945),(0.0 3100),(-6.2172489379e-15 3263),
Point2,H1,(7.68938895786 128),(17.0775115935 261),(7.90590916627 493),(5.43316983046 643),(8.27784606684 770),(7.03941881447 985),(7.78427922902 1145),(5.18668799648 1315),(5.28310185406 1463),(9.31727749621 1597),(11.3915819861 1754),(6.36658623352 1954),(10.8345068809 2116),(11.5206316342 2225),(7.79872638327 2424),(10.2719495704 2545),(8.41311304323 2721),(4.8496306605 2925),(7.94091296939 3037),(9.17506402101 3215),(6.32191452355 3375),
Point2,H2,(3.54587557907 147),,(-1.7763568394e-15 531),(5.04079607714 658),,(-7.1054273576e-15 1018),,,,(6.79555103225 1619),,(-0.00666130862251 1987),,(8.1036212731 2259),,(8.96886583508 2564),,,(7.0291205774 3073),,,
Point2,H3,(6.72564274153 166),,(4.44693402101 573),(5.12239129796 665),,(4.32145623298 1054),,,,(8.31854226799 1637),,(2.33232145993 2011),,(8.35949310808 2275),,(9.4072472668 2577),,,(7.03463707883 3076),,,
Point2,H4,,(-0.00252408821328 360),(3.9282562339 593),,,(3.83400973923 1068),(-7.32051550321e-05 1193),(0.249000634008 1348),,,,(1.55073876454 2030),,(-0.00703859535044 2313),,,,,(4.4408920985e-15 3109),(-0.00485826156797 3276),,
Point2,H5,,(7.51518379255 449),(4.50419426792 614),,,(7.41230344339 1098),(4.85226226365 1275),(1.28675804223 1367),,,,(9.73531154451 2079),,(4.58603615496 2372),,,,,(5.81482720647 3147),(6.18793816646 3336),,
Point2,H6,(-0.403492109669 9),(-0.0127413068574 74),(-0.0160932686755 204),(-0.00252408821328 360),(-1.7763568394e-15 531),(-1.59872115546e-14 700),(-1.7763568394e-14 853),(-7.1054273576e-15 1018),(-7.32051550321e-05 1193),(-2.44249065418e-15 1391),(-0.0158697138437 1506),(-4.4408920985e-15 1680),(-0.0122396191631 1830),(-0.00666130862251 1987),(1.06581410364e-14 2152),(-0.00703859535044 2313),(-0.010551793444 2471),(-0.0070208087592 2638),(-0.0117683119626 2796),(-0.0118946162072 2951),(4.4408920985e-15 3109),(-0.00485826156797 3276),
