Cycle,0.764585561497
Average Width,3.05875613048
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,3.05875613048,0.0,0.0,0
Point0,H1,(6.68660529575 113),(9.376010966 194),(10.0756300464 268),(12.7127187193 417),(11.7029948236 590),(8.8735750936 760),(8.50283861804 907),(12.9489148008 1063),(11.0790446727 1236),(9.52869061393 1396),(12.6652435132 1560),(9.53214722194 1716),(11.3572383826 1864),(13.097728482 2038),(14.2878551235 2198),(13.3306153788 2367),(10.7184540245 2521),(11.7621398512 2677),(10.2043211876 2837),(13.6912191709 3012),(11.1122051866 3176),(10.4579602064 3309),(11.8610665882 3485),(12.8238112191 3646),(16.4414538974 3812),(15.1908817258 3983),(12.4477793918 4147),(13.0852675165 4301),(14.0104853406 4460),(15.3922576962 4624),(7.44792559176 4788),(10.9894348429 4952),(11.6251333317 5125),(9.01199475064 5271),
Point0,H2,,,,,(-0.00942998223863 632),(-1.68753899743e-14 799),,,,,(-3.5527136788e-15 1601),,,,,,,,,(-4.4408920985e-15 3044),,,(-1.7763568394e-15 3519),,,(-0.000468278033783 4018),(0.0 4183),,,(-0.00139290155539 4668),,(-0.0100396619797 4990),(-0.0011885146024 5158),,
Point0,H3,,,,,(6.82123050695 700),(3.48206665396 825),,,,,(6.36346630093 1645),,,,,,,,,(2.86138171569 3084),,,(7.03894244445 3563),,,(6.59818507621 4062),(7.50470003908 4220),,,(6.93506378562 4701),,(1.46136079588 5009),(3.11231631861 5192),,
Point0,H4,,,(-0.00240612965653 302),(5.3290705182e-15 462),(6.28430209918 717),,(-7.1054273576e-15 945),(1.24344978758e-14 1105),(-0.00721562961364 1271),,(6.22527325894 1662),,(-0.00808821087873 1904),(-0.00316013594807 2079),,(1.7763568394e-15 2403),(-0.00123388625859 2558),(-0.00523913757708 2716),(3.5527136788e-15 2869),(2.73608100367 3092),,,(6.78227106293 3573),(-1.06581410364e-14 3680),,(6.34587312486 4073),(7.29011264057 4229),(-3.5527136788e-15 4334),,(5.1883335549 4724),(-3.5527136788e-15 4826),,(2.68258010221 5204),,
Point0,H5,,,(6.13196215857 347),(11.002505588 559),(6.40955705198 727),,(11.2806947934 1029),(10.0886000338 1188),(9.05914788926 1370),,(8.52905697395 1693),,(9.39340363192 1982),(10.9455491829 2158),,(8.59850622348 2490),(5.24079316572 2593),(6.30803189404 2782),(7.32466359551 2927),(8.51321533571 3131),,,(11.3672995032 3604),(11.5679314584 3769),,(8.76888040707 4108),(12.4649142549 4257),(10.5815807501 4415),,(7.27477611419 4752),(6.18569130623 4894),,(7.89687445101 5240),,
Point0,H6,(-0.0102045608018 1),(-2.30926389122e-14 147),(-0.00240612965653 302),(5.3290705182e-15 462),(-0.00942998223863 632),(-1.68753899743e-14 799),(-7.1054273576e-15 945),(1.24344978758e-14 1105),(-0.00721562961364 1271),(-3.5527136788e-15 1433),(-3.5527136788e-15 1601),(-7.9936057773e-15 1746),(-0.00808821087873 1904),(-0.00316013594807 2079),(-1.7763568394e-15 2240),(1.7763568394e-15 2403),(-0.00123388625859 2558),(-0.00523913757708 2716),(3.5527136788e-15 2869),(-4.4408920985e-15 3044),(-7.9936057773e-15 3216),(-1.06581410364e-14 3365),(-1.7763568394e-15 3519),(-1.06581410364e-14 3680),(3.5527136788e-15 3856),(-0.000468278033783 4018),(0.0 4183),(-3.5527136788e-15 4334),(0.0 4496),(-0.00139290155539 4668),(-3.5527136788e-15 4826),(-0.0100396619797 4990),(-0.0011885146024 5158),(-0.00572395962191 5311),
Point1,H1,(4.62700182478 117),(7.24784639464 197),(6.9528085032 267),(9.81727323471 415),(9.19411374398 553),(5.30015112371 694),(5.70683648567 760),(5.14153558128 906),(9.02447865049 1063),(7.37498825225 1237),(5.69739893101 1396),(8.13769154216 1557),(6.29612751955 1716),(7.40960732457 1862),(8.42177924688 2037),(10.158565242 2199),(9.86306275612 2367),(7.14254188094 2519),(8.35018308176 2676),(7.00642165145 2836),(9.65803584608 3012),(7.80042316416 3176),(7.59963460362 3303),(9.1591232268 3483),(9.85091877569 3645),(12.666152855 3812),(11.37487765 3982),(9.32137470284 4148),(10.0572392959 4301),(11.0752146615 4461),(12.3489676118 4624),(5.62248997674 4756),(8.29903157561 4947),(7.89788781785 5124),(6.31793632284 5270),
Point1,H2,,,,,(8.3539425832 574),,,,,,,(-3.5527136788e-15 1599),(-8.43769498715e-15 1747),,,,,,(-0.00934577315398 2719),(1.7763568394e-15 2867),(5.77315972805e-15 3045),,,,,,,,,,,,,
Point1,H3,,,,,(8.68123413228 588),,,,,,,(4.74245016669 1639),(4.4467919189 1784),,,,,,(3.65787276466 2749),(6.49596712212 2924),(1.96444213468 3084),,,,,,,,,,,,,
Point1,H4,,,(-0.00399173015983 301),(-3.5527136788e-15 458),,,(-0.00398512355219 799),(-1.1990408666e-14 946),(8.881784197e-16 1104),(-0.00547729298789 1277),(2.6645352591e-15 1433),(4.22027534665 1663),(4.43918616502 1788),(-0.00176455155777 1904),(1.7763568394e-15 2079),,(-3.5527136788e-15 2403),(-0.00521850980341 2556),(3.3663395941 2761),(5.50899157357 2940),(1.94090359436 3089),,,(-8.881784197e-16 3519),(-6.2172489379e-15 3679),(2.6645352591e-15 3854),(7.9936057773e-15 4017),(6.2172489379e-15 4183),(8.881784197e-16 4333),,(-1.15463194561e-14 4665),,,
