Cycle,0.70475
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(14.3132151558 92),(8.51475792021 255),(7.08098956879 406),(8.29632520857 554),(10.0118418381 709),(9.11780677854 869),(10.9432906906 1019),(5.94223686225 1163),(6.72592359227 1303),(8.66806324721 1442),(8.76129455783 1582),(9.00393621999 1730),(10.0624729638 1882),(6.63920028034 2023),(7.02319703376 2174),(9.40542044225 2329),(7.67086905051 2483),(5.93215588306 2626),(6.35661688161 2776),(10.1916378184 2923),(7.48522972524 3074),
Point0,H2,,,,,,,,(2.48155534958 1194),,,(-2.22044604925e-15 1647),,,(1.94236124236 2052),,,,,,,
Point0,H3,,,,,,,,(3.1789096072 1209),,,(1.08283527729 1665),,,(2.25978829913 2065),,,,,,,
Point0,H4,(5.11756716268 144),,(1.46440990975 487),(-8.881784197e-16 622),(1.08649406405 770),,(1.55975762109 1084),(1.59418201742 1232),,(4.21684001721 1470),(0.760346362509 1678),(2.11796836704 1789),(3.14250277727 1919),(0.816129098943 2095),,,(2.43207336734 2521),(1.88424565166 2663),,,
Point0,H5,(5.12138546574 147),,(1.75970823817 500),(0.501655201762 639),(1.9135264214 792),,(2.33560332042 1099),(2.76149970169 1252),,(5.00760424864 1485),(0.953754647753 1691),(2.6580706244 1802),(3.1429256507 1920),(1.13552698503 2110),,,(3.02281041038 2537),(1.89073685965 2666),,,
Point0,H6,(-0.021072501089 204),(2.22044604925e-15 372),(0.0 520),(-0.0210788930431 669),(-0.00198456550439 817),(-4.4408920985e-15 949),(-0.0035683415314 1124),(4.4408920985e-15 1274),(-0.0170537633417 1392),(-1.33226762955e-15 1543),(-2.22044604925e-15 1647),(-3.10862446895e-15 1840),(-0.00339934769197 1985),(-1.33226762955e-15 2134),(-3.5527136788e-15 2238),(-3.10862446895e-15 2401),(8.881784197e-16 2595),(3.33066907388e-15 2717),(3.99680288865e-15 2877),(-0.0159830677638 3019),
