Cycle,0.820396541967
Average Width,12.9759895057
Width,,11.3912193855,8.30820162121,9.06935326499,8.79453564682,11.3946173489,11.994521507,11.1986355344,10.6647846944,12.1394910132,11.754327735,11.1267528588,13.1126977957,12.7781993092,11.8358581142,10.0955599949,12.136824731,14.1808129177,0,11.6154288202,17.5260895747,10.1051024831,12.9737197237,11.3586855199,11.9039101651,12.8785944327,0,0,0,0,11.8427648857,0,10.2874798923,12.4032239924,9.96571762522,11.9367155321,11.3225379006,12.6983955804,12.1714310462,14.3606003141,12.0659647388,10.7530708824,11.3309388534,10.4010516687,10.9930979334,11.3758227962,11.2501759696,11.3035375703,11.2067402918,10.9374911756,11.3668568791,0,13.9641466432,11.2257766254,10.6448459464,11.5314185728,12.381333931,11.1255627425,12.5620706718,10.494803727,12.5021410116,12.4397906498,12.4379327705,8.49694559401,0.0,0.0,14.5700896474,14.6590112558,14.0490635213,12.8995310869,18.1152761568,15.7068159221,14.7775499494,19.2335425223,16.1655051059,12.9784318273,20.6292566814,13.832705417,20.1022359272,19.5997076227,27.0034481893,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8007009666,18.0060535082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point1,H5,(1.39800601903 173),(1.7751102958 331),(2.21816244266 500),(3.24538871984 695),(0.634287479263 874),(4.40847245684 1011),(3.11213071298 1209),(3.05676301919 1383),(3.43307031634 1558),(2.86877796812 1750),,(4.59626625233 2104),(4.36630451938 2280),(5.58933627272 2454),,(6.56296767215 2765),,,(2.67926837477 3099),(2.50032886779 3260),,(3.63670157899 3592),(4.24255263881 3749),(3.90955311287 3910),(4.32458462655 4088),(1.03170287583 4283),(2.34393636737 4442),(2.38297732043 4617),(1.74928880295 4792),(2.87049078057 4952),,,(3.87910945614 5448),(2.20897319144 5622),,(5.74030024949 5991),,(3.14462909679 6310),(3.65386581959 6488),(3.82844895988 6663),(4.14459076341 6839),(3.79263014644 7000),(4.88979080352 7175),,,(5.56053778944 7688),,,(1.80961620553 8218),(4.34633152374 8389),,(3.25017773476 8742),(5.58095850897 8890),,,(4.10813130668 9382),(5.00075652714 9542),(5.10878275558 9720),(4.6443672404 9878),(4.56344564938 10030),(5.94106710847 10215),(2.74274621486 10369),,(3.47736555014 10713),(3.86420662712 10853),,(5.21531995934 11161),(5.06916607831 11320),(5.91708540102 11477),,(6.62843538551 11801),(6.08502146499 11959),(4.35984960163 12121),(5.08657474773 12297),,,,,,(3.24539602095 13270),(4.95615758793 13446),(5.04022079172 13642),(5.84384578885 13831),,,,,,,,,,,(5.75953588605 15688),(6.0375835628 15861),,(6.21254547817 16233),,(3.36283050782 16552),(6.1047552239 16711),(6.0298628016 16871),,(4.96782151906 17178),(6.12065111686 17333),(5.84290431236 17510),,(4.49022350835 17814),,,,(4.46712698093 18378),,,,
Point1,H6,(-0.0242333857318 1),(-0.0271949006624 159),(-0.00184758055713 348),(-3.5527136788e-15 526),(-7.1054273576e-15 712),(-2.48689957516e-14 884),(-8.881784197e-15 1046),(2.48689957516e-14 1224),(-3.5527136788e-15 1404),(1.24344978758e-14 1583),(-1.24344978758e-14 1768),(7.1054273576e-15 1955),(3.01980662698e-14 2122),(2.6645352591e-14 2299),(-0.0139350186719 2477),(1.68753899743e-14 2627),(5.3290705182e-15 2808),(4.26325641456e-14 2974),(3.01980662698e-14 3119),(3.90798504668e-14 3276),(5.50670620214e-14 3436),(2.84217094304e-14 3609),(-0.000357258554093 3770),(3.19744231092e-14 3929),(1.06581410364e-14 4107),(5.95079541199e-14 4294),(3.46389583683e-14 4458),(7.1054273576e-15 4632),(1.7763568394e-15 4806),(1.24344978758e-14 4968),(2.6645352591e-14 5140),(6.2172489379e-15 5299),(2.48689957516e-14 5467),(3.5527136788e-15 5647),(-7.1054273576e-15 5832),(1.42108547152e-14 6011),(-0.00528541630365 6180),(1.95399252334e-14 6332),(2.84217094304e-14 6505),(1.95399252334e-14 6683),(1.95399252334e-14 6857),(2.30926389122e-14 7019),(8.881784197e-15 7195),(1.06581410364e-14 7380),(3.73034936274e-14 7539),(-0.00760722145696 7707),(2.48689957516e-14 7890),(2.6645352591e-14 8057),(1.59872115546e-14 8231),(1.06581410364e-14 8409),(-2.06066680182e-05 8584),(3.5527136788e-15 8760),(1.42108547152e-14 8936),(8.881784197e-15 9096),(3.37507799486e-14 9239),(1.7763568394e-15 9401),(5.3290705182e-15 9563),(1.95399252334e-14 9739),(2.84217094304e-14 9906),(1.06581410364e-14 10070),(2.6645352591e-14 10235),(-0.0113158220469 10403),(-3.01980662698e-14 10573),(-1.31504033831 10732),(-1.42108547152e-14 10873),(-8.881784197e-15 11021),(7.1054273576e-15 11179),(-3.5527136788e-15 11339),(-1.59872115546e-14 11498),(-2.48689957516e-14 11655),(-2.84217094304e-14 11820),(-2.30926389122e-14 11979),(-3.37507799486e-14 12141),(-3.37507799486e-14 12315),(-4.08562073062e-14 12490),(-0.0139733007997 12661),(1.7763568394e-15 12809),(1.7763568394e-15 12968),(2.13162820728e-14 13121),(1.06581410364e-14 13292),(1.7763568394e-15 13470),(1.06581410364e-14 13659),(-1.06581410364e-14 13850),(-1.59872115546e-14 14021),(-0.00661327447293 14190),(1.7763568394e-15 14364),(7.1054273576e-15 14536),(0.0 14682),(-7.1054273576e-15 14848),(-2.6645352591e-14 15032),(-1.59872115546e-14 15195),(-3.90798504668e-14 15366),(-4.08562073062e-14 15545),(-4.26325641456e-14 15707),(-0.00457443783302 15883),(-0.00565628620098 16070),(-3.5527136788e-14 16251),(-2.48689957516e-14 16396),(-2.13162820728e-14 16568),(-1.7763568394e-15 16731),(1.06581410364e-14 16892),(7.1054273576e-15 17049),(-5.3290705182e-15 17197),(-2.13162820728e-14 17359),(-2.13162820728e-14 17532),(-0.00137536495285 17688),(-1.7763568394e-14 17835),(-1.24344978758e-14 17977),(1.24344978758e-14 18118),(0.0 18252),(1.06581410364e-14 18396),(1.42108547152e-14 18544),(-1.42108547152e-14 18708),(5.3290705182e-15 18861),
Point2,H1,(31.3631403118 45),(26.5757582392 214),(32.8614355318 387),(30.0837545281 563),(29.5919658965 744),(26.391585773 917),(28.7739323433 1079),(30.3261580897 1255),(29.079762074 1443),(28.6744247055 1619),(29.277133528 1801),(25.8756737026 1989),(26.5960073016 2155),(27.7296827634 2337),(26.7865884739 2513),(25.2469229387 2661),(12.6958515158 2835),(24.503652344 2926),(23.9192083747 3010),(27.4176364736 3156),(26.5009637525 3316),(27.6007822742 3476),(27.9352303253 3642),(26.3542288589 3803),(27.9825870287 3964),(26.1086369739 4144),(24.1298424235 4324),(21.2725343686 4494),(23.4191229114 4661),(23.181972618 4837),(24.3086327773 4999),(25.2783203546 5172),(25.5219248171 5332),(27.5764513185 5506),(26.8692379001 5685),(29.9081199508 5864),(24.4322985791 6044),(24.556246363 6211),(26.2425991364 6371),(29.1169241508 6537),(27.5466986645 6720),(25.0889233836 6887),(27.6382256808 7057),(27.7409768838 7234),(25.8819600878 7412),(25.8106423027 7572),(28.9257860622 7744),(26.9342065093 7925),(26.7388072237 8087),(25.083246402 8262),(29.0594906223 8439),(29.0007948414 8615),(30.2856689952 8792),(28.2068834448 8967),(26.6498950167 9127),(28.3507464849 9270),(30.757949881 9432),(32.3974155104 9603),(30.7869274419 9774),(28.2760877799 9940),(31.0465756142 10102),(31.0025864737 10272),(31.9345715307 10438),(25.3377566752 10608),(20.7017580266 10767),(26.6306745612 10904),(30.2907239696 11061),(29.1113491896 11213),(30.6151333489 11374),(27.8239546008 11531),(31.1055351906 11687),(28.5037849534 11857),(27.9967459983 12014),(30.4682653528 12181),(29.6807848294 12347),(28.4492301374 12521),(26.9100256503 12692),(25.5788081347 12839),(27.099184995 12999),(24.3057675782 13157),(22.5788444815 13333),(23.5513852188 13510),(24.8161280157 13694),(23.8170482002 13882),(24.3265777616 14053),(27.2955776457 14228),(27.1256663339 14402),(23.7798765975 14566),(21.2308234711 14713),(26.8052349186 14886),(17.2108751284 15062),(19.5953235506 15229),(24.2587437243 15399),(26.6492560282 15576),(24.0864399129 15737),(24.7214277877 15916),(30.5317679476 16102),(29.4341466698 16284),(26.4171760454 16434),(31.1703249016 16600),(26.7962312562 16762),(23.7115421298 16928),(23.450370275 17078),(18.3835650146 17236),(20.2919851465 17398),(16.1341968418 17573),(18.3131292673 17720),(19.7307863908 17873),(20.7052623317 18008),(21.2642717422 18150),(20.948738486 18292),(19.5619534085 18431),(21.0153223027 18582),(23.9406487445 18742),(18.1961295824 18900),
Point2,H2,(15.4004757496 73),(11.7829896983 259),,,,(10.153504739 954),,(12.5013521264 1302),,,,,(5.05410619869 2247),,,(13.9170885073 2704),(7.67368052027 2851),,(2.36001004007 3090),,,,(11.2975636249 3687),(9.88048735129 3845),(10.5909995974 4007),,,,(6.38447363089 4707),(3.17976759679 4915),,,(3.84470634278 5411),,,,,,,,,,,,,(8.4393962784 7623),,,(10.0197256447 8134),(11.4106305425 8307),,(13.9803370631 8658),(14.7046624167 8837),,(11.5053827259 9164),(5.70330592947 9356),(14.9561873109 9476),,(13.9768220376 9813),,(15.5316114394 10149),,,(17.1836918196 10635),(11.1402248181 10796),(12.3333632528 10947),,(17.4326810811 11253),,(14.6846252271 11570),,,(16.4299276739 12050),,(18.6633045327 12388),(16.7497646752 12564),(11.6920760817 12736),(14.0867826966 12880),,,(14.8282923756 13366),,(18.4854675635 13730),(17.8520179479 13921),,,(17.1373162181 14434),(12.8414180462 14610),(12.0533022254 14756),(16.3628410514 14935),(12.6406460844 15093),(14.8598995419 15270),(21.8966254931 15416),(15.6790955575 15623),(15.9532386188 15777),,(17.1025226753 16148),,(14.7305578158 16467),,,,,,,(11.3896229922 17607),,(12.0056435533 17905),(10.9720444832 18051),(10.7731087749 18192),(5.17717208907 18369),,,,
Point2,H3,(16.4994039021 85),(12.068478024 268),,,,(10.2183783102 960),,(12.5350364685 1306),,,,,(5.10981769579 2252),,,(16.1579675344 2720),(11.3668923883 2869),,(2.53563938095 3099),,,,(11.3499116158 3692),(9.91121743736 3850),(10.5923029581 4009),,,,(6.46089930015 4713),(3.69649972805 4928),,,(4.22780626911 5423),,,,,,,,,,,,,(8.44432509229 7626),,,(10.0729347207 8138),(12.2318659677 8318),,(14.4250364899 8667),(14.7085591838 8839),,(12.1649102229 9176),(5.70364300081 9357),(15.2258405049 9484),,(14.4257648869 9822),,(15.6858249429 10155),,,(17.6830313888 10646),(12.0914876678 10809),(12.5007063007 10954),,(17.6142909211 11260),,(14.7865260834 11577),,,(16.5353760007 12057),,(18.7792759348 12394),(16.806195343 12569),(11.9275710616 12744),(14.1868830061 12887),,,(14.8399871844 13371),,(19.0499691497 13742),(18.139933034 13930),,,(17.2241885426 14442),(12.8858378894 14614),(12.3527201558 14765),(16.3921382066 14939),(13.8750036523 15116),(14.8743780401 15273),(21.9023630422 15418),(15.6808430809 15625),(16.8822733837 15789),,(17.2216009278 16154),,(15.5110176244 16479),,,,,,,(11.4238454478 17612),,(12.1775499356 17914),(11.1921941158 18058),(11.4893281763 18204),(5.46694473539 18377),,,,
Point2,H4,(-0.33838282148 160),(1.42373075308 318),(2.77409425056 497),(2.20560356239 687),(-0.00308463984643 866),(1.6978432481 1024),(3.83723639919 1202),(3.40477433193 1369),,(2.75173485906 1744),(0.737718752738 1938),(1.62637000442 2094),(3.82629738388 2270),(3.55485078898 2449),,,,,,(-0.0264279157923 3242),,(1.55800310283 3583),(3.54493342693 3745),(2.63162329261 3903),(3.19449336272 4077),(-7.1054273576e-15 4269),(0.750228830648 4430),,(0.519389742909 4782),(2.11496755383 4945),(3.40509689473 5097),,(3.24106808244 5440),(1.57146683261 5616),(2.76191040202 5808),(4.81980157825 5984),(0.656008638812 6164),(1.79662459137 6300),(2.82224255374 6483),(2.6676748168 6656),(3.20541225653 6830),(2.30986425047 6990),(3.43726460833 7170),,,(2.58189481644 7674),,(4.62650904962 8033),(1.41710512695 8208),(8.56866241868 8341),,(3.87116296462 8737),(4.03384018051 8912),(3.65632606971 9074),,(4.27977819285 9376),(5.00033341777 9535),(4.73144220438 9712),(3.96051004122 9872),,(4.53759322534 10207),,,(-0.0218681483241 10699),,,(5.63248457757 11152),(5.45723742293 11312),(5.56858134077 11476),(3.12490456015 11635),(5.94202059141 11793),(5.79090718217 11952),(4.2227348278 12116),(6.32114542113 12292),(5.0417813454 12467),,(4.57961060067 12783),,,(2.8919370968 13264),(5.50749806181 13441),(4.06383147174 13633),(5.54858920583 13826),,,,,(4.18484825815 14658),(4.16160881303 14815),,(5.49486207972 15171),(6.79080295604 15318),(16.3528539613 15445),(5.44603134343 15682),(4.83689056361 15856),,(5.63043616597 16224),(7.30441765378 16370),,(5.90502644738 16708),(5.4767316665 16865),,(5.04679309185 17167),,,(3.12602826245 17665),(4.10262234477 17810),,,,,,,,
Point2,H5,(0.787195509853 174),(1.93931919867 330),(2.7823511975 500),(3.21863340319 699),(0.366750943467 877),(2.24610100479 1035),(3.8522647582 1206),(3.85152486998 1382),,(3.417662793 1755),(1.36145304064 1949),(4.05026082614 2109),(4.60223681067 2282),(3.98469432465 2458),,,,,,(2.1657501295 3261),,(3.12708871239 3597),(3.77277241317 3753),(3.3600595283 3915),(3.90488995066 4090),(1.5656598868 4286),(2.02492193144 4445),,(2.01736152708 4797),(2.57194002172 4955),(3.46258305682 5104),,(3.41444715107 5449),(2.11778070479 5629),(3.26885911635 5819),(5.15836943315 5993),(0.846798435302 6172),(2.39190271031 6314),(2.93114871933 6490),(3.44190911553 6667),(4.01943780275 6843),(3.45022984603 7004),(3.48963735775 7175),,,(4.57913450083 7691),,(4.75561047305 8040),(2.18473432435 8220),(8.64562532436 8348),,(4.03231905289 8744),(4.19877514175 8920),(3.84963394452 9081),,(4.69663169798 9386),(5.5549221051 9546),(5.5284190346 9723),(4.00951800834 9877),,(5.1839278735 10218),,,(3.60828363283 10718),,,(6.17138325377 11162),(6.15486177748 11322),(5.57182348413 11478),(3.32200014527 11642),(6.13819445167 11800),(6.14849366431 11961),(4.22919480681 12118),(6.34540439839 12296),(5.19108577867 12473),,(4.85308750287 12792),,,(3.04806225292 13273),(5.5341553541 13445),(4.65306938274 13643),(5.63467144379 13832),,,,,(4.37704325883 14666),(4.23841944704 14821),,(5.54656449858 15176),(7.08754963666 15328),(16.6600277725 15455),(5.53146096601 15688),(5.3588669063 15866),,(6.3208536124 16234),(7.34743652217 16375),,(5.97485286413 16713),(5.86465974061 16874),,(5.70409589653 17178),,,(3.32483919284 17674),(4.25771396652 17817),,,,,,,,
Point2,H6,(-0.0751690189879 2),(-0.33838282148 160),(-4.08562073062e-14 348),(-2.13162820728e-14 527),(0.0 714),(-0.00308463984643 866),(-0.0114893057243 1049),(-3.37507799486e-14 1226),(-7.1054273576e-15 1407),(-9.69171761156e-05 1581),(-8.881784197e-15 1771),(-3.90798504668e-14 1960),(-4.61852778244e-14 2125),(-2.30926389122e-14 2302),(-1.95399252334e-14 2478),(-0.000298353503608 2630),(1.24344978758e-14 2812),(-4.4408920985e-15 2975),(8.881784197e-15 3122),(-0.0264279157923 3242),(9.7699626167e-15 3438),(3.5527136788e-15 3611),(-1.42108547152e-14 3771),(-5.3290705182e-15 3931),(-1.95399252334e-14 4109),(-7.1054273576e-15 4269),(-1.24344978758e-14 4460),(-2.22044604925e-14 4634),(-1.59872115546e-14 4810),(-2.57571741713e-14 4970),(-1.06581410364e-14 5143),(0.0 5302),(3.37507799486e-14 5469),(2.84217094304e-14 5649),(8.881784197e-15 5834),(-0.0200395346249 6013),(-0.00635985232521 6183),(7.9936057773e-15 6334),(-7.1054273576e-15 6506),(1.42108547152e-14 6685),(7.1054273576e-15 6859),(0.0 7021),(-5.3290705182e-15 7196),(-3.5527136788e-15 7382),(5.3290705182e-15 7541),(-5.3290705182e-15 7709),(-3.5527136788e-15 7891),(-1.7763568394e-15 8059),(5.3290705182e-15 8234),(7.1054273576e-15 8411),(2.30926389122e-14 8587),(2.30926389122e-14 8762),(5.3290705182e-15 8938),(5.3290705182e-15 9099),(-1.24344978758e-14 9241),(-3.19744231092e-14 9403),(1.59872115546e-14 9565),(2.48689957516e-14 9741),(5.3290705182e-15 9907),(-0.0131263372795 10072),(2.30926389122e-14 10237),(3.5527136788e-15 10406),(-2.30926389122e-14 10574),(-0.776676178004 10734),(-1.59872115546e-14 10875),(-0.00346948814049 11022),(-2.13162820728e-14 11181),(3.5527136788e-15 11341),(-2.48689957516e-14 11500),(2.48689957516e-14 11658),(1.06581410364e-14 11822),(-8.881784197e-15 11981),(0.0 12143),(-3.5527136788e-15 12316),(3.5527136788e-14 12492),(4.61852778244e-14 12662),(4.4408920985e-14 12811),(4.26325641456e-14 12970),(4.26325641456e-14 13124),(4.4408920985e-14 13295),(2.48689957516e-14 13473),(1.95399252334e-14 13661),(2.48689957516e-14 13852),(-0.00270557317564 14024),(1.95399252334e-14 14193),(1.7763568394e-15 14366),(1.24344978758e-14 14538),(3.37507799486e-14 14684),(3.01980662698e-14 14852),(4.79616346638e-14 15034),(1.7763568394e-14 15197),(-0.010250955889 15368),(5.3290705182e-15 15547),(7.1054273576e-15 15708),(-1.06581410364e-14 15885),(-3.5527136788e-15 16073),(2.48689957516e-14 16253),(-0.00860694237355 16399),(-3.5527136788e-15 16570),(0.0 16732),(-1.59872115546e-14 16894),(-3.5527136788e-15 17051),(-3.5527136788e-15 17199),(2.13162820728e-14 17361),(1.7763568394e-15 17534),(1.7763568394e-15 17692),(1.7763568394e-15 17838),(1.24344978758e-14 17979),(1.24344978758e-14 18120),(2.13162820728e-14 18254),(1.06581410364e-14 18398),(3.5527136788e-15 18546),(1.7763568394e-15 18709),(-1.7763568394e-15 18863),
Point3,H1,(29.7765698864 45),(18.5787066106 214),(28.1687409006 386),(25.2010146844 563),(24.0864605701 743),(22.8594446986 916),(23.9623694765 1078),(24.9385186384 1255),(24.0825110531 1443),(24.3692589604 1619),(24.0428922691 1800),(21.1531373909 1989),(21.8515856045 2155),(23.6290791503 2337),(21.9718710828 2512),(21.8297456977 2661),(24.1410966824 2926),(18.9278991806 3008),(23.7214059798 3156),(22.1282777605 3315),(22.3420647682 3476),(22.6922872843 3642),(21.6747002122 3803),(22.5794819901 3963),(20.3560505138 4143),(18.5045442782 4324),(15.6659752799 4494),(17.6358729386 4660),(17.6731477024 4836),(18.7282223035 4998),(19.3983836055 5171),(19.8458379528 5332),(21.5877021239 5506),(21.8694682729 5684),(26.9049029843 5863),(20.2130053555 6043),(19.3953187535 6211),(21.1630537962 6370),(24.1211616069 6536),(21.441772523 6720),(20.1402092206 6886),(21.1766874995 7056),(23.4550700622 7233),(21.2288544957 7412),(20.9439176999 7572),(23.4314348734 7744),(21.8117124634 7924),(21.2536218915 8087),(20.0797843869 8262),(23.3315681216 8439),(22.9042904838 8616),(23.6394797534 8792),(22.4768483325 8967),(21.7831957695 9127),(23.6985495619 9269),(25.0703092836 9431),(27.3011913564 9603),(25.2797524257 9774),(24.4862878597 9940),(27.4432174038 10102),(26.7911748788 10272),(29.3842732279 10437),(21.9368218778 10610),(19.8200693596 10766),(26.6820496972 10903),(29.0189746095 11060),(27.268494505 11211),(28.3359421648 11373),(25.9362698936 11530),(28.1345904601 11686),(25.7658896883 11856),(25.6337704003 12014),(27.6816466563 12180),(28.3764122236 12346),(27.6575369379 12520),(24.0020737508 12692),(24.542009654 12839),(26.2842680286 12998),(24.5441270429 13156),(21.8909280075 13331),(23.2819338382 13509),(23.6364544068 13693),(21.6260474811 13881),(21.8310616409 14053),(23.0995935059 14228),(23.2284052321 14402),(20.0811880943 14567),(17.7891058605 14713),(22.4736656391 14886),(13.4247677855 15062),(16.1061304567 15232),(20.5938306946 15400),(22.752420936 15577),(20.1720797794 15737),(20.433944417 15916),(25.4695516306 16102),(24.0240152505 16284),(21.3139300096 16434),(24.6785277296 16600),(21.0692921503 16762),(19.0519189044 16934),(19.1141805635 17079),(14.3686893741 17240),(15.3974852329 17399),(13.4229975071 17577),(15.1128302771 17720),(17.0667548029 17872),(17.8775915715 18008),(17.700316277 18150),(17.9900696674 18292),(16.8654093503 18431),(18.3961101344 18582),(19.5105786566 18743),(15.6669353987 18902),
Point3,H2,(13.4842866881 73),(8.65935835059 258),,,(1.3494349837 828),(7.63852459504 956),(9.01147448502 1124),,,,,,(3.56914020982 2242),,,,,,(-0.0591261750954 3241),(1.66439034045 3407),(1.52995581884 3559),(7.40724161738 3688),,(6.83986323325 4006),(-0.000950791052343 4249),,,,(1.86873593537 4912),(5.54844974305 5044),,(1.81614198676 5408),(1.66744185562 5588),(4.02076076562 5763),(6.71652719343 5952),,(0.0483758693062 6295),,,(3.09800600161 6805),,,,,,,(4.83186446442 8010),,(8.57401704589 8308),,(10.4657403623 8659),(3.1442289295 8886),,(8.5341891167 9164),(3.84258755684 9351),(11.177168679 9476),,(10.4581338178 9814),(12.9072605441 9969),(11.9863851576 10149),,,(17.6306009608 10632),(10.9683668013 10796),(11.7661370102 10945),(4.41272555965 11152),(14.7982084483 11251),(15.0693786333 11412),,,(14.0373392773 11894),(13.7068616625 12051),(8.88965920818 12262),(16.2758203378 12387),(14.6133510656 12562),(9.86657154077 12735),(12.6884350589 12880),,,(13.5926376074 13362),,(16.3720637768 13730),(15.9815177146 13921),(6.41696878604 14135),,(14.7593568018 14431),(10.768348921 14611),(10.1514561759 14757),,(10.1023015319 15082),(5.61490491995 15318),(18.7339607812 15415),(13.0781330189 15622),(13.7497424167 15777),,(13.975057071 16148),(5.58814880738 16371),(12.3211288847 16466),,,(12.6611480503 16965),(3.90147753457 17168),,,(1.69425911871 17665),(3.67780262829 17810),,,(9.20039511484 18193),(4.23569418763 18370),,,,,
Point3,H3,(14.3865718599 84),(9.02604885103 268),,,(1.35009333115 830),(7.64813430293 959),(9.03104945758 1128),,,,,,(4.40577450132 2257),,,,,,(2.16935551978 3262),(1.90323409023 3417),(1.61994578788 3566),(7.43504769128 3693),,(6.86561213525 4011),(0.0738641053354 4257),,,,(2.37889692361 4927),(5.59550012603 5050),,(2.73441459075 5426),(1.70713504403 5594),(4.29160417724 5774),(6.76697245497 5960),,(0.796452739161 6314),,,(3.37251342783 6815),,,,,,,(4.84128835073 8013),,(8.7847914757 8316),,(10.6107593084 8666),(3.40559620615 8896),,(9.04033087664 9175),(3.89865043252 9357),(11.2976845396 9483),,(10.6072143342 9820),(13.1181080855 9981),(12.1784474556 10156),,,(19.1994383057 10648),(11.8548381674 10809),(11.9888732249 10953),(5.13622794024 11163),(15.0961697031 11260),(15.1062865647 11417),,,(14.0680738954 11899),(13.8205188541 12058),(9.02771276254 12268),(16.7014261186 12396),(14.8013993347 12570),(10.2278606866 12744),(12.8101415038 12887),,,(13.6630824902 13371),,(16.8642342452 13742),(16.2789852022 13930),(6.42050463616 14137),,(14.9317401483 14440),(10.7740053223 14614),(10.2097965599 14763),,(11.9311285578 15116),(5.79770879215 15327),(18.7607626409 15419),(13.1195223804 15627),(14.3797731682 15789),,(14.1366469992 16155),(5.59223895527 16373),(12.6692878997 16477),,,(12.8463716873 16974),(5.03520860788 17180),,,(2.09828389897 17675),(3.82077482213 17817),,,(9.60942466065 18203),(4.47037439898 18378),,,,,
Point3,H4,(0.160897582667 160),(1.0392931393 319),,(0.787252953658 685),(-1.68753899743e-14 863),(1.240567021 1023),(3.19582750917 1201),(2.08347042499 1363),,(2.05745358299 1743),(0.630171480702 1937),(0.780738167824 2093),(3.6092220599 2271),(2.5593845378 2447),,,,,,,(0.742473656521 3583),(2.62977530398 3743),(2.06455549947 3903),(2.69809034207 4073),(-0.0680147012157 4267),(0.23358691249 4427),,,(1.37650804637 4944),(2.32614403471 5092),(0.6905999003 5279),(2.55280802357 5437),(0.166905999993 5615),(2.57251009887 5806),(4.05647669065 5984),(-0.00165819380728 6161),,(2.44373395167 6483),(1.19277943152 6656),(2.53893851119 6830),(0.858139258962 6991),(2.18804320434 7169),(0.839549092872 7364),,(1.58751458334 7674),,(3.61275791577 8034),,(6.89684020998 8336),,(2.90742548837 8737),(2.57848561264 8911),(2.28403200263 9073),,(2.60095408605 9375),(3.36998796948 9534),(2.85723116507 9712),(2.74444351918 9870),,(3.13301641241 10207),,,(-3.5527136788e-15 10699),(5.4319252939 10848),,,(4.42419036476 11312),(4.88246382045 11474),(1.98053985368 11634),(4.92552566153 11791),(4.32844237378 11952),(2.98207865347 12114),(5.08480177582 12294),(4.60464446965 12468),,(3.70056927951 12782),,,(2.34308495924 13265),(5.08084367046 13439),(3.91405945563 13633),(4.97370611111 13825),,,,,(3.87636272355 14659),,,(4.03382046955 15171),,(14.3437799278 15444),(4.75599742474 15680),(4.36814074245 15857),(1.98036134141 16052),(4.73457077915 16224),,,(4.46981002875 16706),(4.20212382668 16865),,,,(4.96626030994 17506),,,,,,,,,,,
Point3,H5,(0.716719317207 173),(1.17357648788 327),,(2.57271577188 701),(1.16544111613 879),(2.08714549788 1036),(3.20150711864 1204),(2.93265682257 1381),,(2.96322028952 1756),(1.23484208925 1949),(3.30679523549 2110),(3.9284356909 2281),(3.22179904691 2459),,,,,,,(1.8813132032 3597),(3.0050230531 3754),(2.79351511944 3915),(3.27477568004 4088),(1.84551479426 4286),(1.12946034048 4444),,,(2.18736219774 4956),(2.67178796526 5104),(0.978658319181 5291),(3.17016750884 5450),(0.934632274784 5632),(3.13550366041 5818),(4.84750583134 5995),(0.571449796244 6173),,(2.49996193105 6489),(2.13996282814 6669),(3.42054003727 6843),(1.71790518164 7005),(2.37419010426 7177),(0.952226510529 7371),,(3.50879519113 7692),,(3.68808581605 8040),,(7.49856576301 8349),,(3.1844606142 8746),(3.16808271308 8923),(2.65205728023 9083),,(3.68136930352 9388),(3.99826383912 9546),(3.78151569856 9724),(2.85418058787 9878),,(3.92074445837 10219),,,(4.10871496315 10719),(5.53340164272 10854),,,(4.8569073917 11322),(4.99862483492 11480),(2.30027767428 11643),(5.31728586817 11801),(4.71967077942 11962),(3.18466867284 12122),(5.08739972729 12295),(4.65147259558 12472),,(4.24552070471 12794),,,(2.50271761418 13274),(5.25042105042 13447),(4.39680741117 13643),(5.15647645957 13833),,,,,(3.9114919483 14664),,,(4.06932847275 15176),,(14.7480886851 15454),(4.96854372135 15688),(4.6529609731 15866),(2.0452477291 16058),(5.1425330155 16234),,,(4.70162734573 16714),(4.72893283379 16875),,,,(4.9782193041 17510),,,,,,,,,,,
