Cycle,0.832586155674
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(10.95896203 46),(9.91190093025 226),(9.97273826727 404),(11.5916427986 561),(11.0227780945 737),(10.3341357769 909),(10.8619639899 1086),(12.9317594353 1258),(13.8395097195 1433),(11.9229818871 1612),(11.5653521937 1792),(13.2178373098 1955),(14.8304502859 2134),(11.4318497111 2307),(11.5217667992 2479),(12.8873895933 2657),(13.8436208579 2812),(11.8442013608 2993),(10.0019106601 3149),(10.6663543777 3333),(11.4667103576 3481),(10.5278777684 3665),(9.45237620489 3824),(11.3064539966 4004),(11.4490704996 4157),(11.8076494948 4334),(11.2252943981 4508),(11.1080493251 4685),(12.335013795 4843),(13.4249539342 5018),(10.4999616356 5186),(10.6447574277 5359),(11.0673082999 5532),(12.1990028573 5707),(11.2578134359 5885),
Point0,H2,,(1.15793089958 326),,(6.33356084524 621),,,,(7.17596277267 1310),,,,,,,,,(12.5043650716 2827),,(1.91940577235 3230),,,(5.07723156475 3703),,,(10.8926770543 4168),,,,(10.4255535657 4860),,,(6.85446106205 5404),(10.1318178334 5548),,
Point0,H3,,(1.60965146296 338),,(6.4154787243 629),,,,(7.3460054457 1318),,,,,,,,,(12.6189624055 2834),,(2.00329003547 3238),,,(5.08398026683 3708),,,(11.4000032976 4179),,,,(10.6027382419 4868),,,(6.875012538 5409),(10.1586738966 5553),,
Point0,H4,(7.9936057773e-15 176),(-6.2172489379e-15 354),,,,,(2.08575084112 1192),(2.75242495827 1366),,(1.85168590977 1719),,(1.18945209322 2072),(2.08498330622 2247),,,(2.53664715806 2743),,,(-8.881784197e-16 3275),(2.31367488676 3414),(1.06636213892 3595),(3.09495986597 3740),(0.929613554743 3929),,(6.48683696899 4207),,,,(1.60436577697 4951),(1.54160358735 5125),,,,,
Point0,H5,(9.78437455082 209),(9.73873837492 383),,,,,(2.33213350689 1201),(2.99980466644 1375),,(2.11030209885 1729),,(1.39061521536 2081),(2.32801129702 2256),,,(2.54150871377 2746),,,(10.5787626782 3311),(2.34315960179 3419),(1.09746913353 3600),(3.20246724185 3748),(1.31021671099 3939),,(6.50523334637 4211),,,,(1.79198782582 4960),(1.60470636434 5133),,,,,
Point0,H6,(7.9936057773e-15 176),(-6.2172489379e-15 354),(-4.4408920985e-15 526),(7.9936057773e-15 704),(2.6645352591e-15 872),(-2.6645352591e-15 1043),(0.0 1219),(-7.9936057773e-15 1396),(-0.00296743649043 1570),(-8.881784197e-15 1747),(0.0 1922),(5.3290705182e-15 2096),(-8.881784197e-15 2274),(1.06581410364e-14 2440),(8.881784197e-16 2609),(3.5527136788e-15 2774),(0.0 2945),(-5.3290705182e-15 3109),(-8.881784197e-16 3275),(0.0 3443),(-8.881784197e-15 3617),(-6.2172489379e-15 3780),(-6.2172489379e-15 3954),(-9.7699626167e-15 4122),(-2.6645352591e-15 4295),(-6.2172489379e-15 4464),(0.0 4639),(-0.00344609271565 4796),(4.4408920985e-15 4978),(5.3290705182e-15 5153),(0.0 5327),(3.5527136788e-15 5493),(4.4408920985e-15 5664),(5.3290705182e-15 5854),
Point1,H1,(7.18240058981 52),(6.78628679524 231),(6.35849620813 407),(7.65573467645 565),(6.91652357901 745),(6.36106250805 931),(6.24739218403 1086),(8.67788133013 1263),(8.38349537809 1438),(7.32488703501 1619),(7.71558442332 1793),(8.60119246217 1970),(9.80524402794 2135),(7.46886823787 2310),(7.00286322258 2496),(8.09864190313 2659),(8.71879081969 2812),(7.97324466473 2995),(5.7341946358 3152),(6.97704267385 3341),(6.63935933123 3485),(7.00986809324 3667),(5.57752073907 3832),(7.13766702888 4007),(7.65156180781 4183),(7.0588690668 4335),(7.06726675676 4513),(7.57745744401 4684),(7.37692654133 4847),(8.90904482647 5019),(7.00114590528 5188),(6.64883039703 5362),(7.01140255312 5535),(8.02371900609 5711),(7.02986514723 5887),
Point1,H2,(5.97050532644 77),,,,,(3.98179227596 958),,(5.81582688638 1310),(4.53632000944 1489),,(4.36433826784 1837),(3.49661676354 2021),,(0.845156966681 2400),,,(7.5721266802 2827),,(5.5196748663 3164),,(6.23740057541 3501),(3.2273628688 3704),,(1.82957932688 4081),,,,,,(3.87470333413 5072),,,(6.55745050512 5550),,
Point1,H3,(5.98878518195 82),,,,,(4.04294651829 965),,(6.05681710711 1321),(4.55557178077 1494),,(4.58413059623 1847),(3.49941601482 2024),,(0.916374129376 2409),,,(8.34572222049 2840),,(5.54396088409 3170),,(6.2760713081 3508),(3.61858712229 3719),,(1.88429503114 4089),,,,,,(4.01645894219 5081),,,(6.63259530139 5558),,
Point1,H4,(2.03471370913 140),,,(4.54629158286 623),(-0.00421533268181 876),(0.198281347095 1019),,(2.29536975012 1369),,(1.04644949611 1721),(1.36086098677 1894),,(1.55441532601 2249),(5.77315972805e-15 2442),,,(0.62518498842 2926),,(1.12050672445 3232),(1.06893629804 3417),(0.880153890278 3595),,,(6.2172489379e-15 4121),,,,,(0.990266429322 4952),(1.75842684533 5122),(3.83179462931 5255),,(3.81926436543 5600),,
Point1,H5,(2.16401760268 150),,,(4.5952337524 631),(6.35393520834 914),(0.473547138676 1031),,(2.52593693728 1378),,(1.1549903346 1730),(1.96461088152 1908),,(1.76665539486 2259),(7.00265855522 2485),,,(0.721615450254 2933),,(1.15017350694 3238),(1.22614000862 3427),(0.963126368269 3603),,,(6.81601028865 4162),,,,,(1.04760951167 4960),(1.76765135841 5127),(3.83268238122 5257),,(3.88189055107 5609),,
