Cycle,0.765822368421
Average Width,2.58270619101
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.58270619101
Point0,H1,(9.40612783898 37),(9.80501572739 199),(10.9554033129 354),(10.5593103803 516),(11.3089478347 691),(11.7935273151 884),(12.6217647055 1063),(12.9823253657 1250),(11.9450945136 1424),(12.2241277843 1598),(10.5811934374 1764),(11.6408405293 1927),(9.96638555739 2089),(10.8002920235 2242),(11.1684520563 2407),(9.72859541731 2582),(9.88668568055 2737),
Point0,H2,(2.35702120512 126),,,,,,(8.98572851276 1104),,,(8.63599515836 1622),,,,(9.89193023365 2256),,,
Point0,H3,(2.39899528824 132),,,,,,(9.03206801905 1111),,,(8.64031821413 1624),,,,(10.0092155411 2264),,,
Point0,H4,(-3.5527136788e-15 152),,(1.68979723522 458),,,(2.23454828725 1004),,,(3.99522772796 1504),(1.24285057526 1702),,,,(3.54207937248 2324),,,
Point0,H5,(9.80296981636 181),,(1.73571575157 466),,,(2.28023291105 1011),,,(4.00574667931 1509),(1.699628247 1716),,,,(3.92813872475 2337),,,
Point0,H6,(-3.5527136788e-15 152),(-3.5527136788e-15 316),(-8.881784197e-15 486),(-0.00417695766487 656),(0.0 840),(8.881784197e-15 1031),(0.0 1213),(-0.00389386708672 1386),(-2.6645352591e-15 1562),(-2.6645352591e-15 1734),(-2.6645352591e-15 1896),(1.7763568394e-15 2048),(-0.0023978332591 2209),(1.7763568394e-15 2373),(4.4408920985e-15 2535),(1.7763568394e-15 2707),
Point1,H1,(5.07499367046 37),(6.33713511846 186),(6.2245071852 356),(6.32822800741 517),(7.56783528459 695),(7.74664392403 883),(8.12761519477 1065),(9.08926003079 1251),(8.98956484511 1425),(8.97501750855 1601),(7.97720146442 1765),(8.32267375305 1928),(6.95323709765 2089),(7.87213299151 2245),(7.96827192793 2405),(6.06681055079 2581),(7.05862794655 2738),
Point1,H2,,,,(3.88499763136 558),,(5.21327604333 929),,,,,,,,(7.43192174009 2256),(7.19163301511 2420),,
Point1,H3,,,,(4.51048270535 572),,(5.21933520646 933),,,,,,,,(7.73060252022 2268),(7.21360360304 2425),,
Point1,H4,(3.34760479164 83),(3.59911683107 226),(2.67364823882 405),(2.58900467318 594),(5.27237903733 737),(1.4225919201 994),,(5.22042093916 1296),,(0.523019276973 1705),(2.10881205472 1870),(1.15806198243 2029),,(2.81860643036 2331),,,
Point1,H5,(3.37377036401 90),(3.8606487877 239),(2.855516515 418),(2.8165079457 604),(5.47491499642 749),(1.69611589304 1009),,(5.31415275609 1304),,(0.79580718472 1719),(2.15468368733 1877),(1.25513983787 2039),,(2.96033246107 2342),,,
Point1,H6,(-8.881784197e-16 153),(-5.3290705182e-15 316),(-6.2172489379e-15 486),(-3.99680288865e-15 656),(0.0 841),(-8.881784197e-16 1032),(8.881784197e-16 1220),(4.4408920985e-16 1388),(-3.5527136788e-15 1563),(-5.77315972805e-15 1735),(-8.881784197e-15 1898),(-2.22044604925e-15 2057),(4.4408920985e-16 2212),(0.0 2375),(-3.5527136788e-15 2538),(-8.881784197e-16 2706),
Point2,H1,(5.16389354508 111),(5.96599009145 262),(6.44484854826 427),(5.96792790848 597),(5.9768333986 768),(7.1664668851 946),(8.45586399733 1138),(7.78769739566 1328),(7.0662397449 1497),(6.718972882 1673),(2.13473503049 1766),(4.88503365924 1850),(3.6074785772 1908),(6.07331335872 2009),(6.56324926172 2165),(4.82933232864 2326),(4.68525848545 2458),(5.17001480182 2646),(7.29262477781 2820),(6.35597633283 2948),
Point2,H2,,,(3.5527136788e-15 466),,,,,(0.42997397275 1362),,,,,(2.46034920667 1935),(-2.6645352591e-15 2041),,,,,
Point2,H3,,,(2.50681261276 509),,,,,(1.43706991883 1380),,,,,(2.56604842789 1946),(0.997036482678 2066),,,,,
Point2,H4,(1.02140518266e-14 146),(-0.000306194324633 303),(2.41837280589 519),,,(6.66133814775e-15 999),(3.5527136788e-15 1180),(-0.00379150296494 1414),(-0.00689292937713 1534),(-0.00529108134826 1710),(-0.00208495072908 1794),,(2.52794545843 1953),(0.806946279807 2081),(0.0 2201),(-0.000423054263201 2358),,,
Point2,H5,(2.94329661201 186),(3.29749441631 366),(4.34876021725 556),,,(4.66589773381 1083),(0.780690746328 1199),(2.98492161973 1444),(2.33185015952 1578),(1.31906004415 1730),(1.06359965229 1819),,(5.49671907418 1979),(0.834319271034 2089),(3.75159345472 2273),(2.13976733451 2396),,,
Point2,H6,(1.02140518266e-14 146),(-0.000306194324633 303),(3.5527136788e-15 466),(4.88498130835e-15 637),(1.06581410364e-14 802),(6.66133814775e-15 999),(3.5527136788e-15 1180),(-0.00379150296494 1414),(-0.00689292937713 1534),(-0.00529108134826 1710),(-0.00208495072908 1794),(-0.0136088754994 1874),(-2.6645352591e-15 2041),(0.0 2201),(-0.000423054263201 2358),(4.4408920985e-16 2522),(-1.7763568394e-15 2686),(-0.000765316224606 2865),
