Cycle,0.809265151515
Average Width,22.208781856
Width,,3.54692588925,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,31.5974148309,31.4820048478,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(16.8277596075 43),(22.4938360554 246),(20.3096799151 428),(23.3342551062 604),(25.876001965 796),(22.812488072 1002),(25.6631848129 1212),(24.4847357632 1420),(23.2043485927 1600),(25.6312028306 1788),(25.2147090085 1981),(25.6234557533 2168),(21.9336271939 2331),(25.5146289883 2507),(23.5383179506 2683),(22.6178255655 2851),(24.4993630856 3028),(26.103227894 3213),(26.4108009802 3393),(26.9834357884 3582),(23.2102054023 3784),
Point0,H2,,,,,,,,,,,(14.8132202738 2030),,,,,,,,,,
Point0,H3,,,,,,,,,,,(14.8283410896 2033),,,,,,,,,,
Point0,H4,,(4.3444956826 359),(3.32856137029 538),(4.01535276037 728),(3.68575778274 937),(2.0400929818 1143),(3.15352775137 1353),(14.1020278858 1468),(11.5510180496 1642),(6.78442908936 1882),(3.51438803166 2103),,,,(7.07534504317 2766),(3.3663424026 2970),(5.09440677178 3112),(4.43018632463 3337),,,
Point0,H5,,(4.44689487322 366),(3.32953515521 539),(4.0389204354 732),(4.05756939336 946),(3.0495980121 1156),(3.24025316659 1360),(14.1740173674 1474),(12.0135710635 1653),(7.04586299392 1892),(3.78677692225 2112),,,,(7.21193192992 2773),(3.46656919514 2976),(6.70309236584 3136),(4.54731426597 3344),,,
Point0,H6,(1.7763568394e-15 211),(-0.00192231256642 391),(-1.06581410364e-14 564),(-0.000733735132277 758),(1.24344978758e-14 964),(3.5527136788e-15 1173),(7.1054273576e-15 1381),(3.5527136788e-15 1568),(8.881784197e-15 1748),(1.7763568394e-14 1945),(3.5527136788e-15 2131),(-8.881784197e-15 2295),(-7.1054273576e-15 2469),(0.0 2645),(-7.1054273576e-15 2819),(-1.06581410364e-14 2994),(0.0 3181),(-0.000900675982118 3363),(5.3290705182e-15 3552),(-0.00147354507497 3749),
Point1,H1,(22.5866108613 39),(5.11308712095 156),(8.66549554057 259),(6.53776926455 458),(15.53506946 601),(17.1765559979 795),(15.9997026202 1009),(17.1828985287 1210),(14.721823658 1420),(11.4118335141 1596),(14.5240062677 1790),(16.6615405902 1980),(14.9490254547 2161),(12.8341811939 2331),(16.1050073398 2507),(18.1277257203 2681),(14.8829894814 2851),(12.4937874077 3026),(10.9233655053 3213),(10.7057286177 3388),(5.4969957109 3578),(7.10528138496 3643),(14.9385060194 3784),
Point1,H2,,(1.35593690817 183),(5.65255307941 279),,,(12.5846075564 841),,,(7.42693937533 1481),(9.5681268896 1610),(6.90487749722 1838),(9.8347521271 2022),,(6.41227754458 2372),(0.694331319637 2587),(7.96699717927 2727),,(7.1054273576e-15 3081),,,,(2.49460371864 3690),,
Point1,H3,,(3.10909165954 201),(8.25832875108 298),,,(12.6591019402 847),,,(7.9015362644 1494),(11.15420667 1626),(7.09779229342 1852),(11.4152963009 2038),,(6.68648263213 2385),(1.51307891641 2601),(9.02177685533 2740),,(4.67135902212 3100),,,,(3.41857715461 3704),,
Point1,H4,(-1.33226762955e-14 104),(2.21328443611 213),(-1.95399252334e-14 387),,(4.90495067957 699),(2.61224052736 933),,,(-6.2172489379e-15 1542),,(3.25814978738 1903),(1.46154825387 2103),(6.49830900311 2220),(2.62991978388 2438),(0.878134281398 2615),(3.65816524956 2766),(1.84637371163 2970),(1.17448438575 3140),,,,(2.17416917075 3722),,
Point1,H5,(1.95788382604 121),(8.07667115308 240),(5.75282821375 416),,(4.92340829122 704),(3.33030800594 946),,,(1.30710754527 1559),,(3.97261574283 1920),(2.19899386634 2116),(6.53758900516 2227),(2.73373290072 2446),(1.34905083549 2627),(4.54160267883 2781),(1.87861679924 2975),(1.93209795613 3156),,,,(2.20242054064 3727),,
Point1,H6,(-1.33226762955e-14 104),(-1.95399252334e-14 387),(0.656221089183 508),(-0.0112391915627 564),(-3.5527136788e-15 758),(-5.3290705182e-15 964),(6.2172489379e-15 1172),(-2.6645352591e-15 1381),(-6.2172489379e-15 1542),(-1.50990331349e-14 1747),(-2.6645352591e-15 1944),(1.06581410364e-14 2131),(1.7763568394e-15 2294),(-8.881784197e-16 2469),(2.6645352591e-15 2644),(-8.881784197e-16 2819),(-0.0100778708938 2994),(7.1054273576e-15 3081),(6.2172489379e-15 3181),(3.10862446895e-15 3308),(5.3290705182e-15 3363),(-0.00587555504705 3547),(-0.012774314414 3608),(-1.7763568394e-15 3749),
