Cycle,0.928871527778
Average Width,3.52649384712
Width,,3.44941964398,2.98892492797,3.08600880925,3.2930740849,3.53775138267,3.24193772615,3.25831810652,3.5742516494,4.49471625587,3.43384423136,3.33552474303,3.62075440094,3.82028705382,3.37428985173,3.17343183547,3.25490292493,3.4585322639,3.64114918878,3.38603721578,3.36567359556,3.94113484868,3.49150093197,3.42841534071,3.39347433603,4.16632642627,3.86982837692,3.35672377297,3.49421564589,4.24551476004,3.908436424,3.59433922639,3.2585535486,3.43700342455
Point0,H1,(15.2863397552 132),(14.6900872063 324),(16.0021511323 520),(14.9850760852 712),(15.6765188206 902),(15.5471049444 1094),(16.4754478331 1302),(16.3235757895 1493),(15.3107280354 1696),(16.6425238581 1893),(16.2346478349 2090),(16.0875882674 2293),(15.2522232658 2491),(15.9238065841 2695),(14.9330485859 2902),(14.6760600456 3104),(14.5365174055 3304),(16.5876883519 3510),(16.1434230012 3717),(14.5560454607 3912),(15.3668937673 4117),(13.9555916157 4309),(16.282717464 4517),(15.6921182658 4712),(15.271767766 4918),(15.6793111552 5111),(15.6847724093 5316),(17.8318765645 5510),(15.3989132418 5705),(16.8833594272 5904),(17.607147391 6101),(18.1871452106 6298),(17.0499495302 6498),
Point0,H2,(5.13070272028 182),,,,,,(7.24847161643 1347),,(7.21843841801 1738),,,,,,,,(6.54634433891 3351),,,,(1.70500053218 4226),,,,,(1.70250491714 5224),,,(15.1095120105 5714),(4.77269912751 5983),,,,
Point0,H3,(5.38921140035 192),,,,,,(7.35139805769 1355),,(7.2275261328 1741),,,,,,,,(6.61314375922 3358),,,,(2.20757059014 4239),,,,,(1.70467925804 5226),,,(15.2090849674 5720),(4.77804471324 5986),,,,
Point0,H4,(1.01555895784 251),(1.75413928714 448),,,,(1.82337496993 1203),(2.62599391344 1415),(1.30634697374 1629),(1.34997446735 1815),(2.31686507345 2012),(1.31392565335 2217),,(1.80497789482 2616),(1.0521505158 2833),(1.07630394372 3034),(1.04628145015 3242),(1.86339940169 3439),,,,(0.72978924931 4257),,(1.01969087613 4661),,(6.53990785666 4967),(0.544059759214 5248),(1.75459573801 5439),(1.7403909008 5640),,(2.15876294497 6030),,(1.97695511932 6432),,
Point0,H5,(1.4761451053 266),(1.86911892466 456),,,,(1.99563856122 1215),(3.08005870951 1430),(1.881426365 1643),(1.46973886091 1826),(2.34905116644 2019),(1.89655966069 2232),,(1.97158224728 2627),(1.21830866576 2843),(1.45833089184 3049),(1.27094238348 3255),(1.9245727132 3446),,,,(1.13779640498 4268),,(1.02273768258 4664),,(6.5414776185 4969),(0.929693786687 5260),(2.22576233479 5451),(1.81939071139 5651),,(2.47138191928 6041),,(2.03699970944 6439),,
Point0,H6,(-0.00204642839226 85),(-1.7763568394e-15 287),(7.9936057773e-15 476),(1.7763568394e-15 671),(-7.9936057773e-15 866),(5.3290705182e-15 1061),(7.1054273576e-15 1257),(-1.7763568394e-15 1457),(4.4408920985e-15 1659),(-0.00227617460049 1849),(2.6645352591e-15 2055),(8.881784197e-16 2252),(2.6645352591e-15 2459),(-3.5527136788e-15 2654),(1.15463194561e-14 2859),(1.15463194561e-14 3066),(-2.6645352591e-15 3272),(7.9936057773e-15 3469),(2.6645352591e-15 3675),(1.15463194561e-14 3878),(3.5527136788e-15 4077),(1.7763568394e-15 4281),(-4.4408920985e-15 4476),(-1.15463194561e-14 4680),(-1.95399252334e-14 4878),(-9.7699626167e-15 5076),(-2.93098878501e-14 5273),(-1.33226762955e-14 5472),(-1.42108547152e-14 5673),(-1.15463194561e-14 5864),(8.881784197e-16 6061),(8.881784197e-16 6265),(7.1054273576e-15 6458),
Point1,H1,(19.7125838301 44),(20.0405883635 237),(21.4116197824 430),(18.8757927742 622),(17.3028309586 814),(18.8444800536 1006),(20.2492290498 1214),(18.7076314004 1406),(16.5055209056 1605),(18.3359772835 1806),(18.8901247944 2001),(17.8327506932 2204),(16.8604856684 2403),(18.7493513915 2605),(19.3756525965 2813),(18.1931486747 3019),(16.7936082795 3217),(17.5845150022 3423),(17.9745462112 3629),(16.7268023266 3823),(15.7895903937 4029),(15.4717016938 4221),(18.2553906512 4429),(16.9842467823 4624),(15.3439377059 4830),(15.9191771221 5023),(17.6632374915 5228),(18.9096943637 5421),(14.8521564161 5616),(16.7612098383 5816),(18.864903033 6013),(17.6546963024 6209),(17.3060493677 6412),
Point1,H2,(6.98334590778 94),,,,,,,,(7.86117761914 1649),,,,,,,,,,,,(1.98335521241 4140),(5.04320063434 4310),,(8.56850619326 4672),,,,,(14.2057521276 5628),,,,
Point1,H3,(7.12005457669 101),,,,,,,,(7.90216615693 1654),,,,,,,,,,,,(2.27444248651 4152),(5.04328741277 4311),,(8.57818178634 4675),,,,,(14.2134849099 5631),,,,
Point1,H4,(1.74779068118 164),(3.20327481539 359),,,,(1.67064921126 1144),(2.91254574586 1330),(1.36349714299 1541),(1.55372820476 1733),(2.29064255296 1926),(1.54895685351 2132),,(2.28792107807 2530),(1.72683441886 2744),(1.0944892714 2950),(1.25694705585 3158),,(8.21674748261 3472),,(8.3938727627 3870),(1.17505874947 4171),(3.05974895612 4354),(0.813804623948 4567),(5.72513159934 4701),(7.3966711791 4877),(1.04518071721 5158),(1.78656363242 5353),(1.20317869589 5558),(4.53065598379 5710),(1.61729795563 5940),,,
