Cycle,0.819908088235
Average Width,0
Width,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(9.12765138977 35),(9.70681115056 220),(9.46837637097 371),(10.3699814427 546),(9.58655552152 724),(10.6809700604 899),(11.3523207635 1073),(11.9119209413 1250),(11.0713858 1426),(10.3207402159 1603),(14.0268572687 1781),(12.6353728269 1954),(10.6906559973 2132),(12.2015025476 2314),(12.4966307268 2471),(12.2158848051 2657),(11.7089691225 2833),(11.6602175391 3018),
Point0,H2,(4.07713704615 82),,(4.09142895498 419),,,,(2.68872703212 1152),,,,,(3.34345726679 2033),,,(3.9359039765 2538),,,
Point0,H3,(4.281438412 93),,(4.41042727287 431),,,,(2.78675627676 1160),,,,,(3.39195127746 2040),,,(4.196139265 2550),,,
Point0,H4,(0.0 165),,(1.24613724225 466),(1.66441934163 623),,(4.66849953622 949),(1.45694605121 1181),,,(2.18758213138 1709),,(2.30686591159 2063),(2.65750618178 2236),(3.22911574347 2389),(0.973544204325 2589),(3.7142193105 2712),,
Point0,H5,(8.971762536 199),,(1.94742208664 483),(2.03819100181 636),,(4.70149292954 954),(1.64263940446 1191),,,(2.21928278047 1714),,(2.32196629758 2067),(3.26468316217 2248),(3.32450355984 2396),(1.28731363162 2600),(3.71563453275 2714),,
Point0,H6,(0.0 165),(4.4408920985e-16 335),(2.6645352591e-15 510),(7.9936057773e-15 681),(8.881784197e-15 858),(1.24344978758e-14 1034),(8.881784197e-15 1214),(0.0 1391),(3.5527136788e-15 1568),(0.0 1743),(2.6645352591e-15 1919),(0.0 2093),(4.4408920985e-15 2266),(3.5527136788e-15 2438),(-8.881784197e-16 2615),(1.7763568394e-15 2790),(-1.7763568394e-15 2968),
Point1,H1,(9.60066052879 101),(8.81493020125 295),(8.31506785531 448),(7.18417184557 619),(7.43971446247 822),(7.1650969419 993),(5.9649653013 1165),(5.62548850291 1322),(7.50268704549 1519),(8.03685695252 1690),(7.38712406693 1866),(8.50898382321 2047),(8.7395122363 2228),(7.33953101913 2405),(6.91531001664 2583),(6.60945863185 2755),(6.03675723731 2909),
Point1,H2,(-3.5527136788e-15 164),,(8.05000250999 459),,(-4.4408920985e-15 863),(5.77315972805e-15 1043),,(4.92086864076 1340),(6.66133814775e-15 1567),(3.5527136788e-15 1741),,,,,,(0.211833676213 2790),,
Point1,H3,(6.23373099744 203),,(8.16799486037 467),,(0.549936936939 878),(1.12023529493 1070),,(5.07731487767 1350),(0.901259239493 1587),(3.48266580261 1788),,,,,,(0.226809059756 2794),,
Point1,H4,(4.77914724794 226),,(0.0 509),,,(0.563742775788 1092),(-0.000374544245397 1224),(1.02140518266e-14 1391),(0.874669895422 1593),(3.34096292934 1798),(2.6645352591e-15 1918),(3.5527136788e-15 2093),(-0.0015718894894 2266),(-0.00153147391506 2469),(5.77315972805e-15 2619),,,
Point1,H5,(8.25916012798 264),,(3.81323110965 556),,,(5.27481903586 1134),(2.94365020189 1275),(0.374296558479 1406),(1.19333777898 1611),(6.79105984482 1843),(1.21193558796 1938),(8.6072280307 2203),(3.88192494979 2320),(4.36723354879 2531),(2.27893123868 2647),,,
Point1,H6,(-3.5527136788e-15 164),(-2.6645352591e-15 332),(0.0 509),(-0.00730361261257 682),(-4.4408920985e-15 746),(-4.4408920985e-15 863),(5.77315972805e-15 1043),(-0.000374544245397 1224),(1.02140518266e-14 1391),(6.66133814775e-15 1567),(3.5527136788e-15 1741),(2.6645352591e-15 1918),(3.5527136788e-15 2093),(-0.0015718894894 2266),(-0.00153147391506 2469),(5.77315972805e-15 2619),(2.6645352591e-15 2807),
