Cycle,0.732731481481
Average Width,5.31642117139
Width,,6.30691676526,4.7377163094,5.25370005433,5.14313006252,4.87920703433,4.94324248772,5.6393328832,5.68398853926,5.54699595089,6.12190475691,5.00716870143,5.2436807925,6.17437617101,5.65870606685,5.54752172299,5.47541762845,5.06686560006,5.24038918955,5.39113115506,5.50202139899,5.30114705696,5.34921461178,4.91907709742,5.05114165315,4.67994048821,4.82102900258,5.11032854696,5.06450107122
Point0,H1,(13.7696157915 36),(10.7151351382 195),(9.20251180161 346),(11.1587657212 485),(9.68458479105 628),(11.3148637472 771),(13.7228018961 922),(10.5662207898 1073),(13.1934342348 1218),(14.9654709875 1367),(13.523668355 1528),(13.0942242635 1691),(14.0088234378 1843),(14.8638191828 1991),(12.5958339881 2154),(12.5151936695 2319),(12.3923651241 2466),(12.650985555 2618),(12.7345753364 2787),(14.0927844625 2944),(12.4747868941 3092),(11.4106015631 3253),(11.1610701796 3413),(11.6861870883 3557),(11.0486451155 3706),(10.9387566829 3862),(11.2125370937 4004),(12.3174145604 4152),
Point0,H2,(7.78736345352 81),,,,,,,(3.47948128675 1119),(5.86064383502 1250),(6.15503691459 1414),(4.41295398999 1573),,,(4.56867020645 2036),,(4.57330859911 2351),,,,(7.40906734591 2970),,(5.62361841842 3301),(4.13171192659 3454),(3.33404618336 3602),(5.14475496059 3747),(2.36142927148 3904),,
Point0,H3,(8.8271965752 94),,,,,,,(3.58853440562 1130),(6.31671013666 1263),(6.2119307082 1423),(7.21053063849 1596),,,(5.30203598413 2049),,(5.77266953655 2370),,,,(7.98206420039 2982),,(5.76082301218 3309),(5.83993723457 3473),(4.85830034948 3616),(5.51207445535 3759),(2.93560015283 3918),,
Point0,H4,(3.78843330346 123),(4.06798257444 237),,,(0.800575259162 704),,(-0.00192119172932 1010),(1.51853341444 1155),(1.28379881571 1297),(0.0 1473),(3.41652366044 1626),,(1.65450364629 1931),(1.89986601806 2096),(1.64609550061 2252),(2.14294788619 2403),(5.38973671794 2514),(1.56186669918 2714),(1.26230364714 2880),,,(4.39986452899 3332),(2.1216629199 3508),(1.16330075278 3638),(2.99282671337 3784),(1.21575144699 3951),,
Point0,H5,(3.91994001415 131),(4.09724236224 242),,,(1.38949315415 718),,(1.34846449378 1026),(1.6480286776 1164),(1.51938097936 1309),(1.17887599718 1488),(3.62416932982 1636),,(2.22433486465 1947),(2.62518505121 2109),(2.48008838024 2268),(2.22904629396 2410),(5.60072847332 2523),(1.65948697292 2723),(2.00705225244 2894),,,(4.42178380816 3337),(2.31781636744 3516),(1.81561359061 3652),(3.17628092456 3793),(1.61421263861 3964),,
Point0,H6,(-0.00211061936891 159),(-5.77315972805e-15 316),(-1.15463194561e-14 458),(-0.00503877086671 581),(5.3290705182e-15 738),(-5.3290705182e-15 891),(-0.00192119172932 1010),(-5.3290705182e-15 1182),(-0.000360454726667 1331),(0.0 1473),(-5.3290705182e-15 1661),(-0.00106867108611 1808),(-1.7763568394e-15 1964),(-0.00664690084997 2126),(-3.5527136788e-15 2286),(7.1054273576e-15 2432),(-0.000824017606107 2586),(-2.6645352591e-15 2747),(-7.1054273576e-15 2910),(-0.00302865449245 3062),(-0.000254804360805 3223),(-0.00560857676969 3367),(2.22044604925e-15 3533),(8.881784197e-15 3674),(-5.3290705182e-15 3834),(-9.32587340685e-15 3980),(-3.5527136788e-15 4126),
Point1,H1,(19.4059037342 39),(14.6257522023 195),(12.3026904415 346),(14.5313451787 488),(14.0556894344 631),(15.5521489792 775),(16.6284739999 926),(12.7779698099 1076),(16.1110924333 1221),(18.2166942085 1370),(17.2650454111 1531),(16.7001470972 1695),(15.99346371 1846),(16.8562027127 1994),(15.3385211545 2156),(15.6529929036 2321),(15.9534308747 2468),(16.3736318307 2620),(16.0284138223 2789),(17.2886237101 2947),(16.0047536132 3095),(15.4515703755 3255),(15.4111977925 3415),(16.0516508091 3559),(18.1701365942 3707),(15.6948842705 3864),(15.5305281903 4007),(16.9531013715 4155),
Point1,H2,,,(5.69232739011 389),,,(6.78055731141 821),,(3.41647611443 1123),(6.24291149022 1256),,(5.6293921476 1575),,(5.70353381099 1891),,,(5.7223206923 2353),(6.13150956122 2518),,(7.63510472257 2823),(7.69033318443 2974),,(6.93009615389 3302),,(5.20250469286 3604),,(3.32954500966 3908),,
Point1,H3,,,(7.0157154041 403),,,(7.40004369591 832),,(3.6197863902 1134),(6.41649072625 1266),,(7.73338142165 1597),,(5.91299203735 1900),,,(6.88452133159 2371),(6.18398051656 2524),,(7.77667898004 2834),(8.31176713075 2986),,(7.13433089144 3312),,(6.55259048142 3618),,(4.01520940044 3921),,
Point1,H4,(9.2323490428 84),(5.26753573791 244),(3.36243998465 425),(4.15164456014 534),(1.4137953375 709),(1.59310901798 860),(6.2172489379e-15 1013),(1.47834737473 1157),(0.798699809852 1302),(0.51598352291 1475),(3.55024841121 1633),(7.35847344989 1734),(1.03139841736 1936),,(1.60953258106 2253),(2.65714752952 2405),(2.30415008124 2560),(1.65745226494 2715),(1.45469480756 2884),,(-0.109706016775 3203),(4.93185846388 3338),(4.79752805644 3458),(1.90374740202 3644),(7.21837374522 3751),(0.904532098509 3956),,
Point1,H5,(10.0878341729 97),(5.26768580221 245),(3.50442050677 434),(4.56827933379 544),(1.65301262358 719),(1.83411931645 871),(0.940750690857 1027),(1.85553539551 1168),(0.921194933119 1312),(1.6347394871 1490),(3.70253359565 1642),(7.49921528759 1744),(1.82084562207 1951),,(2.98653757874 2271),(2.80149503534 2413),(2.42156821943 2569),(2.14047384238 2728),(2.17800151279 2897),,(0.190852542966 3217),(4.93491348324 3340),(6.54093421621 3476),(2.4017362933 3658),(7.55016249199 3761),(1.51242921322 3968),,
