Cycle,0.785694444444
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0
Point0,H1,(6.54127670472 109),(6.08360956759 277),(5.71590686578 449),(6.75079663503 613),(7.14856831039 780),(7.57921510677 955),(7.13490605856 1118),(7.17393851112 1267),(7.13395172714 1400),(7.6019199319 1612),(7.45962446541 1772),(7.13659227746 1936),(7.13087643519 2063),(8.33790199532 2265),(7.37842654539 2429),(7.05985398095 2601),(7.06871098306 2763),(7.83957462144 2941),(6.91031826384 3105),
Point0,H2,,(1.06581410364e-14 318),,,,,(-0.00107273862295 1160),,(6.75953961086 1416),,,,(6.53746070095 2083),,,,,,,
Point0,H3,,(3.5150654516 371),,,,,(4.17241622555 1194),,(6.84347374509 1424),,,,(6.769461255 2098),,,,,,,
Point0,H4,,(3.20095203218 385),(2.6645352591e-15 485),,(0.0 826),,(4.11254583209 1201),,(6.49978087749 1439),(5.3290705182e-15 1652),(-0.000506228467531 1814),,,(0.0 2301),,(1.7763568394e-15 2636),(2.6645352591e-15 2806),(-8.881784197e-16 2972),,
Point0,H5,,(4.38627024372 411),(3.37169331179 518),,(5.4475464967 899),,(6.88032491747 1240),,(6.98160743262 1451),(4.27059313966 1691),(6.01313913374 1888),,,(5.81035794142 2375),,(2.31802225445 2666),(7.09058146164 2916),(6.16535148132 3068),,
Point0,H6,(-1.33226762955e-15 161),(1.06581410364e-14 318),(2.6645352591e-15 485),(0.0 653),(0.0 826),(-5.45671275543e-05 995),(-0.00107273862295 1160),(4.4408920985e-15 1321),(2.6645352591e-15 1480),(5.3290705182e-15 1652),(-0.000506228467531 1814),(5.3290705182e-15 1975),(4.4408920985e-15 2137),(0.0 2301),(4.4408920985e-15 2475),(1.7763568394e-15 2636),(2.6645352591e-15 2806),(-8.881784197e-16 2972),(0.0 3148),
Point1,H1,(6.94085363931 33),(6.48408217355 204),(6.50470596226 372),(7.48094160807 541),(8.21215009161 710),(7.23232034763 876),(7.14516867313 1046),(8.78235062288 1210),(8.45261405264 1374),(8.18977374653 1534),(8.07739668758 1702),(7.42038142007 1861),(7.63240799274 2027),(7.11315180558 2191),(6.07480600699 2359),(4.34248363056 2523),(6.03695847647 2688),(6.34456014368 2862),(7.45195933748 3033),
Point1,H2,,,,,(4.01345336954 743),,(3.31116341301 1080),,,(2.09095637575 1607),,,,,,(1.30133332968 2584),,,
Point1,H3,,,,,(4.41361078467 755),,(3.6019962616 1093),,,(2.13540675264 1615),,,,,,(1.56058258103 2611),,,
Point1,H4,(0.797392977583 131),(1.20523135459 279),,(0.938589799458 646),(0.830196158451 810),(0.521357033156 982),(1.75556649003 1139),(3.99734459801 1244),,(0.943906208634 1636),(1.19071083998 1793),,(0.904214435839 2130),,,(1.25438733218 2627),(2.0283054096 2732),,
Point1,H5,(1.11798769258 146),(1.41053942632 293),,(1.05878575273 655),(0.87695533209 821),(0.701017379418 993),(1.79667099566 1146),(4.04806384488 1251),,(1.66490667129 1650),(1.28214934016 1803),,(0.995245183941 2141),,,(1.40632829737 2638),(2.16907775792 2746),,
Point1,H6,(-1.33226762955e-15 167),(2.6645352591e-15 334),(-0.00255472939338 500),(5.3290705182e-15 672),(3.99680288865e-15 844),(2.6645352591e-15 1009),(4.4408920985e-15 1172),(1.33226762955e-15 1335),(4.88498130835e-15 1500),(-8.881784197e-16 1666),(8.881784197e-16 1825),(-4.4408920985e-16 1988),(-2.22044604925e-15 2159),(-0.00354575402353 2322),(-2.22044604925e-15 2492),(-3.99680288865e-15 2657),(-2.6645352591e-15 2822),(4.4408920985e-16 2992),
