Cycle,0.754333333333
Average Width,5.46467779571
Width,,5.69515337851,0,7.09455675905,5.28972488512,6.3323722109,6.85801860876,0,5.7789877031,6.5486794884,6.15437572597,4.86502236638,5.99003879728,5.03681613101,4.98813860154,4.75784031358,5.09957176486,4.51438705015,5.08951391367,4.75473638227,4.27625212985,4.70469190816
Point0,H1,(11.7962550055 27),(14.7642028804 192),(15.3426619332 364),(14.1537124112 522),(13.3818284674 674),(14.1590200214 846),(14.0888105019 1005),(15.0586776843 1152),(14.6541055135 1308),(13.9232837923 1465),(12.9095019772 1625),(14.7155000855 1787),(12.3105951673 1949),(11.8656536279 2101),(12.4015792483 2271),(11.9002114619 2415),(11.5424624215 2573),(12.1746778554 2730),(12.2095593796 2893),(10.678424446 3040),(12.2412736221 3209),
Point0,H2,,(7.23546173177 234),(8.00004838904 396),,,,(3.23618366578 1070),(7.51142531783 1196),,,,,,,(8.28425164225 2296),(8.09717351236 2458),,,(6.47226265534 2923),,,
Point0,H3,,(7.77302420955 245),(8.04013206625 401),,,,(3.3032309498 1076),(7.55163329537 1201),,,,,,,(8.76294567601 2308),(8.1981533238 2465),,,(6.73052496942 2932),,,
Point0,H4,,(2.67180482463 292),(1.50679928636 449),(2.02439482422 615),,(4.23796714558 908),(2.3571285248 1092),(1.99848881425 1255),(1.49120639733 1392),,,,(2.36661501108 2039),,(2.98856386135 2357),(1.27704555471 2518),(2.58883792451 2654),,(1.77137581147 2981),,,
Point0,H5,,(3.60800449375 305),(2.28513764556 464),(2.07001325816 621),,(4.53333927908 919),(3.01266344824 1104),(2.1130449283 1263),(1.52783032729 1398),,,,(2.36984813013 2041),,(3.08006679316 2365),(1.81733323173 2530),(2.59191556525 2657),,(2.22845250732 2993),,,
Point0,H6,(0.918057792267 107),(-8.881784197e-16 163),(-8.881784197e-16 323),(0.0 483),(-0.00679482163994 640),(8.881784197e-15 801),(7.1054273576e-15 960),(-5.3290705182e-15 1122),(-8.881784197e-15 1280),(1.7763568394e-15 1431),(-7.1054273576e-15 1588),(-0.0029127449349 1754),(-0.000633488918392 1915),(-6.2172489379e-15 2065),(-0.00853369345918 2226),(-0.00345986219725 2386),(-6.2172489379e-15 2545),(-5.3290705182e-15 2688),(-1.7763568394e-15 2850),(2.6645352591e-15 3010),(-8.881784197e-16 3169),
Point1,H1,(12.3924723327 25),(13.4261795903 189),(15.0033277017 357),(14.8090869485 519),(13.5910620517 673),(13.9119924862 829),(12.8711712348 1008),(15.5364697965 1150),(14.8363844711 1306),(14.5726808078 1465),(15.1789935729 1624),(16.0313815148 1786),(15.7551633977 1945),(14.6965755071 2100),(14.2953205446 2253),(13.9890463638 2412),(14.7219848389 2570),(14.1491978446 2729),(15.324865969 2889),(13.5162469575 3037),(14.5324174609 3206),
Point1,H2,(2.54831627137 72),(7.14936214605 232),(7.27994511158 394),,,,,(3.38868678384 1231),,,,,,,,,,,(3.75602853294 2959),,
Point1,H3,(3.26582022582 85),(7.83765279824 243),(7.49249869429 402),,,,,(3.39534008495 1234),,,,,,,,,,,(3.75854317035 2961),,
Point1,H4,(0.425824375028 127),(2.01733297967 291),(1.74975291124 450),,(8.93986621867 710),,,(2.18947147535 1254),(1.3434757854 1390),(2.44702438319 1555),(1.47772048652 1716),,(3.35383115119 2036),,,,(2.77548123286 2654),(3.06880166436 2819),(2.64671710128 2981),,
Point1,H5,(2.57632707072 146),(2.89438766299 304),(2.50044541863 464),,(9.23657327367 721),,,(2.35192637406 1262),(1.40698808108 1397),(2.82498940858 1566),(2.19402292158 1731),,(3.42796045836 2043),,,,(2.84307007762 2662),(3.31313318642 2829),(2.96352837023 2991),,
Point1,H6,(-5.3290705182e-15 161),(0.0 321),(0.0 482),(-7.1054273576e-15 640),(1.06581410364e-14 800),(7.1054273576e-15 960),(0.0 1120),(0.0 1279),(4.4408920985e-15 1432),(7.1054273576e-15 1588),(4.4408920985e-15 1752),(7.1054273576e-15 1911),(4.4408920985e-15 2065),(5.3290705182e-15 2225),(3.5527136788e-15 2384),(-4.4408920985e-15 2542),(-7.9936057773e-15 2691),(0.0 2850),(5.3290705182e-15 3008),(2.6645352591e-15 3168),
Point2,H1,(9.89610522098 24),(9.81924652771 188),(12.1996893506 360),(11.1559059191 519),(11.0392235749 675),(11.2235545026 829),(10.16597088 1010),(12.2292515169 1148),(12.201221404 1305),(12.1163735299 1465),(12.3150342055 1623),(13.76585726 1785),(14.2032532037 1945),(12.7948678626 2098),(11.1227933512 2269),(11.774349974 2412),(12.1195996445 2570),(11.7522652423 2729),(13.0119981474 2888),(10.4403873008 3035),(11.567162567 3206),
Point2,H2,(0.473546809748 69),(6.07151068577 229),(6.85535375943 392),,(8.22828017683 708),,,,(9.90735851548 1324),,,,,,,,,,,,
Point2,H3,(1.91125761202 85),(6.80727602974 242),(7.03215335539 400),,(8.61545594817 720),,,,(9.90779257353 1325),,,,,,,,,,,,
Point2,H4,(-0.412482614822 125),(1.97008783802 291),(1.16181508669 448),,(2.24229435932 776),,,,(1.20092179129 1387),(2.57078389188 1551),(1.38632082762 1713),,,,,,(2.20941674304 2655),(2.72911515308 2820),(1.89222294971 2980),,
Point2,H5,(1.87960265801 145),(2.41756889277 303),(1.87704781339 463),,(2.24971512349 779),,,,(1.43210370788 1399),(2.91409161882 1563),(1.99654738813 1729),,,,,,(2.2101848358 2657),(2.87141060751 2828),(2.22754994563 2990),,
Point2,H6,(-0.412482614822 125),(-1.06581410364e-14 320),(-6.2172489379e-15 481),(-5.3290705182e-15 638),(-5.3290705182e-15 799),(7.1054273576e-15 960),(3.5527136788e-15 1119),(-7.9936057773e-15 1277),(-8.881784197e-16 1431),(1.24344978758e-14 1587),(-0.00383138567488 1751),(6.2172489379e-15 1910),(8.881784197e-15 2064),(-5.3290705182e-15 2224),(-5.3290705182e-15 2383),(1.7763568394e-15 2541),(2.6645352591e-15 2690),(-1.7763568394e-15 2849),(-1.7763568394e-15 3007),(-2.6645352591e-15 3166),
