Cycle,0.880238095238
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(15.2888584048 38),(13.529890303 226),(13.1222754655 404),(15.1007470105 583),(17.3567838011 788),(15.3364725494 967),(16.0227386337 1152),(16.4733157251 1330),(15.6130198438 1511),(15.5561304322 1718),(15.1510925037 1895),(14.4207578632 2084),(15.6894138722 2262),(15.5706612285 2452),(15.2249534794 2658),(13.4857426633 2836),(14.627145461 3014),(14.5047118818 3204),(15.0107066033 3384),(15.6277856459 3573),(16.131383819 3789),(14.2908709264 3957),
Point0,H2,,,(5.7299575089 454),,,,,(4.72829933349 1411),(13.5488147741 1527),,,,,,,,,,(3.41778057851 3478),(1.187246612 3712),,
Point0,H3,,,(5.84392488222 461),,,,,(4.89231111318 1420),(13.5775818512 1531),,,,,,,,,,(3.4356184477 3483),(1.67123447033 3724),,
Point0,H4,,,(1.41779839769 530),(1.22757726737 715),,(2.41679698453 1088),(2.28978162605 1265),(1.8791223719 1456),(8.19850480601 1559),(2.15256240714 1838),,(1.3549155308 2206),(1.89408970548 2383),(1.7173704406 2589),(2.81337350608 2771),,,(1.15201829438 3327),(1.90066670321 3505),(7.1054273576e-15 3739),,
Point0,H5,,,(1.54728695697 538),(1.39602250877 726),,(2.57899340699 1097),(2.34810025876 1272),(2.14526879163 1466),(8.30226058428 1565),(2.48788549979 1850),,(1.60971263852 2218),(2.15672421838 2394),(2.17541516257 2602),(2.87911558619 2777),,,(1.58806820721 3340),(2.1669063727 3515),(15.3366115137 3772),,
Point0,H6,(8.881784197e-16 190),(7.9936057773e-15 358),(-1.42108547152e-14 554),(-2.13162820728e-14 748),(-1.42108547152e-14 937),(3.5527136788e-15 1116),(0.0 1292),(1.7763568394e-15 1483),(-3.5527136788e-15 1686),(-7.9936057773e-15 1867),(1.7763568394e-15 2044),(-6.2172489379e-15 2234),(7.9936057773e-15 2414),(0.0 2620),(-1.7763568394e-15 2798),(-4.4408920985e-15 2982),(-0.00264625201691 3165),(-0.000215007456044 3355),(1.7763568394e-15 3536),(7.1054273576e-15 3739),(-0.00507770176851 3924),
Point1,H1,(9.24517241957 38),(8.15385745978 226),(7.61184158856 404),(9.10169261932 582),(9.98692126091 787),(8.93842883687 966),(9.54668948579 1153),(9.62694651908 1330),(9.11626095671 1511),(8.91432428649 1717),(8.50948349884 1895),(7.78870000042 2083),(8.67300033747 2262),(8.36404855023 2452),(8.19277978113 2657),(7.20525479373 2835),(7.8190496599 3014),(8.12646862905 3203),(8.26145952356 3384),(8.19200492041 3572),(9.06573123565 3791),(6.84602926359 3956),
Point1,H2,(4.58288120325 87),,,(4.60284132044 629),,,,,,,,,,,,,,,(4.13258493888 3431),(2.44590846013 3661),,
Point1,H3,(4.79609842183 98),,,(4.68090182834 636),,,,,,,,,,,,,,,(4.14183073359 3435),(2.46402941979 3668),,
Point1,H4,(2.14901448798 160),(0.332004832361 330),,(0.912587316844 716),(2.37965421044 883),,(1.24705862441 1266),(0.849901054318 1456),,(1.03054118437 1836),,(1.0017962115 2210),,(0.689544348431 2589),,,,(0.508914795225 3330),(1.43533287274 3503),(0.921551773782 3711),,
