Cycle,0.816034858388
Average Width,5.63843135582
Width,,0.0,5.27720527717,0,7.67981646396,3.619917261,5.83189356715,6.60554089619,3.58999790597,4.78623939163,6.11520610999,7.73569661737,3.95952377662,8.53699529435,4.37746018429,5.4968921179,3.22129279026,7.30982195852,6.07140208082
Point0,H1,(9.96077904598 30),(9.48192266083 202),(11.0542259779 377),(11.9694826589 554),(9.57127103708 718),(10.9313048963 892),(12.0505173143 1066),(10.2883788981 1246),(10.4698526773 1409),(11.0060496186 1580),(11.5201101297 1755),(10.4409888091 1930),(11.9720847633 2108),(11.0179679397 2272),(10.9641735704 2443),(7.83334005395 2612),(10.127441831 2795),(10.0553062597 2974),
Point0,H2,(9.5133693602 42),,,,,(9.8085588561 907),(10.1271304702 1081),(5.27251813774 1299),,,,(8.73787264244 1947),,,(-3.99680288865e-15 2519),,,,
Point0,H3,(9.52923692737 46),,,,,(9.89746327911 914),(10.8408294212 1092),(5.27282184729 1300),,,,(8.8048059466 1953),,,(0.765797943907 2533),,,,
Point0,H4,,(3.71695208385 256),,(1.59872115546e-14 658),,(1.41623814813 1014),(6.12313923489 1122),(1.57056198184 1346),(1.18684288558 1523),(9.93723904502 1594),,(5.1079918471 1978),(6.97738974019 2157),(0.363141524712 2390),(0.0386663686244 2547),,(1.16308833611 2904),,
Point0,H5,,(3.71870009681 258),,(1.01168068106 674),,(1.41658699844 1016),(6.14945263578 1129),(1.86060412983 1358),(1.53606872241 1536),(10.1060254138 1601),,(5.5298749505 1990),(6.98453180651 2160),(0.521265492554 2401),(1.34753697015 2564),,(1.3245771146 2913),,
Point0,H6,(1.99840144433e-14 171),(-0.00304803902286 345),(2.04281036531e-14 516),(-0.184430674205 688),(-7.9936057773e-15 862),(-2.04281036531e-14 1038),(-1.68753899743e-14 1206),(-1.68753899743e-14 1377),(6.2172489379e-15 1552),(1.59872115546e-14 1725),(-0.00356521514253 1889),(1.86517468137e-14 2064),(1.33226762955e-14 2241),(-0.00615726484616 2413),(-3.99680288865e-15 2519),(-5.77315972805e-15 2579),(1.7763568394e-15 2756),(1.7763568394e-15 2929),
Point1,H1,(9.60467206475 47),(11.1505603396 213),(11.0505606964 382),(12.4928213902 557),(13.8443103291 734),(12.2224579899 898),(13.4050682184 1073),(14.5073343702 1246),(12.2913909214 1426),(12.152443387 1604),(12.454403574 1762),(14.0089154494 1935),(12.6635255954 2111),(14.0504147981 2286),(13.6073594393 2454),(13.5366783174 2622),(10.4193864087 2793),(11.1184923766 2974),(11.5189312261 3155),
Point1,H2,,,(9.19912610844 399),,,(11.5724280022 911),(12.2988810065 1086),,,,,,,,,(-0.00218304101424 2698),,,,
Point1,H3,,,(9.33781190236 406),,,(11.5985035606 915),(12.4164973678 1094),,,,,,,,,(0.958286378865 2714),,,,
Point1,H4,(-0.151993134917 149),,(4.71931135524 435),,(0.472769465776 839),(0.692096302617 1017),(2.18929753482 1170),(12.5967560321 1259),,(0.93708736407 1706),,(1.75088024142 2035),(5.79370275779 2159),(2.0196740457 2393),(0.588255816343 2572),(0.441027851953 2727),,(0.618588931541 3083),,
Point1,H5,(1.08162884362 167),,(4.71998966604 437),,(1.61932865319 854),(1.18010354442 1029),(2.38563936106 1180),(14.2050336055 1273),,(1.15665666191 1716),,(1.76148457641 2039),(6.20253659903 2170),(2.33738493275 2403),(0.682629021229 2580),(1.65711011371 2743),,(1.23482371465 3095),,
Point1,H6,(-0.151993134917 149),(1.06581410364e-14 350),(-0.000404643276068 523),(-0.000548000398368 695),(7.1054273576e-15 869),(-1.06581410364e-14 1043),(4.4408920985e-15 1218),(-7.1054273576e-15 1386),(-3.5527136788e-15 1557),(6.2172489379e-15 1731),(1.50990331349e-14 1907),(1.59872115546e-14 2074),(1.95399252334e-14 2244),(4.4408920985e-15 2421),(-0.00561509999393 2593),(-0.00218304101424 2698),(6.2172489379e-15 2759),(8.881784197e-16 2935),(-7.1054273576e-15 3109),
Point2,H1,(9.86797871519 33),(9.61583647932 203),(10.5970183761 378),(11.3173876932 556),(9.66518171523 719),(10.6377864468 894),(12.3012573164 1067),(9.71837720183 1247),(9.81616824683 1427),(10.6981133025 1604),(11.7232834843 1755),(10.4284448906 1931),(11.9649027526 2111),(11.2166097075 2274),(12.622739396 2444),(8.7952954465 2615),(9.13973557896 2806),(9.76774598785 2976),
Point2,H2,,,(8.46285458927 394),,(2.77987585608 786),(10.0574011643 906),(10.7419386782 1081),,(1.3088985818 1525),(4.95834941853 1641),(9.22662830203 1772),,(7.07085382514 2160),,(1.05809823558 2521),,,
Point2,H3,,,(9.12019649815 405),,(2.78181700455 789),(10.32861941 916),(11.6549912738 1094),,(1.47816704704 1535),(5.26344337549 1653),(9.33638474455 1779),,(7.07842571747 2163),,(1.32292663806 2535),,,
Point2,H4,,(4.65893621629 253),(5.54543908864 427),(0.523825953014 663),(0.690662760667 839),(0.781087909615 1019),,,(8.881784197e-15 1553),(2.20562477808 1679),(1.30676464668 1857),,(1.98647601837 2215),(0.224467656362 2397),(1.14448961958 2547),,,
Point2,H5,,(4.78833930727 261),(5.91387716736 437),(1.0215947594 675),(0.78134939859 848),(0.785269400301 1022),,,(10.5580164469 1584),(2.41432869309 1689),(1.38399637841 1865),,(2.27050469255 2225),(0.234942241612 2401),(1.51190302874 2560),,,
Point2,H6,(8.881784197e-16 168),(8.881784197e-16 343),(0.0 513),(-2.6645352591e-15 689),(-7.9936057773e-15 863),(-1.7763568394e-15 1038),(-0.00399841149068 1209),(2.6645352591e-15 1377),(8.881784197e-15 1553),(2.6645352591e-15 1728),(-0.00182796465076 1896),(8.881784197e-16 2065),(1.7763568394e-15 2242),(3.5527136788e-15 2411),(-3.10862446895e-15 2579),(2.6645352591e-15 2756),(5.3290705182e-15 2931),
