Cycle,0.703135424446
Average Width,3.86408815611
Width,,4.45223850268,4.23072523748,4.33354099148,3.77807902438,3.85540991589,3.56443366318,3.6489614916,3.58932527809,3.55646331293,3.55777668763,3.62387511505,3.84560399159,3.70506906176,3.50519419663,3.64526904241,3.68463424253,3.70225240121,3.80786683415,3.68305606659,3.90157671829,3.88612367606,3.62185429645,3.6902879114,3.69796538342,3.60080461205,3.66763161807,3.4621427232,3.56722717913,3.58374072162,3.35094365731,3.32155953196,3.48478835028,3.93008181081,3.81492377353,3.87885815036,3.84597432186,4.03045532806,4.06141043681,3.8306458784,3.88267061024,4.17217583013,3.946040576,4.15554048668,4.19261076196,3.64306592265,3.5912165125,3.72834224297,3.64370538995,3.8799886093,3.83927984576,3.89830788491,3.98898544251,3.89225646095,3.79021775295,4.0064296815,4.17923629774,3.8352863195,4.21293399592,3.96960933583,4.13848027779,4.06093856668,4.13898418355,4.07449723667,4.02066794015,4.5681129649,4.24639792842,4.41553898204,4.36740076843,3.99213677152,4.1707214215,4.44654956925,3.96402475896,4.72500181476,4.09808478461,3.785836191,3.94915018079,3.72992880396,4.07081502887,3.97882489891,3.83572764007,4.01682174126,4.06153559707,4.08222985206,3.92544674212,3.99373778496,4.24724037498,3.84835185837,3.98393816527,3.94038631736,3.83435908405,3.98427072325,3.64468651063,3.78077401426,3.63103186957,3.67612221523,3.65071603875,3.87036658452,3.83496195612,3.98227975955,3.62830744085,3.19693639991,3.33235735454,3.22141011963,3.2724079218
Point0,H1,(14.597308592 36),(14.1991100903 175),(13.9889973743 307),(13.9902990617 434),(15.6574595327 566),(16.0114476205 721),(16.5965202376 884),(16.7710850994 1049),(16.1272753288 1199),(17.2122199012 1345),(16.7643463211 1495),(17.2634403719 1654),(16.9509693352 1814),(16.3991266299 1971),(17.2761984737 2117),(18.0957222494 2263),(17.4595555675 2414),(15.5261304605 2566),(16.604076659 2715),(16.7200303295 2861),(17.894111127 3012),(17.196505947 3160),(16.4441697808 3302),(17.3834790828 3446),(15.7474819042 3601),(14.5615464999 3750),(15.603523499 3892),(16.2129285857 4036),(15.0541183383 4183),(15.5040763098 4324),(15.5012212205 4458),(14.2914281756 4592),(18.0569758011 4729),(13.2780347724 4859),(15.7502853285 4982),(14.2135073353 5108),(16.6828321381 5231),(13.8655895311 5349),(13.5714087792 5469),(13.567078159 5591),(13.8693458066 5721),(13.1340346431 5861),(12.5278133629 5991),(12.1170865388 6125),(14.5938567842 6268),(16.9198767036 6424),(17.8305111372 6584),(19.9984667679 6724),(19.5406817139 6864),(18.7060131058 7005),(18.649304387 7149),(18.9916424684 7298),(19.1795602486 7447),(18.2920525657 7596),(17.0478127539 7744),(17.4334402469 7889),(17.2168872228 8022),(18.0066783988 8159),(18.9506918744 8293),(17.495580184 8434),(16.5834328949 8581),(18.4566674063 8740),(17.4545102555 8898),(18.2787861325 9054),(15.1389237837 9207),(15.9258839612 9361),(15.4757018727 9498),(16.0230576777 9634),(14.7127113929 9767),(13.1416592572 9899),(14.5850588389 10040),(16.1654532386 10183),(18.2638184908 10329),(18.9371906255 10472),(19.5093619906 10608),(20.4379255419 10743),(20.18643252 10884),(18.5936759113 11027),(17.0771764028 11171),(18.3247898899 11307),(19.8422689743 11439),(21.2229007829 11571),(20.1804404658 11699),(19.8344946049 11829),(18.8043798913 11967),(19.7705689042 12103),(19.1828192015 12244),(18.861287627 12386),(18.2785078257 12523),(17.7023437449 12659),(20.0158299481 12790),(17.9079959132 12925),(16.4854046258 13061),(18.4087600483 13203),(15.8909357384 13350),(15.4790378446 13506),(16.5085166493 13662),(16.2566991854 13817),(14.7544617573 13968),(15.0036097607 14118),(13.2587313265 14258),(15.6205516187 14391),(13.0959660167 14526),(15.6472135171 14660),(16.9648325264 14799),
Point0,H2,(8.96260316022 60),(5.65308023217 207),(7.09465644238 336),,,,,(8.60111223964 1086),(8.79424271702 1233),,,(8.51091234794 1697),,(6.56100045089 2001),(7.92363589163 2152),(9.10885975242 2302),(8.07550810561 2449),(7.78905700208 2600),(8.43072189133 2750),(7.87037318203 2896),,(6.65789645935 3196),(6.55052231155 3340),(9.05723392513 3491),(7.6090246601 3635),(7.80831782036 3786),,,(6.40976167732 4215),(6.84955799307 4356),(8.33514536291 4497),(6.92408356612 4620),(6.51207227956 4757),(5.07920806735 4883),,(7.12177411038 5141),(7.85326752664 5261),(4.6664286035 5387),(5.984677238 5500),(6.16086073829 5629),(5.58764987531 5755),(5.5140687318 5894),,(7.43766338172 6163),(8.26566307752 6309),,(7.09537503036 6619),(6.78637073828 6770),(6.52083791588 6895),(6.96203018563 7036),(6.96569150991 7182),(7.51531771951 7330),(8.01931708369 7484),(7.17781237628 7629),(6.62083783777 7773),(5.34815176042 7917),(6.6289746178 8060),(7.84951239282 8192),(7.54851669494 8334),,(6.46592373806 8620),,(7.49870878794 8927),(7.93027274659 9088),(4.00464988009 9244),(5.74157880576 9390),(5.35467826514 9532),(4.5385190256 9662),(5.65725630481 9804),(5.44891558507 9935),(6.34919092313 10080),(5.99608641262 10225),,(7.72081051546 10505),(7.74041739973 10641),(8.23691869364 10783),,(6.70821917356 11057),(4.56114227931 11199),(4.83836186569 11340),(5.63840187509 11470),(8.43980705636 11600),(7.62420095558 11732),(8.86966880352 11870),(7.67179472029 11995),(8.70438968558 12138),(7.8711965939 12273),(8.04747948947 12413),(6.72886122811 12555),(5.5733427135 12688),(9.37959598525 12821),(8.38333724461 12961),,(3.06000327085 13252),(9.36129346434 13384),(7.74401348077 13539),(8.00960839008 13693),(7.80637361452 13853),(7.99475011829 13996),(4.40847608547 14150),(5.50619732423 14289),(6.65679323207 14429),(5.89599203933 14560),,
Point0,H3,(9.35809366864 72),(8.1506185047 225),(8.08355055097 352),,,,,(9.00110079894 1098),(9.48059952551 1247),,,(8.51253956141 1699),,(7.24051826563 2020),(8.29135124746 2165),(9.39811679451 2313),(8.11497732321 2455),(8.14309103477 2612),(9.02554483288 2763),(8.1428430536 2907),,(7.84634383547 3212),(6.69367089254 3348),(9.05835973355 3493),(7.77933636097 3645),(7.93856703329 3795),,,(8.33707520891 4235),(7.84135816621 4377),(8.75454811153 4508),(9.21215694394 4638),(8.68758305784 4774),(9.07006169533 4903),,(7.12222474404 5142),(7.97413645601 5269),(4.71942747127 5394),(6.25393747454 5510),(6.25835625068 5638),(6.07029616532 5768),(5.79631184136 5906),,(7.57927022432 6172),(8.27239951238 6313),,(7.87500408604 6633),(6.92862694714 6778),(7.49613171086 6915),(7.67734695742 7049),(7.78342700092 7198),(8.17020098908 7345),(8.58484200982 7497),(7.98226657344 7643),(7.89547020017 7791),(6.34899598829 7933),(6.739425998 8069),(8.10515043718 8202),(8.0389073187 8346),,(6.66026172102 8629),,(9.18164121691 8946),(8.01519238925 9094),(5.57736514034 9263),(6.67925126218 9405),(5.89997618064 9545),(6.18670831023 9694),(6.20368592114 9818),(5.89286065033 9949),(7.35881508992 10094),(6.16888153173 10234),,(8.963712699 10521),(8.03610674894 10652),(8.62617207853 10794),,(6.71915081397 11060),(6.43038082974 11219),(7.28954154237 11358),(8.20907873021 11488),(9.44963956084 11615),(7.974236125 11744),(9.0726603955 11880),(8.94322291937 12009),(9.19354300002 12149),(8.8786629214 12293),(9.41653941485 12431),(8.05564178748 12571),(7.73214450432 12706),(9.89786154396 12836),(8.79622525582 12971),,(3.42073107228 13261),(9.71624832189 13396),(7.97537013529 13554),(8.44158580562 13706),(8.37423640218 13865),(9.31790431096 14014),(6.34274601094 14170),(6.72326725104 14306),(7.43583630904 14444),(6.84018358282 14574),,
Point0,H4,,,,,(2.80732689242 659),,(1.62801442374 992),(2.93337341982 1140),(3.55982146411 1283),,,,,,,(3.40338316888 2355),,(2.5569168476 2657),(3.02248473381 2802),,(2.22096098689 3106),,(0.770805085079 3399),(3.05166855745 3538),,,,(0.756369370407 4132),,,,(2.21215121316 4670),(2.58240215237 4800),,,,,,,,,,(1.11747635921 6066),,,,,,(2.30720607468 6951),(2.20886735476 7091),,,(2.77066502953 7538),(2.13121117531 7681),,,(2.89087297342 8100),,,(0.0335640241476 8533),(2.0267865109 8672),(2.29008261821 8832),(2.92915168765 8990),(0.538437720356 9151),(1.66802540649 9297),,,,,,,(2.05157169394 10275),(1.73508545554 10421),,,,,,(2.47571892397 11247),,,,,,(2.0009141519 12054),,,(3.79803192971 12466),,,(4.93309927697 12867),,,(-0.00729838334968 13285),(2.24897675458 13441),,(1.85859816262 13762),,(0.302717978181 14073),,,,,,
Point0,H5,,,,,(2.86088197912 665),,(2.05145782161 1004),(2.94227242849 1143),(3.73632758892 1291),,,,,,,(3.4503798157 2361),,(3.87928613919 2670),(3.24077916149 2810),,(2.3993798971 3115),,(0.793479692138 3403),(3.72107846769 3549),,,,(1.1194962972 4142),,,,(5.73384525266 4686),(4.69310651608 4814),,,,,,,,,,(1.73671372068 6078),,,,,,(2.3093310976 6953),(2.43010485942 7099),,,(3.12649682226 7548),(2.67682227463 7692),,,(2.89957301796 8103),,,(0.116692344532 8541),(2.50293175274 8684),(2.66902228698 8843),(3.74172637769 9003),(1.31446631697 9166),(1.86199252085 9307),,,,,,,(2.15617639392 10282),(1.74069559996 10424),,,,,,(3.65435092747 11260),,,,,,(2.00759721047 12057),,,(3.98696002073 12474),,,(4.98057757566 12872),,,(0.794597973257 13306),(3.07296066914 13453),,(1.97230142216 13770),,(0.317709810043 14077),,,,,,
Point0,H6,(-6.2172489379e-15 143),(-1.68753899743e-14 271),(-1.59872115546e-14 400),(-1.06581410364e-14 534),(0.0 685),(-0.00603273167083 847),(7.9936057773e-15 1020),(-1.68753899743e-14 1165),(-1.06581410364e-14 1311),(-2.30926389122e-14 1466),(-1.7763568394e-15 1622),(-5.3290705182e-15 1784),(-9.7699626167e-15 1938),(3.5527136788e-15 2083),(8.881784197e-16 2233),(-1.15463194561e-14 2381),(-8.881784197e-15 2533),(-0.00668560120262 2686),(-0.00472785106569 2830),(-1.33226762955e-14 2976),(-7.9936057773e-15 3132),(-1.50990331349e-14 3271),(-0.0057026820372 3416),(1.33226762955e-14 3567),(-1.7763568394e-15 3717),(-2.6645352591e-15 3856),(-2.6645352591e-15 3998),(1.33226762955e-14 4154),(0.0 4284),(-0.00721849785158 4428),(-3.5527136788e-15 4559),(-2.6645352591e-15 4703),(3.5527136788e-15 4832),(-0.0114226514629 4951),(1.7763568394e-14 5075),(1.7763568394e-15 5197),(-0.00235405887701 5319),(-7.1054273576e-15 5436),(-2.6645352591e-15 5561),(-1.59872115546e-14 5692),(-1.24344978758e-14 5822),(-1.06581410364e-14 5962),(-0.00168119853232 6093),(0.0 6235),(8.881784197e-16 6394),(-2.6645352591e-15 6553),(-2.6645352591e-15 6688),(2.6645352591e-15 6830),(-8.881784197e-16 6972),(-8.881784197e-16 7116),(1.7763568394e-15 7261),(2.6645352591e-15 7415),(1.50990331349e-14 7565),(8.881784197e-15 7710),(-5.3290705182e-15 7854),(8.881784197e-16 7992),(1.7763568394e-14 8125),(3.5527136788e-15 8260),(7.1054273576e-15 8398),(1.7763568394e-15 8549),(-0.00193645579909 8705),(1.33226762955e-14 8863),(-5.3290705182e-15 9022),(-1.15463194561e-14 9179),(-1.59872115546e-14 9326),(-1.15463194561e-14 9467),(-0.0056737838659 9599),(-8.881784197e-15 9736),(1.15463194561e-14 9868),(8.881784197e-16 10007),(-5.3290705182e-15 10154),(1.7763568394e-15 10299),(6.2172489379e-15 10442),(-0.00131622806808 10573),(1.06581410364e-14 10713),(-1.42108547152e-14 10852),(-0.00932560071389 10994),(-0.00453852241069 11136),(1.68753899743e-14 11278),(9.7699626167e-15 11405),(-3.5527136788e-15 11537),(5.3290705182e-15 11664),(-1.06581410364e-14 11800),(-1.7763568394e-14 11933),(1.7763568394e-15 12074),(-2.6645352591e-15 12213),(-0.00498018904549 12351),(-1.7763568394e-15 12493),(-2.48689957516e-14 12625),(-0.0164179374906 12760),(8.881784197e-15 12895),(-0.0286168704942 13031),(-1.7763568394e-15 13170),(-0.00729838334968 13285),(5.3290705182e-15 13472),(-5.3290705182e-15 13624),(-8.881784197e-16 13787),(2.6645352591e-15 13932),(1.7763568394e-15 14087),(3.5527136788e-15 14223),(-6.2172489379e-15 14363),(5.3290705182e-15 14491),(-4.4408920985e-15 14628),(-0.00716237915526 14765),
Point1,H1,(20.5864559888 35),(18.0279026161 175),(18.0664913416 306),(18.1050078837 434),(18.4876180546 567),(19.5482711964 719),(19.8121479816 884),(19.6456198297 1050),(19.2448403702 1198),(20.402061714 1344),(20.2547350707 1495),(20.6802566291 1654),(20.8937896752 1814),(20.0587995309 1972),(20.8336367964 2117),(22.1996974969 2263),(21.2013795137 2413),(19.8293371052 2566),(20.6849897497 2714),(19.4803950136 2861),(21.4429709741 3012),(20.6023102037 3160),(19.2448828842 3302),(21.0356428059 3447),(19.2239741012 3601),(18.1058193256 3750),(19.7321054705 3892),(20.3141634383 4036),(18.7377796705 4183),(19.6870006272 4324),(21.0601942717 4458),(19.198705198 4593),(23.2549048303 4729),(17.0975770254 4858),(21.2065591078 4982),(20.6727364744 5108),(23.1946115659 5230),(19.5749479822 5349),(20.4503706345 5468),(19.5496230871 5591),(19.8553112729 5720),(18.712929264 5859),(18.2704161325 5990),(18.6870704969 6125),(20.7723802708 6267),(21.7854085872 6424),(20.8427645269 6584),(22.3468976499 6724),(21.1266105591 6865),(21.1643094784 7005),(20.6459316521 7149),(21.2192010606 7299),(21.6494880206 7447),(21.1223360439 7596),(19.3469519528 7744),(18.6701404385 7889),(19.8186807369 8022),(19.3319424722 8158),(19.9527483015 8293),(18.8637455122 8435),(18.4474399712 8582),(19.9294432788 8741),(19.5767045054 8898),(19.9029836147 9055),(17.0143383156 9207),(17.3703201152 9361),(17.6113012581 9499),(19.0559165653 9635),(18.962071787 9767),(17.2841440528 9899),(18.2791066516 10040),(17.6421170017 10184),(19.3686503827 10329),(20.0986998524 10472),(20.5829783635 10608),(21.9675906278 10743),(21.7480339858 10884),(19.4414832751 11028),(18.2411027907 11171),(20.7167250783 11308),(21.4660342075 11439),(23.039959035 11572),(21.495068679 11700),(21.3984738273 11830),(20.9778873187 11967),(20.9625791493 12104),(21.2858108837 12245),(20.8731553435 12386),(19.991104659 12524),(19.5348916641 12660),(21.759027351 12791),(19.7585336748 12926),(18.3167826723 13062),(19.9158116298 13205),(19.2789694781 13350),(18.9309879267 13506),(18.7745173538 13662),(18.8215641105 13817),(17.6503706384 13968),(17.7062973352 14119),(16.5202075029 14259),(18.9867285845 14391),(17.2439377757 14525),(17.0564790753 14661),(18.9655605024 14799),
Point1,H2,(9.97684183269 61),(6.08592999541 206),(8.25652151229 335),,,(10.4731040126 757),,(9.71678542651 1083),(10.2269596011 1232),,,(10.1101939683 1695),(9.98128983456 1851),(7.62900482724 2003),(9.48265604609 2155),(10.9694256836 2303),(9.88949032978 2451),(9.91236971668 2599),(9.70982242482 2751),(9.00967801183 2894),,(8.40605495364 3198),(8.06206628195 3338),(11.2760512792 3490),(8.74891266206 3636),(8.57725051293 3779),,,(7.86956309961 4215),(9.35085951748 4357),(10.9985874433 4497),(8.9788979846 4621),(8.41359992911 4756),(5.65728215731 4883),(5.70652677312 5042),(9.50304432759 5139),(10.1874531437 5261),(6.77564059642 5379),(7.9198002185 5498),(7.33152530259 5626),(7.16983906958 5755),(7.01203667697 5891),(6.82489828697 6031),(9.7240680449 6161),(9.82670480141 6308),(9.96133893537 6463),(8.67967988205 6621),(8.17882266654 6770),(8.04930202601 6897),(7.05462185724 7037),(7.68044786597 7184),(8.51553983148 7331),(9.43834492052 7485),(8.18131751907 7630),(7.00491343334 7774),(5.87439581848 7918),(7.69684437349 8064),(8.36128542119 8192),(7.98408810107 8338),(8.16944937405 8467),(7.53669213597 8618),,(9.57923661667 8926),(8.51586619123 9086),(5.04967369325 9241),(5.89138765235 9390),(6.66159325141 9532),(6.71221026135 9662),(6.84456006165 9806),(5.85020537797 9936),(7.27342703906 10080),(6.22317422519 10225),(9.19571203144 10365),(8.67367282138 10505),(7.98762815702 10640),(9.3097422348 10785),(8.60732427064 10925),(7.29132882167 11057),(4.55650205393 11199),(5.547012359 11341),(6.15407326643 11471),(9.56929561538 11600),(8.16847551334 11732),(9.87435836901 11858),(8.03288804409 11995),(9.27622678046 12140),(8.72717587178 12272),(8.59619373351 12413),(7.36287032037 12557),(6.72658944904 12689),(10.8179780699 12822),(8.74595111895 12961),(8.07712888433 13108),,(9.57913834746 13381),(9.23055751614 13536),(9.19459682967 13692),(9.28300145111 13855),(9.71240791851 13994),(5.97199827405 14150),(6.11338526735 14289),(7.86804085448 14433),(7.05980447048 14561),,
Point1,H3,(11.6665918578 80),(9.53969592053 225),(9.84555216327 352),,,(10.7951405239 768),,(10.7177188646 1097),(11.2267072806 1247),,,(10.2588378487 1704),(10.083905873 1858),(8.96127941253 2023),(10.004285455 2168),(11.2042288388 2312),(9.97591520479 2458),(10.6124117165 2614),(11.1773892267 2766),(9.71253568033 2907),,(9.48313060271 3212),(8.62314057085 3351),(11.3064685198 3494),(8.88078875743 3645),(10.1895983381 3800),,,(10.5077940524 4237),(10.3133067051 4377),(11.2315726752 4506),(12.1210934505 4640),(12.4663878346 4774),(11.5135984063 4904),(5.84665697369 5050),(9.54592254387 5144),(10.636965423 5271),(7.82197545614 5395),(8.96550568806 5511),(7.87989234765 5640),(8.47911014068 5771),(7.42018940898 5904),(7.00732521863 6041),(10.1261121183 6172),(9.97242378589 6318),(10.4522576958 6476),(9.47291798457 6635),(8.18395250365 6773),(8.41771458565 6915),(8.53995534331 7053),(8.83681503819 7199),(9.4018619089 7346),(9.89318645634 7496),(9.84945645665 7646),(9.52256487348 7793),(7.77796266957 7936),(7.82468661551 8072),(8.75242247421 8203),(8.15060546342 8347),(8.24495913642 8475),(7.82147318252 8629),,(10.6187762028 8943),(8.94980837666 9096),(7.33283131891 9262),(8.09210845632 9409),(7.89321043492 9548),(7.47845625937 9691),(8.36171149008 9822),(6.70149448774 9951),(8.26304848321 10093),(6.68750064849 10237),(9.53444418627 10374),(9.98716827283 10522),(8.71518380079 10653),(9.99017596206 10796),(8.6190188145 10930),(7.86167396928 11072),(7.42878846838 11220),(7.73435177186 11358),(9.13927660643 11488),(10.5169314351 11615),(8.70492539452 11748),(10.5310027557 11882),(9.58235928255 12009),(9.66047118074 12150),(10.2315203425 12294),(10.4761106157 12431),(9.07293151088 12573),(9.08803642377 12707),(11.1168412468 12839),(9.06047945042 12971),(8.14285673046 13113),,(10.317463568 13396),(9.62587062298 13552),(9.93608888664 13706),(9.7229144017 13866),(11.6233955895 14013),(8.09427041368 14170),(7.58462575192 14308),(8.70236551782 14446),(7.8433422905 14574),,
Point1,H4,,,,,(2.84360850227 660),(3.22742156686 821),(2.33133469956 995),(3.2235914068 1141),(3.4757544191 1284),,,,(2.86416452299 1910),,,(3.62375338055 2357),,(3.56747111596 2657),,(2.21377705206 2948),(2.958462629 3110),,(0.868874910848 3401),(3.22600459524 3538),,,,,,,,(3.23028346814 4671),(3.37944268579 4800),,,,,,,,,,(2.03332493449 6069),(2.38722263503 6215),,,,,(2.05568829605 6949),(2.27012943638 7094),(1.39341516934 7239),,(2.53297486918 7538),(2.43305426215 7681),(1.78144482561 7827),,(2.62319983612 8100),,,(-0.000436396125589 8534),(2.09328920046 8673),(2.75401067193 8835),(3.44610208868 8993),(0.599234064064 9152),(1.81421395641 9299),(2.70980002014 9444),,,(3.18267167819 9849),,,(1.97951890303 10279),(1.47425889435 10420),,,,,,(2.27806173166 11248),,,,,,(1.37211317301 12052),,,(3.41984122485 12466),,,(5.78374436118 12869),,,(0.897323435734 13288),(2.51353864656 13442),,(2.15921558272 13762),(2.85284360343 13908),,,,,,,
Point1,H5,,,,,(3.19764561718 669),(3.22902990825 823),(2.39098138946 1002),(3.22565246432 1144),(3.74790695019 1292),,,,(2.88982609003 1914),,,(3.78178837364 2364),,(4.53787339754 2669),,(2.32527196275 2955),(2.96649775667 3113),,(0.884333800266 3404),(4.77582833231 3551),,,,,,,,(7.99794287528 4687),(7.0033032948 4816),,,,,,,,,,(2.29629103936 6077),(2.43761690551 6220),,,,,(2.49447225728 6958),(2.29376951854 7098),(1.40322589969 7242),,(3.67978501677 7550),(3.046295117 7693),(1.96516998805 7836),,(2.88877591933 8109),,,(0.270764271735 8546),(2.62447827642 8685),(2.95551637265 8843),(3.81899150386 9003),(1.39155637528 9166),(1.99517972371 9308),(2.74529747005 9449),,,(3.18923375136 9851),,,(1.98827850036 10282),(1.62652565501 10428),,,,,,(3.79340505985 11262),,,,,,(1.61421652418 12061),,,(4.02503615739 12477),,,(5.79234390254 12872),,,(0.963080480331 13299),(3.21595457898 13454),,(2.28104054484 13771),(2.86569789306 13911),,,,,,,
