Cycle,0.801627906977
Average Width,8.59731086039
Width,,6.84643431426,6.18849794174,7.17691272758,7.1969322859,6.84327595168,6.94585066103,7.30848999045,8.12624617027,7.00580387912,7.92650354219,7.99341939523,8.80950617573,7.9146940801,7.82079827845,7.82415968893,7.53292856339,7.32415584004,8.0660809921,7.66963876029,7.94082427537,8.03119338425,8.07799694324,8.68644058086,9.5320647129,8.26359078765,9.16482888023,9.77472231437,9.31032120827,8.92377597817,8.88704017842,9.52420637453,9.12219920588,9.34579356536,8.80970931618,8.901668782,9.64217837514,10.9619422904,9.70547289485,10.0036197318,10.0361203662,9.49535018349,10.4411891799,12.1701496023,11.0089495069
Point1,H5,,,,(2.1671376326 639),(2.02227747367 783),,(12.0011612855 1132),,(1.65946471823 1443),,(1.32810536831 1760),(0.0961345181476 1938),(0.822612898614 2099),,(2.25786393291 2414),,(6.29312808566 2686),(1.45082073087 2908),(2.1743735657 3086),(1.38650266547 3246),,,(0.905257791524 3756),(2.45226248632 3907),,(2.00768227105 4276),(1.49237530395 4416),,,(0.807527167124 4887),(0.801663059397 5071),(2.26814039917 5243),(1.58204168562 5394),(0.16740480014 5538),(1.29623692269 5730),(1.22095729845 5907),(1.63307441692 6065),(0.698631325736 6241),(0.201115566857 6388),,(1.12634538172 6712),,(0.818899045019 7044),,
Point1,H6,(-5.3290705182e-15 173),(8.881784197e-15 336),(1.50990331349e-14 496),(1.7763568394e-15 656),(6.2172489379e-15 800),(-0.00577229881329 969),(-4.4408920985e-15 1103),(-1.7763568394e-15 1293),(-0.0139462660489 1469),(-0.00142099502709 1588),(-0.0114624187209 1775),(-0.26345975093 1948),(-8.881784197e-15 2084),(4.4408920985e-15 2273),(-4.4408920985e-15 2432),(0.0 2598),(-7.1054273576e-15 2737),(7.1054273576e-15 2926),(3.5527136788e-15 3104),(-7.1054273576e-15 3264),(-0.00235718280761 3402),(-1.7763568394e-15 3600),(6.2172489379e-15 3775),(5.3290705182e-15 3951),(2.6645352591e-15 4113),(-3.5527136788e-15 4260),(-5.3290705182e-15 4432),(3.5527136788e-15 4579),(0.0 4706),(-3.10862446895e-15 4908),(-0.00650382593323 5097),(2.6645352591e-15 5265),(2.6645352591e-15 5408),(3.5527136788e-15 5546),(-4.4408920985e-15 5684),(-3.5527136788e-15 5746),(-7.9936057773e-15 5888),(-0.000952371872027 6081),(-0.0453108360517 6208),(-0.131161873988 6403),(-4.4408920985e-16 6557),(6.2172489379e-15 6736),(7.9936057773e-15 6865),(7.9936057773e-15 7028),
Point2,H1,(13.3159444784 52),(13.8286313695 204),(14.6521736814 369),(15.2952510591 538),(14.8629818086 684),(13.6785534015 831),(14.3557483938 1003),(13.6173749957 1154),(15.7729541671 1324),(12.7872084863 1498),(13.6401801167 1627),(15.0051599787 1814),(14.8526079586 1979),(14.7244166683 2140),(14.4504174031 2315),(12.7478358708 2460),(13.8373180346 2635),(13.7458029595 2776),(15.5659956416 2961),(13.2329728242 3150),(13.9485363822 3304),(14.0294543428 3435),(14.5619618328 3645),(15.8838210836 3818),(14.4105984383 3981),(14.2565152864 4151),(15.1626860059 4317),(14.1878613047 4474),(13.4923140273 4620),(12.7423519368 4747),(14.6034340836 4952),(15.1028442036 5131),(14.8501693261 5307),(13.6867533807 5435),(15.7264008441 5578),(14.352829098 5785),(13.3986791823 5958),(13.4167723104 6120),(14.3838552868 6282),(14.4249036247 6442),(12.5814315964 6588),(13.6401512502 6777),(13.1787830699 6909),(14.7769056933 7098),
Point2,H2,,(6.80935765248 252),,,,,(1.52610517629 1084),,,,(5.4717184017 1676),,,,,(11.2304628833 2474),,,,,,(1.20734554732 3548),(0.950100606275 3725),(2.46216778883 3900),,,(14.4385993735 4329),,,,(11.4230210776 4972),,,(4.51581788712 5483),(1.71929974657 5686),,,(0.442581398735 6210),(11.9295499846 6299),,(5.01935722192 6636),,(1.43616304659 6994),,
Point2,H3,,(6.93047378354 259),,,,,(1.55377619213 1088),,,,(5.50160106734 1681),,,,,(11.3798454239 2481),,,,,,(1.22414097904 3553),(0.986586861418 3731),(2.60787329644 3908),,,(14.5292603646 4335),,,,(11.5032584317 4978),,,(4.63282344927 5489),(2.06076301114 5698),,,(0.464820499832 6215),(12.0381898908 6304),,(5.11633376561 6642),,(1.71866534932 7009),,
Point2,H4,(0.453693276665 152),(2.35204501833 310),,(1.33016809866 629),(1.72226924415 775),,(-3.5527136788e-15 1104),(2.63080748091 1242),(1.6738491768 1430),,(-0.00766909893403 1747),(0.751829541824 1930),(-3.5527136788e-15 2085),(2.46275286954 2249),(2.03542822619 2408),,,(2.51860691595 2876),(1.17240475047 3068),(1.91470231383 3239),,(0.748143786574 3570),(0.406925262765 3748),(1.53228804156 3926),,(8.881784197e-16 4259),(1.3970886532 4407),,,(1.22400268747 4857),(0.479982904346 5059),(2.05464753433 5236),(0.935649701568 5382),,(0.81250183179 5717),(-0.0217083210271 5892),(1.27492112832 6049),(0.208565721413 6229),(-0.00456524046189 6380),,(0.709524346085 6698),,(0.946800417506 7027),,
Point2,H5,(0.643008624204 162),(2.42780437911 317),,(1.76287240617 641),(2.1404708242 785),,(13.2922318016 1134),(2.66598258566 1249),(1.8551483097 1442),,(1.09265004298 1763),(0.894779408836 1937),(0.930820985178 2100),(2.50457381003 2254),(2.31211222097 2417),,,(2.57615363042 2883),(2.50973313713 3088),(1.9635800186 3245),,(1.85970045848 3586),(0.758519046641 3761),(2.00233558185 3937),,(1.55628993474 4276),(1.81087248134 4418),,,(1.2470906908 4864),(0.645603467188 5070),(2.4749963268 5248),(1.71205532068 5394),,(1.5865085274 5730),(0.983566670726 5907),(1.73729455827 6063),(0.457319298341 6241),(0.116654781066 6392),,(0.931808661097 6712),,(1.5418331847 7042),,
Point2,H6,(-0.00117582198383 1),(-1.33226762955e-14 173),(-0.00226372469704 336),(-2.6645352591e-15 497),(1.06581410364e-14 656),(-7.9936057773e-15 801),(-0.000657661246064 969),(-3.5527136788e-15 1104),(-9.7699626167e-15 1293),(-0.00316426873279 1469),(-0.000548440337859 1589),(-0.00766909893403 1747),(-0.0139596055734 1950),(-3.5527136788e-15 2085),(6.2172489379e-15 2274),(-7.1054273576e-15 2433),(-0.000295508686631 2599),(-1.7763568394e-15 2738),(1.06581410364e-14 2926),(-8.881784197e-16 3106),(-4.4408920985e-15 3265),(-9.7699626167e-15 3403),(-6.2172489379e-15 3602),(-0.00108539330784 3776),(-8.881784197e-16 3952),(7.1054273576e-15 4113),(8.881784197e-16 4259),(5.3290705182e-15 4433),(1.15463194561e-14 4579),(2.6645352591e-15 4707),(7.9936057773e-15 4910),(-0.0105047616802 5096),(2.6645352591e-15 5266),(-5.3290705182e-15 5408),(-7.1054273576e-15 5547),(-1.15463194561e-14 5746),(-0.0217083210271 5892),(1.15463194561e-14 6081),(-4.4408920985e-15 6252),(-0.00456524046189 6380),(-3.5527136788e-15 6558),(-4.4408920985e-15 6735),(-9.7699626167e-15 6866),(-8.881784197e-15 7059),
Point3,H1,(12.8963585107 51),(13.2910227984 204),(15.4064329525 367),(16.6032238747 539),(15.3148471597 684),(14.9116155239 830),(15.5615637039 1003),(15.468928858 1155),(17.1446072375 1323),(14.9794071771 1499),(15.5649019331 1627),(18.2961914368 1813),(17.3078603259 1979),(17.1945722296 2140),(17.2513591672 2316),(14.9391615123 2461),(16.490674918 2635),(15.5203078642 2775),(17.7028160137 2961),(16.0013487205 3150),(15.9492784192 3308),(16.9255384399 3436),(18.097350433 3641),(19.2638645541 3817),(17.1329252024 3981),(18.2071690877 4152),(18.7264761226 4316),(17.9246951154 4474),(16.7920460717 4618),(16.2989700237 4748),(18.2745044942 4953),(18.7842837083 5131),(18.2450191092 5306),(16.2948855964 5435),(18.3180550992 5578),(18.904369117 5784),(17.3036398596 5953),(16.7479783018 6121),(18.6694752202 6283),(18.5340060107 6441),(16.5515905637 6588),(17.7771395365 6777),(16.6984452827 6907),(19.2596482026 7098),
Point3,H2,,(11.9164055368 220),,,,,(1.59630685165 1082),,(14.7485622936 1339),,(6.03511324772 1675),,,,,,,,,,,(2.0950679867 3544),,(2.16649350069 3899),(15.9647536266 3995),(1.43770633886 4237),(17.3146472355 4329),,,,,(3.06765414478 5211),,,,(2.62372383643 5867),,,(15.7081665621 6300),,(2.63523049412 6680),,,
