Cycle,0.722901234568
Average Width,7.35007802692
Width,,6.86435323762,6.90194837097,6.89271067954,6.86636969589,6.7978666791,6.91965485408,6.9173994992,6.75281425669,6.95485237107,6.74226714642,6.76220917639,6.76309849135,6.67536335219,6.6236585511,6.76021277237,6.61921600956,6.98964387757,6.90966448311,7.3079249969,7.70587740853,7.76211796595,8.03581065311,8.56291336224,8.26543547038,8.46044914512,8.31949357793,8.95506515013,9.71379351933
Point2,H1,(12.6994267674 29),(14.6544103775 188),(14.5920597376 358),(13.5432985001 519),(16.3095874783 682),(15.6147283304 853),(14.1664277161 1005),(14.6837566764 1162),(13.1765816723 1317),(12.3945326652 1455),(13.9029076577 1594),(10.8328986483 1722),(11.7544476384 1861),(11.6751729521 1990),(14.2557336127 2135),(13.2019737619 2281),(13.0585664577 2427),(16.0250769918 2583),(15.4401434713 2731),(14.9382070083 2876),(15.0717296652 3018),(15.8835830441 3164),(15.5180695716 3317),(16.8722628554 3466),(17.6882759414 3626),(17.1910900854 3785),(15.4146153114 3940),(16.9536797557 4092),
Point2,H2,(6.6948266741 71),,(9.09465846037 385),(8.17653445716 546),,(9.03482330234 882),,,(5.50756210115 1344),,,(7.27314092218 1741),(5.60231621249 1899),,,(0.536469447243 2356),(10.3759133379 2448),,,,,(9.49647837586 3194),(8.17323814841 3344),,,(6.79002108421 3829),,
Point2,H3,(6.8958885375 82),,(9.23073819212 394),(8.24097896066 552),,(9.15830916038 890),,,(6.63460807491 1360),,,(7.50970860245 1749),(5.60921189687 1902),,,(0.610496890054 2364),(10.5010214975 2456),,,,,(10.1306422387 3207),(8.4416501679 3354),,,(6.83587781792 3835),,
Point2,H4,(2.68359069864 134),,(3.30486125756 454),,(3.02626887425 788),(3.17669532767 951),,(3.48816386425 1249),(2.27320419219 1394),(6.26259359855 1481),(1.64841154625 1672),(2.12371673543 1798),(2.26775333077 1930),(3.3854269462 2070),(3.13640987077 2212),(0.532780655873 2373),(4.02471532819 2506),(5.25578475373 2654),(2.85479289841 2821),(2.71597317351 2963),(2.60313793992 3109),(3.23387568502 3253),(2.15380921667 3415),,,(3.00546089125 3879),,
Point2,H5,(2.86857402217 143),,(3.32094263881 458),,(3.17681227289 797),(3.33494334021 959),,(4.6310328538 1264),(2.53608775104 1404),(8.15676197388 1498),(1.84886055133 1680),(2.56818790559 1809),(2.3167240156 1936),(3.4233892162 2075),(3.23919623875 2220),(0.601635322591 2383),(4.74968926594 2525),(5.29542597942 2659),(3.21497862624 2831),(2.86363645337 2972),(2.99512687215 3120),(3.59729131948 3263),(2.51810035544 3425),,,(3.07515170603 3885),,
Point2,H6,(-9.7699626167e-15 161),(3.5527136788e-15 322),(-0.000744668187099 485),(7.1054273576e-15 654),(8.881784197e-15 819),(-3.5527136788e-15 977),(6.2172489379e-15 1135),(-6.2172489379e-15 1286),(3.5527136788e-15 1424),(7.9936057773e-15 1567),(-3.5527136788e-15 1696),(-4.4408920985e-15 1827),(-7.1054273576e-15 1955),(-8.881784197e-15 2099),(-1.06581410364e-14 2251),(0.0 2396),(-8.881784197e-15 2549),(-1.33226762955e-14 2705),(-8.881784197e-15 2849),(-1.68753899743e-14 2992),(-1.15463194561e-14 3137),(-5.3290705182e-15 3283),(-7.1054273576e-15 3440),(-7.9936057773e-15 3600),(8.881784197e-16 3758),(-7.1054273576e-15 3906),(-7.1054273576e-15 4065),
Point3,H1,(18.2302955717 27),(19.9635614483 187),(18.8358406154 358),(18.2580627369 518),(21.4521779339 681),(20.2814355157 852),(19.3287148387 1005),(20.2152513253 1161),(17.5115383014 1316),(16.9504714758 1454),(19.1188380043 1593),(16.5474450718 1721),(17.4156371503 1860),(17.1891848445 1988),(20.0835669329 2133),(18.9662545354 2280),(19.0368169645 2426),(21.6984860872 2583),(20.3757149434 2731),(19.4278970884 2874),(19.4808418217 3017),(20.3723413522 3163),(18.4125917088 3316),(20.9288187708 3465),(21.5954398443 3625),(20.9365984631 3784),(17.9491319069 3938),(18.8173519737 4091),
Point3,H2,(9.12648631679 72),,,(9.13474276312 545),,(11.0358336105 881),,,(6.65516670349 1343),(7.13524158016 1480),,,(7.77324544249 1899),,,,(13.4776837589 2448),,,,,(10.8675160147 3197),,,,,,
Point3,H3,(9.19956155629 79),,,(9.59338133714 556),,(11.13503413 888),,,(8.33431534261 1359),(10.7796300824 1498),,,(7.78973703923 1902),,,,(13.58305356 2454),,,,,(11.4582074417 3209),,,,,,
Point3,H4,(3.41535061611 135),,(10.3266717498 385),,,(2.95006215989 949),(2.03869252727 1111),(4.03709231247 1244),(2.40074552774 1393),(3.89692621726 1538),(2.05647186376 1671),(3.37688633192 1796),(3.24310462971 1928),(4.22498488763 2068),(4.25265660491 2212),(0.496083555926 2373),(4.77137190554 2500),(6.19704577055 2656),(3.60235878249 2821),(3.14987328846 2965),(3.73266410884 3109),(3.77174804141 3252),,(3.48684718287 3576),(4.48753721832 3707),(3.28929108617 3878),,
Point3,H5,(3.71918743356 143),,(10.7760748046 397),,,(4.09539319499 961),(2.34123595828 1120),(5.55980458144 1262),(3.23133781601 1406),(3.95312880981 1544),(2.40688309621 1680),(3.81684755748 1806),(3.73690412881 1937),(4.43060049713 2077),(4.32270216202 2218),(1.2502890839 2386),(5.51750962592 2524),(6.20894810942 2660),(4.30250455164 2832),(3.41635800154 2974),(4.22740234539 3119),(4.09512867121 3261),,(3.52605966455 3581),(4.72520691078 3717),(3.41105627423 3885),,
Point3,H6,(-1.42108547152e-14 160),(-0.00521106593235 322),(-7.1054273576e-15 483),(7.1054273576e-15 653),(3.5527136788e-15 818),(0.0 978),(8.881784197e-16 1135),(1.7763568394e-15 1285),(-1.15463194561e-14 1425),(0.0 1567),(7.9936057773e-15 1696),(-0.0105825159224 1826),(-1.7763568394e-15 1955),(-3.5527136788e-15 2098),(-0.0152642876831 2250),(-1.50990331349e-14 2398),(-1.24344978758e-14 2548),(-0.00269283860058 2705),(-1.06581410364e-14 2849),(-8.881784197e-15 2992),(1.7763568394e-15 3137),(-8.881784197e-16 3283),(-7.9936057773e-15 3440),(-0.00567960618482 3600),(-7.9936057773e-15 3758),(-7.1054273576e-15 3905),(-0.013203401151 4065),
Point4,H1,(22.5921037116 27),(23.9912743098 187),(23.179156142 357),(21.6494714815 518),(24.1884749384 681),(23.0922796538 853),(21.8648474925 1005),(22.7578882233 1161),(20.2239888475 1317),(18.9646710312 1453),(21.3796533641 1593),(19.208894441 1721),(20.6023542703 1858),(19.1936404572 1987),(23.351182976 2132),(21.0818910215 2281),(22.556309003 2426),(24.9389055892 2583),(24.5587454083 2731),(24.1691378825 2875),(24.8280691454 3017),(25.7762061201 3163),(24.3679828155 3315),(27.9028475726 3465),(27.9080800259 3625),(27.3520099569 3784),(24.9668324336 3937),(28.5810495726 4091),
Point4,H2,,,(12.4229279307 386),(10.7181713879 546),(13.866157464 705),(5.4959040608 926),,(14.4649057929 1183),(8.28745716874 1344),(8.98579085577 1480),(10.4319243814 1618),(11.5827982527 1744),,(11.1052497101 2020),,,(16.1909683458 2448),,,,(12.3944334582 3043),(13.0416710602 3198),,,,,,
Point4,H3,,,(12.7187899052 395),(11.1378917022 556),(13.8724919343 707),(5.56571578576 931),,(14.5178915664 1187),(9.72342192251 1358),(11.8938780557 1497),(10.5158434304 1623),(11.7406205514 1751),,(11.2849330955 2028),,,(16.3557877966 2456),,,,(12.4521763775 3048),(13.6638828535 3209),,,,,,
Point4,H4,(3.7507800649 135),,(3.57269178266 456),,(5.45244950799 762),(3.36670295494 949),(1.83920419379 1112),(5.16792009703 1246),(2.80783341987 1394),(4.05446304153 1542),(1.48815613138 1671),(4.21268708776 1796),(3.75159960476 1929),(5.07011122453 2067),(5.41293357676 2212),(0.803986979142 2374),(5.87309069263 2512),(5.01030327659 2681),(4.61748365168 2820),(3.62543764491 2965),(4.26047983499 3108),(5.2480697762 3252),,(4.02206884797 3576),,(4.17010284124 3877),,
Point4,H5,(4.10984545772 144),,(3.6494156896 462),,(5.57788836429 770),(4.79120546535 962),(2.28955053388 1121),(7.01271335506 1263),(3.60057718072 1406),(4.1157411838 1548),(1.94044057678 1681),(5.2378949464 1808),(3.90883681557 1936),(5.61843119411 2078),(5.43866019546 2216),(1.2932490074 2385),(6.27346650562 2523),(5.02961268891 2685),(5.26683859335 2831),(4.12525758245 2975),(5.5556128166 3120),(5.49999084924 3260),,(4.11355117558 3582),,(4.78409317999 3887),,
Point4,H6,(7.1054273576e-15 160),(3.5527136788e-15 322),(-0.00140006167717 484),(-1.7763568394e-15 653),(-1.7763568394e-15 818),(3.5527136788e-15 978),(0.0 1135),(-3.5527136788e-15 1285),(1.24344978758e-14 1424),(1.7763568394e-15 1567),(0.0 1695),(7.1054273576e-15 1827),(1.59872115546e-14 1955),(2.30926389122e-14 2098),(1.95399252334e-14 2250),(-0.0120437802714 2397),(-1.7763568394e-15 2548),(-1.7763568394e-15 2705),(-1.42108547152e-14 2849),(-2.48689957516e-14 2992),(-2.13162820728e-14 3137),(-2.13162820728e-14 3282),(-1.7763568394e-14 3440),(-3.5527136788e-15 3599),(1.7763568394e-15 3759),(-7.1054273576e-15 3905),(-7.1054273576e-15 4065),
Point5,H1,(9.38639228578 27),(10.2226606389 186),(9.47137824083 357),(8.2784978856 517),(9.45884411531 680),(9.13450674721 853),(7.90617944496 1006),(8.19009717462 1160),(7.55612706544 1316),(6.63887279069 1454),(7.22178258405 1592),(7.47877363713 1722),(7.14355464987 1859),(7.04984268713 1989),(8.53132428964 2136),(7.28846753074 2280),(8.79198316441 2425),(10.0806849059 2582),(10.4539087686 2731),(11.9039816306 2875),(12.990283491 3016),(13.3404850932 3163),(13.8295385179 3315),(14.6702688973 3464),(15.4794399227 3624),(14.3437362894 3784),(15.3069784233 3936),(18.7507558022 4090),
Point5,H2,,,(5.84431297629 386),(4.68774804333 543),,,,,(3.10836805891 1341),,(3.67273380623 1615),(5.49923802558 1742),(2.94906718813 1896),,,,(6.51174871352 2447),,(5.42556405509 2776),(6.06907444143 2913),(7.10046483536 3039),(6.98533823257 3195),,,,(5.39954403451 3822),,
Point5,H3,,,(5.91886930954 395),(4.70869093251 548),,,,,(4.1334502186 1358),,(3.79408578447 1623),(5.53937300841 1747),(3.01601216935 1903),,,,(7.11621392633 2465),,(5.48846589675 2782),(6.13604667283 2920),(7.32379040742 3048),(7.49229311223 3208),,,,(5.77794209684 3835),,
Point5,H4,,,(1.51480117154 456),(1.86251754953 601),(2.25314898195 758),,(0.355656399653 1111),(1.14430018907 1247),(0.851831271378 1394),(4.47492190509 1483),(1.04181739021 1669),(1.95492547175 1799),(0.589545752921 1932),,(1.47663006479 2208),(-0.194127382617 2372),(2.75523802486 2500),,(2.47914872714 2819),(1.9383745675 2965),(2.27311323004 3108),(2.6408163249 3253),,(3.97814376528 3550),(3.33911885301 3711),(1.99494731623 3876),,
Point5,H5,,,(1.5370315204 461),(2.12324036282 614),(2.34851302127 768),,(0.58256051895 1121),(1.47222803734 1261),(0.913235714789 1402),(4.66301923902 1494),(1.32579483943 1680),(1.98259891034 1804),(0.603237263377 1936),,(1.66737591243 2221),(0.0844388949951 2386),(3.54361910277 2521),,(2.64106765739 2829),(2.3005075944 2975),(2.68509375668 3119),(2.78049686309 3260),,(4.01379074252 3556),(3.34318956334 3714),(2.47063229278 3887),,
Point5,H6,(-0.002808931637 158),(-0.00329745630055 322),(3.10862446895e-15 483),(-4.88498130835e-15 652),(-0.00362186942697 817),(5.3290705182e-15 977),(7.1054273576e-15 1133),(4.4408920985e-15 1284),(5.3290705182e-15 1422),(2.6645352591e-15 1566),(-1.33226762955e-15 1696),(-2.22044604925e-15 1826),(8.881784197e-16 1952),(7.54951656745e-15 2097),(1.7763568394e-15 2251),(-0.194127382617 2372),(5.3290705182e-15 2547),(6.2172489379e-15 2703),(5.3290705182e-15 2848),(1.06581410364e-14 2991),(7.1054273576e-15 3136),(-5.3290705182e-15 3281),(-5.3290705182e-15 3439),(-8.881784197e-16 3597),(5.3290705182e-15 3757),(2.6645352591e-15 3904),(8.881784197e-16 4064),
