Cycle,0.775
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(4.76035457091 42),(4.9705112807 201),(4.9727637338 370),(6.05124766567 538),(5.59988033071 695),(5.3865460685 863),(5.98093790723 1028),(6.25715359129 1193),(6.18682749652 1354),(7.20142866625 1514),(7.07185299291 1683),(6.14099665428 1843),(6.31195711071 2003),(7.27462726644 2164),(8.68050755319 2331),(7.87106788315 2501),(6.83101129367 2664),(7.3123230455 2836),
Point0,H2,,(1.3562141275 266),,(1.64969392762 574),,,(3.02276653261 1058),,,,,,,,,(4.627140055 2534),,
Point0,H3,,(1.68749269972 281),,(1.92123378768 587),,,(3.19282355067 1070),,,,,,,,,(4.62951009693 2537),,
Point0,H4,(0.340388066397 122),(0.798485754648 303),(0.404712349646 453),(0.165905032521 626),(0.301963656935 793),,(0.375850279978 1127),(0.914375224876 1266),,,(1.07204838935 1760),,,,,(-0.00409098765307 2603),,
Point0,H5,(0.672232303418 138),(0.835783894917 310),(0.526836220268 467),(0.222254255326 639),(0.332241318552 803),,(0.936859471992 1143),(1.40001907424 1290),,,(1.25160019535 1773),,,,,(0.337588371358 2617),,
Point0,H6,(-4.21884749358e-15 159),(-7.54951656745e-15 329),(-7.9936057773e-15 488),(-6.66133814775e-15 655),(-1.7763568394e-15 821),(2.22044604925e-15 985),(6.2172489379e-15 1159),(-8.881784197e-16 1317),(-0.00166395298013 1476),(8.881784197e-16 1639),(3.5527136788e-15 1803),(3.5527136788e-15 1961),(-0.000305559421068 2123),(-3.10862446895e-15 2288),(-0.001998657532 2458),(-0.00409098765307 2603),(-2.6645352591e-15 2793),
