Cycle,0.826111111111
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Point0,H1,(19.9781227464 50),(16.1863596899 226),(19.5179269621 421),(19.4615721157 594),(16.8342716069 785),(18.1514332018 946),(16.4186169011 1107),(20.3060589253 1264),(23.6253901987 1459),(23.9851684805 1639),(21.860884329 1806),(25.3432109645 1981),(26.5824750979 2181),(25.4634741563 2376),(26.3396052544 2540),(27.3408139172 2739),(30.7324449442 2917),(29.9473604864 3090),(30.0778209116 3281),
Point0,H2,,(6.144986283 267),,(0.174948604062 694),(4.53952513732 820),,,(19.972552352 1273),(5.48193848882 1538),,(2.02459994296 1885),,,(7.90933341173 2416),(0.427910984866 2664),,,,
Point0,H3,,(6.87018412682 280),,(0.975412680089 707),(4.63225015302 827),,,(20.0514473142 1279),(5.61734962635 1547),,(2.10152825006 1890),,,(7.94036178226 2419),(1.07543364184 2675),,,,
Point0,H4,,,(2.1516562816 523),(-7.1054273576e-15 721),(2.68678812472 866),(0.109799690427 1030),,(-7.1054273576e-15 1404),(5.45827304286 1556),,(0.440513706287 1909),,,(0.872225816651 2467),(1.7763568394e-15 2687),,(3.33324882201 3016),,
Point0,H5,,,(2.15495751649 526),(15.8379083384 766),(3.26840749124 880),(0.9919850097 1044),,(22.9051491317 1439),(5.73425700854 1566),,(1.51540588515 1924),,,(1.02583863425 2476),(26.2909633002 2718),,(3.51271173509 3023),,
Point0,H6,(1.59872115546e-14 178),(3.5527136788e-15 361),(-1.24344978758e-14 546),(-7.1054273576e-15 721),(-2.6645352591e-15 899),(-6.2172489379e-15 1057),(-1.7763568394e-14 1228),(-7.1054273576e-15 1404),(-3.5527136788e-15 1587),(-0.0163407536295 1764),(-0.0016189204097 1941),(-1.42108547152e-14 2130),(-7.1054273576e-15 2319),(-0.0201902119853 2497),(1.7763568394e-15 2687),(-1.7763568394e-15 2864),(-1.7763568394e-15 3043),(-5.3290705182e-15 3202),
Point1,H1,(28.961232176 149),(31.2046531828 310),(31.1807933782 521),(35.56473486 707),(31.8645151366 870),(38.4953854553 1034),(33.4873561061 1204),(29.4644729473 1383),(31.0170064983 1534),(30.8081860871 1746),(31.3304207181 1925),(29.0923592617 2077),(33.7861393038 2297),(31.5881239577 2480),(26.835519732 2665),(19.9891035299 2781),(23.8339342966 2849),(21.9631499748 3029),(24.0464404803 3203),
Point1,H2,,,,,,(7.1054273576e-15 1073),(3.5527136788e-15 1250),,(4.26325641456e-14 1600),(3.19744231092e-14 1787),,,,(-1.06581410364e-14 2531),,(18.8035203059 2796),(-0.00275317408609 2882),,,
Point1,H3,,,,,,(25.0827793565 1122),(22.8393932728 1299),,(20.8997868748 1651),(16.9593773071 1829),,,,(20.3950109111 2564),,(19.1232831374 2808),(12.3304859553 2927),,,
Point1,H4,(-2.48689957516e-14 186),,(2.48689957516e-14 559),(-2.48689957516e-14 742),,(24.9664483313 1128),(22.6964503253 1306),(4.26325641456e-14 1424),(20.8943876324 1653),(16.8842051805 1834),(1.42108547152e-14 1967),,(7.1054273576e-15 2334),(19.7955320284 2575),(-1.06581410364e-14 2704),,(11.4977338252 2940),(0.0 3058),,
Point1,H5,(30.7827152675 288),,(4.21223099506 578),(14.060121441 787),,(32.9009027818 1171),(26.7374642307 1349),(20.4057092622 1474),(30.7953850801 1724),(28.9323134581 1902),(14.6389094581 2015),,(20.0105975908 2374),(22.3849627885 2614),(15.8690847415 2753),,(18.0583750443 3005),(8.26388877687 3111),,
Point1,H6,(-2.48689957516e-14 186),(0.0 378),(2.48689957516e-14 559),(-2.48689957516e-14 742),(-7.1054273576e-15 911),(7.1054273576e-15 1073),(3.5527136788e-15 1250),(4.26325641456e-14 1424),(4.26325641456e-14 1600),(3.19744231092e-14 1787),(1.42108547152e-14 1967),(2.48689957516e-14 2143),(7.1054273576e-15 2334),(-1.06581410364e-14 2531),(-1.06581410364e-14 2704),(-0.00275317408609 2882),(0.0 3058),(-0.0370195300606 3249),(-0.00748350867724 3348),
