Cycle,0.891306089744
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(16.4062128065 56),(9.47736960999 237),(13.6937614817 449),(11.6194365186 655),(11.9666088362 853),(13.6429288566 1051),(13.4187540655 1260),(16.3020064574 1467),(13.5144169205 1675),(13.2766524209 1898),(16.1023506474 2122),(18.7203542017 2349),(19.509475816 2572),(13.9691621839 2777),
Point0,H2,(14.0604471105 73),(0.213695525945 282),,,,,,,,,(2.1758106578 2216),,,,
Point0,H3,(15.0053397877 89),(0.789574210424 294),,,,,,,,,(2.7084940501 2233),,,,
Point0,H4,(6.32457435549 153),(-0.00420768500381 311),,,,,,(2.70616034431 1594),,,(1.22616621496 2267),,,,
Point0,H5,(6.73823546614 164),(2.32757089068 357),,,,,,(2.92507611252 1606),,,(2.29541142198 2288),,,,
Point0,H6,(-0.0412353058833 209),(-0.00420768500381 311),(-0.0534847469639 398),(7.1054273576e-15 610),(6.2172489379e-15 818),(-0.00286552392158 1023),(1.06581410364e-14 1220),(7.1054273576e-15 1426),(-6.2172489379e-15 1641),(-0.00694913311084 1862),(2.6645352591e-15 2004),(-0.0217800199912 2074),(1.33226762955e-14 2307),(1.06581410364e-14 2530),(7.1054273576e-15 2742),
Point1,H1,(8.69586887329 166),(7.8554006844 360),(9.83307136065 571),(7.68927341137 781),(9.2273294042 987),(6.96207574519 1181),(8.93578193294 1388),(11.6170440231 1592),(8.18501125969 1793),(5.91056595418 1902),(7.83211276419 2050),(10.7833713293 2262),(6.82865283962 2418),(5.76643190194 2706),
Point1,H2,,,,,(-0.000333132426311 1038),(-5.3290705182e-15 1218),,,,(4.02281873442 1924),,,,,
Point1,H3,,,,,(6.1545136783 1122),(2.52872436848 1243),,,,(5.31212442295 1956),,,,,
Point1,H4,,(-7.9936057773e-15 402),,,(6.01374883042 1132),(2.35071203488 1254),,,(7.55698873689 1813),(4.52887183424 1980),,(-1.7763568394e-15 2317),,,
Point1,H5,,(4.94645342636 482),,,(6.95277687402 1155),(5.00724629599 1281),,,(7.72207267815 1826),(6.09293096335 2011),,(2.46918115412 2341),,,
Point1,H6,(-0.0134907778202 1),(8.881784197e-16 196),(-7.9936057773e-15 402),(-5.77315972805e-15 609),(-1.7763568394e-15 823),(-0.000333132426311 1038),(-5.3290705182e-15 1218),(-0.000175115913486 1428),(-0.00111570903522 1660),(8.881784197e-16 1860),(-0.00251459201657 2089),(-1.7763568394e-15 2317),(-0.00366118449918 2534),(-8.881784197e-16 2642),(-6.66133814775e-16 2744),
Point2,H1,(9.01330101646 124),(8.61362474697 325),(8.17157276121 501),(10.8051086416 729),(8.35527247895 939),(8.07742502126 1056),(9.85008201743 1145),(8.19439713264 1343),(10.2838074363 1546),(12.2504988031 1749),(8.38589994624 1979),(5.70896750305 2061),(9.4535847229 2208),(11.8760853076 2421),(7.9281040739 2583),(8.71300354558 2652),(6.50494984877 2868),
Point2,H2,(1.7763568394e-15 155),,(8.12913493989 509),,,(6.13918913288 1077),,,,,,(3.52908827425 2082),(-0.00864421167295 2247),,,
Point2,H3,(2.90081816176 187),,(8.14432769846 514),,,(6.38453324955 1090),,,,,,(5.50511669117 2116),(8.35333467117 2341),,,
Point2,H4,(2.19732020389 209),,(-0.000122945350638 565),,(4.4408920985e-15 982),(6.37143399528 1095),,,(1.7763568394e-15 1587),,,(5.07188523062 2135),(8.34931306252 2345),,,
Point2,H5,(7.88825532319 288),,(5.72228688494 638),,(3.70392649448 1018),(8.62186352801 1122),,,(9.86669593719 1713),,,(6.51315929977 2172),(11.7287728982 2398),,,
Point2,H6,(1.7763568394e-15 155),(-0.000575695814767 355),(-0.000122945350638 565),(8.881784197e-15 769),(4.4408920985e-15 982),(5.3290705182e-15 1194),(7.1054273576e-15 1376),(1.7763568394e-15 1587),(-8.881784197e-16 1819),(0.0 2018),(-0.00864421167295 2247),(-0.00658728617406 2474),(-0.00728369845168 2699),(-0.00457580528338 2800),(-2.6645352591e-15 2900),
