Cycle,0.630460526316
Average Width,4.47476682063
Width,,4.73248048509,4.30340919161,4.16495245779,4.42004101945,4.41244228004,4.41249731189,4.23066538057,4.21403462016,4.47129053155,4.25968316037,4.54313200443,4.86305011049,4.69177394911,4.17648856337,4.42955749772,4.3850237674,4.60379004901,4.23267795952,4.29190530286,4.5638248811,4.8188078989,5.07989046283,5.09145552157,4.71211170426,4.63166058755,4.58075833553,4.50121822618,4.64598048529,4.47799925893,4.50584296735,4.62523192493,4.74437933118,4.834928488,4.38742504239,5.38132144705,4.36865770989,5.0811544014,6.11586249613,4.7571955379,4.60920278708,4.52406902288,4.26868447007,4.195246018,4.69297954171,3.85731737017,4.013353265,4.23214912753,4.69234755804,4.21594887151,4.31973557982,4.46512735145,4.31318070201,4.79151130493,4.43732129125,4.12462029821,4.20113768275,4.33471120317,4.51464614364,4.21144080551,4.02175218039,4.25404281752,3.99573221997,4.3560289281,3.98385774741,4.44977074101,4.51366803177,4.24195922741,4.45307926369,4.44194691106,4.33832925569,4.34847116946,4.35161260629,4.59602470496,4.51936938373,4.1943514873,4.0769991467,4.66071662039
Point0,H1,(14.5454606564 39),(13.1872513078 161),(12.55251741 292),(12.4021403386 423),(14.3094025518 553),(12.4014966461 679),(12.5861935535 805),(13.7268894175 930),(13.2220492155 1052),(13.8382039675 1178),(10.5860576123 1296),(13.0379014457 1416),(14.4394315429 1534),(13.3532513006 1657),(14.3830571942 1783),(13.7738090981 1907),(15.0956368475 2026),(15.4194369726 2153),(16.3998616551 2276),(15.472921168 2397),(14.4013782201 2514),(20.6193495012 2621),(15.0797981114 2745),(15.290027356 2857),(14.227755585 2969),(13.6232936549 3079),(14.0996922873 3186),(15.1531939869 3289),(16.7511933589 3390),(17.1843099646 3496),(16.3596656887 3600),(17.3969317019 3708),(16.670262376 3819),(16.1562822744 3933),(17.1780287389 4056),(15.7659651237 4185),(17.3647647012 4326),(18.8632866136 4474),(17.56270163 4622),(16.6845527787 4764),(16.9532307016 4909),(14.974518088 5053),(15.9093584119 5193),(16.4676658177 5322),(15.2503056902 5458),(14.4345894466 5588),(14.5593472791 5709),(17.226412576 5834),(16.3786989182 5959),(15.5143637491 6090),(14.944070277 6229),(15.1049698278 6369),(16.7921296339 6514),(15.6884954106 6665),(14.6951113933 6812),(15.4780862323 6952),(15.0003880798 7092),(15.1214705528 7230),(14.7691679595 7369),(12.5915294454 7504),(13.3369541886 7639),(12.7114188022 7761),(15.4451462244 7884),(14.8193172112 8007),(15.7203788682 8131),(14.8499602306 8260),(15.3781707555 8390),(17.0056634728 8524),(16.9438971063 8666),(15.5946742282 8810),(15.3502369341 8952),(14.8233727417 9091),(16.486592848 9227),(15.0053114452 9363),(15.1120749596 9496),(15.5532656728 9618),(16.3947477766 9743),
Point0,H2,(2.71276422248 60),(2.68627569263 187),(2.49564991362 316),(2.24388432723 445),(2.32711522284 576),(0.630121955092 702),(2.27206635616 828),(4.66421455086 956),(3.50679394233 1079),(3.84411761306 1202),(2.40331986478 1321),(3.41551768673 1438),(4.80239950926 1561),(4.04970456219 1680),(4.23768892844 1805),(2.99053240265 1931),(3.65562727113 2051),(4.01070270391 2175),(5.57160221853 2301),(3.81086074649 2425),(4.6511612406 2537),(3.89602824263 2651),(3.60817747343 2769),(2.62984235222 2882),(1.89631868694 2993),(1.26915710946 3102),(1.42551004772 3211),(2.31283031337 3312),(3.07413948344 3418),(3.78010475623 3519),(5.21746823967 3626),(3.9976054944 3736),(5.1760131486 3846),(4.21658470907 3960),(4.08672980186 4078),(3.58152138383 4206),,(4.15414712583 4500),(4.64626398563 4649),(4.93249481955 4792),(6.07280824042 4936),(3.52096554412 5082),(2.83900689411 5217),(3.74646532945 5347),(4.15581653368 5483),(3.97285509603 5613),(3.17465854579 5736),(4.55629843812 5858),(4.40522652833 5983),(4.54767812491 6112),(4.45450803738 6252),(6.17616047485 6395),(7.10110300005 6540),(5.26367987346 6689),(4.86580018421 6839),(4.48706560095 6977),(5.66416977147 7117),(5.79141605412 7257),(3.45196598884 7393),(2.42143104781 7531),(3.41446893217 7665),(2.72683245906 7787),(4.02001890443 7911),(4.5141435654 8031),(4.8818218321 8156),(4.33890306371 8284),(4.84553721504 8414),(7.07881870748 8550),(6.20130095541 8691),(4.66458161167 8833),(3.75987609415 8976),(3.71308695721 9117),(4.81748535355 9252),(3.57995000091 9389),,
Point0,H3,(8.95355836783 80),(7.12328956139 208),(6.19453438746 335),(5.930780162 463),(6.22862854844 597),(5.87743736289 725),(6.37316318765 847),(6.87151542006 974),(6.47666154474 1098),(7.59940313061 1224),(5.81096044604 1338),(6.83803251127 1460),(7.05221352985 1578),(6.58806281449 1699),(8.07343874242 1825),(7.64426268446 1950),(7.39837287009 2072),(7.46736484723 2195),(8.86647281151 2321),(7.51626830821 2444),(13.7345121936 2559),(8.14883163815 2669),(7.45345276246 2792),(6.6493412569 2906),(6.7353440398 3018),(5.4431588411 3134),(6.55329755381 3230),(8.16447744883 3340),(7.83012700522 3437),(7.39844348521 3539),(9.54589769564 3644),(8.19961027583 3754),(9.26605060977 3865),(8.28439873728 3978),(8.43244954488 4097),(7.40063467747 4224),,(10.087616015 4523),(9.53277289176 4669),(8.39972198675 4812),(9.78222246178 4956),(7.80543833662 5103),(8.2232970471 5240),(8.46742329771 5372),(7.88780397927 5502),(8.20615953507 5635),(8.03131092859 5756),(8.21314174334 5879),(8.27943859078 6002),(8.19182944077 6134),(8.73833115963 6269),(9.56488593155 6412),(9.72698333314 6557),(6.90157408042 6708),(6.66154558135 6857),(8.64608057368 7000),(8.88399485447 7136),(8.19099767884 7275),(7.85271996599 7416),(6.69592929177 7551),(7.51054951479 7686),(6.87907013011 7807),(7.97696688281 7931),(7.94796648348 8051),(8.80102238945 8176),(8.86775900161 8303),(8.40109376649 8432),(9.46790637766 8569),(9.2428389989 8713),(7.22160563705 8854),(7.17457075296 8997),(8.00661169572 9137),(8.29513251173 9274),(7.55540204322 9409),,
Point0,H4,(2.68889594701 109),(1.97162110868 236),(1.0788890997 368),(6.2172489379e-15 503),,(1.54914766721 748),(2.37905242441 874),(2.35181324963 1002),(1.69824902789 1128),,,(2.47149558255 1487),,,,(1.95153719666 1984),,,(2.45587130656 2351),,(13.0192405537 2569),,,,,,,,,,,,,,,(2.49913566811 4260),,(1.77105195354 4568),(2.35844621798 4713),(1.90626557166 4856),(2.23969655258 4999),(-5.87933961462e-05 5146),(0.967642708747 5276),(2.54672358269 5401),(2.26633911887 5533),(2.72096528766 5660),,,,(2.01603915924 6165),(1.06594361174 6311),(2.14518612168 6456),(1.90025244436 6600),(0.570065775221 6764),(0.351740913912 6885),(2.37218128708 7032),(2.50913128081 7175),,(2.56421444574 7447),,(2.61001081541 7707),,,,,,(1.42409761601 8472),,,,(1.66982411532 9030),(1.25168845643 9178),(2.51240956972 9303),,,
Point0,H5,(2.80264587108 115),(2.06283722108 243),(1.08267682705 371),(0.86605567731 518),,(1.97617368436 758),(2.48167238745 882),(2.62926088075 1011),(1.96374532655 1138),,,(2.50471813081 1491),,,,(1.95271056608 1985),,,(2.49376599381 2355),,(14.0619230124 2580),,,,,,,,,,,,,,,(3.23904230359 4272),,(2.64950581655 4580),(2.51413700874 4721),(2.27624513109 4866),(3.0254876056 5011),(0.347499837431 5158),(1.00836080112 5281),(2.65820644218 5408),(2.26668553049 5534),(2.9155270771 5667),,,,(2.43428964295 6175),(2.09757763529 6324),(2.64795851958 6466),(1.91337061927 6603),(0.712280213723 6772),(1.56724083257 6902),(2.67363678858 7041),(2.98752748749 7186),,(3.05377022602 7457),,(3.30237826227 7717),,,,,,(1.79520427021 8483),,,,(2.37840111571 9043),(1.55701234777 9187),(2.68848901326 9310),,,
Point0,H6,(-1.33226762955e-14 133),(-0.00345064099296 262),(8.881784197e-15 392),(6.2172489379e-15 503),(-6.2172489379e-15 651),(-0.00510533132972 775),(4.4408920985e-15 901),(-0.00667403352007 1028),(6.2172489379e-15 1154),(-4.4408920985e-15 1270),(5.3290705182e-15 1381),(-0.00552519093645 1508),(9.7699626167e-15 1629),(-2.6645352591e-15 1751),(-3.5527136788e-15 1877),(2.04281036531e-14 2002),(8.881784197e-16 2124),(1.59872115546e-14 2244),(6.2172489379e-15 2371),(-0.00852265477982 2484),(-0.0134630894723 2711),(-0.00972503294603 2832),(1.7763568394e-15 2943),(1.15463194561e-14 3046),(-1.42108547152e-14 3157),(-5.3290705182e-15 3266),(1.42108547152e-14 3364),(1.86517468137e-14 3466),(6.2172489379e-15 3572),(-0.000828330431926 3684),(1.59872115546e-14 3795),(8.881784197e-15 3908),(1.15463194561e-14 4023),(1.7763568394e-14 4156),(0.0 4294),(8.881784197e-15 4449),(7.9936057773e-15 4595),(1.7763568394e-14 4738),(0.0 4882),(-0.00216829527364 5028),(-5.87933961462e-05 5146),(4.4408920985e-15 5295),(-7.1054273576e-15 5427),(-1.06581410364e-14 5557),(-1.7763568394e-15 5684),(3.5527136788e-15 5804),(-1.33226762955e-14 5927),(5.3290705182e-15 6062),(1.7763568394e-14 6196),(1.7763568394e-14 6339),(1.24344978758e-14 6483),(-0.00454260179918 6631),(-1.7763568394e-15 6783),(-0.00543452070113 6921),(5.3290705182e-15 7061),(-3.5527136788e-15 7203),(-7.9936057773e-15 7340),(-5.3290705182e-15 7476),(4.4408920985e-15 7606),(1.24344978758e-14 7734),(6.2172489379e-15 7857),(4.4408920985e-15 7973),(0.0 8101),(-8.881784197e-16 8229),(6.2172489379e-15 8358),(-4.4408920985e-15 8497),(5.3290705182e-15 8638),(1.59872115546e-14 8782),(5.3290705182e-15 8910),(2.6645352591e-15 9060),(8.881784197e-16 9201),(0.0 9331),(-1.7763568394e-15 9464),(2.6645352591e-15 9589),(9.7699626167e-15 9715),
Point1,H1,(16.9650719829 35),(16.7112140174 158),(16.1593253055 288),(15.8652559609 419),(17.4235163465 549),(15.3564508569 676),(15.9544667098 801),(17.2247266772 926),(16.4741796428 1049),(17.0584999963 1175),(15.1029169235 1293),(18.657571844 1413),(19.0042308818 1530),(18.0738729616 1654),(19.2828343914 1780),(18.4417490019 1904),(19.700370742 2023),(20.2036939608 2150),(21.0328603128 2273),(19.8440041809 2394),(17.6969247113 2511),(24.7850263991 2618),(20.403941722 2742),(19.2412026954 2854),(18.3097370597 2966),(17.7675860156 3075),(16.8198933321 3183),(18.3978600867 3286),(19.7207694841 3387),(21.1388001216 3493),(19.9292942816 3597),(20.6896475437 3705),(21.432161475 3816),(19.934353437 3929),(20.0640442478 4053),(20.443606729 4181),(21.0372953445 4323),(23.4388229503 4471),(20.8884695577 4619),(19.9043086446 4761),(21.0207367093 4905),(17.8435223965 5050),(19.0243736697 5189),(20.244036932 5319),(20.2030801327 5454),(17.7713694123 5584),(16.8625545451 5706),(18.688084986 5831),(18.3188143648 5956),(18.9522929091 6086),(17.6833371346 6226),(18.3876576387 6366),(18.96983794 6511),(18.4074193938 6662),(18.5366295396 6808),(17.516658201 6949),(14.8380851402 7089),(16.1704237851 7227),(16.572050656 7366),(14.9926293717 7501),(16.9124222905 7636),(15.6934448125 7757),(18.8449767249 7881),(17.5344369709 8003),(17.1648974196 8128),(16.3004098469 8257),(16.6775730071 8387),(19.1556753574 8521),(17.3389528254 8664),(17.7682866352 8807),(16.5433266964 8949),(16.0094705908 9088),(17.401751123 9224),(15.8924801951 9360),(15.953029852 9493),(16.2913299656 9616),(16.5682577651 9741),
Point1,H2,(2.41770727566 57),(3.47308044343 184),(3.87524009777 313),(2.99187026033 442),(2.91439344965 573),(1.11900391484 699),(2.92298118228 825),(5.02020132907 952),(3.88557697572 1076),(4.33975741026 1199),(3.36080798903 1318),(4.70425169946 1435),(6.0350328788 1558),(4.87486165902 1677),(5.67764810564 1803),(4.19871824576 1928),(4.92578774301 2048),(5.82005066443 2172),(6.79528616315 2299),(5.33658187619 2422),(5.74542838174 2534),(3.67315563121 2648),(4.88293081437 2766),(2.74427827088 2879),(1.77339586808 2989),(2.00121814974 3100),(1.28765902629 3209),(3.1526916113 3309),(3.4890507563 3415),(3.89393295783 3516),(6.18005628941 3623),(4.84915119951 3733),(6.27878320218 3842),(3.49359073467 3957),(5.01855253489 4076),(4.61061143141 4203),,(5.60665265968 4497),(5.4693303792 4646),(5.80475127665 4789),(7.02457699254 4933),(4.08004753989 5078),(3.57026066222 5214),(4.70135052684 5344),(5.38383351437 5481),(4.36658757373 5610),(3.19202540611 5733),(4.79871069642 5855),(4.93153986684 5980),(5.55622206042 6109),(5.48731153163 6249),(7.29759333427 6392),(8.042912758 6538),(6.45998287161 6686),(5.5601519867 6836),(4.76195476316 6974),(5.01597148313 7115),(6.24816844105 7254),(3.78386364191 7389),(3.138008703 7527),(3.79943247079 7660),(3.14619257607 7784),(5.17541278522 7908),(5.4454191876 8027),(5.3056831976 8153),(4.19451186466 8281),(5.00060216828 8412),(7.65077717743 8549),(7.32701399483 8688),(5.44300700314 8830),(4.83673767184 8973),(3.94260681594 9114),(4.86189143778 9249),(3.43370818801 9385),,
Point1,H3,(9.71630975509 77),(9.24408419804 205),(8.40665695089 331),(8.15977832449 460),(7.45996203581 593),(7.53539288523 721),(8.37558989791 843),(8.58303108084 970),(8.42437860643 1096),(9.18941215957 1221),(8.12879612089 1336),(9.94051468045 1455),(8.91556128271 1575),(9.17425956398 1697),(10.4903788172 1822),(9.71472266977 1947),(9.51602219705 2068),(10.0775461578 2192),(10.5390053344 2317),(10.3411676993 2441),(16.1370513795 2556),(9.40432014813 2667),(9.66526462193 2789),(8.13641358509 2903),(7.37924586587 3015),(6.85980463737 3127),(7.68671307548 3227),(9.35534949321 3336),(9.18594682999 3434),(8.93493801169 3536),(11.0469072723 3640),(10.2311844803 3751),(12.2896826012 3862),(8.79497037651 3976),(10.0990980464 4095),(9.35021047079 4221),,(12.5556531509 4519),(10.8821496471 4666),(10.2282683744 4809),(11.5712925954 4953),(9.10045002554 5099),(9.76448425889 5237),(11.0214224298 5368),(9.91215581331 5501),(9.2623139094 5631),(8.42878094854 5752),(8.87121455964 5876),(9.1354979614 5999),(10.1427790284 6130),(10.481656424 6267),(10.9902545133 6410),(10.6069608624 6554),(8.91870019004 6707),(7.88872312835 6854),(9.19838030872 6996),(8.72566892609 7134),(8.63660209784 7272),(9.02635747428 7412),(8.19490272575 7547),(9.1179646811 7682),(8.00146219013 7804),(9.51610414459 7927),(9.03494197217 8047),(9.54636755748 8173),(9.01890581957 8300),(8.49801769369 8430),(9.74106891751 8567),(9.454555969 8709),(8.45930530952 8851),(8.79770184067 8994),(8.08854892688 9134),(8.25000483599 9271),(8.16211369251 9405),,
Point1,H4,(2.67583316889 105),(2.87694707026 232),,(-2.13162820728e-14 501),,(2.01723319815 745),(2.98929033847 872),(2.24627326184 999),(1.83640302971 1125),(3.82557279976 1245),,(2.78273741318 1484),,,,,,,(3.46238335016 2348),,(15.0570160717 2566),,,,,,,,,,,,,,,(3.18013031331 4259),,(1.93253754472 4566),(2.43745749906 4710),(2.37569472646 4853),(2.40935467536 4996),,(1.2188025638 5274),(3.40947615659 5397),(3.01484151249 5528),(3.18525624329 5656),,,,(2.58044476282 6163),(1.9367342218 6308),(2.31641788665 6452),(2.21182378493 6595),(1.2176452476 6763),(0.877929765172 6883),(1.89133385011 7028),(2.47275852862 7173),,(2.45423579814 7444),,(3.03231782342 7705),(2.12038741551 7836),,,,,(1.72672815146 8470),(0.862994779658 8617),,,(2.50518072169 9027),(0.867186699485 9174),(1.96805241683 9301),,,
Point1,H5,(2.91484153151 113),(3.01035180886 239),,(0.782342438688 515),,(2.41014623131 755),(3.04332845674 877),(2.68547437508 1008),(2.51463153703 1137),(3.84376978855 1248),,(2.88150521226 1489),,,,,,,(3.46892338203 2351),,(16.2010513741 2577),,,,,,,,,,,,,,,(3.56052067944 4268),,(3.13454690213 4577),(2.68723402134 4718),(2.94708428444 4864),(3.46799811911 5008),,(1.22685092682 5277),(3.56127224338 5404),(3.1298878275 5535),(3.64356669403 5665),,,,(3.15104128976 6173),(2.58306223258 6320),(3.08492719022 6464),(2.26880042163 6600),(1.24533673982 6767),(2.00144992992 6898),(2.31138579429 7038),(2.87077000913 7183),,(3.13571226736 7455),,(3.64407109195 7714),(2.12438817845 7838),,,,,(2.12251519861 8480),(0.970187996279 8624),,,(3.10994542464 9038),(1.41122858415 9185),(2.15016399507 9309),,,
