Cycle,0.766274509804
Average Width,10.0898194655
Width,,0.0,18.0423934973,0,0.0,0.0,6.06076004786,9.09310216602,0,7.6912248058,0.0,0.0,0.0,0.0,0.0,8.72661354311,15.6765432717,0.0,5.33809892678
Point0,H1,(8.35609064388 33),(8.71916966417 207),(7.56604214701 381),(7.41495708435 553),(8.18875037348 722),(5.88850325056 896),(6.02405108062 1055),(7.20952005497 1220),(6.77854856441 1384),(5.09955452481 1548),(8.03086171485 1704),(8.12431749487 1867),(7.33109117094 2016),(7.38627561206 2178),(7.17962460239 2339),(8.20595118088 2505),(6.95518823385 2659),(7.16684481567 2812),
Point0,H2,(4.73727479149 61),,(2.29063257491 410),,(3.66349561323 765),,(2.3436983154 1096),(3.23776285947 1263),(3.03433700785 1433),,(3.90195840921 1736),,(4.21884749358e-15 2059),,(2.98820972226 2372),(3.31989370472 2536),,,
Point0,H3,(5.15037936042 81),,(4.83409324479 443),,(4.16699724054 778),,(3.65157107417 1115),(3.50701575813 1275),(3.07668721635 1441),,(3.93374286007 1742),,(3.12872041591 2081),,(4.06833416514 2401),(3.95678211368 2556),,,
Point0,H4,(0.869314253345 143),,(0.262627684526 490),(4.05512350248 588),(-0.00433140316097 831),(1.86765097346 969),(1.29804272954 1140),(0.572178486406 1310),(-0.00448013537028 1472),(-0.0017476555122 1632),(1.73444835035 1802),(-0.022158524856 1963),(-0.00457824157765 2123),(0.21256962255 2267),(1.40498601501 2436),(2.04973527818 2603),(1.9048706839 2697),,
Point0,H5,(1.27772062192 162),,(0.67175242335 504),(4.8853078078 608),(1.42519669045 856),(2.05934674108 985),(1.46948813067 1151),(1.29475139285 1331),(1.29423338292 1494),(1.17479631856 1658),(1.88726139466 1812),(0.907868499718 1979),(0.541014837107 2139),(0.668814133779 2288),(1.7451024922 2450),(2.11754477197 2611),(2.80759006482 2719),,
Point0,H6,(-4.4408920985e-16 180),(-5.77315972805e-15 351),(-5.3284605535e-05 518),(8.881784197e-16 692),(-0.00433140316097 831),(4.4408920985e-16 1023),(-0.00254236187105 1186),(1.7763568394e-15 1351),(-0.00448013537028 1472),(-0.0017476555122 1632),(2.6645352591e-15 1832),(-0.022158524856 1963),(4.21884749358e-15 2059),(-0.00457824157765 2123),(-0.000211400650656 2306),(3.10862446895e-15 2472),(-1.33226762955e-15 2632),(0.0 2777),
Point1,H1,(9.6880645196 31),(9.96868583889 206),(8.74811182729 382),(7.90282367167 552),(8.98295734058 722),(6.89669314394 895),(7.09820386203 1056),(8.4453503158 1219),(7.66617441628 1384),(5.50008660193 1547),(9.00782374938 1703),(8.76797569089 1865),(9.07123337337 2017),(7.65282064449 2177),(8.83460134788 2338),(9.28682958418 2505),(7.41145758368 2659),(8.54023053933 2812),
Point1,H2,(5.18297808857 59),,(2.30256876114 412),,(4.27679629054 765),,(2.91639165795 1095),(4.04203843411 1263),(3.27793412636 1435),,(4.24144372157 1737),,(1.7644779947 2059),(2.27317361024 2229),(3.88965992741 2374),(3.18655737041 2537),,
Point1,H3,(6.30065102657 86),,(5.11905447235 443),,(4.70470270779 777),,(4.38745885354 1115),(4.17341679726 1273),(3.33153362412 1442),,(4.40647473055 1749),,(4.65661902327 2079),(2.30366629208 2237),(5.1623384183 2399),(3.96703499704 2557),,
Point1,H4,(1.12902320789 150),,(0.395738673274 491),(4.38008414804 589),(-4.4408920985e-15 831),,(1.64311007744 1145),(0.568034383654 1315),(-2.6645352591e-15 1473),(-0.0181797834216 1629),(2.22082277337 1801),(-0.0032392867222 1962),(-1.7763568394e-15 2123),(-0.0585841922267 2268),(1.47185838592 2436),(1.37926465746 2602),,
