Cycle,0.849677419355
Average Width,9.75386878907
Width,,7.73112373319,4.79689633221,5.64009512949,6.96558045175,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.8495929386,0,0,0.0,14.8425313229,0.0,0.0,0.0,15.4512616153,0.0,0.0,0.0,0.0
Point1,H6,(-0.00120260446303 207),(-3.5527136788e-15 415),(-1.7763568394e-15 622),(4.4408920985e-15 828),(1.7763568394e-15 1022),(-5.3290705182e-15 1217),(-0.00364726427086 1408),(-1.50990331349e-14 1596),(-1.7763568394e-15 1777),(-0.000190614836189 1952),(1.7763568394e-15 2125),(-5.3290705182e-15 2282),(7.1054273576e-15 2446),(5.3290705182e-15 2622),(-0.00424955913277 2799),(-6.2172489379e-15 2967),(3.5527136788e-15 3136),(-5.3290705182e-15 3323),(-1.06581410364e-14 3505),(-1.7763568394e-15 3695),(8.881784197e-15 3885),(-0.00332331216561 4067),(-7.1054273576e-15 4253),(-1.06581410364e-14 4415),(-3.5527136788e-15 4577),(2.6645352591e-15 4734),(-5.3290705182e-15 4891),(-1.42108547152e-14 5055),(-5.3290705182e-15 5205),(-7.1054273576e-15 5377),(-1.7763568394e-15 5536),
Point2,H1,(10.8383484196 36),(11.2931186753 245),(11.6263433476 447),(9.43094592959 654),(8.54440977829 860),(8.9407234637 1054),(9.73234715611 1256),(8.21776648241 1451),(6.22653654439 1629),(8.04365841528 1818),(7.24374752237 1993),(7.57346330358 2159),(7.32266559604 2315),(6.42904495499 2483),(6.22205729137 2658),(5.28231689112 2831),(5.1421748856 3007),(6.60737796212 3178),(6.71639709371 3358),(7.89352928879 3545),(7.48476260627 3735),(7.65253757638 3918),(8.08921485809 4108),(7.62334281775 4287),(7.00872745494 4450),(6.39710824558 4620),(5.33294806557 4774),(6.95747134507 4924),(5.16932650706 5089),(6.29422982557 5244),(6.73728362739 5420),(4.18304596763 5575),
Point2,H2,,(8.38294214147 273),(6.45086933398 505),,(2.06408213125 952),(3.3105444968 1154),,,(5.6827803677 1642),(2.21758861125 1897),(3.24759097294 2025),,,,,(3.03964868176 2874),(4.98030838961 3019),(2.6132714761 3247),(4.44267230254 3398),(6.33392214284 3566),,(5.4868065269 3954),,(5.2471697628 4325),(4.57621946077 4486),,,,,,,
Point2,H3,,(8.38519966124 275),(6.47703885109 512),,(2.14460425097 960),(3.48743870934 1167),,,(5.89484540686 1655),(2.25499776449 1903),(4.0859479121 2046),,,,,(3.09133514565 2882),(4.9944673339 3025),(2.65895529237 3255),(4.54681183717 3408),(6.46295656521 3576),,(5.7508247894 3968),,(5.6416033008 4339),(4.7858436327 4498),,,,,,,
Point2,H4,,(1.42551988619 385),(3.46533267578 552),(3.52202576895 740),(0.127743711802 993),(1.39640226349 1192),,,(1.82010728551 1748),(0.290509803453 1931),(0.471942980946 2100),,,(2.17825291413 2571),,,(0.461068341884 3106),(0.799363512925 3302),(3.41475685588 3436),(0.374008584251 3672),,,,(2.03958950143 4390),,,(2.15293474804 4844),(1.04704660242 5033),,(1.3524584617 5353),,
Point2,H5,,(1.77049314439 399),(3.48684298323 560),(4.118632867 765),(1.20314331723 1011),(1.49791905671 1200),,,(1.87258528911 1755),(0.355781683297 1939),(0.710960235105 2113),,,(2.20748155529 2578),,,(0.717885376259 3120),(0.964974928797 3312),(3.4410835374 3443),(0.502848458723 3682),,,,(2.12718370294 4398),,,(2.23276980404 4852),(1.09324105633 5040),,(1.36685033839 5358),,
Point2,H6,(-5.3290705182e-15 212),(0.0 416),(-2.6645352591e-15 625),(2.6645352591e-15 830),(0.0 1025),(-1.06581410364e-14 1220),(-1.15463194561e-14 1417),(-4.4408920985e-15 1602),(-1.33226762955e-15 1781),(-0.000616276648683 1954),(8.881784197e-15 2127),(6.2172489379e-15 2285),(4.88498130835e-15 2449),(-8.881784197e-16 2624),(-1.7763568394e-15 2801),(-3.5527136788e-15 2963),(-1.7763568394e-15 3138),(2.22044604925e-15 3328),(-0.000818535041203 3501),(4.88498130835e-15 3696),(2.22044604925e-15 3887),(8.881784197e-16 4072),(1.33226762955e-15 4255),(7.1054273576e-15 4419),(-0.00189414818473 4581),(2.6645352591e-15 4737),(-1.33226762955e-15 4895),(-4.4408920985e-16 5058),(-0.000853974799754 5204),(-8.881784197e-16 5381),(-0.503181530818 5539),
Point3,H1,(14.1677585643 111),(5.11026743003 381),(8.70247135678 588),(9.53593618473 768),(9.72182493693 986),(8.88358886679 1180),(9.23768869524 1388),(12.7354544485 1561),(11.2983681917 1742),(9.48847353204 1920),(8.55411182651 2090),(7.23028418541 2195),(11.0381686988 2410),(11.9864373519 2586),(12.82877752 2761),(11.1238940918 2934),(11.5284086498 3101),(12.124370546 3287),(12.4414144738 3472),(11.6380560468 3661),(10.5386030119 3850),(10.500839404 3965),(11.9656059711 4037),(10.6921474991 4219),(10.9546835028 4377),(11.9125162125 4540),(12.0809938353 4699),(9.86627380985 4857),(13.1230514993 5020),(10.0616272317 5175),(12.4386440643 5341),(12.1160407568 5503),(12.4538153753 5629),
Point3,H2,,(-0.0228049410643 413),(1.50990331349e-14 621),,(1.42108547152e-14 1022),,(1.15463194561e-14 1412),(-9.7699626167e-15 1591),,(2.6645352591e-15 1956),,(6.19178943861 2236),(-1.50990331349e-14 2444),,,,,(-1.68753899743e-14 3318),(-1.06581410364e-14 3506),,,,,(1.24344978758e-14 4246),(1.7763568394e-14 4410),,,,(-7.1054273576e-15 5052),,,,
Point3,H3,,(5.47210828302 486),(3.51273173764 651),,(2.88755155994 1054),,(6.0268121234 1453),(5.35404286031 1633),,(0.784021746108 1969),,(6.57604821483 2248),(4.96826827806 2477),,,,,(9.64790955539 3409),(8.23566737527 3577),,,,,(8.83382361784 4324),(6.21310132843 4449),,,,(6.49011172727 5084),,,,
Point3,H4,,(5.22896696038 504),,,(2.85193300694 1061),,,(4.86595234291 1646),(1.24344978758e-14 1779),(0.054800321332 1982),,(-0.0111154028602 2276),(4.91720164148 2484),(-6.2172489379e-15 2618),(-1.59872115546e-14 2794),(-7.1054273576e-15 2964),(-0.000245349417598 3137),(9.48237860933 3419),(8.01047871791 3590),,(3.5527136788e-15 3880),,,(8.76156071894 4332),(6.09595498772 4459),(2.30926389122e-14 4576),(2.04281036531e-14 4730),(2.6645352591e-15 4886),,(1.7763568394e-15 5203),(-0.00767312522492 5378),,
Point3,H5,,(8.63177963067 556),,,(5.8123458174 1114),,,(6.78574562399 1680),(7.47117450247 1873),(4.86725033439 2015),,(9.71414395792 2381),(10.9317956016 2556),(11.4979774804 2732),(4.2184579174 2832),(7.83514701945 3041),(11.5066403456 3268),(11.3068547301 3441),(9.19207357701 3629),,(5.60211099789 3919),,,(9.93074443077 4355),(9.84690634472 4510),(10.3394732594 4673),(9.38681951982 4827),(10.0960255291 4990),,(10.0835457598 5281),(6.54186023844 5409),,
Point3,H6,(-0.0604684610076 213),(-2.6645352591e-15 322),(-0.0228049410643 413),(1.50990331349e-14 621),(1.33226762955e-14 823),(1.42108547152e-14 1022),(4.4408920985e-15 1218),(1.15463194561e-14 1412),(-9.7699626167e-15 1591),(1.24344978758e-14 1779),(2.6645352591e-15 1956),(-1.59872115546e-14 2119),(-0.0111154028602 2276),(-1.50990331349e-14 2444),(-6.2172489379e-15 2618),(-1.59872115546e-14 2794),(-7.1054273576e-15 2964),(-0.000245349417598 3137),(-1.68753899743e-14 3318),(-1.06581410364e-14 3506),(-0.00380614769241 3692),(3.5527136788e-15 3880),(4.4408920985e-15 4067),(1.24344978758e-14 4246),(1.7763568394e-14 4410),(2.30926389122e-14 4576),(2.04281036531e-14 4730),(2.6645352591e-15 4886),(-7.1054273576e-15 5052),(1.7763568394e-15 5203),(-0.00767312522492 5378),(-9.7699626167e-15 5539),
