Cycle,0.815784313725
Average Width,4.62632627242
Width,,4.70845387267,4.75640231768,4.5397917497,4.3089461132,4.81827298796,5.03452850725,4.54205393326,4.20225724113,3.84647341592,5.10559297325,0.0,4.3368538232,4.04147127253,4.30693925985,4.6317629218,5.23896711689,4.39150291943,4.47934891842,4.61811317742,4.46430204757,4.2236705914,4.36157068924,3.78465189283,4.24463389856,4.45821884191,5.6368432982,4.06427952314,4.06849846696,4.46755513326,4.12542970041,4.51652941854,5.08638183334,4.5712569537,5.58274790633,4.20856199611,4.68462974792,4.97164087503,4.01084128714,4.84332868362,4.42376470114,5.44180956713,4.69760151608,4.22759270396,4.28748514836,4.46032632978,4.5429847113,4.36241462683,4.98664358854,5.37653680238,4.93445585506,4.88062285669,0.0,5.27347397942,4.8799953906,4.67671692158,4.92373288988,4.52934732125,5.35322347185,5.10357690598,4.83349708185,4.78962094209,4.97451697308,4.72615160953,4.40554897351,4.74140494319,4.31678047424,4.34332815473,4.53433524115,4.65306526389
Point0,H1,(9.82575191212 30),(8.98107746925 199),(8.60227301028 354),(9.21242333623 500),(9.99951473127 667),(8.45608530564 844),(7.69025379901 997),(8.70905471283 1165),(7.54718221664 1333),(7.3966832581 1499),(7.58452822815 1646),(9.40263061627 1810),(6.92044586808 1987),(6.22427225613 2155),(9.26493677385 2308),(9.37106228015 2479),(8.67598445104 2656),(8.23757716789 2828),(8.03450108419 2977),(7.32594231905 3135),(8.65951051517 3315),(7.18083646218 3476),(7.14967043868 3636),(8.83635674154 3821),(8.28738803042 4011),(7.41480746173 4173),(7.97173147986 4326),(7.38362134383 4486),(8.27392068866 4654),(7.71291461963 4824),(9.35433958383 4981),(10.75704338 5151),(10.7031992143 5327),(10.853520355 5486),(10.9420492784 5646),(11.2069090032 5815),(11.0460147251 5987),(11.3505336826 6143),(12.2366105536 6304),(11.7671441514 6476),(9.7670179174 6647),(11.2180981595 6797),(11.5061004349 6957),(12.086856368 7120),(11.1783516744 7289),(11.9650007075 7443),(10.0365653543 7620),(12.521956832 7807),(10.0612670954 7982),(10.8746728264 8141),(12.4762526137 8309),(13.5153196867 8476),(12.224611646 8648),(13.9431062273 8799),(14.3717310441 8972),(13.8733993261 9149),(12.2488372316 9324),(11.4346047117 9478),(12.7008271962 9644),(13.3271787346 9821),(11.3848507054 9998),(11.0225282578 10158),(13.1363665763 10327),(10.9697009502 10496),(11.4404921359 10653),(12.4774466324 10818),(12.6086595021 10988),(10.8183070877 11142),(13.2081974023 11293),
Point0,H2,(4.97450890645 54),(2.52810155211 229),(3.96588185914 386),(4.13666241442 533),(4.68298020795 695),(3.93453774009 869),(4.59648920943 1030),(3.47872127227 1190),(1.80651104012 1365),(1.91126068657 1524),,,(3.24074207105 2013),(1.39082529897 2181),,(5.31239130732 2523),(3.84051765629 2683),(2.82441874639 2855),(4.0077063954 3006),,(5.14980636865 3342),(3.54087985305 3503),(3.74633520135 3667),(4.62737144477 3842),(4.06204273254 4037),(2.96355569181 4200),(4.23373634001 4351),(4.05613958672 4518),,(3.65062647261 4849),(5.99723008469 5011),(6.87736948704 5170),(6.29049808554 5350),(5.23671641316 5509),(6.15670370557 5670),,(4.12078744496 6017),,(5.8601579843 6344),(4.86096216711 6501),(4.93577802489 6674),(5.98111499886 6820),(5.30771426279 6979),(5.1401467282 7156),(5.05568108753 7315),,(6.71452920077 7657),(6.70589665356 7833),(4.30152055207 8009),,,(2.20436603571 8513),(5.96968650187 8675),(6.83948685593 8843),(7.34467898906 8996),(5.91230887607 9173),(4.94507484914 9347),(5.27816196996 9510),,(6.8399222637 9845),(4.52588328153 10029),(4.99609066108 10183),,(5.0861634194 10536),,(6.71811560125 10856),,
Point0,H3,(5.85149200329 80),(4.15553688057 250),(4.63808797926 401),(4.44333256434 545),(5.32062498943 714),(4.25713972199 881),(5.42492668839 1048),(4.60113741952 1216),(3.04211221546 1387),(2.6530953344 1545),,,(5.00209888315 2034),(1.75390632128 2194),,(5.59487116337 2534),(5.13293243079 2705),(3.83834079586 2882),(5.08861471615 3027),,(5.70852349612 3357),(5.18254830496 3525),(4.17024425823 3682),(7.00377324953 3867),(4.54664091231 4053),(4.47369255735 4222),(5.24084901789 4367),(4.61670741161 4536),,(4.72189323234 4869),(6.65976209956 5027),(7.53099945308 5182),(7.92581594533 5378),(5.94029268718 5534),(6.29819196802 5679),,(5.63188246621 6037),,(6.08006475013 6356),(5.33768134336 6514),(6.23615804097 6692),(6.42331928155 6831),(5.87991613753 6990),(5.53516786255 7170),(6.44979652452 7333),,(6.93949205902 7671),(7.98761968847 7856),(5.85840477947 8030),,,(3.1724024244 8534),(7.84822591369 8696),(7.01504647771 8852),(7.87197241576 9006),(6.98889186492 9190),(6.80418697125 9372),(6.52644632143 9529),,(7.57264691472 9859),(5.54384941099 10052),(6.25604989338 10209),,(5.19989988481 10545),,(6.78603516309 10864),,
Point0,H4,(1.52530455253 137),(0.114412733884 299),(1.48725121265 441),,(1.15581310434 780),(0.213544677063 940),(0.885028082598 1090),(1.19287618364 1273),(0.849912039923 1425),,,,(-0.00626903415729 2081),(-0.0268939914626 2244),(8.881784197e-16 2425),(2.18447378976 2572),(1.0061560937 2756),(0.50330832145 2921),,,(0.923384195494 3422),(0.692106273976 3576),(1.03305320623 3725),(1.77836020356 3931),(-6.2172489379e-15 4109),(0.706687582047 4261),(1.04254209365 4418),(1.87013832207 4576),,,,(7.02885547609 5196),(1.80221647918 5442),,(1.15611210431 5750),,(0.907735495972 6075),,(1.11508693616 6407),(1.2166998949 6588),(0.646701677996 6733),(2.60074117579 6887),(2.48391241726 7042),(0.425437303983 7222),(1.80788481761 7390),,,,(0.840854554633 8075),,,(0.469653011182 8570),,,,,(1.54038208926 9419),(1.17642761234 9568),,(2.20919677788 9922),(0.480931276163 10104),(1.15266728961 10254),,,,,,
Point0,H5,(1.64902334643 147),(0.844829334021 313),(1.8806326491 453),,(1.21056371786 788),(0.342013784936 951),(1.0357437866 1101),(1.43201113158 1285),(1.62934388284 1446),,,,(0.935505933632 2102),(0.58434669139 2266),(1.45981328915 2442),(2.6051031895 2590),(1.11164337885 2768),(1.2333123295 2936),,,(0.998226658677 3430),(0.951204321962 3590),(1.10654522421 3735),(2.28082647106 3946),(0.311896069762 4135),(1.51494789962 4278),(1.44789433217 4434),(2.08322160894 4587),,,,(7.18886050553 5205),(1.80436993903 5444),,(1.95917202129 5766),,(1.47397708324 6093),,(1.60784674981 6421),(1.28032627075 6596),(1.21238009332 6746),(2.64013581996 6894),(2.69378608621 7055),(0.739439155147 7237),(1.84041856014 7396),,,,(1.76832952659 8090),,,(1.32482333809 8596),,,,,(2.2507404283 9432),(2.13086320084 9587),,(2.29878586286 9932),(0.965375794582 10119),(2.37736592165 10274),,,,,,
Point0,H6,(-4.88498130835e-15 167),(3.5527136788e-15 326),(2.22044604925e-15 471),(-3.99680288865e-15 629),(-0.00826588011574 811),(-0.00389106902416 963),(-0.00832414795388 1131),(6.43929354283e-15 1303),(-0.00190371419597 1469),(-0.0125698191846 1598),(1.02140518266e-14 1782),(-7.1054273576e-15 1959),(-0.0649936635675 2123),(-0.0268939914626 2244),(8.881784197e-16 2425),(-0.00154005027136 2628),(4.4408920985e-16 2795),(1.33226762955e-15 2951),(3.5527136788e-15 3106),(9.7699626167e-15 3285),(2.6645352591e-15 3446),(2.22044604925e-15 3606),(-0.0064832282941 3789),(-0.00846850987771 3971),(-6.2172489379e-15 4109),(1.7763568394e-15 4295),(-4.4408920985e-16 4455),(-6.2172489379e-15 4628),(-7.1054273576e-15 4792),(-0.00381030259287 4949),(-3.5527136788e-15 5122),(-4.4408920985e-15 5300),(-1.06581410364e-14 5462),(-4.4408920985e-15 5614),(-0.00404292861328 5783),(-4.4408920985e-15 5958),(9.32587340685e-15 6115),(-7.9936057773e-15 6276),(-1.7763568394e-15 6443),(1.24344978758e-14 6614),(-0.00268789932551 6765),(-5.3290705182e-15 6927),(9.7699626167e-15 7093),(1.55431223448e-14 7253),(9.7699626167e-15 7414),(0.0 7591),(8.881784197e-16 7779),(-3.5527136788e-15 7954),(-7.9936057773e-15 8110),(-8.881784197e-16 8279),(-0.000382237713204 8614),(1.68753899743e-14 8770),(-8.881784197e-16 8935),(-0.00596106704624 9117),(-0.00202976593898 9286),(-1.7763568394e-15 9448),(-1.24344978758e-14 9612),(-2.6645352591e-15 9788),(8.881784197e-15 9968),(-0.0125663125302 10132),(-0.00914988316017 10294),(-0.00187000034471 10470),(-0.0233737731078 10614),(3.5527136788e-15 10790),(-3.5527136788e-15 10953),(4.4408920985e-16 11111),(5.3290705182e-15 11245),
Point1,H1,(12.5100484104 31),(11.135188406 200),(10.7499936465 354),(11.4405234722 502),(11.6405216265 668),(10.0968184602 846),(9.38192040261 996),(10.8759499731 1166),(10.0681743121 1335),(9.45830718529 1501),(8.81068853325 1647),(11.4064729471 1810),(9.71507075521 1988),(8.59654862977 2155),(11.3403930897 2309),(10.9591281608 2481),(11.1185957378 2657),(10.3264514519 2830),(9.66528517338 2978),(10.1062219351 3136),(10.6061732616 3316),(9.36435900192 3476),(9.13205880733 3636),(11.0971296909 3823),(9.92322988487 4012),(8.08447967672 4175),(9.38134887158 4326),(8.88167938647 4487),(10.420423127 4656),(9.86656306965 4826),(10.8332362356 4981),(12.0144069618 5153),(12.7007584841 5328),(11.9539936883 5488),(13.1339956774 5647),(12.844185336 5817),(12.5320218578 5989),(13.7508861637 6144),(13.5583802097 6306),(14.1623634595 6477),(10.9602659728 6648),(12.2427998208 6798),(13.2676380399 6959),(13.5876186534 7122),(12.4516110317 7290),(13.24962489 7445),(12.7470450529 7621),(13.7249075068 7809),(11.0930098432 7983),(12.0729652368 8143),(13.7506034169 8309),(11.6061138859 8479),(13.5475119548 8649),(15.3902138719 8801),(16.4370245499 8974),(15.2568750136 9150),(13.8659287011 9326),(12.4087611518 9479),(13.6747942353 9647),(14.4445730797 9823),(12.8641723189 10000),(11.8334984399 10160),(14.2594124871 10329),(12.7941895644 10498),(12.6108610824 10655),(14.2228847442 10820),(14.8095876192 10990),(12.3137327923 11143),(14.8103601484 11295),
Point1,H2,(5.62818818236 55),(3.80422617994 231),(4.53348970977 385),(4.53264104851 532),(4.72274683742 695),(3.70245681747 870),(4.593508755 1031),(4.61419636086 1190),(3.43334705775 1365),(2.15246292209 1527),,,(4.92388387966 2015),(2.76304242432 2182),(5.22022308897 2344),(6.02222518923 2506),(4.9799635279 2685),(3.3333568768 2856),(4.53632241127 3008),,(5.22046328963 3344),(3.80810528548 3505),(5.18402198512 3668),(6.28565175423 3844),(4.39142268384 4036),(3.69739326968 4200),(4.91883094213 4355),(5.46039553138 4521),,(4.74362960471 4852),(6.25283953056 5017),(7.18688597388 5174),(6.87896547862 5351),(5.69800761955 5511),,(6.52230228473 5844),(5.39726703857 6020),(5.6751004483 6183),(6.5729768327 6348),(5.97945562051 6502),(4.73978389078 6677),,,(6.52582031582 7161),(5.8776424014 7317),,(7.79933089187 7660),(6.94571963077 7834),(4.34939024174 8009),,,,(6.61258881279 8677),(7.28766029353 8842),(8.29846960908 8999),(6.55693331198 9174),(5.3269950764 9350),(5.6631399912 9509),(6.86296509095 9670),(7.077676416 9848),,(5.44193479581 10182),(7.75640815618 10359),(6.07719462554 10533),(5.77550929501 10679),(7.86290089605 10855),(6.87548641415 11014),(5.20351980692 11172),,
Point1,H3,(7.05053062694 82),(5.99365997934 252),(6.0860136622 405),(5.52972766428 549),(5.95438535128 714),(4.85469641915 889),(5.88573304708 1050),(6.04830742101 1212),(5.30366714303 1387),(3.35506097399 1547),,,(6.53264065763 2036),(3.74368978763 2201),(5.29670806026 2351),(6.36404349779 2528),(6.57237115174 2709),(4.8843080965 2885),(5.86231275056 3029),,(6.35904205836 3363),(5.87316281443 3527),(5.92714458386 3685),(7.35478249734 3860),(5.76282188882 4056),(5.21694546523 4223),(5.73318249956 4372),(5.9583097023 4536),,(6.09507336506 4872),(6.65113701961 5030),(7.55046964808 5184),(7.90673802322 5380),(6.69214660336 5536),,(7.75221977048 5860),(7.27980010729 6040),(6.10145438664 6198),(6.71597055771 6358),(6.79549313127 6515),(6.2798253866 6697),,,(6.80788038052 7174),(7.46038871853 7336),,(8.36029628038 7674),(8.27677882572 7859),(5.86004431169 8033),,,,(8.60996278705 8697),(7.71170493117 8855),(8.70138260124 9009),(7.80454987158 9192),(7.57738695666 9375),(7.17385782357 9529),(7.50624335652 9681),(8.41913066971 9867),,(6.4090736853 10213),(8.92277456931 10377),(6.32036663843 10546),(6.75090602927 10697),(7.96697362302 10863),(8.25182295439 11035),(6.78703263823 11190),,
Point1,H4,(1.63397985437 139),(0.590326658531 300),(1.45952074444 444),(0.944803057078 601),(1.37308871863 779),(0.76855100844 938),(0.834899049811 1097),(1.84421597961 1273),(1.74627009238 1431),,,,(0.583902460716 2085),(0.450944598052 2253),(-0.00039941130955 2428),(1.83409743617 2579),,(0.723863967763 2921),(1.07817294139 3066),,(1.77748378162 3420),(0.697983431686 3581),(1.26358837549 3751),,(0.126288181709 4111),(0.931016869199 4265),(1.65406877459 4418),,,(2.01049605073 4923),(0.17702625607 5104),(7.04545840061 5199),(3.38131255012 5417),,,(1.65172719613 5934),(2.03470140075 6077),(0.243003339781 6253),(1.69838968039 6410),(1.26539833049 6589),(0.554810242033 6736),,,(0.743236997727 7228),(1.49852562907 7390),,,(2.5092614175 7910),(0.581345845027 8077),,,,,,(2.27548994492 9080),,(1.49152977469 9420),(0.858175988779 9573),(2.42537540957 9733),(2.75764730743 9924),,(1.8044624553 10264),(2.73798497234 10423),,(1.66963358736 10766),,(2.09723956009 11082),,,
