Cycle,0.82221261108
Average Width,37.3692296728
Width,,27.0433671168,31.1845418564,0,0.0,21.4162520791,0.0,0,78.2697119836,19.3088366971,50.2333621889,48.6756346276,29.3574139721,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,86.7499583712,48.0014450855,20.4210492417,23.4390297612,0.0,13.7128696411,127.781146307,26.0641678131,0,18.4790842706,0.0,24.8407126029,15.8301176779,0.0,0.0,13.4350487159,0.0,23.140843447
Point2,H5,(3.51811768087 134),(19.44217451 367),,,(3.00533125869 808),,(2.63748321684 1165),(3.92570843578 1319),,(1.93426273275 1661),(9.68770823868 1761),(10.1790013529 1939),(2.87359450748 2160),,,(2.7279633473 2670),(11.4554357153 2895),(3.57946707768 2998),(1.51224790108 3181),(4.48919882017 3334),(13.227349575 3584),,,(11.1993632811 4092),,,(2.09220420616 4538),(0.267132939628 4720),,(8.9199933148 5102),(0.781726200738 5214),(2.51182023338 5394),(1.58419714898 5568),(7.35169978117 5687),,,,(4.38020656017 6393),(2.48055129118 6567),(6.00434948802 6692),,,
Point2,H6,(-5.3290705182e-15 163),(-0.00125897018819 335),(-1.59872115546e-14 498),(-1.7763568394e-15 670),(5.3290705182e-15 838),(-0.0028823812615 1011),(1.06581410364e-14 1184),(1.68753899743e-14 1345),(4.08562073062e-14 1506),(8.881784197e-16 1678),(6.2172489379e-15 1844),(1.7763568394e-15 2016),(-0.0010795557506 2178),(-2.6645352591e-15 2341),(-0.00355406837772 2513),(5.3290705182e-15 2689),(3.5527136788e-15 2864),(6.2172489379e-15 3036),(1.06581410364e-14 3199),(-5.3290705182e-15 3369),(5.3290705182e-15 3537),(5.3290705182e-15 3712),(1.7763568394e-15 3888),(5.3290705182e-15 4058),(5.3290705182e-15 4223),(-0.00806742452467 4385),(3.5527136788e-15 4560),(7.1054273576e-15 4657),(5.77315972805e-15 4731),(1.7763568394e-15 4898),(-4.4408920985e-15 5072),(-0.00217819423082 5232),(-1.33226762955e-14 5411),(-0.00104449919659 5583),(-2.6645352591e-15 5760),(-2.6645352591e-15 5922),(1.33226762955e-14 6093),(-0.0093944249446 6260),(-8.881784197e-16 6430),(3.5527136788e-15 6600),(-8.881784197e-16 6767),(-3.5527136788e-15 6923),
Point3,H1,(23.1893536168 27),(23.2272417197 200),(20.7870839486 367),(18.3008144879 539),(17.4118169861 698),(20.4476057944 874),(14.380027661 1048),(14.4756659846 1230),(15.4887605066 1380),(15.837542697 1544),(15.0989478916 1709),(17.4261234167 1882),(14.0635480701 2067),(14.1223481511 2220),(16.2426988206 2378),(14.9371839272 2555),(19.0737932672 2740),(12.749211076 2894),(14.2789496237 3066),(14.4204089658 3249),(12.4022628062 3401),(14.456071721 3581),(14.3866210969 3767),(11.0508190252 3919),(11.991572377 4113),(11.4707464008 4253),(12.8901986719 4425),(8.37680015232 4587),(9.50680432781 4765),(11.4124959339 4936),(9.58068537192 5103),(11.3476430739 5271),(10.9489174955 5454),(12.3461333054 5634),(10.4614099563 5790),(10.4119124853 5960),(14.105045922 6124),(9.30549630394 6297),(9.9449568693 6464),(12.1033711089 6633),(10.065357936 6807),(11.1445190649 6995),
Point3,H2,(20.4882808501 41),,(20.4309042041 376),,(15.1247416103 712),(18.6455929472 887),,,,(6.25758025775 1591),(14.5995492976 1719),,,,,,,(12.4963885329 2902),(12.6161380686 3079),,(10.9363010126 3415),,,(0.904051150314 4018),(8.6406841424 4136),,(6.84693278224 4475),,,,(9.42305399704 5111),(5.5651616481 5320),,,,(8.9261153409 5975),(13.4250967406 6135),(5.25093729072 6339),,(10.4693314988 6648),,,
Point3,H3,(20.9378207004 49),,(20.5743455644 383),,(15.9626910707 723),(19.5875308246 898),,,,(7.19428723239 1605),(14.9956949937 1729),,,,,,,(12.7285674624 2911),(13.409757874 3091),,(12.346047042 3429),,,(1.39733716392 4034),(9.21725461129 4148),,(6.88481169336 4480),,,,(9.47353697282 5117),(6.30766904947 5333),,,,(9.68779075849 5988),(13.7376610724 6145),(6.36954378368 6356),,(10.8133214267 6657),,,
Point3,H4,,(1.9566700468 310),,(2.04795251433 647),,,(2.08346649089 1155),(3.38841198116 1316),(2.39115330349 1477),(1.68390672909 1653),(10.0319989403 1755),(10.0861748705 1929),(2.113167242 2146),,,,,(3.26613813491 2991),(1.83838578798 3176),(3.9049350788 3328),,(1.57836328916 3686),,(-0.0125132366005 4057),,(1.719906374 4359),(3.36971126915 4507),(1.59872115546e-14 4653),,(7.36526254183 4983),(0.974660819089 5199),(1.76517377984 5379),,(6.68736339686 5680),,,,(4.16729557543 6380),(2.54460959957 6558),(5.86410100645 6681),,,
Point3,H5,,(2.17689298287 318),,(2.10753936665 653),,,(2.43717183972 1166),(3.70367661912 1326),(2.39877510097 1480),(1.90252123007 1662),(10.1943024822 1763),(10.513424684 1939),(2.8530684356 2159),,,,,(3.30476887605 2997),(1.85638219917 3181),(3.91188397378 3331),,(1.74979200551 3694),,(11.6189668543 4093),,(1.76180530488 4365),(3.54487435705 4516),(1.16760224232 4695),,(7.77286803512 4995),(1.10988552711 5208),(2.66802815568 5393),,(6.90812300236 5691),,,,(4.44579738479 6393),(2.60754741709 6565),(6.48814628025 6692),,,
Point3,H6,(-0.00831897931225 161),(-1.24344978758e-14 334),(2.13162820728e-14 498),(1.95399252334e-14 670),(5.3290705182e-15 837),(1.7763568394e-15 1011),(-1.7763568394e-15 1184),(-6.2172489379e-15 1345),(-6.2172489379e-15 1506),(-3.37507799486e-14 1679),(-4.4408920985e-15 1843),(0.0 2016),(1.24344978758e-14 2177),(2.04281036531e-14 2341),(2.6645352591e-14 2513),(2.6645352591e-14 2688),(1.59872115546e-14 2864),(1.95399252334e-14 3035),(1.7763568394e-15 3199),(4.4408920985e-15 3369),(0.0 3538),(2.22044604925e-14 3712),(-1.15463194561e-14 3888),(-0.0125132366005 4057),(-5.3290705182e-15 4224),(-0.0116313223625 4386),(1.15463194561e-14 4560),(1.59872115546e-14 4653),(1.7763568394e-14 4731),(3.10862446895e-15 4897),(-1.7763568394e-15 5071),(-0.00123339792888 5231),(-0.00238369529549 5410),(2.6645352591e-15 5583),(4.4408920985e-15 5760),(-1.33226762955e-14 5924),(-4.4408920985e-15 6094),(-7.1054273576e-15 6260),(-4.4408920985e-15 6430),(-0.00837324353177 6601),(8.881784197e-16 6766),(-0.000642791814087 6935),
Point4,H1,(30.4471669455 27),(30.09564837 201),(27.9466659868 383),(25.3259917831 539),(23.5465805088 698),(27.585041483 874),(21.1182482733 1048),(19.2144466426 1229),(19.9931086442 1382),(21.2003381466 1543),(20.2593089671 1710),(23.1585903259 1882),(21.0354240329 2067),(20.1984435496 2217),(22.4010853073 2377),(20.3820575585 2556),(25.1783483111 2740),(17.6497457419 2896),(19.5964854755 3066),(19.5375160901 3249),(16.9943275434 3401),(19.374689439 3581),(19.0955392096 3755),(15.3971532182 3918),(16.1242275786 4113),(15.7578620068 4254),(17.0697754943 4426),(10.9789811646 4588),(13.0942327995 4763),(13.7185418255 4937),(12.7965083913 5102),(15.7476223055 5271),(15.5528065499 5455),(16.8222459375 5632),(13.6770319866 5789),(14.6768529014 5963),(18.7623038065 6123),(13.165857495 6295),(12.9937784568 6481),(16.1936703846 6634),(15.3896742532 6807),(14.2041018783 6995),
Point4,H2,(27.550381952 40),(14.6675244927 253),,,(20.6438862344 712),(25.6984054979 886),(8.78062460382 1099),,,(7.50893900387 1593),(19.7690649564 1720),,,,(18.9911897848 2394),,,(17.4965888176 2904),(17.0705979762 3080),,(14.9739190439 3415),,,(1.64576920877 4023),(10.778378976 4137),,(4.82927268732 4504),(1.33226762955e-14 4661),(12.2389184417 4775),,,,(2.9050872332 5530),,(12.8064746011 5802),,(17.3954377208 6135),(5.92996316234 6344),(7.48286357365 6508),,,,
