Cycle,0.73888647343
Average Width,4.13796505153
Width,,4.94809207493,4.71133271818,4.83269980991,4.47380865047,5.07895773008,5.02877900901,4.28469348043,4.703732737,4.16928908285,4.20378450424,3.96211938219,4.09573369572,3.85420228216,4.06422407944,3.7362611842,4.0476918475,4.02019160986,4.00473221491,3.98809264373,4.22376850889,3.94959322003,3.9899330899,3.97379010144,3.83291706526,3.86369995803,3.91056233778,3.95103790935,3.84561857715,4.02137956563,3.90124479549,3.8870044361,4.17091371621,3.94056006625,4.02293033074,3.97266854997,3.99019630711,3.84376798989,3.94927996663,4.061952507,3.72080396688,4.24211393018,4.16165844235,4.24734523223,4.02248523519,4.24312726758,4.19762056026
Point0,H1,(16.3658001712 63),(12.9691100171 217),(14.429710895 361),(12.4588631984 508),(14.207280531 662),(12.0935238827 824),(10.6715588797 969),(13.8790977862 1110),(13.3680732099 1255),(12.069683026 1406),(11.0651820691 1558),(11.4694458131 1697),(12.7714242853 1841),(13.2902994819 1994),(12.9606418385 2169),(12.5063695614 2326),(13.0133718699 2473),(12.8985192765 2622),(12.9105211923 2786),(13.4436954944 2936),(12.4152542532 3080),(12.9981885899 3228),(13.5035544789 3387),(12.9146036039 3558),(12.2062025238 3706),(13.5653145514 3853),(13.8120491844 4009),(12.1597196539 4170),(12.574652762 4330),(10.763585076 4459),(11.9370739452 4602),(14.3543312943 4752),(12.5636248341 4904),(13.4519850183 5048),(14.0523634496 5188),(13.1528611709 5336),(12.0778408323 5493),(11.0363550784 5653),(12.4167633713 5798),(9.39423838336 5942),(13.9072251692 6097),(13.459092124 6259),(11.953378448 6398),(12.3192357912 6540),(13.4918411941 6697),(12.8318855893 6860),
Point0,H2,,,(4.93873133205 404),,,,,,,,,(6.04988032076 1731),,,,,(6.62514257469 2512),(7.31085131014 2665),,,(5.07013630245 3121),,(6.32530799122 3432),(5.42317940666 3604),(5.679135489 3752),,(6.50053178778 4052),,,(3.00976579912 4502),,(8.69143915329 4790),,,,,(6.27414869297 5533),,,,(9.30682679741 6139),,(6.32395942889 6433),(6.98679901995 6584),,
Point0,H3,,,(5.45935445261 418),,,,,,,,,(7.11717402212 1747),,,,,(6.99388014444 2523),(7.36075477011 2675),,,(5.92534112229 3136),,(6.50282818618 3442),(5.70371216402 3614),(5.71558480614 3758),,(7.47730528748 4067),,,(3.55364013845 4517),,(8.86723716512 4800),,,,,(6.30038486411 5540),,,,(9.35617331494 6146),,(6.87517263514 6448),(7.2798019441 6595),,
Point0,H4,(0.09378637362 158),(6.56250504745 253),(1.90339261107 453),(5.93318165614 552),(7.92935114722 707),(-0.00842100757211 924),,(5.43676236466 1157),(7.26363811381 1302),,,(2.27911839759 1781),,(1.95569446002 2116),(5.74277863554 2214),(6.49441751781 2371),(2.09878110778 2564),(2.94272916508 2724),,(4.41877582841 2976),(1.63833978234 3170),(1.24552025144 3333),(2.10972866223 3484),(1.69485796555 3652),(2.26979298615 3796),(6.2934030498 3895),(2.30066393089 4119),(6.40322201999 4215),(5.82286963765 4372),(0.725511729764 4551),,,(5.24909525483 4949),(6.17698608095 5092),,,(2.1068291189 5589),(5.98959574658 5687),,(5.21588418416 5987),(3.21074262047 6199),,,(1.5714517397 6647),,
Point0,H5,(0.890655254929 175),(7.82116022879 271),(2.35688710511 463),(6.26148350135 566),(8.21405635276 718),(0.00627929362342 930),,(5.64192334187 1166),(7.61733608311 1314),,,(2.45010393074 1790),,(2.03066975903 2124),(6.0655005299 2226),(6.61728323709 2380),(2.15151789384 2570),(2.98277344485 2729),,(5.39723678026 2992),(1.84778931288 3181),(1.42251508809 3342),(2.27789206437 3494),(1.73024074421 3659),(2.65045182851 3806),(6.67930087604 3908),(2.32414749758 4124),(6.80516528385 4228),(6.12770502783 4382),(0.821840297167 4559),,,(5.64132475018 4960),(6.28048119768 5100),,,(2.21503293227 5597),(6.2187467855 5706),,(5.66071446658 6002),(3.26778004677 6205),,,(1.63522251805 6653),,
Point0,H6,(8.881784197e-16 188),(0.0 334),(-1.50990331349e-14 479),(-0.00744537790922 626),(-0.00799869120541 790),(-0.00842100757211 924),(-0.0110316748866 1069),(-8.881784197e-16 1222),(1.7763568394e-14 1376),(8.881784197e-15 1523),(8.881784197e-15 1664),(8.881784197e-15 1808),(1.42108547152e-14 1962),(-0.0082632162087 2142),(1.06581410364e-14 2290),(4.4408920985e-15 2442),(7.1054273576e-15 2590),(-1.7763568394e-15 2752),(-1.7763568394e-14 2906),(5.3290705182e-15 3045),(-9.7699626167e-15 3198),(5.3290705182e-15 3357),(1.42108547152e-14 3526),(1.42108547152e-14 3678),(8.881784197e-15 3824),(-0.000927551221161 3977),(7.9936057773e-15 4143),(1.7763568394e-15 4299),(-0.00530309691301 4430),(-9.7699626167e-15 4572),(-1.15463194561e-14 4718),(-0.00755559320238 4874),(-1.7763568394e-14 5015),(-1.95399252334e-14 5152),(-0.00641625205896 5300),(-2.84217094304e-14 5456),(-1.7763568394e-14 5618),(-7.9936057773e-15 5762),(-1.15463194561e-14 5909),(-8.881784197e-16 6064),(0.0 6225),(-6.2172489379e-15 6367),(-6.2172489379e-15 6512),(7.9936057773e-15 6669),(8.881784197e-16 6830),
Point1,H1,(16.305701979 62),(12.9229973941 216),(14.0127535758 361),(12.5149066286 506),(13.4044419853 661),(11.8611414631 822),(11.1831440645 967),(14.2124078449 1108),(15.4045364015 1254),(13.8511986372 1405),(13.7247815586 1558),(13.5395824425 1694),(15.2582335773 1840),(15.8524785597 1992),(17.3123426099 2167),(15.2834975851 2325),(15.5944561174 2472),(15.5692925983 2620),(16.1169549657 2785),(16.2450809323 2934),(15.609254286 3078),(16.6317249738 3226),(17.0113627389 3385),(16.870372244 3557),(15.6234647918 3705),(17.1345532754 3851),(17.2335661647 4007),(15.2967039416 4169),(15.6497889832 4328),(14.3036139464 4457),(15.8312240873 4601),(17.5101476863 4749),(16.2496986499 4903),(16.9324464077 5047),(17.3272246507 5186),(16.9887278097 5334),(15.585124079 5491),(14.1777993649 5652),(15.2430985073 5797),(12.89721907 5941),(17.3198606613 6095),(16.8831387099 6258),(15.0046663056 6396),(16.3315683579 6538),(17.4988831343 6696),(16.2807278257 6859),(14.8213079132 7027),
Point1,H2,,,(5.09222261161 402),,,,(4.97718755633 1014),(5.49536255466 1157),(7.35676374656 1299),(7.80043649401 1448),(6.49674844913 1593),(7.91947353388 1730),(8.29890286243 1882),,,,(7.12438653534 2511),(8.05440623562 2663),,,(6.30695444803 3120),,(7.49721740957 3431),,(6.64527951972 3747),,(7.48595070741 4052),,,,(6.94296643709 4641),,,,,,(8.01851492771 5528),(7.38187727036 5688),,,(10.4727722145 6133),(9.29773752675 6292),(7.76628965257 6435),,,,
Point1,H3,,,(5.6800759846 414),,,,(4.98914242295 1018),(5.49581149102 1159),(7.99130309621 1313),(7.84842340293 1455),(6.55922488241 1601),(8.48276464231 1743),(8.30054509697 1884),,,,(7.39953685502 2522),(8.4178953642 2675),,,(6.90807368573 3133),,(7.69311499202 3441),,(7.14218923916 3759),,(8.00148155748 4065),,,,(7.62881485841 4655),,,,,,(8.19925836863 5539),(7.55495835179 5702),,,(10.9562567736 6146),(9.30939841455 6296),(8.46774479738 6448),,,,
Point1,H4,(-0.00700624451423 157),(6.50268413657 250),(1.89627031954 449),(6.09012185035 549),(6.86930891211 706),,,,(3.36726033068 1348),,,(2.96310645426 1780),(1.3375618231 1944),(8.71200955476 2037),(7.21958933969 2212),(6.5978355263 2370),(2.23393226563 2565),(3.50098315995 2723),,(5.20939057842 2975),(2.68286599439 3169),(1.37670202352 3330),(2.55801866233 3482),(7.16544014869 3605),(2.20133198346 3796),(7.2651153762 3893),(2.63712140679 4117),(7.29641670011 4212),(6.96452371509 4371),(4.33639304293 4501),(2.56288788289 4693),(9.2710474267 4789),(6.46300602556 4947),(6.98755879568 5088),,,(2.90825910079 5588),,,(6.34586666054 5985),(3.3129782001 6196),,(3.66055092009 6485),(8.1196787161 6584),,,
