Cycle,0.829556390977
Average Width,5.71553314279
Width,,5.32027119342,5.34284401603,4.92630952152,6.62281083552,6.29144271128,5.83014480682,6.18219595796,5.97489109913,5.62329832415,5.72927515022,5.66229472915,5.72059304322,5.7155102764,5.57501818373,5.64280542385,5.46403679931,5.51434911887,5.41497282191,5.99433157406,5.76326726917
Point0,H1,(5.8452738023 47),(6.2940185954 133),(2.02595986714 236),(7.78546465712 333),(8.37440996931 523),(6.98650959432 754),(7.23583237079 881),(6.39834284412 1046),(5.48704665283 1229),(6.00838132306 1397),(6.42401167327 1560),(6.77142883262 1737),(7.54693487064 1926),(7.57705851685 2145),(6.85194845479 2310),(6.85577957909 2487),(7.49257274738 2671),(6.5569679802 2838),(8.25464766073 3000),(8.19620603942 3160),(4.18230778587 3340),(6.25362559069 3508),
Point0,H2,,,,,,,,,,,,(5.94147614079 1762),,,(5.81786175636 2326),,,(1.66189586711 2906),,,,,
Point0,H3,,,,,,,,,,,,(6.22374056146 1788),,,(6.15231233805 2338),,,(1.6651872344 2909),,,,,
Point0,H4,,,(-0.0407553392611 265),,,(3.06107288647 817),(2.01502361447 962),(1.22106953375 1122),,(-0.326232139184 1481),,(1.41548434213 1860),,,(0.755548582079 2387),(2.92485556553 2546),,(4.4408920985e-16 2935),(2.13735984834 3076),(2.81041431774 3267),(0.601227386277 3434),,
Point0,H5,,,(1.44444251177 288),,,(3.14755934019 825),(2.01615007724 965),(2.1491566669 1141),,(0.787115243762 1512),,(1.56501156464 1869),,,(1.64356777368 2417),(3.45002029659 2565),,(0.321080029551 2950),(2.21342717814 3085),(2.8160807135 3270),(0.648718136803 3443),,
Point0,H6,(-0.0964707448077 102),(-0.00804916580359 183),(-0.0407553392611 265),(-2.22044604925e-15 405),(-0.00873028596008 464),(4.4408920985e-15 671),(8.881784197e-15 849),(-0.00383786210753 1015),(-7.1054273576e-15 1188),(-0.000403049134952 1346),(-0.326232139184 1481),(7.1054273576e-15 1698),(-7.1054273576e-15 1888),(-2.6645352591e-15 2096),(-0.00441777700039 2271),(-4.4408920985e-16 2453),(3.10862446895e-15 2634),(2.22044604925e-15 2807),(4.4408920985e-16 2935),(-8.881784197e-16 3114),(-3.5527136788e-15 3299),(-2.6645352591e-15 3468),(-0.118003951444 3584),
Point1,H1,(14.9542247496 118),(12.6825046115 314),(13.2484648709 504),(10.1775691027 692),(11.6120650734 858),(12.3042708102 1029),(10.9500781934 1208),(11.2402228354 1381),(12.5338012157 1543),(12.2392662634 1718),(12.8534817949 1901),(12.9929070198 2106),(12.1039381072 2293),(13.1548456126 2469),(13.1320921649 2651),(11.5644331769 2820),(14.3435918352 2982),(14.6664599167 3143),(11.5169524084 3315),(12.6854259571 3491),
Point1,H2,,(1.80326068071 391),(6.54477156242 546),(8.39764544575 720),,,,,,(9.33601554076 1747),(5.55231490519 2003),,,,,,,,(3.17088747808 3396),,
Point1,H3,,(2.40383581608 405),(6.69074052108 555),(9.20534111163 735),,,,,,(9.43882983736 1757),(5.63553312403 2013),,,,,,,,(3.20990463046 3402),,
Point1,H4,(1.05765636994 254),(-4.4408920985e-15 447),(0.867553427602 622),(3.62450077709 801),,,,(0.723029888081 1473),(2.84331443303 1651),(1.41689642649 1840),(3.33049771956 2051),,(2.50285110237 2370),,(3.34867589626 2724),,,(3.44169904495 3249),(1.88432238404 3427),,
Point1,H5,(2.16048870256 270),(1.20718974181 463),(1.59892934488 637),(3.80875575454 810),,,,(1.13730923344 1493),(2.87125945979 1657),(2.15000706065 1853),(3.39958912342 2057),,(2.97622581857 2386),,(3.70514499074 2735),,,(3.80815041358 3260),(1.92179719456 3432),,
Point1,H6,(1.24344978758e-14 82),(-8.881784197e-16 285),(-4.4408920985e-15 447),(-6.2172489379e-15 654),(-0.00109618660976 831),(-7.1054273576e-15 996),(1.7763568394e-15 1169),(-0.00419500299425 1334),(5.3290705182e-15 1513),(-4.4408920985e-15 1679),(-5.3290705182e-15 1869),(-6.2172489379e-15 2078),(-2.6645352591e-15 2255),(6.2172489379e-15 2434),(-0.00140058361122 2621),(-0.00327855470321 2790),(-2.6645352591e-15 2945),(-3.5527136788e-15 3103),(0.0 3281),(6.2172489379e-15 3456),
Point2,H1,(15.9016296069 117),(13.9929283726 313),(14.095308671 502),(11.5373382989 686),(13.5080310967 857),(14.3759569292 1029),(13.0805161847 1205),(12.9206618548 1379),(14.3872420898 1542),(14.2209793745 1713),(14.8443103043 1898),(14.2319717006 2103),(13.0500351211 2291),(14.0191700087 2467),(14.0431699006 2650),(11.8320483136 2819),(15.2835034351 2980),(15.2230426727 3141),(12.9475459905 3313),(13.8285007996 3491),
Point2,H2,,(2.24123716401 391),,(8.05960714832 717),,,,(6.18208263165 1412),,(9.76875424878 1747),,,,,,,,,,,
Point2,H3,,(2.52744599627 403),,(8.95541135774 732),,,,(6.23391500828 1418),,(9.84044086825 1755),,,,,,,,,,,
Point2,H4,(1.05208450732 253),(0.435259000405 447),(-0.291498268148 621),(3.47718722757 798),(3.41163148916 935),(3.95166659085 1102),,(0.870677115307 1472),,(1.18590009596 1839),,(1.38483705119 2229),,,(3.06496264449 2724),,(3.1545989418 3059),(3.42157380803 3247),(1.95963698663 3424),,
