Cycle,0.875826155462
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(5.22135912232 86),(6.23092030102 273),(6.43233926804 464),(6.13026699316 662),(8.63502950025 857),(8.2728184448 1007),(9.24094393396 1206),(6.46369536838 1450),(6.01711601984 1657),(7.57880395591 1851),(4.73989511638 2045),(4.49186922777 2242),(4.94885211074 2461),(6.06162152873 2639),(4.73923352785 2871),(5.81709904907 3054),(5.6622328492 3244),
Point0,H2,(4.83198868807 101),(1.19852154555 354),(0.876289649148 563),,,(7.0273066983 1033),(7.88936873307 1221),,,,,,,,,,
Point0,H3,(4.96080031883 112),(1.42581102075 364),(0.878627824032 566),,,(7.33512020528 1050),(8.32206068702 1233),,,,,,,,,,
Point0,H4,(0.0 190),(3.5527136788e-15 383),(3.99680288865e-15 587),(-0.00354785288674 779),,(1.19511909585 1154),(-0.00359955782393 1375),(4.88498130835e-15 1575),(3.5527136788e-15 1773),(3.99680288865e-15 1970),,,(1.33226762955e-15 2560),,,,
Point0,H5,(4.73430742472 221),(5.09005663472 416),(4.54213286754 613),(7.92297031481 809),,(1.37954619876 1164),(5.90185016355 1410),(5.0933721385 1606),(6.66283941551 1799),(3.95759585243 2000),,,(5.51166964866 2602),,,,
Point0,H6,(0.0 190),(3.5527136788e-15 383),(3.99680288865e-15 587),(-0.00354785288674 779),(7.9936057773e-15 973),(1.7763568394e-15 1179),(-0.00359955782393 1375),(4.88498130835e-15 1575),(3.5527136788e-15 1773),(3.99680288865e-15 1970),(7.1054273576e-15 2163),(4.4408920985e-15 2365),(1.33226762955e-15 2560),(8.881784197e-16 2767),(-3.10862446895e-15 2960),(-4.4408920985e-16 3156),
Point1,H1,(7.80508840513 108),(9.19230469536 297),(9.42062493359 417),(10.2369023071 492),(8.64673773018 696),(8.88060823762 889),(7.02824046407 1048),(7.84608777155 1288),(7.81922340027 1484),(8.58047151564 1678),(8.37409244012 1880),(9.53743162237 2029),(3.33406252273 2162),(4.55502231572 2281),(10.0157974238 2469),(8.67901804163 2604),(8.78632489841 2676),(8.26314366835 2874),(9.32158831625 3066),(8.44830951924 3212),(8.29683358496 3270),(7.91590600455 3411),
Point1,H2,(-0.0350318243573 153),,(8.58382749651 434),(-7.1054273576e-15 541),,,(5.89146524205 1070),,,,,(8.5814216084 2050),(2.32610536286 2183),(-0.635397371601 2309),,,(-0.00225197230356 2713),,
Point1,H3,(5.69493028084 198),,(8.72941457671 445),(6.43956935781 578),,,(6.91025803627 1087),,,,,(8.90231146447 2063),(2.46812570431 2195),(6.54820970111 2359),,,(5.84750675495 2757),,
Point1,H4,(5.49579508882 207),(-4.4408920985e-15 349),,(5.30351441731 594),(-8.881784197e-15 746),,(-2.6645352591e-15 1132),(-5.3290705182e-15 1337),(-5.3290705182e-15 1529),,,(8.62565628843 2076),,(6.17530725398 2372),,(8.08173734883 2626),(5.56362286339 2769),,
Point1,H5,(8.12447668402 256),(7.73963462745 389),,(6.67296550105 636),(8.38812316399 859),,(6.81053630571 1233),(7.25415924992 1421),(8.38080607202 1623),,,(8.93130673942 2087),,(10.003447123 2451),,(8.54686238579 2659),(6.7880245658 2812),,
Point1,H6,(-0.0350318243573 153),(-4.4408920985e-15 349),(-7.1054273576e-15 541),(-8.881784197e-15 746),(-9.7699626167e-15 936),(-2.6645352591e-15 1132),(-5.3290705182e-15 1337),(-5.3290705182e-15 1529),(-3.5527136788e-15 1738),(-0.00440236300548 1929),(-0.496613885217 2136),(-0.00134189132006 2227),(-0.635397371601 2309),(-0.00509667585667 2521),(-0.00225197230356 2713),(-0.00127716416404 2921),(7.1054273576e-15 3110),(-0.00149371231927 3318),
Point2,H1,(6.12902322069 93),(7.90253965001 286),(10.1757850337 478),(7.50946150024 682),(10.1417383532 874),(9.13672118454 1071),(9.55666819072 1276),(8.82475832174 1469),(9.15278771887 1666),(9.82377832539 1869),(7.79665946989 2066),(4.33736005652 2188),(5.53578282564 2263),(7.94596749394 2459),(7.87294016821 2659),(6.91986600597 2860),(8.2522335256 3053),(6.46518422204 3254),(4.16753465203 3337),
Point2,H2,(0.133444578956 123),(-0.00369666687199 324),(-0.00377666528449 523),,,,(0.170560857053 1305),(-1.33226762955e-15 1515),,(1.7763568394e-15 1918),,,(7.54951656745e-15 2295),(-0.00533258718881 2508),,,(-3.5527136788e-15 3100),,
Point2,H3,(0.201994983735 130),(4.59055883259 371),(2.81709375362 561),,,,(0.44425092477 1314),(2.83293060076 1553),,(3.52147214711 1967),,,(0.4051097194 2307),(6.88372534258 2598),,,(5.73183176298 3167),,
Point2,H4,(-0.0084117067999 142),(3.94505865093 383),(1.80076403482 579),,,(4.88498130835e-15 1111),(6.2172489379e-15 1326),(2.53835324826 1566),,(3.463441054 1976),(3.5527136788e-15 2104),,(0.169435021682 2318),(6.82147546071 2607),,(-0.00425162252947 2914),(5.53235324647 3181),,
Point2,H5,(1.1456324823 166),(5.93194628026 403),(4.96578760911 636),,,(5.38977488001 1218),(6.30396994961 1413),(6.46670305218 1617),,(5.21884036098 2005),(4.33557726591 2147),,(1.71166498133 2339),(7.04187379926 2621),,(4.69067998672 2960),(6.03910828827 3198),,
