Cycle,0.784736842105
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(11.2502716524 55),(10.9283399884 215),(8.16330630734 374),(7.80185889009 536),(8.44070898361 712),(8.15513102543 889),(6.17092146795 1060),(8.03744015429 1223),(10.5103264052 1393),(10.1193920031 1563),(8.34491078315 1727),(8.06681470345 1880),(9.94437865062 2060),(9.73821796994 2219),(10.0249689883 2375),(9.80798206952 2536),(9.51074308592 2697),(8.60087116847 2864),(8.39430815397 3024),(8.16688445816 3197),
Point0,H2,,,,(5.59666221956 559),(6.87442157506 729),,,(4.5547291936 1251),,(9.34847961425 1577),(4.49356033927 1764),,,,,,(5.52125358369 2725),,,
Point0,H3,,,,(5.6038722916 562),(7.06030246744 738),,,(5.06871320368 1273),,(9.42026442703 1584),(4.59506714597 1773),,,,,,(6.01596100297 2741),,,
Point0,H4,,(7.45206287378 249),(2.00605614615 462),(2.26629049997 631),(2.79668293361 783),,(3.13356661227 1091),(-0.231888189142 1332),,(0.724548033015 1664),(0.62686458967 1832),(0.769115620848 1987),(0.910417521767 2143),,,,(2.37355526953 2802),,,
Point0,H5,,(7.46297469002 254),(2.14946084852 472),(2.35505929349 640),(3.39939725496 800),,(3.67730673086 1117),(0.726114085426 1346),,(1.16949679825 1678),(0.65469879037 1838),(1.13702074191 2000),(1.04964990274 2154),,,,(2.71598851496 2814),,,
Point0,H6,(-0.00167874888873 140),(-2.6645352591e-15 337),(-4.4408920985e-16 504),(-8.881784197e-16 683),(8.881784197e-16 853),(-0.00399194200594 1023),(-0.00181475865905 1166),(-0.231888189142 1332),(4.4408920985e-15 1531),(3.5527136788e-15 1695),(-4.88498130835e-15 1852),(-7.9936057773e-15 2016),(1.7763568394e-15 2186),(2.6645352591e-15 2337),(8.881784197e-16 2501),(-8.881784197e-16 2661),(-8.881784197e-16 2833),(1.7763568394e-15 2991),(-0.00423723969474 3162),
