Cycle,0.805838541667
Average Width,4.2354707941
Width,,4.38578090111,4.17305610402,4.3752136807,4.87567225162,4.17208960688,3.97841050545,4.22847988736,4.19982941348,4.21991974925,4.43592315763,4.16440936316,4.26026267111,4.82008084722,4.11651153726,4.52989120416,4.3877333563,3.87261789981,4.16130837893,4.4472646016,3.91798169597,4.02697205046,4.46927623187,4.10041397618,4.24952377307,4.3492123003,3.93904914559,3.78081101724,4.44211190288,4.02189515225,3.89581776502,4.30207448928
Point0,H1,(9.25252636588 34),(5.86846282334 190),(8.75388545234 342),(9.92562359718 531),(4.86170527376 679),(7.44247254792 851),(6.61835924547 911),(6.83678966289 1027),(8.06759473409 1186),(9.78194069809 1368),(8.73016416637 1538),(9.58565176961 1701),(11.006020694 1891),(8.85318342875 2064),(12.3341700922 2226),(9.89336467451 2401),(7.48296231444 2550),(10.7476388887 2698),(10.3214048444 2866),(6.67305194531 3030),(9.12837357692 3183),(11.0972622101 3370),(8.9188276444 3562),(10.7499328143 3728),(9.53274678607 3909),(8.22118599237 4070),(4.32435371635 4148),(9.91066276124 4244),(9.27096687834 4423),(6.90576614176 4585),(9.42215004197 4753),(9.11474543196 4937),(7.08027384359 5100),
Point0,H2,(7.14576475086 53),(1.72493143736 216),,(5.16603539618 579),(2.86498053091 706),(4.91471859867 870),,,,,,,,(3.36057130405 2089),(5.12056764639 2276),(2.90974443892 2445),(4.29440840732 2584),(5.95837646971 2735),(5.94580189994 2887),(4.13502317454 3060),,,(4.96084757032 3597),,,,(2.9553144407 4176),,,(2.27954806829 4618),,
Point0,H3,(7.28486086425 61),(2.42502347268 247),,(5.2298851676 585),(4.21424874351 732),(5.21095677541 879),,,,,,,,(4.64805895353 2124),(5.15161885613 2281),(3.66312037472 2460),(5.39118613793 2603),(6.59965992901 2754),(6.24097187023 2897),(5.31935362855 3081),,,(6.52331731084 3618),,,,(3.0003457452 4183),,,(2.91274615877 4638),,
Point0,H4,(5.20017842637 84),(1.11973741929 282),(3.21227463728 419),(0.675770567982 618),(0.556621580234 768),,,(2.22633747575 1066),(4.18459262405 1214),(3.41639011321 1464),,,(1.3743534745 1997),(1.08318527886 2153),(1.03852843086 2321),(0.732818441151 2486),(1.86663431702 2639),(0.365889196368 2821),(0.554328340128 2962),(0.909208857686 3118),(5.02750644641 3232),(5.00135674051 3401),(2.89213404597 3663),,(4.21024895235 3948),(3.64792042362 4103),,,(0.973267530544 4526),(1.7763568394e-15 4675),,
Point0,H5,(5.3256249366 92),(1.82260051303 299),(3.23784403247 425),(1.82190929497 636),(3.33512499439 794),,,(4.81712519314 1088),(6.37744886838 1246),(3.68893895731 1478),,,(2.21549129116 2012),(1.57681898011 2173),(1.91899014982 2338),(1.06110627852 2501),(2.05575316362 2649),(0.450826174687 2828),(1.04193596221 2975),(1.88538015255 3133),(5.49290157991 3245),(6.30069449979 3429),(3.07718873937 3672),,(5.20284630775 3967),(3.92545296682 4119),,,(1.08705025308 4536),(0.602294107853 4690),,
Point0,H6,(-8.881784197e-16 154),(5.3290705182e-15 315),(8.881784197e-15 484),(1.24344978758e-14 654),(0.556621580234 768),(1.33226762955e-14 824),(-0.00514717275502 1000),(-0.0672606312508 1141),(0.0 1335),(0.0 1512),(-0.149964939532 1647),(-0.00759287284197 1841),(-4.88498130835e-15 2033),(8.881784197e-16 2199),(-0.00251977019002 2371),(-6.2172489379e-15 2521),(-3.5527136788e-15 2667),(-0.00855119281582 2839),(3.10862446895e-15 2994),(2.22044604925e-15 3150),(6.2172489379e-15 3337),(0.0 3530),(-6.2172489379e-15 3694),(-2.6645352591e-15 3883),(8.881784197e-16 4041),(4.4408920985e-15 4214),(3.5527136788e-15 4395),(-0.000991811971223 4555),(1.7763568394e-15 4675),(3.5527136788e-15 4906),(-0.0057081281354 5064),
Point1,H1,(20.19314227 36),(15.9220559053 189),(20.9284929725 347),(20.3290218302 530),(15.8114870158 681),(22.6024905571 854),(19.3484460134 1031),(18.2523423841 1189),(23.4245293828 1368),(19.3915948125 1543),(21.7992195989 1705),(23.4578133784 1894),(18.4838518145 2068),(23.1164663746 2230),(22.4572707891 2404),(18.5988399821 2552),(21.0177313949 2700),(23.0490182352 2870),(19.0260119023 3033),(20.5808654245 3187),(23.9837608305 3371),(20.7409411237 3563),(21.7096256417 3731),(22.8387182758 3913),(17.4256918366 4076),(22.2929571946 4246),(21.4140367636 4426),(17.4530885527 4585),(22.6261183513 4757),(20.7217015929 4939),(18.1248293463 5101),
Point1,H2,(10.6803507261 63),(6.88752339546 223),,,(7.34775682077 718),,(7.5264984617 1074),,,(8.45445419607 1583),(11.9116879789 1745),,,(9.86846976231 2277),(8.77716822854 2433),(6.09883201243 2587),(9.46093170711 2734),(11.8865111723 2895),(8.49013023567 3067),,(12.3402112661 3407),(8.20775159569 3600),,(10.3755725212 3951),(5.88973989349 4108),,(10.186674343 4459),,,,
Point1,H3,(10.9365686432 73),(8.16243755529 241),,,(9.7875935821 737),,(8.4822662763 1088),,,(10.5214069265 1601),(13.1343116859 1759),,,(10.3370121051 2288),(9.55133819195 2456),(9.90723595611 2608),(9.98653212599 2746),(11.9633141958 2900),(10.5462404826 3086),,(13.2983018127 3422),(11.0520855455 3619),,(11.7019169578 3968),(9.41137315849 4128),,(11.3599829613 4476),,,,
Point1,H4,(2.52506535607 132),(2.03757032437 290),(11.2820713015 386),(1.51411107348 631),(2.79379321898 779),,(2.15593004791 1126),,(12.591215908 1412),(2.548072337 1651),(0.943864427316 1848),,(6.89120731911 2096),(2.96089824291 2336),(2.35735249831 2500),(0.918296360739 2643),(3.31880440692 2796),(1.72525132257 2983),(1.84296828878 3123),,(4.09611244709 3508),(2.29057259792 3663),,(2.71379253928 4018),(0.924425556283 4198),,(2.53939846022 4533),(7.15913749625 4618),,,
