Cycle,0.768221906117
Average Width,5.09545286599
Width,,6.59742889681,6.93833240674,0,9.05111800993,7.12330368943,6.58174790439,0.0,4.5789809314,0,5.68916289318,0.0,0.0,4.04449255924,4.34567511924,4.57442167392,6.14189946161,4.35266736764,5.04224642904,4.41627203783,5.10164443955,5.42951399943,4.27957264929,4.29366834085,5.59719466164,4.709455042,4.58585820959,4.58747158884,4.48859421189,5.53802815822,4.05413204707,4.1228265485,4.72303253646,4.51294686276,4.34526671795,4.58351992402,4.88055461361,4.69206992465,4.14684472097
Point0,H1,(8.08294415024 59),(3.53549855707 211),(5.54682853521 386),(5.81577764317 517),(7.74107083169 719),(9.96488727569 860),(8.47289182812 1158),(4.77468790418 1335),(7.07446377939 1489),(3.32630002225 1624),(14.4721596522 1773),(18.2336692996 1929),(15.6591224335 2082),(13.1918584519 2231),(12.8359959 2391),(15.4015188009 2540),(13.7505267585 2694),(15.4212556325 2851),(14.811726722 3001),(15.4744789866 3161),(15.9910205539 3318),(14.2934363148 3476),(13.2679629585 3625),(14.9985569855 3782),(15.7795240739 3940),(15.1378324346 4093),(14.3139142722 4248),(15.6396776632 4412),(18.4824172525 4578),(16.0161595904 4738),(14.7288876401 4892),(15.735183936 5051),(15.6148111605 5214),(14.6017063312 5373),(15.2597081293 5527),(16.5765609329 5686),(16.6874958341 5843),(14.952311568 6000),
Point0,H2,,,(2.24425748083 437),,(-0.02792076326 751),,(2.15588305659 1222),(3.33066907388e-15 1365),(5.19241286673 1509),(-0.01009880422 1665),(5.85872991046 1816),(7.91649210126 1970),,(5.40791286738 2277),(7.16275638436 2433),,(10.0880845357 2714),,,,(5.77456235125 3365),,(4.56387489 3669),,,,(4.68388800892 4309),(6.47389400672 4455),,(7.81444700211 4771),(6.82069283126 4930),(7.4130122175 5096),(7.73480867051 5259),(7.07661443725 5411),,,,,
Point0,H3,,,(2.39110208081 447),,(4.1664782578 774),,(2.53567908685 1236),(1.97717547436 1388),(5.54847203194 1521),(2.27002846191 1693),(6.23451425604 1827),(8.48769119736 1983),,(5.6737445768 2287),(7.26307360705 2442),,(10.1083207808 2717),,,,(5.98611741953 3374),,(5.39698573356 3682),,,,(4.68445233195 4311),(7.33294956544 4467),,(8.15057429274 4784),(7.35467596452 4944),(7.62500035061 5106),(7.86409032036 5268),(7.25074431922 5422),,,,,
Point0,H4,,,(1.41313203399 465),,(2.72806384965 790),,(-0.0256030973652 1275),(1.2820911345 1409),,(1.21194208424 1713),,(4.25754597198 2018),,(1.2105749106 2320),(2.36150569848 2484),(0.304698136267 2648),(5.60732840824 2741),(2.68526263455 2950),(2.08991686626 3106),(7.13600580459 3205),,(0.784785288933 3571),(2.10341979957 3713),,(2.06970754956 4035),(2.34584216506 4181),(2.2816728531 4350),(0.998894572209 4514),(2.59720518454 4673),(2.53183066578 4836),(0.959284043514 4996),,(2.21138690241 5311),(0.484941231719 5474),(5.00669430863 5573),,(2.38926531912 5939),,
Point0,H5,,,(2.30906076823 479),,(9.7909754658 826),,(4.13523032491 1303),(1.56022987765 1422),,(2.00422080566 1727),,(4.40851150026 2026),,(2.48667840037 2335),(2.38050256023 2489),(0.430616911133 2655),(6.37605688325 2753),(2.71119138473 2955),(2.20226091611 3115),(7.7125759054 3219),,(1.10447419439 3582),(2.12394288675 3718),,(2.24512938349 4044),(2.3845996858 4187),(2.31390150654 4356),(1.7984844374 4527),(3.35917262634 4685),(2.54440514165 4840),(1.41997993247 5007),,(3.14294805344 5325),(1.45730511138 5488),(5.87344496723 5592),,(2.60419892533 5948),,
Point0,H6,(-0.00425707599562 171),(-0.0185999223116 328),(-0.0199272117805 496),(-0.977304902152 624),(-0.02792076326 751),(-0.0295263464265 972),(-0.00128004863428 1027),(-0.00237106654863 1121),(-0.0256030973652 1275),(3.33066907388e-15 1365),(-0.0274629635712 1440),(-0.0849387168019 1587),(-0.01009880422 1665),(-0.0323913308785 1742),(-1.15463194561e-14 1897),(-1.42108547152e-14 2048),(-0.00602933015192 2198),(-3.5527136788e-15 2352),(-3.5527136788e-15 2509),(-7.1054273576e-15 2666),(7.9936057773e-15 2815),(1.06581410364e-14 2973),(7.9936057773e-15 3133),(5.3290705182e-15 3289),(-0.00148014888575 3440),(8.881784197e-16 3596),(4.4408920985e-15 3744),(2.48689957516e-14 3901),(1.15463194561e-14 4061),(1.95399252334e-14 4216),(1.68753899743e-14 4380),(5.3290705182e-15 4542),(7.9936057773e-15 4704),(1.24344978758e-14 4861),(-2.6645352591e-15 5020),(-1.33226762955e-14 5182),(-1.50990331349e-14 5343),(-0.000865120924745 5501),(-0.00583518429665 5648),(-9.7699626167e-15 5807),(-0.00835621533596 5967),
Point1,H1,(15.8014511712 32),(14.9052100482 186),(15.0417445416 345),(15.0409198455 496),(16.3902056108 658),(16.1646152964 813),(12.8506387321 972),(16.439749119 1132),(14.4803884692 1289),(14.5176008139 1440),(16.1637771598 1596),(10.8403811156 1750),(16.9668813943 1902),(17.1723448773 2058),(18.3160140624 2204),(19.0492339011 2362),(18.657064684 2512),(18.9074213059 2670),(18.6272349896 2826),(18.7146760755 2977),(18.1253354817 3134),(18.0879109229 3293),(17.5984732314 3451),(17.2476047699 3600),(18.1068022979 3756),(17.9568561154 3912),(16.3701414431 4066),(18.6049880866 4222),(17.0557774888 4384),(16.988730293 4552),(16.6903617675 4712),(17.1304695528 4866),(17.1806227826 5025),(16.3480219548 5186),(16.3334649288 5346),(16.8585262 5501),(17.2266113499 5659),(16.9738781417 5817),(15.8673282155 5972),
Point1,H2,,,,,,,(3.7272629073 1013),(7.05239573027 1181),(6.02501414018 1337),,,,(6.36871001832 1949),(7.73879698721 2093),,,,(8.06114273198 2716),,,(6.78847499531 3181),(5.61360669454 3339),(7.23310673837 3484),(6.51823541249 3643),,,,(6.29228004227 4270),(6.10862705597 4429),,(7.67230705341 4746),(8.0176278534 4907),,(7.46974808414 5228),,,(6.43713097324 5705),,
Point1,H3,,,,,,,(5.6539423327 1030),(7.06111774418 1185),(6.57338944327 1351),,,,(6.45237832148 1955),(7.7619774725 2098),,,,(8.08050043486 2720),,,(7.33014578703 3191),(6.1537344986 3350),(7.78534467131 3498),(6.95688244096 3653),,,,(6.34999323739 4276),(6.57867181096 4440),,(7.84495314535 4757),(8.28535255911 4918),,(8.13202265675 5242),,,(6.77919543753 5716),,
Point1,H4,(6.11221398683 77),,(1.31782418535 439),(0.879784906425 598),(-5.3290705182e-15 729),,(1.81199767807 1053),(1.83027884014 1222),(1.51334609279 1385),,(9.21092152479 1637),(3.70076150639 1788),(2.07357589042 1989),,(7.80647654879 2250),(2.54791273273 2455),(7.99005530142 2557),(2.38068158198 2758),(2.22731537929 2921),,(-1.50990331349e-14 3240),(0.524345894399 3384),(0.911299038795 3545),(2.57128028043 3683),,,,(1.00491956291 4335),(1.44067801284 4488),(2.22982928806 4647),(2.10364041909 4811),(2.53127447652 4971),(8.17980210742 5068),(2.9715359658 5287),(6.96341052209 5386),(1.67670552599 5595),(1.96489177475 5751),,
