Cycle,0.750535714286
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(8.25565321931 85),(5.56287359294 228),(2.72532081484 387),(6.37227339529 549),(5.52008341424 696),(6.22227006805 861),(6.01757207792 1022),(6.96754714025 1176),(6.98500784809 1334),(7.70495311415 1493),(6.87551175668 1663),(6.2637523901 1805),(6.81652872981 1961),(6.06453866036 2125),(7.54127273537 2283),(6.99106517773 2430),(6.03106630505 2584),(7.28033693375 2749),(5.25861782917 2910),(6.12747286781 3051),(6.32634658583 3218),(6.24836262737 3351),(6.87514819645 3517),(6.86444490737 3662),(7.61057770326 3816),(7.31542999427 3961),(5.6166607577 4125),(6.39094428331 4270),(6.73834482657 4431),
Point0,H2,,(3.1615343084 294),,(4.86948205123 576),,,,,,,,(6.16750831546 1814),,,,(3.95567791827 2462),,,(3.10805270314 2935),(0.374868153917 3138),,(5.0770023793 3365),,,(4.73556640006 3845),(6.50951127395 3975),(4.02114494264 4152),,
Point0,H3,,(3.17045711693 299),,(4.88376293962 582),,,,,,,,(6.25337446931 1823),,,,(4.49744997172 2478),,,(3.39928455633 2948),(1.37298173004 3153),,(5.6833229403 3377),,,(4.82639594937 3854),(6.88610338629 3987),(4.11148379911 4163),,
Point0,H4,,(6.88338275268e-15 337),,,(3.12923640569 731),,,(0.404080184545 1266),,(0.0 1590),,,,(3.78625399581 2166),,,(3.03319928089 2627),(-4.4408920985e-16 2859),,(-3.99680288865e-15 3168),,(2.61508208077 3401),,(0.59418260567 3752),(0.512796097172 3891),,,,
Point0,H5,,(2.09573091258 360),,,(3.48220690342 753),,,(0.557757351721 1278),,(0.891068451125 1606),,,,(3.96004659503 2176),,,(3.52285077256 2642),(5.14684568351 2893),,(6.15600816232 3194),,(2.81662413104 3411),,(0.692466731029 3760),(0.542099457572 3898),,,,
Point0,H6,(-0.0141896549325 177),(6.88338275268e-15 337),(2.22044604925e-15 495),(3.99680288865e-15 657),(7.9936057773e-15 809),(8.881784197e-15 967),(-4.4408920985e-16 1132),(5.3290705182e-15 1294),(1.33226762955e-15 1454),(0.0 1590),(-3.5527136788e-15 1765),(-6.66133814775e-15 1921),(1.33226762955e-15 2081),(-9.53493068203e-05 2214),(2.6645352591e-15 2394),(-1.33226762955e-15 2544),(-0.00359865272688 2700),(-4.4408920985e-16 2859),(3.10862446895e-15 3006),(-3.99680288865e-15 3168),(-0.000621439508524 3308),(1.7763568394e-15 3467),(-9.7699626167e-15 3627),(-6.2172489379e-15 3776),(-7.1054273576e-15 3929),(-7.1054273576e-15 4081),(-0.00124172189257 4230),(-0.00648705678809 4381),
