Cycle,0.599463276836
Average Width,40.3865048532
Width,,0.0,0,60.3113899725,20.461619734,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(28.045636113 34),(28.713996902 164),(26.8591343185 288),(27.779834123 403),(26.5356435403 522),(27.5563535299 643),(27.8812720572 766),(28.8718961356 884),(28.4425361608 1010),(29.2946559123 1138),(27.2092800088 1266),(26.1927930771 1388),(29.3991430531 1508),(29.4015088598 1635),(28.8050311763 1764),(29.0256733337 1901),(25.8721559687 2034),(27.1250732007 2162),(26.9503813306 2285),(28.3067617385 2403),(29.4474383484 2529),(28.3681176963 2655),(25.9484730146 2778),(27.9075300575 2896),(28.2618717805 3020),(27.2799000776 3142),(27.6837148864 3267),(26.2405877582 3393),(24.8434345627 3516),(26.4269344895 3636),(26.8504552019 3762),(27.6969921097 3888),(27.271791219 4013),(29.2589476746 4134),(24.8605628568 4257),(25.3694252388 4382),(24.1925890122 4499),(24.1692083795 4624),(24.4744266525 4743),(24.182298767 4862),(25.14746204 4975),(27.405810648 5089),(27.0193199374 5203),(23.0392675812 5322),(22.3209133674 5440),(24.897301744 5559),(24.5981568613 5685),(28.1033309777 5813),(24.306293592 5946),(21.7818572586 6077),(24.7196250163 6208),(25.205083843 6337),(23.6428314404 6459),(25.7801406949 6588),(27.4899946627 6712),(26.0407883993 6841),(20.7293563501 6966),(21.0243019507 7086),(24.2273609975 7202),(25.928607064 7314),
Point0,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(10.9690004321 5851),,,,,,,,(6.35310172567 6871),,,,,
Point0,H3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(11.8029900794 5864),,,,,,,,(11.5286871796 6892),,,,,
Point0,H4,(7.10470424567 65),(8.4820759798 195),(6.68789417169 317),(6.35604422983 436),(5.99066191348 553),(4.44911382305 674),(7.08041654748 793),(7.50302555056 916),(8.17823657205 1039),(7.29645877069 1167),(6.75173123116 1294),(6.14016208346 1417),(9.00349367123 1541),(9.03794882431 1666),(10.1540357079 1800),(10.0041968769 1930),(6.90510555883 2063),(6.80076284859 2191),(7.0580155788 2313),(7.44862506418 2435),(7.6422206472 2558),(7.11688260216 2686),(7.01160679539 2805),(9.33020848027 2924),(8.43422379227 3050),(7.42978800981 3178),(6.51143154243 3299),(7.00266467564 3423),(6.62116284366 3543),(7.75260044514 3669),(6.1423936017 3791),(6.57795178936 3917),(7.5058660481 4044),(6.1818330003 4168),(5.39147282441 4284),(6.93027322566 4405),(5.14829452413 4529),(7.36157231508 4652),(5.1904492616 4774),(4.70323304649 4888),(5.40852126663 5001),(7.32779217751 5120),(7.83621861949 5233),(7.10996262666 5353),(5.83871763737 5468),(9.32179332269 5597),(8.89305042128 5718),(4.6542493663 5890),(8.68064067393 5977),(5.18616730618 6105),(7.82061680437 6237),(7.92047313198 6365),(6.1458363486 6490),(6.31352048006 6618),(8.00849718113 6743),(5.95802309981 6916),(-6.2172489379e-15 6999),(4.24268520923 7115),(5.06534908657 7231),,
Point0,H5,(10.3693378602 83),(10.5183350448 211),(10.8551790797 338),(10.0617608099 456),(9.04118116778 573),(8.96181003573 693),(10.2788306261 814),(10.7833695262 937),(11.6032353154 1061),(11.2079947294 1187),(12.0928025123 1315),(11.9527152525 1438),(11.6507523048 1560),(11.0454206748 1684),(11.943595337 1816),(14.0702979311 1948),(9.32333872728 2086),(11.8138617816 2211),(10.5696263095 2334),(9.5488014228 2455),(11.2360845932 2577),(10.6244244722 2704),(10.3847184015 2822),(11.0712930111 2941),(13.0661478719 3070),(9.98262780352 3196),(8.98601434443 3320),(11.0623074908 3441),(10.5955179197 3564),(10.1930316819 3689),(9.68447474083 3813),(10.2046955196 3936),(11.3932745355 4064),(8.22744449569 4186),(8.28447715022 4305),(11.2296996724 4421),(8.06900370561 4548),(11.2073325242 4674),(10.9389806673 4797),(9.5505492064 4913),(8.17084879623 5027),(9.81212203458 5137),(11.615773383 5252),(10.2907883347 5373),(9.44022854039 5488),(10.1871385959 5610),(10.9752614581 5736),(5.02873442367 5898),(11.5886906731 5995),(9.41006386829 6125),(10.0998708563 6255),(10.5789291117 6383),(10.6414232443 6510),(11.3838841181 6639),(12.2431791464 6764),(6.05376080736 6921),(5.19650787261 7026),(7.00281435434 7136),(9.04517081168 7252),,
Point0,H6,(-3.5527136788e-15 131),(3.5527136788e-15 255),(5.3290705182e-15 376),(1.7763568394e-14 491),(-1.7763568394e-15 613),(-1.95399252334e-14 732),(-0.00375320936255 856),(1.42108547152e-14 979),(-8.881784197e-15 1106),(-1.42108547152e-14 1238),(-3.01980662698e-14 1356),(-0.00187983641303 1481),(-0.000445733031123 1603),(-5.3290705182e-15 1736),(7.1054273576e-15 1867),(-8.881784197e-15 2004),(-0.00419860689587 2132),(2.13162820728e-14 2253),(4.4408920985e-14 2376),(1.42108547152e-14 2495),(3.5527136788e-15 2622),(-3.5527136788e-15 2747),(5.3290705182e-15 2862),(8.881784197e-15 2988),(-0.0159498708701 3115),(3.5527136788e-15 3240),(1.59872115546e-14 3361),(1.59872115546e-14 3483),(1.7763568394e-15 3608),(-2.84217094304e-14 3732),(-5.3290705182e-15 3851),(-8.881784197e-15 3980),(1.7763568394e-15 4105),(-0.00885042368894 4227),(-1.59872115546e-14 4350),(-1.06581410364e-14 4470),(-1.95399252334e-14 4589),(-7.1054273576e-15 4715),(-1.95399252334e-14 4829),(-1.42108547152e-14 4942),(-2.13162820728e-14 5058),(-2.84217094304e-14 5177),(-2.48689957516e-14 5291),(-2.84217094304e-14 5406),(-8.881784197e-15 5531),(1.59872115546e-14 5658),(-1.7763568394e-15 5784),(-8.881784197e-15 5916),(-1.42108547152e-14 6045),(-1.06581410364e-14 6172),(-1.7763568394e-15 6308),(1.95399252334e-14 6428),(1.95399252334e-14 6556),(-1.7763568394e-15 6680),(1.7763568394e-14 6812),(7.1054273576e-15 6940),(-6.2172489379e-15 6999),(-0.00459878016623 7052),(-4.4408920985e-15 7174),(-1.06581410364e-14 7286),
Point1,H1,(22.6913124103 37),(22.9593210033 166),(21.8095621252 291),(22.107294858 406),(20.6154579552 525),(21.7267292593 646),(21.1168323474 769),(23.2473164386 887),(22.0674280551 1013),(21.1907297458 1141),(18.8192773289 1269),(17.6668917287 1390),(19.7640186792 1511),(19.9767356245 1638),(19.0771354086 1767),(19.9668541291 1904),(16.4523182507 2037),(18.019785122 2165),(18.2481836394 2288),(19.3424169432 2406),(19.6242526078 2532),(19.4248732608 2659),(17.1241737685 2781),(18.8368634172 2899),(18.8272325769 3023),(18.2216789463 3145),(18.1288006952 3269),(16.724193077 3397),(16.0023672144 3519),(16.1090104829 3639),(17.691630027 3765),(18.5474219109 3891),(18.2339716276 4017),(19.55012952 4138),(16.3511517229 4260),(16.2088202721 4385),(15.0842747505 4502),(15.9877128851 4626),(15.5092790438 4747),(16.1203355779 4865),(15.257896106 4977),(16.670503588 5093),(15.6639716416 5206),(12.5852241879 5326),(10.6777739964 5442),(13.2442064689 5564),(12.6239128677 5691),(16.2442851736 5816),(14.4118107572 5950),(11.901071974 6081),(14.9846510054 6212),(15.8447182422 6341),(13.8791475172 6462),(16.792415959 6591),(17.6981208661 6715),(16.9441664122 6844),(14.1996948898 6970),(13.9717459196 7090),(16.0693732953 7205),(15.5716188366 7318),
Point1,H2,(6.861821414 67),(7.38463115874 199),(6.23699766896 320),,,(4.35508329945 676),(6.10182192127 797),(6.57482748273 918),(7.03890243966 1042),(5.2495532666 1170),(4.35728135532 1297),(4.58525302076 1420),(6.35960012386 1542),(6.38228887473 1669),(8.11534049584 1803),(7.42015434874 1933),,(5.66821716124 2194),(5.3907722448 2317),(5.98508938209 2437),(5.76951207739 2561),(5.21203493038 2690),(4.35111548981 2808),(6.6020682132 2929),(5.3823975951 3054),,,(4.92593294695 3426),(4.62941605373 3547),,(4.39460288549 3794),(4.85067093119 3921),(5.6752251883 4047),,(4.70950645776 4287),(4.86738133627 4408),(3.51681574858 4532),,,(3.99057274501 4891),,(4.63917576153 5126),(4.85544377982 5236),(4.88463711037 5356),(3.05104750512 5470),(5.45241419285 5605),(5.36732535632 5724),(7.9173324749 5856),(6.54370829741 5981),(3.10416190735 6109),(5.84249681734 6240),(5.10820248966 6371),,(5.15403894396 6621),,(4.39023641984 6876),,(3.24966454032 7121),,
Point1,H3,(8.72673879073 86),(8.70026548934 215),(9.26092794214 341),,,(8.25117091875 696),(8.87780021842 819),(9.56136698862 938),(9.92454729751 1062),(8.59539087781 1189),(8.51852735481 1317),(7.82227747818 1441),(8.52342489125 1562),(8.06600253975 1687),(8.73661858181 1817),(10.7102893771 1952),,(8.42536519644 2214),(8.22689627543 2338),(7.47054293965 2457),(7.74991548729 2578),(6.9410612804 2707),(7.15594527175 2827),(7.90351238948 2944),(9.05413912822 3074),,,(7.62923599441 3444),(7.21177013742 3568),,(6.8441349866 3815),(7.35756869338 3939),(7.64612989588 4068),,(6.10389860937 4305),(7.32433927817 4424),(5.68188812791 4552),,,(7.16238000628 4916),,(5.68938284087 5140),(7.20012255658 5254),(6.42598700444 5375),(4.85691772732 5491),(5.53625196136 5613),(6.74394503207 5742),(8.3339173479 5867),(7.32976846332 5996),(5.92402270823 6129),(7.36658297699 6258),(6.93624329442 6388),,(8.38574692531 6642),,(7.48989707979 6896),,(5.07046858746 7140),,
Point1,H4,,,,(5.79552588012 438),(5.6411794526 556),,,,,,,,,,,,(4.81068517 2066),,,,,,,(3.72706062818 2969),,(5.39469844975 3180),(4.40335232035 3300),,,(5.01781630284 3675),,,,(4.38209847391 4174),,,,(5.58433025662 4655),(3.24133890568 4776),,(3.22447270041 5005),,,,,,,(3.44365415072 5893),,,,,(3.98902706747 6492),,(5.48781517297 6746),(3.6006653345 6918),(1.11850552954 7003),,,
