Cycle,0.621435185185
Average Width,8.08120818758
Width,,0,8.36643356889,6.91369421632,7.55758184394,6.79956187633,9.55267779615,7.72294269592,7.20447111392,7.14769289058,7.49552216811,9.21388146377,7.97224519621,7.66808182002,7.69110930013,7.75700702711,7.9680300196,9.89766261149,7.82119309256,7.64034342886,8.96910619685,0,8.61648063779,9.17123933777,0,8.51762912571,7.44974619091,8.83466288293,0
Point1,H6,(-0.00250626412179 126),(1.7763568394e-14 251),(8.881784197e-16 359),(-3.5527136788e-15 510),(1.15463194561e-14 639),(4.4408920985e-15 766),(1.86517468137e-14 893),(1.24344978758e-14 1006),(1.24344978758e-14 1133),(1.42108547152e-14 1262),(1.42108547152e-14 1391),(1.06581410364e-14 1531),(1.59872115546e-14 1663),(3.5527136788e-15 1804),(9.7699626167e-15 1926),(0.0 2045),(3.5527136788e-15 2158),(7.1054273576e-15 2270),(0.0 2382),(-1.7763568394e-15 2510),(7.1054273576e-15 2655),(8.881784197e-15 2795),(1.15463194561e-14 2924),(6.2172489379e-15 3053),(8.881784197e-15 3197),(0.0 3340),(-0.00241908791253 3478),
Point2,H1,(17.4282916181 32),(16.3647695984 151),(16.7201773897 277),(19.6083003238 405),(18.4536095666 535),(17.1029190296 673),(16.2520811842 799),(17.4245646094 918),(18.0275712577 1043),(18.6871872094 1169),(17.8651149732 1294),(17.6349714003 1426),(20.286639678 1558),(17.083121154 1697),(18.4978708646 1830),(16.0432677929 1955),(18.6205448164 2071),(17.2686312098 2186),(18.2223774051 2296),(18.8246030482 2410),(18.6803378007 2539),(17.5292494559 2686),(17.0260606775 2821),(17.0657009632 2950),(16.8118603108 3085),(19.9076486997 3222),(18.8249559635 3365),(14.8587745186 3507),
Point2,H2,,,(4.53737820173 299),(8.20948388493 427),,(2.36832365814 697),(5.14619929111 826),,,(8.68567922522 1194),,(7.8669094155 1454),(9.38185688516 1580),(7.22264317285 1723),,(3.39464244006 1977),,,,(7.15266226775 2448),(9.16938781298 2573),(7.03489843609 2714),(5.0691607529 2845),(5.35281613022 2975),(6.56564390154 3115),(8.38923302184 3245),,
Point2,H3,,,(6.52533796501 315),(9.56540044957 439),,(6.42042729789 715),(7.74533667935 845),,,(11.0209559596 1210),,(8.26044791673 1463),(9.82034043685 1589),(8.92075496272 1738),,(8.02623016993 2000),,,,(7.47010237264 2459),(9.74000795564 2585),(8.64644726912 2729),(7.29858011906 2862),(8.24198885588 2996),(7.88216370786 3129),(9.59212591905 3268),,
Point2,H4,(7.99943883133 55),(3.25143508459 179),(1.33226762955e-14 359),(0.913969080034 481),(2.69392934936 611),(1.27432694191 744),(1.11590288061 871),(5.07517695963 943),(5.71000275923 1067),(1.85800882349 1243),(8.8468441313 1326),(0.590629233172 1507),(1.22950599211 1635),(1.9396572443 1775),(6.47769153298 1855),(2.45910553687 2027),(6.91777590106 2099),(7.59817001748 2220),(9.13394274177 2327),(3.05208284043 2485),(2.56856938763 2626),(0.930960300121 2769),(-0.210748283819 2899),(2.44949938938 3025),(1.11044083605 3170),(2.94916868094 3313),,
Point2,H5,(12.3009135296 75),(7.28282257742 200),(0.304014142038 369),(2.9634229308 496),(2.79438400984 617),(1.36004833156 751),(1.73246158567 881),(8.13415524911 964),(8.63478074202 1084),(1.88603685797 1247),(9.83874273175 1339),(1.43742108711 1519),(1.99413507701 1647),(2.56897811718 1788),(7.63244894628 1870),(2.50281109381 2030),(9.12955115144 2118),(8.42351785134 2232),(9.6495696534 2340),(3.37512373823 2494),(3.37010312823 2638),(1.81303732802 2783),(1.33162497239 2913),(2.75944200797 3035),(2.59784060685 3184),(3.45608195302 3325),,
Point2,H6,(7.1054273576e-15 126),(2.84217094304e-14 252),(1.33226762955e-14 359),(1.68753899743e-14 510),(1.7763568394e-15 640),(8.881784197e-16 766),(1.42108547152e-14 893),(3.37507799486e-14 1003),(1.59872115546e-14 1134),(5.3290705182e-15 1263),(0.0 1391),(5.3290705182e-15 1532),(-3.5527136788e-15 1664),(5.3290705182e-15 1804),(1.06581410364e-14 1927),(8.881784197e-15 2046),(0.0 2159),(-3.5527136788e-15 2270),(-7.1054273576e-15 2383),(2.6645352591e-15 2511),(4.4408920985e-15 2656),(5.3290705182e-15 2796),(-0.210748283819 2899),(7.1054273576e-15 3054),(0.0 3198),(-0.00209178793081 3342),(9.7699626167e-15 3479),
Point3,H1,(15.0580180268 32),(13.0873791327 151),(13.5313783226 276),(16.7449589574 404),(15.0251261629 533),(15.273002946 671),(13.7881175251 798),(13.8523703041 917),(14.4793138407 1043),(14.9542319877 1168),(15.1225191975 1295),(15.578326833 1425),(16.5714216471 1557),(14.4154836866 1696),(15.3328453684 1829),(13.1119963986 1955),(15.8151538952 2070),(13.4468872886 2187),(13.2900208228 2296),(14.8582883987 2410),(15.0722970912 2539),(14.2295683764 2686),(13.550348171 2820),(13.7626228825 2949),(12.6598908133 3084),(15.2818231216 3221),(14.9088070163 3364),(11.4554713572 3506),
Point3,H2,,,,(7.50680727962 426),,(1.06664464338 698),(3.66236963689 824),,,(7.30281319574 1193),,(5.53309866082 1454),(7.21811613643 1580),(6.88935083767 1724),,,,,,,(7.38093254228 2572),(5.55284746546 2713),(4.07177252498 2843),(5.62008270649 2973),(5.28825364463 3115),(6.47262095451 3245),,,
Point3,H3,,,,(8.33920473416 436),,(3.75446737473 716),(6.27689402668 843),,,(8.87118072786 1208),,(5.96951105495 1464),(7.4184404962 1587),(7.46477003011 1735),,,,,,,(8.08963341817 2585),(6.70800587336 2727),(5.95303021117 2860),(6.73862681875 2992),(6.42501952164 3130),(7.87485689181 3268),,,
Point3,H4,(6.74419970316 54),(2.02016623239 178),(3.93541942346 299),(8.881784197e-15 482),,(1.38507161081 742),(1.44785770449 870),(4.60076477983 943),(5.44691173014 1067),(0.503029904954 1240),(6.82509080214 1325),(6.2172489379e-15 1504),(1.72903920372 1633),(2.05310397222 1779),(5.50284248535 1855),(3.47294976463 1977),(6.32384997575 2099),(4.95794554415 2217),(7.13824058029 2326),(5.84787941792 2443),(2.63546706468 2623),(1.03905235412 2769),(0.593046475592 2897),(1.41967474206 3026),(1.33754736376 3169),(1.22388531083 3314),(5.22370985478 3387),,
Point3,H5,(10.4298373643 74),(5.89982433731 200),(5.06188608608 314),(1.38374454414 496),,(1.40068424772 747),(1.82010294562 879),(6.32096129349 962),(7.04485256278 1084),(0.808127673101 1249),(7.68515311067 1339),(1.146719361 1519),(2.53292464972 1645),(2.25085749641 1788),(5.96175740212 1866),(7.17195059475 2000),(7.43382522714 2114),(6.22456787439 2231),(7.60997801005 2339),(6.35630559013 2457),(2.94573223972 2633),(1.63846968948 2781),(1.60122334012 2911),(2.12240311729 3038),(2.37039526687 3182),(2.17514950815 3327),(6.61000641577 3403),,
Point3,H6,(-0.00281955665498 126),(-7.1054273576e-15 251),(-9.7699626167e-15 360),(-0.123162529608 508),(2.6645352591e-15 640),(1.06664464338 698),(-0.00135461571607 765),(3.5527136788e-15 893),(7.1054273576e-15 1002),(0.0 1134),(2.6645352591e-15 1261),(1.06581410364e-14 1391),(6.2172489379e-15 1504),(5.3290705182e-15 1664),(2.6645352591e-15 1804),(-0.00109456932789 1925),(0.0 2045),(1.50990331349e-14 2159),(-1.7763568394e-15 2269),(-4.4408920985e-15 2382),(-7.9936057773e-15 2509),(5.3290705182e-15 2654),(2.6645352591e-15 2795),(-3.5527136788e-15 2924),(8.881784197e-16 3054),(-8.881784197e-16 3197),(0.0 3341),(-0.00576699352969 3478),
