Cycle,0.66075
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(3.71450759355 50),(9.97874929488 169),(7.88698822533 320),(8.69536818242 452),(9.84727971433 597),(9.15661683244 734),(10.1359554084 881),(10.6717541028 1021),(9.45191091611 1165),(8.03526459207 1299),(8.40185893327 1439),(7.68061385991 1583),(6.78337882962 1713),(6.82237597474 1857),(7.05642607948 1989),(7.13902620374 2127),(6.87617626032 2266),(5.65063357105 2400),(6.34622537693 2540),(5.04629330174 2675),(4.68073088511 2812),
Point0,H2,(1.8839280533 74),,,,,,,,,(0.698944266226 1354),,,(2.74750277583 1755),,,,,,(1.85745445681 2584),,
Point0,H3,(2.25428427307 85),,,,,,,,,(1.1920122562 1371),,,(3.25934153278 1767),,,,,,(2.41653593062 2598),,
Point0,H4,(-0.101880848712 107),(7.91101592041 186),(1.19821769677 395),(4.35598821409 488),(3.09116340471 658),(1.5058287131 809),(1.00144171886 952),,,(0.747924454628 1390),(2.85637488275 1486),,(1.49099662695 1788),(1.77769712574 1914),(1.64127446178 2051),(3.21587014721 2174),,,(0.653587921148 2619),,
Point0,H5,(0.412365529735 120),(9.55085115284 202),(1.29760278079 403),(5.96246577656 503),(3.2925940455 670),(1.59988013704 818),(1.3809940862 965),,,(0.748718921381 1393),(2.93959496849 1493),,(1.65410811467 1797),(2.25775078828 1929),(1.89572948292 2065),(3.29337549515 2181),,,(1.06629110938 2630),,
Point0,H6,(-0.101880848712 107),(-1.06581410364e-14 280),(-4.4408920985e-16 420),(-0.00407373362237 558),(-6.66133814775e-15 705),(-3.5527136788e-15 842),(0.0 984),(8.881784197e-16 1125),(-8.881784197e-16 1266),(1.7763568394e-15 1409),(5.3290705182e-15 1546),(4.4408920985e-16 1684),(-4.4408920985e-15 1819),(4.4408920985e-16 1954),(0.0 2096),(-3.10862446895e-15 2229),(-0.00299517170716 2367),(-4.4408920985e-16 2494),(-4.4408920985e-15 2646),(-0.00181121068621 2779),
