Cycle,0.756703846154
Average Width,0
Width,,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0
Point0,H1,(10.9815898061 32),(6.5429129629 119),(11.2313795508 263),(12.0424950689 349),(12.2847849576 408),(6.07298134188 611),(7.15653143571 757),(11.4971714446 909),(9.86422812161 1045),(7.38868392253 1204),(9.12508923388 1409),(6.58022736813 1560),(8.69931055617 1671),(8.86714681809 1884),(13.3327380799 2049),(12.3415420757 2212),(11.7343239148 2370),(7.8798865817 2529),(9.51498766466 2687),(12.2904477444 2857),(7.67426697632 2971),(10.5444628767 3176),(10.3841808834 3332),(11.939962994 3493),(14.5122014475 3665),(12.861682333 3830),(10.4109931971 3992),
Point0,H2,,,,,,,,(2.84217094304e-14 946),(7.16128380797 1064),,,,(6.62852212234 1694),,,,,,(-0.0173953773939 2718),(0.563303336972 2896),,,,,,(-0.00406414362873 3870),,
Point0,H3,,,,,,,,(8.67155123532 988),(9.07089387579 1080),,,,(7.09474826738 1709),,,,,,(1.88064827165 2740),(1.06156621214 2908),,,,,,(6.45416717335 3929),,
Point0,H4,,,,,,(4.88498130835e-15 640),(-0.0080780389146 787),(8.02012831948 1001),,,(9.7699626167e-15 1449),,(-1.7763568394e-15 1756),(7.9936057773e-15 1924),,(1.7763568394e-15 2251),(-0.0416837100195 2402),(-0.13120191102 2556),(1.86854011746 2744),(0.51296937043 2924),,(-0.00342368226195 3210),,(-2.6645352591e-15 3525),(-0.0025801214827 3704),(5.45395564029 3944),,
Point0,H5,,,,,,(2.87266780739 676),(8.18814810147 863),(9.58779203176 1019),,,(4.29851396162 1492),,(6.38304556805 1818),(6.04520679122 1962),,(6.61494120219 2284),(2.86219413611 2432),(6.89692060389 2626),(6.31172292134 2786),(0.639269233976 2932),,(8.3485067538 3286),,(11.3483355461 3609),(3.89851241293 3741),(7.07204180339 3963),,
Point0,H6,(-0.39871405499 4),(-1.50066157162 144),(1.7763568394e-15 303),(-0.00527552952174 477),(4.88498130835e-15 640),(0.169541007922 696),(-0.0080780389146 787),(2.84217094304e-14 946),(-0.00933385069517 1121),(-0.00447038491227 1275),(9.7699626167e-15 1449),(0.0 1596),(-1.7763568394e-15 1756),(7.9936057773e-15 1924),(7.9936057773e-15 2087),(1.7763568394e-15 2251),(-0.0416837100195 2402),(-0.0620068500361 2483),(-0.13120191102 2556),(6.01221244287 2651),(-0.0173953773939 2718),(-3.5527136788e-15 2945),(-0.0651909609357 3051),(-0.00342368226195 3210),(0.0 3362),(-2.6645352591e-15 3525),(-0.0025801214827 3704),(-0.00406414362873 3870),(-7.9936057773e-15 4028),
Point1,H1,(11.5589412017 31),(10.3756805029 221),(9.40056522459 362),(10.773935745 524),(9.35764517918 669),(8.26695322766 827),(13.0862421088 1003),(11.1469364499 1168),(10.5655635834 1325),(9.41501621085 1481),(9.84422570765 1634),(9.88842170835 1805),(7.48050075869 1965),(8.11292486599 2127),(7.91479147469 2290),(9.03410742146 2444),(8.02509056062 2605),(9.84041626333 2778),(10.7802912607 2940),(8.22940948569 3096),(9.20746243633 3249),(7.88184953949 3405),(7.90153459854 3582),(10.1982968578 3761),(10.5306004068 3922),(8.41196617915 4064),
Point1,H2,(0.793968490772 135),,(5.85486412897 409),,(7.0843613968 687),(5.91616853245 843),,,(8.39167392507 1342),,(5.06163063082 1676),(8.19302136671 1821),,,,(7.31825549241 2459),(6.69552193683 2621),(7.0662341296 2799),(8.22994445169 2960),,(8.65479389849 3262),,(7.01609317004 3595),,,
Point1,H3,(1.21327443105 148),,(6.19330678743 422),,(7.26564093467 695),(7.89337911917 861),,,(8.53261977002 1350),,(5.59286468877 1689),(8.62350259647 1833),,,,(8.12152250014 2473),(7.31290274742 2634),(7.40950626458 2810),(8.44304283119 2969),,(8.7681511095 3272),,(7.55500459079 3607),,,
Point1,H4,(3.5527136788e-15 164),(2.88913850686 297),,,,,,,(2.35767192604 1415),(1.59587503954 1572),,(0.898197286039 1914),,(1.3227002535 2222),(0.690017889916 2368),,(6.50825424505 2651),(4.6532177725 2840),(7.90097520133 2986),(0.236965736499 3195),,,(0.852286494708 3688),(1.06943746411 3841),,
Point1,H5,(6.76806446371 191),(3.05990290501 306),,,,,,,(2.93994482452 1428),(2.18899874566 1587),,(0.982711767804 1923),,(1.38356809568 2230),(1.01649519405 2383),,(6.69523558173 2661),(5.24082050958 2855),(7.91088659306 2990),(0.553616512456 3206),,,(0.949695073615 3698),(1.42256019605 3855),,
Point1,H6,(3.5527136788e-15 164),(2.6645352591e-15 327),(-5.3290705182e-15 486),(-6.2172489379e-15 642),(-0.00197336449292 800),(-4.4408920985e-15 962),(-1.42108547152e-14 1130),(-2.6645352591e-15 1298),(2.6645352591e-15 1446),(8.881784197e-16 1605),(-0.00159541463298 1771),(-3.10862446895e-15 1939),(-5.3290705182e-15 2101),(-0.00561761605553 2255),(-0.00171351910003 2409),(8.881784197e-16 2572),(-2.6645352591e-15 2720),(-0.00123712283521 2896),(1.7763568394e-15 3061),(1.7763568394e-15 3218),(0.0 3379),(-2.22044604925e-15 3555),(8.881784197e-16 3715),(-2.6645352591e-15 3877),(0.0 4036),
