Cycle,0.71224137931
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(8.30264415283 127),(7.26085797792 270),(9.3303811919 406),(7.25005021083 557),(6.09129405963 709),(6.40366951728 842),(7.2401174125 984),(7.65633341326 1143),(6.78094036179 1290),(7.13993074791 1445),(7.33528413725 1605),(8.04344470551 1767),(7.0818880935 1926),(7.91309021063 2077),(5.24617573821 2200),(8.89159028743 2378),(5.85449287332 2524),(6.26480427657 2672),(6.24706713265 2810),(8.16267338591 2947),(6.65011391803 3112),(6.24141816321 3255),(6.58702331369 3398),(4.78391856673 3559),(6.27623890821 3710),(6.8864462244 3862),(7.73779864258 4014),(6.21280506728 4146),(7.68435789896 4278),(5.32874735916 4401),
Point0,H2,(-0.00966452380023 158),,,(-0.00286182369192 592),,,(-9.7699626167e-15 1021),(-1.7763568394e-15 1171),,(-8.881784197e-16 1474),,,(-0.00411761573415 1951),(-0.0126219758177 2112),(3.86193077523 2220),,,(9.32587340685e-15 2703),,,,,(-0.0029159831042 3443),(-6.43929354283e-15 3587),(-0.00700453295522 3745),,,(-4.18693993627e-05 4189),,,
Point0,H3,(3.64938880144 180),,,(1.6394601437 609),,,(3.98816729447 1058),(4.76315313667 1216),,(4.13028501838 1521),,,(5.99741673533 2004),(1.6405427971 2131),(4.95287883603 2236),,,(1.77840817071 2721),,,,,(2.94205896809 3479),(0.762861399604 3607),(3.31501115619 3791),,,(3.6103355351 4216),,,
Point0,H4,(3.46274476903 187),,,(1.35532651038 619),(-2.6645352591e-15 736),,(3.84324465901 1068),(4.39121286094 1233),(-0.00164296103465 1323),(3.76471561432 1536),(-3.5527136788e-15 1635),(-0.00422731846518 1808),(5.92992134464 2019),(1.57183598115 2137),(-0.0103614003225 2266),(5.3290705182e-15 2415),,(0.781124510797 2740),,(-0.00258336231417 2992),(-4.4408920985e-16 3141),(3.99680288865e-15 3284),(2.92899470214 3483),(0.593563724632 3619),(3.04556130817 3802),,(0.0 4047),(3.60611592995 4219),,,
Point0,H5,(5.02999766169 207),,,(3.09898706019 640),(3.64637730796 779),,(6.4701249929 1116),(5.96080436723 1260),(4.06128883874 1369),(6.67993342694 1578),(6.41513351999 1704),(3.19891333069 1852),(6.2964664759 2045),(3.47138398337 2163),(3.06253847253 2294),(5.31510944139 2497),,(0.797559446459 2745),,(4.11085871535 3040),(3.77255338614 3187),(3.91179881895 3325),(4.48098718855 3529),(3.36327033497 3645),(6.67283203303 3841),,(4.47857244601 4096),(4.10513035019 4238),,,
Point0,H6,(-0.0663596215875 2),(-0.00966452380023 158),(-4.4408920985e-15 303),(-8.881784197e-16 447),(-0.00286182369192 592),(-2.6645352591e-15 736),(-1.11022302463e-14 880),(-9.7699626167e-15 1021),(-1.7763568394e-15 1171),(-0.00164296103465 1323),(-8.881784197e-16 1474),(-3.5527136788e-15 1635),(-0.00422731846518 1808),(-0.00411761573415 1951),(-0.0126219758177 2112),(-0.0103614003225 2266),(5.3290705182e-15 2415),(4.4408920985e-15 2562),(9.32587340685e-15 2703),(-0.019835848987 2764),(-0.0239157990846 2841),(-0.00258336231417 2992),(-4.4408920985e-16 3141),(3.99680288865e-15 3284),(-0.0029159831042 3443),(-6.43929354283e-15 3587),(-0.00700453295522 3745),(-0.00151631190884 3901),(0.0 4047),(-4.18693993627e-05 4189),(-7.1054273576e-15 4335),(-0.105738387081 4500),
