Cycle,0.683281733746
Average Width,4.006084261
Width,,4.00986865517,3.98386666948,3.9169703625,3.94136507225,4.12866249537,4.13801362213,3.97685307212,3.8984693684,4.18341906319,3.97460162529,4.01637236242,4.03738317929,4.04651591842,3.97048422729,4.00284439528,4.08457238972,3.94316959142,3.8560846283
Point0,H1,(16.7994826378 30),(13.1564525675 172),(15.0757005261 318),(15.1008315574 466),(14.9192184052 619),(14.696728049 763),(16.3395595902 910),(13.9259546071 1065),(14.5201512851 1207),(15.8001775687 1345),(16.9694317159 1495),(14.8883345367 1643),(13.4818937921 1783),(16.3716696759 1921),(16.2951992896 2058),(15.7154610955 2192),(13.7772288989 2330),(15.2414227651 2467),(14.7799430797 2617),(13.3226257234 2779),
Point0,H2,,,(5.5159874678 363),,,(5.85355152199 808),,,(5.54754872314 1240),,,,(5.72929271384 1810),,,,(5.25678662785 2356),(5.73534862903 2509),,
Point0,H3,,,(5.88672850079 373),,,(6.12192490128 818),,,(5.61203599122 1246),,,,(6.65779226614 1825),,,,(6.0678009336 2382),(5.83734256442 2516),,
Point0,H4,(8.1476003006 67),(5.42570092111 205),(1.7875360921 408),,(4.38959454214 668),(1.71366958278 859),,(2.2496016509 1146),(1.12053092999 1289),(2.0648351974 1433),(8.543004429 1524),(5.6360215097 1681),(1.91098886202 1864),(6.72411538923 1960),,(5.92686998842 2231),(2.54066035382 2411),(2.03900224939 2551),,
Point0,H5,(8.64772534814 79),(6.33790167141 225),(2.27182917988 419),,(4.53781550524 675),(1.78829742519 866),,(2.44551137012 1154),(1.77277506017 1301),(2.32236573183 1442),(9.22721751265 1539),(5.7731820918 1692),(2.24957585603 1875),(7.21363591685 1971),,(7.74871776989 2248),(2.64713326342 2418),(2.28014179145 2561),,
Point0,H6,(7.1054273576e-15 141),(9.7699626167e-15 289),(5.3290705182e-15 436),(-0.00260026726168 588),(-0.0012712777671 730),(8.881784197e-15 882),(3.5527136788e-15 1030),(5.3290705182e-15 1173),(0.0 1315),(-8.881784197e-16 1461),(-5.3290705182e-15 1608),(4.4408920985e-15 1748),(7.1054273576e-15 1891),(-4.4408920985e-15 2022),(-4.4408920985e-15 2162),(0.0 2297),(0.0 2436),(-8.881784197e-16 2582),(-0.00626950881843 2742),
Point1,H1,(33.2397105571 29),(28.6088418264 171),(33.6572350967 317),(32.0476788366 467),(29.8441167788 619),(29.5503086331 763),(34.1428998329 910),(30.878938765 1064),(29.0608399209 1207),(32.4250494158 1345),(33.0644700951 1495),(30.9124838559 1642),(28.5805970702 1782),(31.9521503485 1921),(31.9719794206 2058),(30.901080146 2192),(29.2798006419 2330),(32.615093032 2466),(34.1075392239 2618),(31.806009001 2779),
Point1,H2,,,(13.7713708807 362),,,(12.5439027441 804),(14.4961289486 954),,(11.9190981801 1237),(15.0136391243 1387),,,(12.0001582552 1813),,,,(10.1583885306 2357),(13.6081351272 2506),,
Point1,H3,,,(14.217905956 371),,,(13.0150034766 815),(15.0954625875 964),,(13.2621157932 1251),(15.09478144 1392),,,(14.1772376088 1829),,,,(12.11831683 2378),(14.2796999947 2517),,
Point1,H4,(14.8798085603 73),(11.5122485548 208),(5.16398745829 408),(15.5810887234 509),(10.0538591507 668),(2.89857932553 857),(4.97000565475 1004),(4.2897649534 1147),(4.54989652254 1290),(5.22230574221 1434),,,(3.76433568288 1865),(12.4942854278 1960),(5.39871456974 2140),(11.3327532967 2231),(4.39710023256 2409),(4.65210530517 2554),,
Point1,H5,(15.2491626556 81),(12.5180246759 223),(5.60377456492 417),(15.6784578614 516),(10.0765798451 671),(3.31221278954 867),(4.98741575118 1007),(4.32484692237 1151),(4.87073217145 1298),(5.31358243475 1440),,,(4.26401311057 1875),(14.3912342743 1974),(5.44906976156 2144),(13.5192020034 2245),(5.16258620981 2419),(4.69264142011 2558),,
