Cycle,0.813663165266
Average Width,9.35482474471
Width,,10.3115103115,9.21456073242,8.29481193347,10.4990738338,10.1433983291,9.09073195299,8.05264509825,8.41971453092,8.73873655991,10.7159674539,10.9849805192,9.51113126234,8.64357737575,10.0742574872,8.96741860238,9.4121060535,10.0488325174,11.6398091008,11.7741694587,10.0743866972,9.47476520584,11.9200995701,8.23931547171,6.0146919585,12.7746314761,6.89830421836,8.63035251413,7.28911757064,7.28489758142,10.3688297853,11.8849079805,7.3470637697,9.19443006844,8.07719686597,7.4084422176
Point0,H1,(5.66374548942 29),(8.5733187586 201),(6.46066343129 366),(5.87609556656 528),(7.23638817133 699),(7.02896430615 858),(7.79297919125 1041),(6.54698878592 1195),(4.29071699602 1353),(8.11442130568 1541),(6.55554106873 1694),(8.59641880011 1859),(6.37095604329 2031),(5.83805830975 2197),(7.74213115532 2360),(7.31631586604 2518),(5.67419883955 2691),(6.34490661091 2846),(6.29827910276 3010),(6.13852108571 3179),(6.57117958372 3344),(9.69257612973 3522),(9.96200789184 3700),(6.08158129141 3853),(7.32563500105 4050),(6.35872152661 4219),(7.36941600177 4392),(7.34432290216 4563),(8.07820603882 4738),(8.71695885064 4900),(6.99481618579 5074),(7.58340322363 5244),(8.5409030571 5409),(8.04831099687 5587),(7.94075154978 5760),
Point0,H2,(1.12889290078 71),(6.11280968726 230),(-0.0102752768397 427),(3.74615575902 584),(1.81224317172 763),,(5.80173073998 1064),(3.48720221173 1222),,(6.39410495561 1570),(3.28553784414 1716),(8.03035878331 1876),(4.66977547512 2055),,(4.08718605345 2390),,(-0.00190431236299 2740),,(2.07033393387 3047),,(4.2158549838 3399),(6.22487398784 3563),,(-0.0088027143858 3922),,(4.7950425464 4246),(4.80899890384 4421),,,(4.63102092278 4953),,,,(3.12660563489 5643),,
Point0,H3,(1.60236608489 86),(6.24313901422 238),(1.77532605672 453),(3.76650055405 592),(1.84081508663 770),,(6.09611840464 1077),(3.80462155795 1234),,(6.70159805898 1584),(5.23458890501 1733),(8.15545217792 1886),(4.98636374434 2068),,(4.40003378432 2402),,(2.21385903793 2783),,(3.17880784771 3070),,(4.36562618787 3413),(6.2340254277 3568),,(2.33870042823 3979),,(5.03153313371 4258),(5.37709960003 4435),,,(4.70340302665 4968),,,,(3.13632980443 5647),,
Point0,H4,(0.926548587063 110),(3.36006856153 270),(1.34891071071 465),(2.5198162986 624),(1.69367419351 783),(0.991298896288 944),(3.41823847065 1118),(2.40506484044 1255),(-0.00751088982823 1414),,(0.916770467481 1776),(3.64496596398 1956),(3.20055221349 2115),(1.42315019389 2274),(2.08261234127 2428),,(-4.4408920985e-15 2801),(5.77315972805e-15 2922),,,(2.81048234664 3441),(3.80665764685 3618),,(-0.0002898292353 4000),(2.96581983075 4123),(1.28451615937 4308),(1.95151740991 4482),,(2.65119707676 4816),(3.42945498621 4994),(3.22669281924 5146),,(2.19441507799 5508),(1.15357380357 5680),,
Point0,H5,(1.51430992627 137),(3.38238365247 276),(2.53640057563 481),(3.49776047002 639),(2.13081252055 798),(2.1187795196 971),(4.01312659464 1133),(2.90759411559 1271),(2.40069643143 1470),,(1.78192394252 1793),(3.966287108 1966),(3.23005478565 2121),(2.13811344847 2289),(2.67113088143 2447),,(6.29923996254 2829),(3.04198191841 2946),,,(3.88673317155 3456),(4.13070183455 3629),,(6.48483619465 4031),(3.01849269045 4131),(1.81990571361 4321),(2.75295427695 4496),,(2.84961794449 4827),(3.98233375219 5006),(3.32487285064 5156),,(2.41892337229 5518),(2.01649677329 5696),,
Point0,H6,(-0.145513057999 2),(-0.0338235514657 159),(-0.0208702459792 328),(-0.0102752768397 427),(-8.881784197e-16 499),(-0.00684733881758 660),(-9.7699626167e-15 821),(5.3290705182e-15 992),(8.43769498715e-15 1156),(-0.0159123306564 1322),(-0.00751088982823 1414),(-0.0197011010085 1490),(-6.2172489379e-15 1652),(2.6645352591e-15 1814),(2.6645352591e-15 1988),(1.7763568394e-15 2150),(-5.3290705182e-15 2310),(-6.2172489379e-15 2479),(-2.22044604925e-15 2642),(-0.00190431236299 2740),(-4.4408920985e-15 2801),(-0.0497094185481 2967),(2.07033393387 3047),(5.77315972805e-15 3136),(-0.00702412231902 3302),(1.24344978758e-14 3477),(-6.2172489379e-15 3651),(-0.00163771995397 3827),(-0.0088027143858 3922),(-0.0002898292353 4000),(3.99680288865e-15 4175),(1.33226762955e-14 4342),(1.15463194561e-14 4516),(-0.00666158292487 4688),(-1.7763568394e-15 4852),(5.3290705182e-15 5029),(-8.881784197e-16 5200),(-5.3290705182e-15 5365),(-8.881784197e-16 5539),(-3.10862446895e-15 5715),
Point1,H1,(10.2640778563 31),(11.9754394014 196),(10.0786192632 365),(9.55569609012 529),(10.6058280368 693),(10.3828952952 859),(10.2106709378 1023),(9.59908576712 1186),(7.46809458219 1355),(8.81144599645 1526),(9.62625440174 1684),(11.1666577393 1856),(8.90109389203 2019),(8.2366085363 2189),(11.1200326412 2354),(11.4091437803 2512),(12.0282019223 2671),(12.5272738615 2832),(12.5817476847 3004),(12.1553428968 3168),(12.8834224512 3339),(13.0224687894 3516),(12.2182619117 3682),(11.2371115258 3856),(10.7754339102 4032),(11.7755824858 4207),(11.9684543662 4384),(10.8688948082 4556),(13.131621847 4720),(12.7018055242 4894),(9.90980087805 5064),(11.9258141283 5233),(12.9815944945 5404),(11.7546957019 5577),(11.8259895332 5750),
Point1,H2,,,(1.33226762955e-15 435),(2.87977368197 586),,(0.94781764529 943),(5.10619042659 1071),(2.98853837198 1227),,,(4.02105060649 1720),,,,,(1.18466502119 2586),,,(2.77616373816 3055),(3.49785111928 3214),(4.31654075181 3404),,,(-0.00490250083591 3927),(4.80915135124 4077),,,,,(3.79975580347 4973),,(2.20582831618 5307),,,,
Point1,H3,,,(1.40554068059 461),(2.91359918649 593),,(1.06424611251 953),(5.13702462635 1077),(3.11509196822 1235),,,(5.69240990672 1738),,,,,(1.41858165683 2599),,,(3.00970714387 3068),(3.61278965252 3223),(4.38525105326 3413),,,(1.02643916493 3948),(4.89824682817 4085),,,,,(3.81449227288 4978),,(2.45445886855 5318),,,,
Point1,H4,,(2.26018732559 288),(1.28196689819 470),(1.57146312423 622),(1.13479423431 785),(0.91598174009 965),(1.93650340581 1124),(0.89976693141 1259),(-0.0060303701805 1421),,(0.984327320918 1779),(2.84358367074 1961),,(1.19717528497 2278),(1.25665394419 2432),(0.487686330736 2620),(0.749705335255 2750),(2.6645352591e-15 2924),,(1.55092888091 3265),(2.07435800277 3444),(2.63898941732 3622),,(0.979146582278 3958),(2.06336780128 4125),(1.26157960864 4312),(1.37822820262 4486),(1.92532944163 4637),(1.51925964814 4824),(2.58916659497 5000),,(1.93682244059 5334),(2.11336332106 5513),(0.828333720026 5685),,
Point1,H5,,(2.29337078865 297),(1.44218243768 481),(2.43299500012 641),(2.24618443588 804),(1.26094851761 978),(2.38059113832 1137),(1.45256601115 1275),(0.916958040021 1471),,(2.08504101409 1796),(2.88307445294 1967),,(2.05287226221 2293),(1.5337245295 2445),(0.514929246128 2626),(1.6183005579 2784),(3.50148250267 2950),,(2.91780383502 3283),(3.37570854047 3460),(2.96980860368 3633),,(1.5559581405 3981),(2.17650906931 4135),(1.7780878766 4325),(2.18661352784 4500),(2.11078241825 4648),(1.68364663076 4834),(2.72150789364 5008),,(2.3149034081 5346),(2.20210985865 5521),(1.25188872028 5699),,
Point1,H6,(-0.0885860881646 2),(-0.0193633101574 161),(-0.0153495982087 327),(1.33226762955e-15 435),(-0.00994907162046 498),(-0.000856029582678 661),(6.2172489379e-15 823),(-3.5527136788e-15 994),(-3.10862446895e-15 1156),(-0.0131348149164 1318),(-0.0060303701805 1421),(-0.0089887808324 1489),(7.1054273576e-15 1652),(2.6645352591e-15 1815),(-4.4408920985e-15 1989),(-1.37667655054e-14 2150),(-7.9936057773e-15 2310),(-3.99680288865e-15 2477),(-1.7763568394e-15 2639),(-0.00210819464698 2802),(2.6645352591e-15 2924),(7.9936057773e-15 3133),(4.4408920985e-15 3303),(-8.881784197e-16 3478),(0.0 3652),(6.2172489379e-15 3827),(-0.00490250083591 3927),(0.0 4001),(-0.00407745362664 4171),(-5.3290705182e-15 4342),(1.7763568394e-15 4517),(-2.6645352591e-15 4687),(8.881784197e-15 4853),(7.1054273576e-15 5029),(9.32587340685e-15 5195),(3.5527136788e-15 5365),(-4.4408920985e-15 5540),(1.33226762955e-14 5714),
Point2,H1,(15.0333849941 32),(14.5725501759 198),(14.0080599222 366),(13.3361665645 532),(12.8937866018 694),(12.7244892698 862),(13.3610658669 1029),(12.5567947906 1187),(9.22483148967 1355),(11.8817611068 1525),(13.3477889187 1685),(13.1021638706 1856),(11.218822751 2021),(10.3458112145 2186),(15.0502698628 2351),(18.0505096844 2513),(19.2109290656 2673),(19.7249487364 2835),(19.9318675586 3005),(20.7946350412 3169),(19.5033586242 3341),(20.707649087 3511),(16.3739839634 3686),(16.3537174474 3861),(15.2074040049 4036),(18.3744786613 4209),(18.1565262172 4382),(18.1111000624 4553),(21.5860375848 4722),(21.653138564 4894),(16.1146449813 5062),(19.294740824 5232),(19.0306076323 5405),(17.2427162847 5577),(18.6042526432 5749),(18.1938564492 5921),
Point2,H2,(0.853507362608 79),,,(1.2815297929 587),,(3.53518528764 900),(1.81291243579 1102),(1.41123712017 1250),,,(2.58677832631 1722),(3.68054316876 1933),(3.14621081652 2071),,,(2.98632191006 2559),,(0.500476779678 2909),,(1.6816563727 3246),(3.08073842232 3421),(4.51482974476 3573),,(-0.0264068201574 3928),(2.42522398046 4108),(2.83246485451 4284),(2.69899039707 4465),,,(3.01658969087 4973),,(1.63288048833 5312),(3.42465196361 5478),,,,
Point2,H3,(1.14887372932 91),,,(1.56342179417 601),,(3.56197324449 904),(2.26360811217 1118),(1.82541631121 1268),,,(6.38983386576 1742),(3.95537328048 1945),(3.70248579281 2089),,,(3.18068905946 2570),,(0.541430219013 2917),,(1.72443752101 3253),(3.52271931823 3433),(4.57048812347 3581),,(-0.00683597764592 3934),(2.53558051402 4117),(3.07031961325 4295),(2.73061119784 4471),,,(3.27449992055 4983),,(1.67506287363 5319),(3.74157554375 5494),,,,
Point2,H4,(-0.00514898128781 115),(1.82319020615 280),(3.99680288865e-15 430),(0.48730727352 628),(-0.00520778215572 765),(0.329948486387 953),(2.089331997 1128),(1.0914147536 1289),(-0.00186881787546 1416),(4.00578443638 1604),(-6.2172489379e-15 1786),(2.57981249674 1964),(2.85680823577 2109),,(-2.6645352591e-15 2433),(0.885472174951 2599),(-0.00187364296736 2751),(-0.0046894651084 2933),(2.05181035053 3057),(1.18760514644 3270),(2.49489889894 3449),(2.46777821657 3625),(4.76442733253 3775),(-0.135733760213 3947),(0.551833782486 4140),(1.49022627402 4316),(2.06621880175 4489),(2.62115039637 4612),(2.21349875286 4824),(1.24958853411 5003),(0.533722654243 5162),(1.29584537088 5335),(2.18634555614 5515),(0.868377773602 5689),(-0.00771939625074 5841),,
Point2,H5,(1.13802780921 149),(3.18584037603 309),(2.52859883028 482),(2.57873347479 648),(1.76170146421 807),(1.69280934133 980),(2.63979868842 1142),(1.80427402369 1304),(1.80778325336 1473),(4.00919764341 1609),(2.14964746177 1803),(2.86736679317 1974),(3.50705886561 2129),,(1.62784217012 2460),(1.48056919936 2617),(2.38047827437 2790),(2.83960834937 2954),(3.09517133153 3079),(2.54995342841 3287),(3.92650404207 3463),(2.76531113885 3636),(4.82656115995 3782),(1.47238564421 3988),(1.30158900663 4156),(1.72686188347 4327),(2.65697148276 4501),(2.8776153776 4626),(3.10236530008 4838),(2.16749491676 5016),(1.16053756522 5179),(2.25077331435 5351),(2.68283809488 5526),(1.60231228535 5703),(0.911883595583 5863),,
Point2,H6,(-0.0160305214198 1),(-0.00514898128781 115),(-3.5527136788e-15 331),(3.99680288865e-15 430),(1.28785870857e-14 502),(2.6645352591e-15 664),(-0.00520778215572 765),(7.1054273576e-15 824),(1.7763568394e-15 997),(1.33226762955e-14 1159),(4.88498130835e-15 1322),(-0.00186881787546 1416),(-1.33226762955e-14 1493),(1.06581410364e-14 1655),(-6.2172489379e-15 1786),(-8.881784197e-16 1992),(6.66133814775e-15 2153),(-8.881784197e-16 2313),(-2.6645352591e-15 2433),(-1.7763568394e-15 2639),(-0.00187364296736 2751),(-0.0046894651084 2933),(2.05181035053 3057),(4.4408920985e-15 3136),(1.06581410364e-14 3305),(3.5527136788e-15 3480),(5.3290705182e-15 3655),(-0.024091934636 3829),(-0.135733760213 3947),(7.1054273576e-15 4004),(6.2172489379e-15 4174),(3.5527136788e-15 4345),(6.2172489379e-15 4519),(-0.00747386760037 4688),(1.7763568394e-15 4857),(0.0 5031),(-0.00496199578461 5198),(9.7699626167e-15 5368),(-0.00347500361259 5544),(-3.5527136788e-15 5717),(-0.389688507023 5884),
Point3,H1,(16.9367065867 131),(16.1887905831 296),(14.5594192767 464),(14.4639694727 629),(14.8071217816 792),(12.3465301735 958),(13.2733783206 1126),(13.1413249739 1286),(8.69135754291 1453),(10.8807859966 1623),(14.7452885809 1783),(14.4740387211 1951),(11.5578633984 2118),(11.4668423108 2283),(17.6317689876 2448),(21.9379380194 2611),(24.2626024747 2772),(25.6754928964 2934),(23.8039520199 3103),(28.0033379932 3268),(24.0092159395 3438),(24.1160435849 3609),(19.896638169 3783),(19.5924890704 3959),(16.5332964254 4133),(21.8154195973 4308),(20.3958972367 4480),(20.8455798145 4651),(26.158142798 4821),(23.7021653385 4992),(18.8915802262 5161),(22.7041455991 5331),(20.8007816427 5502),(18.2965449918 5675),(21.4728135718 5847),(20.6975357786 6019),
Point3,H2,(-0.0024760948136 173),,,,(-0.0045383929264 862),(1.30461572053 996),,(-0.00811153786696 1350),,,(1.80954289407 1821),(6.95262160434 1987),(-0.00260115362469 2174),,,(2.04990595463 2656),,(-0.00589233180943 3000),,,(3.2939428988 3521),,,,(1.62178855704 4203),,(5.72255651065 4515),(1.7639094344 4713),(3.22308725796 4882),(2.31480990307 5072),(1.66709915054 5218),,(3.30668231492 5579),,,,
Point3,H3,(0.546545533967 192),,,,(0.927486972194 882),(1.62320930679 1006),,(1.01414453802 1373),,,(5.55318610787 1841),(7.01912652917 1995),(0.549516214365 2193),,,(2.16544244192 2666),,(0.343546885774 3018),,,(3.47072059763 3532),,,,(2.14323287821 4218),,(6.09661827175 4525),(1.87720176378 4727),(3.32938357191 4894),(2.55304597056 5084),(1.82449408222 5230),,(4.10572808397 5596),,,,
Point3,H4,(0.475216656293 205),(0.988274782709 377),(-0.0052727665444 528),,(0.832851122464 890),(-0.00231786611445 1028),(-0.0122342475095 1194),(0.358166930659 1388),(-4.88498130835e-15 1519),,(8.881784197e-15 1884),(2.70376582764 2064),(0.544941345202 2196),,(7.1054273576e-15 2532),(0.107250126612 2698),(-0.00118802870382 2850),(0.218574146843 3028),(-0.0366441501993 3157),(0.429188161224 3367),(2.98800593938 3545),,(5.19234005461 3873),(-0.0213304259168 4025),(0.592693687 4239),,(1.8901953122 4586),(1.79411556379 4739),(2.08285479883 4921),(1.62399701406 5100),(0.0583349116287 5257),(0.928020570636 5427),(2.54195606667 5614),(0.350922901961 5787),(-0.00171018439051 5940),,
Point3,H5,(2.20502411437 244),(2.81900296235 410),(2.73443278771 564),,(1.82655186358 907),(2.45969271578 1078),(2.3980597122 1240),(1.89153604306 1406),(1.82099645813 1574),,(3.3308166041 1903),(2.92785727698 2073),(2.86163511638 2228),,(2.19752818224 2561),(1.56314980455 2718),(3.87997483603 2890),(3.23845821292 3053),(1.96272543412 3201),(2.41473811983 3387),(4.87634863573 3561),,(5.33956391262 3881),(2.13920183032 4086),(1.25518018621 4254),,(3.10397082731 4601),(2.0011369065 4754),(3.03025986106 4937),(2.37764103907 5113),(1.53634999454 5278),(2.38794862022 5449),(3.13404368432 5625),(1.5391188181 5803),(1.75990607103 5966),,
