Cycle,0.731402387042
Average Width,5.70439321012
Width,,5.31669373052,5.67442597422,6.5778591174,5.40821654925,5.72520975581,6.09033173788,6.32675504955,5.9420413811,5.33008295596,5.27464822603,5.47642357492,5.60083750163,5.6974447311,5.62007196847,6.32867589716,5.77421382387,5.99381811546,5.11468107649,5.73230771931,5.02551399103,5.25622924967,5.62903848583,4.98285676175,4.64420092303,6.20215447783,5.79728721674,5.84055198965,5.7801533029,5.32507572177,6.71576623432,6.36227081524,5.71873489519,6.19329763526,5.54958955896,6.19095907205,4.68870135848,5.85004417466,5.49560826383,5.29380127543,5.11557716952,4.76374833332,5.40173844146,5.41248547242,5.66468820039,5.66875279577,4.99102412269,5.80163392264,6.78428054103,5.98207116482,6.18338788003,5.78592784326,6.11642818963,6.44917683545,6.53138735301,5.86188006378,5.44743490946,4.9799728486,5.5066315738,5.2493476692,5.42851058314,5.20077078317,6.11291290516,5.83195825955,5.7048915768,7.14787905183,5.94393526447,5.96561475007,5.97478831001,5.04772039382
Point1,H5,(1.0485129517 140),(2.52069246725 297),(4.77310732508 448),,(1.8456209797 759),(2.10240706038 912),,(3.56653969354 1208),(4.46965168396 1362),,,(2.30591395798 1838),(5.00567212397 2005),(3.90620975816 2168),(2.59379495265 2322),,(5.74260578421 2649),(4.53968257383 2790),(0.62534092659 2937),(3.74912567851 3080),(6.75427032393 3237),,(2.55838261735 3508),,,,,(2.96114455664 4181),,,,(3.62988696801 4736),,(4.68688780631 5010),,(4.15072711616 5284),,(4.37363279917 5555),(3.64953142322 5702),(5.78447909888 5847),,,,(4.24369212275 6403),(3.32555826958 6566),(4.56070148251 6723),(4.32643276472 6886),,,(3.41672578003 7382),(2.42157875765 7542),,(3.79381227289 7848),(3.66428402872 7991),(6.16834787088 8132),,(6.03747390096 8429),(3.83671474452 8580),(3.36655292637 8727),(4.57224673478 8886),,(3.35728934917 9190),,(3.85989437812 9509),,,(4.78911863521 9969),(5.34930326824 10111),,
Point1,H6,(7.9936057773e-15 161),(-9.7699626167e-15 313),(0.0 470),(7.9936057773e-15 615),(7.9936057773e-15 773),(2.6645352591e-15 932),(-0.0134629078867 1072),(-8.881784197e-15 1223),(1.59872115546e-14 1383),(-3.5527136788e-15 1540),(-0.00520861231053 1685),(0.0 1859),(-3.5527136788e-15 2024),(-1.42108547152e-14 2185),(-0.00236788497565 2345),(-0.0317803490618 2514),(1.7763568394e-15 2602),(-2.13162820728e-14 2669),(-0.000474416420468 2811),(-0.000664175137301 2950),(-5.3290705182e-15 3097),(-7.1054273576e-15 3210),(-0.00235975169844 3379),(-5.3290705182e-15 3525),(-2.13162820728e-14 3656),(-2.93098878501e-14 3797),(-3.19744231092e-14 3933),(-6.2172489379e-15 4067),(-2.84217094304e-14 4198),(-2.6645352591e-14 4340),(-2.84217094304e-14 4483),(-3.5527136788e-15 4623),(-8.881784197e-15 4759),(-5.3290705182e-15 4892),(-1.24344978758e-14 5031),(-8.881784197e-15 5168),(-3.5527136788e-15 5302),(-1.7763568394e-14 5438),(-2.30926389122e-14 5576),(1.7763568394e-15 5719),(8.881784197e-15 5864),(-7.1054273576e-15 6007),(5.3290705182e-15 6145),(1.24344978758e-14 6282),(3.90798504668e-14 6425),(3.73034936274e-14 6582),(3.5527136788e-14 6742),(3.19744231092e-14 6904),(3.19744231092e-14 7065),(2.22044604925e-14 7235),(1.95399252334e-14 7398),(1.59872115546e-14 7557),(1.06581410364e-14 7715),(1.86517468137e-14 7865),(-0.00931862612884 8007),(1.7763568394e-14 8153),(3.28626015289e-14 8303),(-0.0116109479755 8454),(-0.0242356757743 8601),(-5.3290705182e-15 8746),(0.0 8903),(1.24344978758e-14 9054),(3.5527136788e-15 9210),(-3.5527136788e-15 9342),(3.5527136788e-15 9527),(7.1054273576e-15 9682),(3.5527136788e-15 9834),(-7.1054273576e-15 9993),(-0.0114997711358 10139),
Point2,H1,(17.4317566152 29),(13.0908120691 188),(14.9766876005 347),(16.6861328355 496),(13.9984082007 651),(14.5719541598 800),(14.9220884944 958),(15.2095089888 1104),(17.5113828092 1251),(17.3899720947 1410),(17.7212520293 1568),(18.0487677952 1727),(17.4131745702 1887),(15.7565992113 2057),(14.7219227919 2217),(18.0238583109 2383),(17.5140676253 2545),(16.001525449 2700),(14.7667255974 2843),(16.9949600778 2988),(16.9008739283 3128),(13.0380809186 3281),(12.0858058285 3419),(18.8356925386 3551),(17.4573829242 3692),(14.8888444649 3825),(14.9498308258 3966),(15.6041194122 4095),(17.9530184565 4225),(16.2157175065 4367),(12.9421646748 4510),(16.2346288553 4654),(15.1285083352 4792),(18.5277715558 4926),(15.0024225898 5062),(17.0187037406 5198),(15.980033311 5330),(15.8477679094 5470),(17.7362550505 5610),(16.4453101568 5747),(19.1030357183 5888),(19.1431400498 6032),(20.3017049246 6175),(19.179834187 6317),(17.2740389837 6461),(19.605656374 6610),(19.5949309741 6769),(17.64130875 6935),(17.2101757715 7100),(16.1816896514 7263),(15.8253781276 7426),(15.8720966453 7584),(15.9765809365 7743),(14.040410806 7895),(16.3119900072 8038),(16.436831212 8187),(17.423185992 8334),(16.7165695996 8484),(16.3474849174 8636),(17.8188094191 8781),(17.7323959473 8929),(16.3562878991 9086),(16.7175022237 9244),(18.0062146701 9405),(15.4481758214 9554),(16.0373806343 9711),(18.2915184256 9869),(15.7026449028 10027),(17.9065017202 10172),
Point2,H2,(3.93484869408 81),,(7.28534698507 391),,,,(4.48124297998 1005),(8.93574900002 1130),(10.0964035129 1294),,,(5.33077799146 1775),(6.74440097858 1935),,,(10.4209348333 2424),,(3.13462435804 2750),(6.9450418732 2870),,(7.37111890992 3157),(4.52801687899 3311),(4.38813387779 3449),(7.34272022181 3598),,(5.41237132167 3869),(3.77044756069 4017),(3.66037605351 4145),(6.36482578089 4270),(10.7493910088 4389),(2.63592432529 4548),,(5.24605851924 4825),,(5.53535151803 5096),(5.84234407062 5248),(5.04998789574 5370),(4.8566318627 5519),,(9.74123172393 5773),(8.56313757236 5929),(5.50515995876 6077),,,,(7.92266545063 6661),(8.1892996865 6815),,(7.03474431691 7128),,,,,(4.5625500801 7925),,,,(9.45844093818 8518),,(6.36463313241 8830),,(9.39680082311 9109),(9.20070813309 9271),,,,(8.76060716924 9901),,,
Point2,H3,(3.97630280822 86),,(7.29788035022 396),,,,(5.28644192739 1018),(9.43859080426 1149),(10.3001015428 1304),,,(5.50865766121 1785),(7.30366628823 1946),,,(12.2268800257 2441),,(3.83713799353 2767),(7.34461901911 2881),,(9.38305751194 3176),(6.57142865079 3328),(5.19003155634 3463),(7.65884208959 3607),,(5.58752038012 3878),(3.88410111732 4025),(3.80036858419 4152),(6.44520363985 4277),(10.9743583121 4397),(3.91378775542 4567),,(5.71211419669 4838),,(5.97623218069 5107),(5.84806762735 5251),(5.25358445881 5380),(5.0525634002 5527),,(11.7471938379 5791),(10.2883257403 5946),(5.61768804747 6084),,,,(7.92290460976 6662),(8.25136837755 6822),,(7.12991874402 7135),,,,,(7.07662770107 7946),,,,(9.56382218115 8525),,(6.65560516756 8839),,(9.50498593474 9115),(9.21129043633 9274),,,,(8.91126854872 9918),,,
Point2,H4,(-0.000565897245335 136),,(2.53122514142 443),(2.29240276481 590),(2.28150623062 731),,,(3.01222418562 1192),(3.72713110525 1351),,,(2.42549801522 1818),(1.62724412456 1995),(1.92022252308 2154),(1.86722691229 2314),,(-8.881784197e-16 2609),(3.79012741283 2773),,(2.09571334862 3066),(6.2172489379e-15 3211),,(1.39212417644 3497),,(2.17343449896 3777),,,(1.99195802484 4171),(1.55489003231 4319),,,(2.09027855382 4729),,(2.92286243022 5001),,,,(2.60994041131 5547),(2.82351567025 5691),(2.23351192335 5829),,,(3.87890031703 6254),,(2.01223841835 6554),(3.41082256663 6717),(2.5478160144 6874),,,(1.92398259541 7369),(1.66075590662 7530),,(0.45013119786 7833),(2.47412615766 7979),(4.71376854731 8126),,(1.53673995052 8404),(3.27589983508 8573),(2.02854384861 8715),(2.64931105134 8875),,(1.13720362378 9178),,(2.04132361962 9498),(0.297129391845 9664),,(3.57448630177 9965),,,
Point2,H5,(0.768143542027 154),,(3.4358040881 455),(2.31155014322 594),(3.01735658717 756),,,(3.51382370161 1204),(4.38106074082 1364),,,(2.51484711044 1826),(2.24228987112 2007),(2.83680257962 2167),(2.17659589011 2325),,(3.11365274371 2647),(4.13319477715 2785),,(2.82045269306 3078),(4.78041939013 3239),,(1.61995570551 3508),,(2.1804655734 3779),,,(2.74190998671 4183),(1.68636874634 4326),,,(2.3391815677 4739),,(3.53784800237 5013),,,,(3.16679752613 5558),(3.51569968216 5702),(5.38283560731 5847),,,(3.92540269709 6259),,(3.09131451388 6567),(3.43820179919 6721),(3.20601639129 6886),,,(2.99482025107 7383),(1.88514982242 7541),,(2.42553066425 7849),(3.01533895401 7990),(4.79544487617 8132),,(3.3695535054 8435),(3.3816655688 8580),(2.55103360869 8726),(3.12737214612 8886),,(1.84687675549 9191),,(3.00147081228 9511),(0.42345014622 9672),,(3.63514320249 9971),,,
Point2,H6,(-0.000565897245335 136),(-7.1054273576e-15 313),(9.7699626167e-15 471),(-0.000851412405432 617),(3.5527136788e-15 774),(2.6645352591e-15 930),(4.4408920985e-15 1075),(-7.9936057773e-15 1223),(7.9936057773e-15 1383),(7.1054273576e-15 1541),(-6.2172489379e-15 1694),(8.881784197e-16 1858),(2.13162820728e-14 2023),(-9.7699626167e-15 2185),(-4.4408920985e-15 2346),(-0.0215252715136 2514),(-8.881784197e-16 2609),(-0.0114901977132 2667),(4.4408920985e-15 2810),(-0.0010619185349 2947),(-1.7763568394e-15 3096),(6.2172489379e-15 3211),(-3.5527136788e-15 3374),(-3.5527136788e-15 3524),(7.1054273576e-15 3657),(-8.881784197e-16 3797),(5.3290705182e-15 3934),(1.42108547152e-14 4068),(2.30926389122e-14 4198),(-0.0167498743256 4341),(1.50990331349e-14 4483),(-0.00132607944355 4620),(1.68753899743e-14 4759),(1.33226762955e-14 4893),(8.881784197e-15 5032),(-3.16287905902e-05 5168),(3.5527136788e-15 5302),(-1.33226762955e-14 5438),(-3.5527136788e-15 5577),(-3.5527136788e-15 5719),(-7.9936057773e-15 5864),(-1.06581410364e-14 6006),(-1.24344978758e-14 6145),(-1.59872115546e-14 6282),(-0.00294194483781 6426),(-3.5527136788e-15 6583),(-1.50990331349e-14 6742),(1.42108547152e-14 6904),(-0.00028139175063 7065),(-0.0022595856627 7235),(4.4408920985e-15 7399),(-4.4408920985e-15 7557),(-1.24344978758e-14 7716),(-7.9936057773e-15 7865),(-0.00420299977295 8007),(-1.7763568394e-15 8153),(1.7763568394e-15 8302),(-0.00195759205528 8454),(3.5527136788e-15 8601),(-0.0039612711073 8746),(-5.3290705182e-15 8903),(-1.50990331349e-14 9054),(-1.86517468137e-14 9209),(-0.000120649230437 9340),(-3.5527136788e-15 9527),(4.4408920985e-15 9682),(-1.7763568394e-15 9835),(5.3290705182e-15 9993),(-0.00294252095661 10139),
Point3,H1,(12.2414851072 30),(7.8035278432 189),(10.4302263269 349),(10.3282480531 497),(7.7827779183 652),(7.81689768283 802),(7.74376246861 961),(8.34033422323 1106),(9.98085710212 1254),(9.84571123335 1412),(9.85842321139 1570),(10.2903529829 1728),(9.62936153999 1888),(8.66920927612 2057),(8.35200398274 2219),(9.9988242644 2384),(11.2542252845 2547),(7.87978747788 2701),(8.38802878703 2845),(9.59835072076 2990),(9.05354222989 3130),(6.25457373089 3285),(5.1518804356 3354),(6.83447210392 3422),(11.8091763017 3553),(9.75925494284 3693),(8.33602265117 3826),(7.50509597415 3967),(8.56177031772 4097),(9.85035293688 4227),(8.69102208204 4369),(7.37731662829 4512),(8.21126666697 4655),(9.65560230105 4794),(9.50093410297 4926),(6.67313250789 5063),(10.322019301 5200),(8.23223423774 5331),(7.75007780589 5471),(10.4772744018 5612),(10.1448261517 5748),(10.7607972883 5889),(10.3419592109 6032),(11.3543538735 6176),(11.3595536661 6320),(8.07971191675 6462),(10.4856698681 6611),(11.3151793813 6770),(9.48188877408 6938),(9.37063144901 7101),(7.91737159452 7265),(9.00320225123 7428),(9.09406888199 7586),(8.79962327244 7744),(8.71131886559 7897),(8.46012970809 8039),(8.16885473035 8189),(8.37545084473 8335),(7.94789152782 8484),(8.80668495882 8637),(8.71006498003 8782),(8.89993324005 8931),(8.21651902713 9087),(8.33705266776 9244),(10.9521602033 9405),(7.68311581272 9556),(9.15202801073 9713),(9.81754633729 9871),(8.56349062846 10029),(10.3124756725 10174),
Point3,H2,,,(6.08725916632 395),,,(1.15766141389 875),(2.07051623006 1006),(5.33248877658 1130),(6.55188209041 1290),,,(2.77598869006 1775),(3.85540175119 1933),(1.49134836807 2131),,(5.90029262609 2423),,,(3.78260108219 2871),,(3.73759466259 3159),(2.27454023717 3309),(3.99680288865e-15 3373),(1.99855186433 3449),(5.56783488043 3600),,(3.13303216158 3867),(2.19503213029 4014),(2.18208652721 4148),(3.31494198838 4272),(6.25444530777 4388),(1.76301483319 4556),,(3.41734086035 4828),,(1.69825497174 5098),(4.29685508231 5245),(2.12387559582 5367),(1.97621773445 5523),(6.64221038996 5639),(5.71536928402 5778),(4.80863116024 5928),(3.32924592998 6072),(4.5827292002 6217),,(3.18913348147 6501),(4.57706270865 6663),,,(3.9626477671 7129),,,,(2.43015072698 7796),(3.45472980008 7927),(4.18147226326 8092),,,(4.53903042362 8515),,,(3.53937499342 8978),,(4.67111196334 9268),(6.4132449921 9429),(3.25782043224 9598),(5.16033772298 9749),(5.527981086 9897),(4.68265916323 10057),,
