Cycle,0.753805555556
Average Width,15.8727207452
Width,,12.9078632148,23.4130021185,16.359434267,10.8150488257,14.3192330061,12.9390082138,12.0129084523,15.1303517442,13.2099580249,12.6658046563,12.3089917841,12.233768641,9.98352211018,16.452444789,0,0,49.1786238801,15.3228978544,12.1216980149,12.0814749547,20.7034770224,13.8602478325,13.2139270745,14.8800010434,17.7283404919,11.5304212013,20.7751659048,0,14.252780379,0,0.0,17.9735244113,0,0.0,17.0559882699,14.8789934283,0.0
Point1,H5,(4.87836730335 93),(2.12402495183 293),,(5.99755738326 551),(1.47647952783 756),(6.03760425237 854),(5.95207726253 1013),(2.46902790964 1215),(0.413111291658 1384),(0.905934110766 1525),(0.63240806424 1685),(3.47522421729 1782),(5.81535372388 1940),(4.90321666571 2087),(1.65149705489 2293),(3.57483768866 2395),,(4.83052704008 2711),(2.0185245415 2914),,(4.4873546731 3176),(1.2940614893 3371),(7.93454981563 3477),,(1.37968457922 3845),(1.83536157019 4004),(1.36340391401 4166),(2.68340683816 4324),(2.96741767579 4479),(1.80129773314 4645),(1.51955939386 4804),,,,(4.07060748753 5371),,,
Point1,H6,(-0.0379217874096 2),(5.3290705182e-15 153),(6.2172489379e-15 311),(0.0 468),(-1.32589156321e-05 616),(-8.881784197e-16 772),(6.2172489379e-15 928),(-6.2172489379e-15 1075),(5.3290705182e-15 1241),(-0.00384336093622 1369),(7.1054273576e-15 1541),(-1.33226762955e-15 1698),(3.5527136788e-15 1846),(0.0 2004),(-0.00949031069857 2141),(-6.66133814775e-15 2309),(-0.00325643413709 2457),(-0.00417055272446 2622),(-0.00945847126622 2776),(5.3290705182e-15 2933),(2.22044604925e-15 3088),(-0.00488539278306 3238),(-0.00201948418004 3395),(7.54951656745e-15 3544),(1.1990408666e-14 3701),(7.1054273576e-15 3861),(5.3290705182e-15 4023),(2.6645352591e-15 4183),(-0.000926131332579 4342),(8.881784197e-16 4502),(-4.88498130835e-15 4662),(-6.2172489379e-15 4821),(-1.59872115546e-14 4970),(-0.00158560048017 5122),(-0.00191579074404 5270),(-1.7763568394e-15 5429),(-0.00530011380028 5579),
Point2,H1,(10.2285498367 29),(10.8638446662 187),(11.6054474169 341),(12.6122936452 494),(11.8194290514 652),(13.4463205502 800),(12.0002051548 956),(12.9583158882 1115),(8.40533082749 1273),(11.8993619761 1421),(11.3732559796 1577),(9.62371262758 1724),(9.6069589 1888),(9.68021484044 2032),(8.12124595421 2186),(7.91606468981 2331),(9.46789682918 2491),(9.82846698694 2651),(9.115425567 2812),(10.110377412 2963),(7.8919504719 3115),(8.53139312052 3268),(8.01588461489 3447),(6.37822519149 3575),(7.75808669515 3746),(8.9753581645 3889),(6.59123120504 4052),(6.36938058891 4217),(7.59090175703 4367),(6.89621799003 4527),(7.07616233564 4702),(8.43567857218 4847),(8.07979120812 5000),(5.48694135848 5148),(6.71439536747 5306),(7.22979021301 5470),(7.01917252662 5613),
Point2,H2,,(4.74131364192 231),,,(5.58328280177 696),(6.26982351704 841),(5.37752404134 1001),(6.9268267568 1159),(4.84775434542 1304),,,(3.571149571 1770),,(4.57111115987 2072),(4.92732079616 2219),,(8.24739394151 2506),,,,(3.54293673055 3160),(0.615541577297 3369),,(4.10106544484 3596),(2.0818343444 3801),,,(2.82166608233 4248),,,(5.03337272799 4730),,(5.32698010353 5022),,,,,
Point2,H3,,(4.85617240795 240),,,(5.6061877031 701),(6.98829422354 854),(5.69452205061 1012),(7.90587875095 1173),(5.12131397654 1315),,,(3.75772948461 1781),,(4.71138673237 2083),(5.1954675623 2232),,(8.48047095812 2515),,,,(3.81701885317 3182),(0.703055641141 3378),,(4.43507605591 3607),(2.48068721646 3813),,,(3.76808388991 4265),,,(5.20081022125 4740),,(5.37036408946 5028),,,,,
Point2,H4,(3.49901118917 75),(1.33371288098 277),,,(1.98198847366 743),(0.24354034579 905),(1.51187240818 1047),(3.17556698952 1204),(5.3290705182e-15 1366),(1.48355046496 1511),,(1.65808496014 1817),,(-0.0024360870191 2124),,(1.40414258525 2378),(5.26205891157 2543),(4.66472454286 2699),(1.95337429421 2906),,(1.85703591666 3209),(-3.5527136788e-15 3392),,(0.570219163661 3670),(0.985312391983 3831),,(0.265317430808 4146),(1.10481214154 4305),,(0.731685442443 4633),,,(1.26625915998 5097),(3.77898500546 5178),(3.291971635 5356),(2.79823289185 5534),,
Point2,H5,(4.3016167629 98),(2.160744292 291),,,(2.04825545704 750),(0.583650939077 916),(1.68515440482 1057),(3.4647043169 1215),(1.28250503655 1382),(1.77344388826 1522),,(1.67946429619 1823),,(0.234904915244 2135),,(2.03219798968 2394),(5.26323761227 2544),(4.67723225168 2703),(1.98373889369 2911),,(2.03048080808 3217),(7.86568182177 3425),,(1.35847720533 3684),(1.65990194351 3844),,(0.731958980522 4163),(2.77602160416 4323),,(0.939309690248 4643),,,(1.32764749485 5104),(4.12985687911 5197),(3.50396361353 5369),(2.798497917 5535),,
Point2,H6,(-0.0500893905116 2),(-5.3290705182e-15 148),(8.881784197e-16 307),(4.4408920985e-15 466),(-2.6645352591e-15 612),(-1.7763568394e-15 769),(8.881784197e-15 927),(-0.00128690010329 1076),(7.9936057773e-15 1238),(5.3290705182e-15 1366),(1.24344978758e-14 1540),(8.881784197e-16 1695),(2.6645352591e-15 1844),(-2.6645352591e-15 2001),(-0.0024360870191 2124),(-1.1990408666e-14 2304),(-0.0145319132767 2451),(-0.00296193635123 2605),(-8.881784197e-16 2776),(-8.881784197e-16 2930),(-7.9936057773e-15 3083),(-6.2172489379e-15 3236),(-3.5527136788e-15 3392),(-4.4408920985e-16 3542),(-0.00614819004598 3699),(-3.5527136788e-15 3859),(6.2172489379e-15 4019),(-5.77315972805e-15 4179),(-9.32587340685e-15 4341),(-4.4408920985e-15 4499),(-2.22044604925e-15 4659),(-8.881784197e-15 4816),(-0.00407264378283 4963),(-6.66133814775e-15 5122),(-0.000633490433442 5264),(-1.1990408666e-14 5426),(-0.00577725446851 5570),
Point3,H1,(10.4719607371 30),(11.8419865244 187),(12.0087644172 342),(13.0616441821 495),(11.9445958636 652),(13.4643410398 803),(12.9920068476 956),(13.250910396 1115),(8.61450655456 1273),(12.151069879 1422),(11.6827678451 1578),(9.11394227967 1723),(9.81182179832 1888),(9.50102188047 2033),(8.19014560357 2185),(7.72897216342 2331),(9.79679270453 2491),(9.75390097443 2651),(9.31576532511 2811),(10.5688026835 2965),(8.38160431626 3114),(8.36645837471 3269),(8.42065912963 3470),(6.50215688571 3575),(7.57232289318 3743),(8.72718190575 3891),(6.40585228354 4054),(5.8775491714 4218),(7.10967758172 4367),(6.52000015087 4526),(6.47584156086 4699),(7.90436310746 4848),(7.6311044319 5000),(5.77909238608 5148),(6.7531991685 5307),(6.96924205211 5471),(7.07610407902 5613),
Point3,H2,,(5.25397440751 233),,,,(6.86465900143 845),,(7.02837144822 1158),(5.25852324679 1306),,,(3.06442753241 1769),,(4.859258478 2073),,,(8.45357859829 2507),,,,(3.63979705669 3160),(0.809241184422 3370),,(4.4066865436 3595),(2.03034379403 3804),,,(2.71410969701 4251),(4.31768207007 4407),,(4.65394867736 4727),(5.15638480077 4878),(5.06648928312 5020),(4.10877138435 5170),,,,
