Cycle,0.6565
Average Width,7.46419396878
Width,,5.19742936416,7.09582211374,6.03530303402,5.47073412876,5.31577856379,8.50991979207,7.38060515777,9.17177207547,8.09506408124,0.0,6.866313386,6.4767307549,0,7.09760979274,9.273792709,5.92630834571,7.68565800299,8.90220168412,14.2252380531,0,5.62921039845
Point0,H1,(6.27641337765 70),(6.57860264566 213),(6.91458843515 359),(6.32027158407 500),(6.95430028908 634),(6.49214112831 769),(7.33100253648 904),(8.09701071186 1043),(7.88204186614 1179),(7.39600026807 1315),(7.26020963675 1450),(7.49235589399 1589),(7.87933994871 1727),(7.06203244161 1868),(8.01629080917 2006),(6.54616802649 2143),(7.67085402907 2279),(7.35334207688 2422),(8.11222846697 2564),(6.33005506529 2703),(6.79529160991 2840),
Point0,H2,,(2.22733070102 258),(2.0449880702 391),(2.30772117297 527),,,,,,,,,,,(3.12957233691 2046),(3.14397062023 2172),,,(4.60534555948 2591),,,
Point0,H3,,(2.44301125613 270),(2.30013031467 402),(2.86783233503 544),,,,,,,,,,,(3.44492273767 2060),(3.20344994986 2178),,,(4.60790784669 2593),,,
Point0,H4,,(0.845938157527 298),(0.245808376956 431),(0.0451414148664 577),(3.76152183721 670),(3.41647297151 795),(1.13442991304 980),(1.47807114783 1122),(3.30137757047 1215),(0.262244928053 1391),(2.91328212656 1485),(1.35721894485 1664),(3.77720432536 1762),,(1.35796302003 2084),,,,(0.887772997426 2643),(2.87623836894 2733),,
Point0,H5,,(0.846167401026 299),(0.343008343626 443),(0.680570540865 592),(3.8577983182 680),(3.83959975494 809),(1.15709304724 986),(1.55913606392 1130),(3.31554712935 1220),(0.558284441723 1405),(3.03692586273 1494),(1.35954731755 1667),(3.90044454727 1772),,(1.56932854922 2094),,,,(1.2512339362 2655),(3.44517305641 2749),,
Point0,H6,(-0.0158127726175 3),(-0.00210668178213 170),(-8.43769498715e-15 320),(-6.88338275268e-15 468),(-8.881784197e-16 605),(-1.33226762955e-15 735),(-1.33226762955e-15 875),(-3.10862446895e-15 1008),(-0.00120848570536 1150),(-0.00268200344878 1277),(-3.99680288865e-15 1419),(-2.6645352591e-15 1553),(7.54951656745e-15 1692),(-0.00262835130649 1838),(-1.33226762955e-15 1979),(-3.99680288865e-15 2112),(-3.5527136788e-15 2250),(-4.4408920985e-16 2386),(8.881784197e-16 2528),(8.881784197e-16 2672),(4.4408920985e-16 2808),
Point1,H1,(7.38495892647 71),(7.28386301424 216),(7.30184015847 360),(7.29251432819 503),(7.92118490963 635),(6.50887092287 772),(7.14640319442 907),(8.10191179378 1046),(7.63326994394 1182),(6.05619086902 1318),(7.49779445541 1451),(8.17913447317 1591),(7.57672382253 1728),(7.20220062605 1869),(7.76633802048 2009),(6.97245835168 2145),(7.88192104754 2282),(7.50211783182 2425),(8.19343917663 2568),(6.1346509502 2707),(7.51034970714 2842),
Point1,H2,,,,,(3.84541177008 669),(2.52450750479 805),,,,(2.33171986378 1347),,,,(2.73264400948 1907),(3.64049417184 2037),,,(3.36335627582 2456),,,
Point1,H3,,,,,(3.9987153903 680),(2.84393945691 818),,,,(2.50607449224 1357),,,,(2.86775012132 1916),(3.78945867405 2050),,,(3.52635872553 2466),,,
Point1,H4,,(0.607095376371 290),(0.49234756629 438),(1.17957361926 579),(0.398137252783 713),(0.898100215082 852),,(0.908211842389 1125),(2.70711240569 1216),(0.216576146086 1393),,(0.68092572707 1668),(1.08851559188 1815),(3.5527136788e-15 1954),(1.92352499067 2081),(3.99680288865e-15 2231),(1.47232261364 2349),(1.01014748471 2498),,,
Point1,H5,,(0.716319024377 301),(0.706185063481 450),(1.4927370908 591),(0.63372389587 724),(0.983997140286 861),,(1.33529405531 1137),(2.84671059358 1225),(0.75457200645 1409),,(1.00639817239 1681),(1.27519793437 1824),(1.1288548178 1971),(2.15932396738 2093),(0.360196344213 2244),(1.78161771575 2362),(1.16766951021 2509),,,
Point1,H6,(-3.10862446895e-15 180),(-4.4408920985e-15 324),(-0.00193250672535 467),(8.881784197e-16 608),(-8.881784197e-16 738),(-2.22044604925e-15 879),(-0.00470386375312 1007),(1.7763568394e-15 1153),(-0.000919314965467 1281),(-1.33226762955e-15 1423),(0.0 1550),(3.5527136788e-15 1697),(-3.99680288865e-15 1841),(3.5527136788e-15 1954),(3.99680288865e-15 2115),(3.99680288865e-15 2231),(4.4408920985e-15 2390),(-0.000864956333542 2531),(4.4408920985e-16 2674),(3.10862446895e-15 2812),
Point2,H1,(6.30642830992 53),(6.8307325087 195),(6.07336388925 339),(6.31546844949 482),(6.64397901379 614),(5.79742223932 752),(5.87649247639 887),(7.32728063807 1026),(6.41878400339 1162),(5.0890510846 1298),(6.45232853435 1433),(7.30551964795 1570),(7.17112555202 1708),(6.18543456 1849),(6.7697638423 1989),(5.80063776522 2125),(7.01880687867 2261),(6.8900141803 2404),(7.9503309726 2546),(5.80908345458 2687),(6.32567064899 2820),
Point2,H2,,,,,(3.34091989521 653),,,,,,,(1.83028836949 1620),,(2.64252840295 1885),(3.57966818871 2016),,,,,,
Point2,H3,,,,,(3.52281705805 664),,,,,,,(1.95408576587 1629),,(2.80350858521 1895),(3.64987544327 2031),,,,,,
Point2,H4,,(0.66421487364 271),(0.0744167334742 416),(1.40044369497 545),(-0.00100808858761 697),(0.65548031073 832),(1.98401965355 927),(0.620639975509 1109),,(0.442850001586 1373),(1.66982231701 1496),(0.37717762224 1653),(1.18370797369 1793),(-3.10862446895e-15 1933),(1.80790320015 2064),(4.4408920985e-15 2212),(2.13603665122 2332),(3.23142303745 2439),,,
Point2,H5,,(0.690908111148 278),(0.525902884192 431),(1.60608458591 563),(0.0838317352461 707),(0.873552492263 844),(1.98620005594 930),(0.629126975104 1113),,(0.570003924447 1384),(1.79734397333 1506),(0.443884086228 1660),(1.32067812537 1802),(0.960374256521 1950),(2.06026588498 2074),(0.203618508433 2224),(2.24509075409 2341),(3.23223974297 2441),,,
Point2,H6,(-4.88498130835e-15 153),(-0.00245381232657 303),(-3.99680288865e-15 447),(-4.4408920985e-16 586),(-0.00100808858761 697),(3.10862446895e-15 859),(-0.00075946371775 986),(-2.22044604925e-15 1130),(-0.00208842554388 1257),(0.0 1401),(-1.7763568394e-15 1535),(-4.4408920985e-16 1674),(-1.33226762955e-15 1820),(-3.10862446895e-15 1933),(-3.99680288865e-15 2095),(4.4408920985e-15 2212),(3.10862446895e-15 2370),(3.99680288865e-15 2507),(2.6645352591e-15 2653),(-1.33226762955e-15 2791),
